msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews Pro,,pt,new,unchanged_like
,https://afthemes.com/products/chromenews-pro/,,pt,new,unchanged_like
,"ChromeNews Pro is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starting pages that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 16+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and RTL, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it.",,pt,new,
,AF themes,,pt,new,
,https://www.afthemes.com/,,pt,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,pt,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,pt,new,
,Dashboard,,pt,new,
,Customize,,pt,new,
,Ads Settings,,pt,new,
,Starter Sites,,pt,new,
,Block Patterns,,pt,new,
,Elementor Kits,,pt,new,
,Support,,pt,new,
,Master Bundle Plan,,pt,new,
,Security check failed,,pt,new,
,Ads settings saved.,,pt,new,
,Global Ads Placement,,pt,new,
,"💡 Tip: You can rotate multiple ads by separating them with <!--next-->. One ad will be shown randomly per page load. Works with HTML, JavaScript, and shortcodes.",,pt,new,
,Header Ad,,pt,new,
,"Add your HTML, JavaScript, or shortcode to display an ad at the very top of your site (header area).",,pt,new,
,Before Content,,pt,new,
,Ad before post content. Supports rotating multiple ads using <!--next-->.,,pt,new,
,After Content,,pt,new,
,Ad after post content. You can rotate multiple ads with <!--next--> separator.,,pt,new,
,Before First Paragraph,,pt,new,
,This ad appears after the first paragraph of single post content. Rotation supported via <!--next-->.,,pt,new,
,After Third Paragraph,,pt,new,
,Shown after the third paragraph in single post content. Supports rotating ads with <!--next-->.,,pt,new,
,After Post Content,,pt,new,
,"Displayed below post content, before comments or related posts. Rotation via <!--next--> supported.",,pt,new,
,Sidebar Ad,,pt,new,
,Shown in sidebar globally. You may use widgets for better control. Supports <!--next--> for rotating ads.,,pt,new,
,Footer Ad,,pt,new,
,Displayed at the bottom of the site above footer widgets. Rotating ads supported using <!--next-->.,,pt,new,
,Archive / Blog Ads,,pt,new,
,Before Post List,,pt,new,
,Shown before posts in blog or archive pages. Use <!--next--> to rotate multiple ads.,,pt,new,
,After Post List,,pt,new,
,Shown after posts in archive or blog listings. Supports ad rotation using <!--next--> tag.,,pt,new,
,Between Posts,,pt,new,
,Manually inserted between posts in archive loop using hooks/snippets. Rotate with <!--next--> if needed.,,pt,new,
,Save Ads Settings,,pt,new,
,Helpful YouTube Videos,,pt,new,
,Launch Your News Website Quickly,,pt,new,
,Use our free accessible theme to build a news site without coding.,,pt,new,
,Multi-Author Collaboration,,pt,new,
,Learn how to manage multiple authors smoothly with our plugin.,,pt,new,
,Import Gutenberg Patterns,,pt,new,
,Easily import templates and patterns for consistent layouts.,,pt,new,
,Elementor Tutorial for Beginners,,pt,new,
,Build a professional news site fast with no coding needed.,,pt,new,
,Multilingual Translation Guide,,pt,new,
,Step-by-step guide to translate your site into multiple languages.,,pt,new,
,The Templatespare plugin should be updated to the latest version,,pt,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,pt,new,
,Blockspare plugin version should be more than %s.,,pt,new,
,"One-click Import, No Coding Hassle!",,pt,new,
,Elespare plugin version should be more than %s.,,pt,new,
,Are you sure you want to install this plugin?,,pt,new,
,Install Now,,pt,new,
,Activate,,pt,new,
,Activated,,pt,new,
,Get Starter Sites,,pt,new,
,Get Started,,pt,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,pt,new,
,By,,pt,new,
,More Details,,pt,new,
,"The ""Get Started"" action will install/activate the Templatespare and  plugin for Starter Sites and Templates.",,pt,new,
,Howdy!,,pt,new,
,%s is now installed and ready to use. We've assembled some links to get you started.,,pt,new,
,Explore Our Pre-Built Starter Websites!,,pt,new,
,"Let your imagination soar! Designed with User-Friendly features, incorporating the Latest Trends and SEO-Friendly Markups. We genuinely appreciate you choosing our theme!",,pt,new,
,Demos/product,,pt,new,
,Theme dashboard,,pt,new,
,Documentation,,pt,new,
,Please check our full documentation for detailed information on how to setup and customize the theme.,,pt,new,
,Docs,,pt,new,
,Videos,,pt,new,
,Blog,,pt,new,
,Rate This Theme,,pt,new,
,"Sorry, you are not allowed to install plugins on this site.",,pt,new,
,"Error - unable to verify nonce, please try again.",,pt,new,
,"Sorry, you are not allowed to activate plugins on this site.",,pt,new,
,One thought on &ldquo;%1$s&rdquo;,,pt,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pt,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pt,new,
,Comments are closed.,,pt,new,
,%1$s by %2$s.,,pt,new,
,Primary Menu,,pt,new,
,Social Menu,,pt,new,
,Footer Menu,,pt,new,
%s font: on or off,on,,pt,new,
,Skip to content,,pt,new,
,Load More,,pt,new,
,-- Select --,,pt,new,
,Subscribe,,pt,new,
,Trending,,pt,new,
,Breaking News,,pt,new,
,Prime News,,pt,new,
,Related Stories,,pt,new,
,Youtube video Section,,pt,new,
,Featured Videos,,pt,new,
,Express Posts Section,,pt,new,
,Express Posts 1,,pt,new,
,Express Posts 2,,pt,new,
,Posts List Section,,pt,new,
,Posts List %d,,pt,new,
,Posts Carousel,,pt,new,
,Main News,,pt,new,
,Latest,,pt,new,
,Popular,,pt,new,unchanged_like
,Trending Now,,pt,new,
,Editor's Picks,,pt,new,
,Trending Story,,pt,new,
,Featured Posts,,pt,new,
,Featured Categories,,pt,new,
,Featured Pages,,pt,new,
,Custom Options,,pt,new,
,Post list Section Title %d,,pt,new,
,View More,,pt,new,
,Read More,,pt,new,
,Connect with Us,,pt,new,
,Instagram,,pt,new,unchanged_like
,Popular News,,pt,new,
,Related News,,pt,new,
,Subscribe To  Our Newsletter,,pt,new,
,You may have missed,,pt,new,
,Copyright &copy; {year} All rights reserved.,,pt,new,
,Background Color,,pt,new,
,Site Title Size,,pt,new,
,Uppercase Site Title and Tagline,,pt,new,
,Site Title/Tagline Color,,pt,new,
,Header Image Mode,,pt,new,
,Image visibility may vary as per the mode,,pt,new,
,Set as Background,,pt,new,
,Show Full Image,,pt,new,
,Enable Image Tint/Overlay,,pt,new,
,Overlay Transparancy(%),,pt,new,
,Site Title/Tagline Color (Dark Mode),,pt,new,
,Site Color Mode,,pt,new,
,Check with Mode Swicth toggle in navigation,,pt,new,
,Light,,pt,new,
,Dark,,pt,new,
,Main Banner Background,,pt,new,
,Default,,pt,new,
,Alternate,,pt,new,
,Custom,,pt,new,
,Banner Background Color,,pt,new,
,Banner Texts Color,,pt,new,
,General Link Color,,pt,new,
,Primary Color Section ,,pt,new,
