msgctxt,msgid,msgid_plural,target_lang,status,issues
,Magnitude,,ne,new,
,https://afthemes.com/products/magnitude/,,ne,new,unchanged_like
,"Magnitude is a clean, elegant WordPress theme, ideal for blogging and magazine online. You can design your website as you like and preview the modifications live using live customizer options and custom widgets. It is compatible with the Gutenberg and RTL along with WooCommerce plugin which helps you to integrate an online business with our newspaper template. It also contains many helpful elements that require an amazing news portal to be built, the theme is ideal for blogging and great for news, newspaper, magazine, publication or review site. The theme is well-optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are number of demos available in this theme so choose the one you like and start to build a website. See our demos: https://demos.afthemes.com/magnitude/, https://demos.afthemes.com/magnitude/newsportal/, https://demos.afthemes.com/magnitude/sport/",,ne,new,
,AF themes,,ne,new,
,https://www.afthemes.com/,,ne,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,ne,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ne,new,
,%s,,ne,new,unchanged_like
,Starter Sites,,ne,new,
,Block Patterns,,ne,new,
,Elementor Kits,,ne,new,
,Customize,,ne,new,
,Settings,,ne,new,
,Upgrade,,ne,new,
,The Templatespare plugin should be updated to the latest version,,ne,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ne,new,
,Blockspare plugin version should be more than %s.,,ne,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ne,new,
,Elespare plugin version should be more than %s.,,ne,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ne,new,
,Are you sure you want to install this plugin?,,ne,new,
,Install Now,,ne,new,
,Activate,,ne,new,
,Activated,,ne,new,
,Get Starter Sites,,ne,new,
,Get Started,,ne,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ne,new,
,By,,ne,new,
,More Details,,ne,new,
,Howdy!,,ne,new,
,%s is now installed and ready to use. We've assembled some links to get you started.,,ne,new,
,Explore Our Pre-Built Starter Websites!,,ne,new,
,"Let your imagination soar! Designed with User-Friendly features, incorporating the Latest Trends and SEO-Friendly Markups. We genuinely appreciate you choosing our theme!",,ne,new,
,Demos/product,,ne,new,
,Theme dashboard,,ne,new,
,Documentation,,ne,new,
,Please check our full documentation for detailed information on how to setup and customize the theme.,,ne,new,
,Docs,,ne,new,
,Videos,,ne,new,
,Blog,,ne,new,
,Rate This Theme,,ne,new,
,"Sorry, you are not allowed to install plugins on this site.",,ne,new,
,"Error - unable to verify nonce, please try again.",,ne,new,
,"Sorry, you are not allowed to activate plugins on this site.",,ne,new,
,One thought on &ldquo;%1$s&rdquo;,,ne,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ne,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ne,new,
,Comments are closed.,,ne,new,
,%1$s by %2$s.,,ne,new,
,Primary Menu,,ne,new,
,Social Menu,,ne,new,
,Footer Menu,,ne,new,
Source Sans Pro font: on or off,on,,ne,new,
Lato font: on or off,on,,ne,new,
,Skip to content,,ne,new,
,-- Select --,,ne,new,
,Popular Tags,,ne,new,
,Exclusive,,ne,new,
,Featured Posts,,ne,new,
,Featured Categories,,ne,new,
,Featured Pages,,ne,new,
,Custom Options,,ne,new,
,View More,,ne,new,
,Read More,,ne,new,
,Related Stories,,ne,new,
,Subscribe To  Our Newsletter,,ne,new,
,You may have missed,,ne,new,
,Copyright &copy; All rights reserved.,,ne,new,
,Site Title Size,,ne,new,
,Site Title/Tagline Color,,ne,new,
,Disable Image Tint/Overlay,,ne,new,
,Magnitude Pro,,ne,new,
,Upgrade now,,ne,new,
,Frontpage Options,,ne,new,
,Banner Advertisement,,ne,new,
,Banner Section Advertisement,,ne,new,
,Recommended Size %1$s px X %2$s px,,ne,new,
,URL Link,,ne,new,
,Main Banner Section,,ne,new,
,Enable Main Banner Section,,ne,new,
,Select Banner Mode,,ne,new,
,Wide,,ne,new,
,Boxed,,ne,new,
,Slider Category,,ne,new,
,Select category to be shown on main slider section,,ne,new,
,Top News Category,,ne,new,
,Flash Posts,,ne,new,
,Enable Flash Posts Section,,ne,new,
,Exclusive News Title,,ne,new,
,Flash Posts Category,,ne,new,
,Select category to be shown on trending posts ,,ne,new,
,Disable Banner and Featured Section on Blog,,ne,new,
,The option will the section from blog archive page.,,ne,new,
,Featured Category Section,,ne,new,
,Enable Featured Category Section,,ne,new,
,Section Title,,ne,new,
,Select Category %d,,ne,new,
,Select category to be shown on featured section ,,ne,new,
,Upload Image %d,,ne,new,
,Featured Posts Section,,ne,new,
,Enable Featured Posts Section,,ne,new,
,Featured Title ,,ne,new,
,Select Category ,,ne,new,
,Frontpage Layout Settings,,ne,new,
,Frontpage Content Alignment,,ne,new,
,Select frontpage content alignment,,ne,new,
,Home Content - Home Sidebar,,ne,new,
,Home Sidebar - Home Content,,ne,new,
,Only Home Content,,ne,new,
,Make Frontpage Sidebar Sticky,,ne,new,
,Theme Options,,ne,new,
,Preloader Options,,ne,new,
,Enable Preloader,,ne,new,
,Header Options,,ne,new,
,Show Date on Header,,ne,new,
,Show Social Menu on Header,,ne,new,
,Show breadcrumbs,,ne,new,
,Global Settings,,ne,new,
,Global Content Alignment,,ne,new,
,Content - Primary sidebar,,ne,new,
,Primary sidebar - Content,,ne,new,
,Full width content,,ne,new,
,Post Categories,,ne,new,
,Show,,ne,new,
,Hide,,ne,new,
,Comment Count,,ne,new,
,Minutes Read Count,,ne,new,
,Date and Author,,ne,new,
,Show Date and Author,,ne,new,
,Show Date Only,,ne,new,
,Show Author Only,,ne,new,
,Hide All,,ne,new,
,Date Format,,ne,new,
,Date Format by Theme,,ne,new,
