msgctxt,msgid,msgid_plural,target_lang,status,issues
,Magnitude,,pt,new,unchanged_like
,https://afthemes.com/products/magnitude/,,pt,new,unchanged_like
,"Magnitude is a clean, elegant WordPress theme, ideal for blogging and magazine online. You can design your website as you like and preview the modifications live using live customizer options and custom widgets. It is compatible with the Gutenberg and RTL along with WooCommerce plugin which helps you to integrate an online business with our newspaper template. It also contains many helpful elements that require an amazing news portal to be built, the theme is ideal for blogging and great for news, newspaper, magazine, publication or review site. The theme is well-optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are number of demos available in this theme so choose the one you like and start to build a website. See our demos: https://demos.afthemes.com/magnitude/, https://demos.afthemes.com/magnitude/newsportal/, https://demos.afthemes.com/magnitude/sport/",,pt,new,
,AF themes,,pt,new,
,https://www.afthemes.com/,,pt,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,pt,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,pt,new,
,%s,,pt,new,unchanged_like
,Starter Sites,,pt,new,
,Block Patterns,,pt,new,
,Elementor Kits,,pt,new,
,Customize,,pt,new,
,Settings,,pt,new,
,Upgrade,,pt,new,
,The Templatespare plugin should be updated to the latest version,,pt,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,pt,new,
,Blockspare plugin version should be more than %s.,,pt,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,pt,new,
,Elespare plugin version should be more than %s.,,pt,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,pt,new,
,Are you sure you want to install this plugin?,,pt,new,
,Install Now,,pt,new,
,Activate,,pt,new,
,Activated,,pt,new,
,Get Starter Sites,,pt,new,
,Get Started,,pt,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,pt,new,
,By,,pt,new,
,More Details,,pt,new,
,Howdy!,,pt,new,
,%s is now installed and ready to use. We've assembled some links to get you started.,,pt,new,
,Explore Our Pre-Built Starter Websites!,,pt,new,
,"Let your imagination soar! Designed with User-Friendly features, incorporating the Latest Trends and SEO-Friendly Markups. We genuinely appreciate you choosing our theme!",,pt,new,
,Demos/product,,pt,new,
,Theme dashboard,,pt,new,
,Documentation,,pt,new,
,Please check our full documentation for detailed information on how to setup and customize the theme.,,pt,new,
,Docs,,pt,new,
,Videos,,pt,new,
,Blog,,pt,new,
,Rate This Theme,,pt,new,
,"Sorry, you are not allowed to install plugins on this site.",,pt,new,
,"Error - unable to verify nonce, please try again.",,pt,new,
,"Sorry, you are not allowed to activate plugins on this site.",,pt,new,
,One thought on &ldquo;%1$s&rdquo;,,pt,new,
,Comments are closed.,,pt,new,
,%1$s by %2$s.,,pt,new,
,Primary Menu,,pt,new,
,Social Menu,,pt,new,
,Footer Menu,,pt,new,
Source Sans Pro font: on or off,on,,pt,new,
Lato font: on or off,on,,pt,new,
,Skip to content,,pt,new,
,-- Select --,,pt,new,
,Popular Tags,,pt,new,
,Exclusive,,pt,new,
,Featured Posts,,pt,new,
,Featured Categories,,pt,new,
,Featured Pages,,pt,new,
,Custom Options,,pt,new,
,View More,,pt,new,
,Read More,,pt,new,
,Related Stories,,pt,new,
,Subscribe To  Our Newsletter,,pt,new,
,You may have missed,,pt,new,
,Copyright &copy; All rights reserved.,,pt,new,
,Site Title Size,,pt,new,
,Site Title/Tagline Color,,pt,new,
,Disable Image Tint/Overlay,,pt,new,
,Magnitude Pro,,pt,new,
,Upgrade now,,pt,new,
,Frontpage Options,,pt,new,
,Banner Advertisement,,pt,new,
,Banner Section Advertisement,,pt,new,
,Recommended Size %1$s px X %2$s px,,pt,new,
,URL Link,,pt,new,
,Main Banner Section,,pt,new,
,Enable Main Banner Section,,pt,new,
,Select Banner Mode,,pt,new,
,Wide,,pt,new,
,Boxed,,pt,new,
,Slider Category,,pt,new,
,Select category to be shown on main slider section,,pt,new,
,Top News Category,,pt,new,
,Flash Posts,,pt,new,
,Enable Flash Posts Section,,pt,new,
,Exclusive News Title,,pt,new,
,Flash Posts Category,,pt,new,
,Select category to be shown on trending posts ,,pt,new,
,Disable Banner and Featured Section on Blog,,pt,new,
,The option will the section from blog archive page.,,pt,new,
,Featured Category Section,,pt,new,
,Enable Featured Category Section,,pt,new,
,Section Title,,pt,new,
,Select Category %d,,pt,new,
,Select category to be shown on featured section ,,pt,new,
,Upload Image %d,,pt,new,
,Featured Posts Section,,pt,new,
,Enable Featured Posts Section,,pt,new,
,Featured Title ,,pt,new,
,Select Category ,,pt,new,
,Frontpage Layout Settings,,pt,new,
,Frontpage Content Alignment,,pt,new,
,Select frontpage content alignment,,pt,new,
,Home Content - Home Sidebar,,pt,new,
,Home Sidebar - Home Content,,pt,new,
,Only Home Content,,pt,new,
,Make Frontpage Sidebar Sticky,,pt,new,
,Theme Options,,pt,new,
,Preloader Options,,pt,new,
,Enable Preloader,,pt,new,
,Header Options,,pt,new,
,Show Date on Header,,pt,new,
,Show Social Menu on Header,,pt,new,
,Show breadcrumbs,,pt,new,
,Global Settings,,pt,new,
,Global Content Alignment,,pt,new,
,Content - Primary sidebar,,pt,new,
,Primary sidebar - Content,,pt,new,
,Full width content,,pt,new,
,Post Categories,,pt,new,
,Show,,pt,new,
,Hide,,pt,new,
,Comment Count,,pt,new,
,Minutes Read Count,,pt,new,
,Date and Author,,pt,new,
,Show Date and Author,,pt,new,
,Show Date Only,,pt,new,
,Show Author Only,,pt,new,
,Hide All,,pt,new,
,Date Format,,pt,new,
,Date Format by Theme,,pt,new,
,WordPress Default Date Format,,pt,new,
,Global Excerpt Length,,pt,new,
,Global Excerpt Read More,,pt,new,
,Single Post,,pt,new,
,Show on featured image,,pt,new,
,Posts Featured Image View,,pt,new,
,Select content view for featured image,,pt,new,
,Default,,pt,new,
,Full,,pt,new,
,Social Share Option,,pt,new,
,Social Share from Jetpack plugin,,pt,new,
,Default - Top,,pt,new,
,Bottom,,pt,new,
,Related Posts,,pt,new,
,Show On Single Posts,,pt,new,
,Title,,pt,new,
,Archive Settings,,pt,new,
,Image Alignment,,pt,new,
,Select image alignment for archive,,pt,new,
,Left,,pt,new,
,Right,,pt,new,
,Alternate,,pt,new,
,Content View,,pt,new,
,Select content view for archive,,pt,new,
,Post Excerpt,,pt,new,
,None,,pt,new,
,You May Have Missed,,pt,new,
,Show Latest Posts Section Above Footer,,pt,new,
,Posts Section Title,,pt,new,
,Footer,,pt,new,
,Copyright Text,,pt,new,
,Hide footer Menu Section,,pt,new,
,Pages:,,pt,new,
,Layout Options,,pt,new,
,Set as global layout,,pt,new,
,Content - Primary Sidebar,,pt,new,
,Primary Sidebar - Content,,pt,new,
,No Sidebar,,pt,new,
,Please go to Customize>Frontpage Options for Homepage.,,pt,new,
,Category Color 1,,pt,new,
,Category Color 2,,pt,new,
,Category Color 3,,pt,new,
,Color Class,,pt,new,
,"Select category color class. You can set appropriate categories color on ""Categories"" section of the theme customizer.",,pt,new,
,AF Companion,,pt,new,
,Elespare,,pt,new,unchanged_like
,Blockspare,,pt,new,
,Latest Posts Block,,pt,new,
,Magic Content Box,,pt,new,
,WP Post Author,,pt,new,
,Free Live Chat using 3CX,,pt,new,
,"Howdy, %1$s! We've noticed that you've been using %2$s for some time now, we hope you are loving it! We would appreciate it if you can %3$sgive us a 5 star rating on WordPress.org%4$s! We'll continue to develop exciting new features for free in the future by sharing the love!",,pt,new,
,Sure thing,,pt,new,
,Remind me later,,pt,new,
,I've already done.,,pt,new,
,Got any support queries?,,pt,new,
,Previous,,pt,new,
,Next,,pt,new,
,ago,,pt,new,
,"Edit <span class=""screen-reader-text"">%s</span>",,pt,new,
,Action failed. Please refresh the page and retry.,,pt,new,
,Cheatin&#8217; huh?,,pt,new,
,%1$s 🎁 Hope you're loving our free %2$s theme! Dive into the festive spirit with an exclusive gift: %4$s premium features! Use code %3$s at checkout. Wishing you a season filled with joyous holidays and even happier savings! 🎄✨,,pt,new,
,Claim Your Discount,,pt,new,
,Power Bundle,,pt,new,
,All Themes Plan,,pt,new,
,Maybe Later,,pt,new,
,Have Queries?,,pt,new,
,Displays author info.,,pt,new,
,AFTM Author Info,,pt,new,
,About Store,,pt,new,
,Profile image,,pt,new,
,Name,,pt,new,
,Descriptions,,pt,new,
,Facebook,,pt,new,unchanged_like
,Youtube,,pt,new,unchanged_like
,Twitter,,pt,new,unchanged_like
,Displays posts from 2 selected categories in double column.,,pt,new,
,AFTM Double Categories Posts,,pt,new,
,Big thumb in first and other in list,,pt,new,
,All in list,,pt,new,
,Title 1,,pt,new,
,Select category 1,,pt,new,
,Title 2,,pt,new,
,Select category 2,,pt,new,
,Displays posts from selected category in a grid.,,pt,new,
,AFTM Posts Grid,,pt,new,
,Posts Grid,,pt,new,
,Select category,,pt,new,
,Displays posts from selected category in a list.,,pt,new,
,AFTM Posts List,,pt,new,
,Posts List,,pt,new,
,Displays posts from selected category in single column.,,pt,new,
,AFTM Single Column ,,pt,new,
,Yes,,pt,new,
,No,,pt,new,
,Show excerpt,,pt,new,
,Displays posts slider from selected category.,,pt,new,
,AFTM Posts Slider,,pt,new,
,Displays tabbed posts lists from selected settings.,,pt,new,
,AFTM Tabbed Posts,,pt,new,
,AFTM Popular,,pt,new,
,AFTM Latest,,pt,new,
,Trending,,pt,new,
,Recent,,pt,new,
,Popular,,pt,new,unchanged_like
,Categorised,,pt,new,
,Latest Posts,,pt,new,
,Latest,,pt,new,
,Popular Posts,,pt,new,
,Categorised Posts,,pt,new,
,Enable Categorised Tab,,pt,new,
,Settings for all tabs,,pt,new,
,Show categories,,pt,new,
,Displays social contacts lists from selected settings.,,pt,new,
,AFTM Social Contacts,,pt,new,
,AFTM Social,,pt,new,unchanged_like
,Social menu is not set. You need to create menu and assign it to Social Menu on Menu Settings.,,pt,new,
,Upload,,pt,new,
,Select Image,,pt,new,
,Choose Image,,pt,new,
Remove,X,,pt,new,unchanged_like
,Select Category,,pt,new,
,Main Sidebar,,pt,new,
,Add widgets for Main Sidebar.,,pt,new,
,Off Canvas Section,,pt,new,
,Add widgets for Off Canvas Section,,pt,new,
,Front-page Content Section,,pt,new,
,Add widgets to front-page contents section.,,pt,new,
,Front-page Sidebar Section,,pt,new,
,Add widgets to front-page sidebar section.,,pt,new,
,Footer First Section,,pt,new,
,Displays items on Footer First Column.,,pt,new,
,Footer Second Section,,pt,new,
,Displays items on Footer Second Column.,,pt,new,
,Footer Third Section,,pt,new,
,Displays items on Footer Third Column.,,pt,new,
,View your shopping cart,,pt,new,
,Browse:,,pt,new,
breadcrumbs aria label,Breadcrumbs,,pt,new,
,Home,,pt,new,
,404 Not Found,,pt,new,
,Archives,,pt,new,
,Search results for: %s,,pt,new,
,Page %s,,pt,new,
,Comment Page %s,,pt,new,
,Minute %s,,pt,new,
,Week %s,,pt,new,
minute and hour archives time format,g:i a,,pt,new,
minute archives time format,i,,pt,new,
hour archives time format,g a,,pt,new,
yearly archives date format,Y,,pt,new,
monthly archives date format,F,,pt,new,unchanged_like
daily archives date format,j,,pt,new,unchanged_like
weekly archives date format,W,,pt,new,
,Install Required Plugins,,pt,new,
,Install Plugins,,pt,new,
,Installing Plugin: %s,,pt,new,
,Updating Plugin: %s,,pt,new,
,Something went wrong with the plugin API.,,pt,new,
,Return to Required Plugins Installer,,pt,new,
,Return to the Dashboard,,pt,new,
,Plugin activated successfully.,,pt,new,
,No action taken. Plugin %1$s was already active.,,pt,new,
,Plugin not activated. A higher version of %s is needed for this theme. Please update the plugin.,,pt,new,
,All plugins installed and activated successfully. %1$s,,pt,new,
,Dismiss this notice,,pt,new,
,"There are one or more required or recommended plugins to install, update or activate.",,pt,new,
,Please contact the administrator of this site for help.,,pt,new,
,This plugin needs to be updated to be compatible with your theme.,,pt,new,
,Update Required,,pt,new,
,The remote plugin package does not contain a folder with the desired slug and renaming did not work.,,pt,new,
,Please contact the plugin provider and ask them to package their plugin according to the WordPress guidelines.,,pt,new,
,"The remote plugin package consists of more than one file, but the files are not packaged in a folder.",,pt,new,
plugin A *and* plugin B,and,,pt,new,
,TGMPA v%s,,pt,new,unchanged_like
,Required,,pt,new,
,Recommended,,pt,new,
,WordPress Repository,,pt,new,
,External Source,,pt,new,
,Pre-Packaged,,pt,new,
,Not Installed,,pt,new,
,Installed But Not Activated,,pt,new,
,Active,,pt,new,
,Required Update not Available,,pt,new,
,Requires Update,,pt,new,
,Update recommended,,pt,new,
Install/Update Status,"%1$s, %2$s",,pt,new,unchanged_like
"as in: ""version nr unknown""",unknown,,pt,new,
,Installed version:,,pt,new,
,Minimum required version:,,pt,new,
,Available version:,,pt,new,
,"No plugins to install, update or activate.",,pt,new,
,Plugin,,pt,new,
,Source,,pt,new,
,Type,,pt,new,
,Version,,pt,new,
,Status,,pt,new,unchanged_like
,Install %2$s,,pt,new,
,Update %2$s,,pt,new,
,Activate %2$s,,pt,new,
,Upgrade message from the plugin author:,,pt,new,
,Install,,pt,new,
,Update,,pt,new,
,No plugins were selected to be installed. No action taken.,,pt,new,
,No plugins were selected to be updated. No action taken.,,pt,new,
,No plugins are available to be installed at this time.,,pt,new,
,No plugins are available to be updated at this time.,,pt,new,
,No plugins were selected to be activated. No action taken.,,pt,new,
,No plugins are available to be activated at this time.,,pt,new,
,Plugin activation failed.,,pt,new,
,Updating Plugin %1$s (%2$d/%3$d),,pt,new,
,An error occurred while installing %1$s: <strong>%2$s</strong>.,,pt,new,
,The installation of %1$s failed.,,pt,new,
,"The installation and activation process is starting. This process may take a while on some hosts, so please be patient.",,pt,new,
,%1$s done.,,pt,new,
,All installations and activations have been completed.,,pt,new,
,Installing and Activating Plugin %1$s (%2$d/%3$d),,pt,new,
,"The installation process is starting. This process may take a while on some hosts, so please be patient.",,pt,new,
,All installations have been completed.,,pt,new,
,Installing Plugin %1$s (%2$d/%3$d),,pt,new,
,Blank Canvas,,pt,new,
,Page Builder Full Width,,pt,new,
,Search Results for: %s,,pt,new,
,Nothing Found,,pt,new,
,"Ready to publish your first post? <a href=""%1$s"">Get started here</a>.",,pt,new,
,"Sorry, but nothing matched your search terms. Please try again with some different keywords.",,pt,new,
,It seems we can&rsquo;t find what you&rsquo;re looking for. Perhaps searching can help.,,pt,new,
,"Continue reading<span class=""screen-reader-text""> ""%s""</span>",,pt,new,
,"<span class=""em-post-navigation"">Previous:</span> %title",,pt,new,
,"<span class=""em-post-navigation"">Next:</span> %title",,pt,new,
,Continue Reading,,pt,new,
,Front-page Template,,pt,new,
,Update Blockspare Pro,,pt,new,
,Update Blockspare,,pt,new,
,Powerful Gutenberg Blocks & Patterns,,pt,new,
,"Easily build and customize your pages with a vast library of Gutenberg blocks and patterns, perfect for blogs, magazines, and business sites. Add post grids, sliders, and carousels without touching a single line of code. Import demo data and effortlessly create multilingual, visually appealing pages with complete flexibility.",,pt,new,
,Hello ,,pt,new,
,Welcome to ,,pt,new,
,Update Elespare Pro,,pt,new,
,Update Elespare,,pt,new,
,Professional Sites with Elementor,,pt,new,
