msgctxt,msgid,msgid_plural,target_lang,status,issues
,Magnitude,,it,new,
,https://afthemes.com/products/magnitude/,,it,new,unchanged_like
,"Magnitude is a clean, elegant WordPress theme, ideal for blogging and magazine online. You can design your website as you like and preview the modifications live using live customizer options and custom widgets. It is compatible with the Gutenberg and RTL along with WooCommerce plugin which helps you to integrate an online business with our newspaper template. It also contains many helpful elements that require an amazing news portal to be built, the theme is ideal for blogging and great for news, newspaper, magazine, publication or review site. The theme is well-optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are number of demos available in this theme so choose the one you like and start to build a website. See our demos: https://demos.afthemes.com/magnitude/, https://demos.afthemes.com/magnitude/newsportal/, https://demos.afthemes.com/magnitude/sport/",,it,new,
,AF themes,,it,new,
,https://www.afthemes.com/,,it,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,it,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,it,new,
,%s,,it,new,unchanged_like
,Starter Sites,,it,new,
,Block Patterns,,it,new,
,Elementor Kits,,it,new,
,Customize,,it,new,
,Settings,,it,new,
,Upgrade,,it,new,
,The Templatespare plugin should be updated to the latest version,,it,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,it,new,
,Blockspare plugin version should be more than %s.,,it,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,it,new,
,Elespare plugin version should be more than %s.,,it,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,it,new,
,Are you sure you want to install this plugin?,,it,new,
,Install Now,,it,new,
,Activate,,it,new,
,Activated,,it,new,
,Get Starter Sites,,it,new,
,Get Started,,it,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,it,new,
,By,,it,new,
,More Details,,it,new,
,Howdy!,,it,new,
,%s is now installed and ready to use. We've assembled some links to get you started.,,it,new,
,Explore Our Pre-Built Starter Websites!,,it,new,
,"Let your imagination soar! Designed with User-Friendly features, incorporating the Latest Trends and SEO-Friendly Markups. We genuinely appreciate you choosing our theme!",,it,new,
,Demos/product,,it,new,
,Theme dashboard,,it,new,
,Documentation,,it,new,
,Please check our full documentation for detailed information on how to setup and customize the theme.,,it,new,
,Docs,,it,new,
,Videos,,it,new,
,Blog,,it,new,unchanged_like
,Rate This Theme,,it,new,
,"Sorry, you are not allowed to install plugins on this site.",,it,new,
,"Error - unable to verify nonce, please try again.",,it,new,
,"Sorry, you are not allowed to activate plugins on this site.",,it,new,
,One thought on &ldquo;%1$s&rdquo;,,it,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,it,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,it,new,
,Comments are closed.,,it,new,
,%1$s by %2$s.,,it,new,
,Primary Menu,,it,new,
,Social Menu,,it,new,
,Footer Menu,,it,new,
Source Sans Pro font: on or off,on,,it,new,
Lato font: on or off,on,,it,new,
