msgctxt,msgid,msgid_plural,target_lang,status,issues
,ReviewNews,,ar,new,
,https://afthemes.com/products/reviewnews/,,ar,new,unchanged_like
,"ReviewNews is a dynamic, ultra-fast, and highly versatile WordPress theme made for News, Magazine, Blog, Business, and eCommerce websites across the world. With its powerful HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, BRIZY, DIVI, and other popular page builders, you can design PROFESSIONAL LAYOUTS easily using drag and drop—no coding required. Packed with 100+ STARTER SITES, 30+ CUSTOM WIDGETS, ADVANCED BLOCK PATTERNS, FLEXIBLE LAYOUT OPTIONS, AMP SUPPORT, and FULL WOOCOMMERCE INTEGRATION, it’s perfect for everything from online newspapers, corporate or NGO sites, and educational or cultural portals to personal blogs, portfolios, and lifestyle magazines. ReviewNews is fully optimized for SEO, CORE WEB VITALS, SPEED, and RESPONSIVE DESIGN, ensuring FAST LOADING and excellent performance on all devices. Built with WCAG ACCESSIBILITY, GDPR COMPLIANCE, and LIGHTWEIGHT, CLEAN CODE, it offers long-term stability and high GOOGLE PAGESPEED SCORES. MULTILINGUAL and RTL READY, with demo content in English, Spanish, German, French, Japanese, Chinese, and Arabic, ReviewNews is a truly GLOBAL, FUTURE-PROOF THEME designed for creators, publishers, and businesses who value STYLE, SCALABILITY, and PERFORMANCE across every market. Explore all features at https://afthemes.com/products/reviewnews",,ar,new,
,AF themes,,ar,new,
,https://www.afthemes.com/,,ar,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,ar,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ar,new,
,Dashboard,,ar,new,
,Customize,,ar,new,
,Header Builder,,ar,new,
,Footer Builder,,ar,new,
,Starter Sites,,ar,new,
,Elementor Kits,,ar,new,
,Block Patterns,,ar,new,
,Upgrade to Pro,,ar,new,
,Upgrade Now,,ar,new,
,The Templatespare plugin should be updated to the latest version,,ar,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ar,new,
,Blockspare plugin version should be more than %s.,,ar,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ar,new,
,Elespare plugin version should be more than %s.,,ar,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ar,new,
,Are you sure you want to install this plugin?,,ar,new,
,Install Now,,ar,new,
,Activate,,ar,new,
,Activated,,ar,new,
,Get Starter Sites,,ar,new,
,Get Started,,ar,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ar,new,
,By,,ar,new,
,More Details,,ar,new,
,"👋 Welcome, and Thank You!",,ar,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ar,new,
,🚀 Start With One Click,,ar,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ar,new,
,View Demos,,ar,new,
,Theme dashboard,,ar,new,
,🤝 We're Here for You,,ar,new,
,Whether you're just starting or customizing your site.,,ar,new,
,Documentation,,ar,new,
,Video Tutorials,,ar,new,
,Support,,ar,new,
,⭐ Rate This Theme,,ar,new,
,"Sorry, you are not allowed to install plugins on this site.",,ar,new,
,"Error - unable to verify nonce, please try again.",,ar,new,
,"Sorry, you are not allowed to activate plugins on this site.",,ar,new,
,One thought on &ldquo;%1$s&rdquo;,,ar,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,new,
,Comments are closed.,,ar,new,
,%1$s by %2$s.,,ar,new,
,Primary Menu,,ar,new,
,Social Menu,,ar,new,
,Footer Menu,,ar,new,
,Skip to content,,ar,new,
,Open search form,,ar,new,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,ar,new,
,Hide builder panel,,ar,new,
,Hide Builder,,ar,new,
,Device view controls,,ar,new,
,Choose an Element,,ar,new,
,Close choose element modal,,ar,new,
,Footer Layout,,ar,new,
,Create dynamic header effortlessly with drag-and-drop builder.,,ar,new,
,Header,,ar,new,
,Create dynamic footer effortlessly with drag-and-drop builder.,,ar,new,
,Footer,,ar,new,
,Enable %s Builder,,ar,new,
,Add Element,,ar,new,
,Remove Element,,ar,new,
,Configure Element,,ar,new,
