msgctxt,msgid,msgid_plural,target_lang,status,issues
,ReviewNews,,ja,new,
,https://afthemes.com/products/reviewnews/,,ja,new,unchanged_like
,"ReviewNews is a dynamic, ultra-fast, and highly versatile WordPress theme made for News, Magazine, Blog, Business, and eCommerce websites across the world. With its powerful HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, BRIZY, DIVI, and other popular page builders, you can design PROFESSIONAL LAYOUTS easily using drag and drop—no coding required. Packed with 100+ STARTER SITES, 30+ CUSTOM WIDGETS, ADVANCED BLOCK PATTERNS, FLEXIBLE LAYOUT OPTIONS, AMP SUPPORT, and FULL WOOCOMMERCE INTEGRATION, it’s perfect for everything from online newspapers, corporate or NGO sites, and educational or cultural portals to personal blogs, portfolios, and lifestyle magazines. ReviewNews is fully optimized for SEO, CORE WEB VITALS, SPEED, and RESPONSIVE DESIGN, ensuring FAST LOADING and excellent performance on all devices. Built with WCAG ACCESSIBILITY, GDPR COMPLIANCE, and LIGHTWEIGHT, CLEAN CODE, it offers long-term stability and high GOOGLE PAGESPEED SCORES. MULTILINGUAL and RTL READY, with demo content in English, Spanish, German, French, Japanese, Chinese, and Arabic, ReviewNews is a truly GLOBAL, FUTURE-PROOF THEME designed for creators, publishers, and businesses who value STYLE, SCALABILITY, and PERFORMANCE across every market. Explore all features at https://afthemes.com/products/reviewnews",,ja,new,
,AF themes,,ja,new,
,https://www.afthemes.com/,,ja,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,ja,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ja,new,
,Dashboard,,ja,new,
,Customize,,ja,new,
,Header Builder,,ja,new,
,Footer Builder,,ja,new,
,Starter Sites,,ja,new,
,Elementor Kits,,ja,new,
,Block Patterns,,ja,new,
,Upgrade to Pro,,ja,new,
,Upgrade Now,,ja,new,
,The Templatespare plugin should be updated to the latest version,,ja,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ja,new,
,Blockspare plugin version should be more than %s.,,ja,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ja,new,
,Elespare plugin version should be more than %s.,,ja,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ja,new,
,Are you sure you want to install this plugin?,,ja,new,
,Install Now,,ja,new,
,Activate,,ja,new,
,Activated,,ja,new,
,Get Starter Sites,,ja,new,
,Get Started,,ja,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ja,new,
,By,,ja,new,
,More Details,,ja,new,
,"👋 Welcome, and Thank You!",,ja,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ja,new,
,🚀 Start With One Click,,ja,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ja,new,
,View Demos,,ja,new,
,Theme dashboard,,ja,new,
,🤝 We're Here for You,,ja,new,
,Whether you're just starting or customizing your site.,,ja,new,
,Documentation,,ja,new,
,Video Tutorials,,ja,new,
,Support,,ja,new,
,⭐ Rate This Theme,,ja,new,
,"Sorry, you are not allowed to install plugins on this site.",,ja,new,
,"Error - unable to verify nonce, please try again.",,ja,new,
,"Sorry, you are not allowed to activate plugins on this site.",,ja,new,
