msgctxt,msgid,msgid_plural,target_lang,status,issues
,ReviewNews,,ru,new,
,https://afthemes.com/products/reviewnews/,,ru,new,unchanged_like
,"ReviewNews is a dynamic, ultra-fast, and highly versatile WordPress theme made for News, Magazine, Blog, Business, and eCommerce websites across the world. With its powerful HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, BRIZY, DIVI, and other popular page builders, you can design PROFESSIONAL LAYOUTS easily using drag and drop—no coding required. Packed with 100+ STARTER SITES, 30+ CUSTOM WIDGETS, ADVANCED BLOCK PATTERNS, FLEXIBLE LAYOUT OPTIONS, AMP SUPPORT, and FULL WOOCOMMERCE INTEGRATION, it’s perfect for everything from online newspapers, corporate or NGO sites, and educational or cultural portals to personal blogs, portfolios, and lifestyle magazines. ReviewNews is fully optimized for SEO, CORE WEB VITALS, SPEED, and RESPONSIVE DESIGN, ensuring FAST LOADING and excellent performance on all devices. Built with WCAG ACCESSIBILITY, GDPR COMPLIANCE, and LIGHTWEIGHT, CLEAN CODE, it offers long-term stability and high GOOGLE PAGESPEED SCORES. MULTILINGUAL and RTL READY, with demo content in English, Spanish, German, French, Japanese, Chinese, and Arabic, ReviewNews is a truly GLOBAL, FUTURE-PROOF THEME designed for creators, publishers, and businesses who value STYLE, SCALABILITY, and PERFORMANCE across every market. Explore all features at https://afthemes.com/products/reviewnews",,ru,new,
,AF themes,,ru,new,
,https://www.afthemes.com/,,ru,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,ru,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ru,new,
,Dashboard,,ru,new,
,Customize,,ru,new,
,Header Builder,,ru,new,
,Footer Builder,,ru,new,
,Starter Sites,,ru,new,
,Elementor Kits,,ru,new,
,Block Patterns,,ru,new,
,Upgrade to Pro,,ru,new,
,Upgrade Now,,ru,new,
,The Templatespare plugin should be updated to the latest version,,ru,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ru,new,
,Blockspare plugin version should be more than %s.,,ru,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ru,new,
,Elespare plugin version should be more than %s.,,ru,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ru,new,
,Are you sure you want to install this plugin?,,ru,new,
,Install Now,,ru,new,
,Activate,,ru,new,
,Activated,,ru,new,
,Get Starter Sites,,ru,new,
,Get Started,,ru,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ru,new,
,By,,ru,new,
,More Details,,ru,new,
,"👋 Welcome, and Thank You!",,ru,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ru,new,
,🚀 Start With One Click,,ru,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ru,new,
,View Demos,,ru,new,
,Theme dashboard,,ru,new,
,🤝 We're Here for You,,ru,new,
,Whether you're just starting or customizing your site.,,ru,new,
,Documentation,,ru,new,
,Video Tutorials,,ru,new,
,Support,,ru,new,
,⭐ Rate This Theme,,ru,new,
,"Sorry, you are not allowed to install plugins on this site.",,ru,new,
,"Error - unable to verify nonce, please try again.",,ru,new,
,"Sorry, you are not allowed to activate plugins on this site.",,ru,new,
,One thought on &ldquo;%1$s&rdquo;,,ru,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ru,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ru,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ru,new,
,Comments are closed.,,ru,new,
,%1$s by %2$s.,,ru,new,
,Primary Menu,,ru,new,
,Social Menu,,ru,new,
,Footer Menu,,ru,new,
,Skip to content,,ru,new,
,Open search form,,ru,new,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,ru,new,
,Hide builder panel,,ru,new,
,Hide Builder,,ru,new,
,Device view controls,,ru,new,
,Choose an Element,,ru,new,
,Close choose element modal,,ru,new,
,Footer Layout,,ru,new,
,Create dynamic header effortlessly with drag-and-drop builder.,,ru,new,
,Header,,ru,new,
,Create dynamic footer effortlessly with drag-and-drop builder.,,ru,new,
,Footer,,ru,new,
,Enable %s Builder,,ru,new,
,Add Element,,ru,new,
,Remove Element,,ru,new,
,Configure Element,,ru,new,
,Desktop,,ru,new,
,Element Settings,,ru,new,
,close Off-Canvas Navigation,,ru,new,
,Site & Logo,,ru,new,
,Site Identity,,ru,new,
,You can change Site Identity from %s.,,ru,new,
,Promotion,,ru,new,
,Off Canvas,,ru,new,
,Off Canvas Widget Area,,ru,new,
,This widget area is used in the mobile off-canvas panel. %s,,ru,new,
,Manage widgets,,ru,new,
,Primary menu,,ru,new,
,Select Menu,,ru,new,
,You can change Menu from menu panel. %s,,ru,new,
,Manage menu,,ru,new,
,Date,,ru,new,
,Choose date format,,ru,new,
,You can change date from general settings (Settings > General > Date Format). %s,,ru,new,
,Manage Date,,ru,new,
,Top Navigation,,ru,new,
,pro,,ru,new,
,Site Mode,,ru,new,
,Custom HTML,,ru,new,
,HTML Content,,ru,new,
,Search,,ru,new,
,Searc Form,,ru,new,
,Custom Link,,ru,new,
,Custom link,,ru,new,
,live,,ru,new,
,Widget 1,,ru,new,
,Select Widget,,ru,new,
,Widget 2,,ru,new,
,Widget 3,,ru,new,
,Navigation,,ru,new,
,Pro,,ru,new,
,Copyright,,ru,new,
,Add widget to display . %s,,ru,new,
,Beta,,ru,new,
,No menu assigned,,ru,new,
,-- Select --,,ru,new,
,Subscribe,,ru,new,
,Popular Tags,,ru,new,
,Breaking News,,ru,new,
,Posts List Section,,ru,new,
,General,,ru,new,
,Update,,ru,new,
,More,,ru,new,
,Main News,,ru,new,
,Trending Now,,ru,new,
,Editor's Picks,,ru,new,
,Featured Posts,,ru,new,
,Featured Categories,,ru,new,
,Featured Pages,,ru,new,
,Custom Options,,ru,new,
,Post list Section Title %d,,ru,new,
,View More,,ru,new,
,Read More,,ru,new,
,Related Stories,,ru,new,
,You May Have Missed,,ru,new,
,Copyright &copy; {year} All rights reserved.,,ru,new,
,Body Background Color,,ru,new,
,Site Title Size,,ru,new,
,Uppercase Site Title and Tagline,,ru,new,
,Site Title/Tagline Color,,ru,new,
,Header Image Mode,,ru,new,
,Image visibility may vary as per the mode,,ru,new,
,Above Site Title,,ru,new,
,Set as Background,,ru,new,
,Show Full Image (Background),,ru,new,
,Disable Image Tint/Overlay,,ru,new,
,ReviewNews Pro,,ru,new,
,Site Color Mode,,ru,new,
,Light,,ru,new,
,Dark,,ru,new,
,Primary Color Section ,,ru,new,
,Body Background Color (Dark Mode) will be applied for this mode.,,ru,new,
,Body Background Color (Dark Mode),,ru,new,
,Secondary Color Section ,,ru,new,
,Secondary Color,,ru,new,
,Fonts & Typography,,ru,new,
,Font Family Section,,ru,new,
,Fonts Source,,ru,new,
,Theme Fonts,,ru,new,
,System Fonts,,ru,new,
,Font Family,,ru,new,
,Main Banner Options,,ru,new,
,Enable Flash News,,ru,new,
,Section Title ,,ru,new,
,Flash Posts Category,,ru,new,
,Select category to be shown on trending posts ,,ru,new,
,Main Banner,,ru,new,
,Enable Main Banner Section,,ru,new,
,Main Banner Background Image,,ru,new,
,Recommended Size %1$s px X %2$s px,,ru,new,
,Select Main Banner Order,,ru,new,
,Order 1,,ru,new,
,Order 2,,ru,new,
,Order 3,,ru,new,
,Main News Section ,,ru,new,
,Filter Posts By,,ru,new,
,Category,,ru,new,
,Tag,,ru,new,
,Select Category,,ru,new,
,Select category to be shown on main slider section,,ru,new,
,Select Tag,,ru,new,
,Select tag to be shown on main slider section,,ru,new,
,Editor's Picks Section,,ru,new,
,Select,,ru,new,
,Trending Section,,ru,new,
,Comment Count,,ru,new,
,View Count,,ru,new,
,Front-page Options,,ru,new,
,Enable Featured Post Section,,ru,new,
,Select ,,ru,new,
,Select category to be shown on featured section ,,ru,new,
,Posts List,,ru,new,
,Enable Post List Section,,ru,new,
,Section %d,,ru,new,
,Section Title,,ru,new,
,Front-page Layout Settings,,ru,new,
,Front-page Content Display,,ru,new,
,Select frontpage content display,,ru,new,
,Front-page Widgets,,ru,new,
,Page Contents & Front-page Widgets,,ru,new,
,Front-page Content Alignment,,ru,new,
,Select frontpage content alignment,,ru,new,
,Home Content - Home Sidebar,,ru,new,
,Home Sidebar - Home Content,,ru,new,
,Only Home Content,,ru,new,
,Header Options,,ru,new,
,Header Settings,,ru,new,
,Site Mode Switch,,ru,new,
,Enable,,ru,new,
,Disable,,ru,new,
,Disable Sticky Header,,ru,new,
,Sticky header works only with builder at bottom.,,ru,new,
,Top Header Section,,ru,new,
,Show Top Header,,ru,new,
,Header Advertisement,,ru,new,
,Header Section Advertisement,,ru,new,
,URL Link,,ru,new,
,Theme Options,,ru,new,
,Breadcrumb Options,,ru,new,
,Show breadcrumbs,,ru,new,
,Select Breadcrumbs,,ru,new,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,ru,new,
,Default,,ru,new,
,Yoast SEO,,ru,new,
,Rank Math,,ru,new,
,NavXT,,ru,new,
,Global Settings,,ru,new,
,Enable Preloader,,ru,new,
,Disable Emoji Script,,ru,new,
,GDPR friendly & better performance,,ru,new,
,Global Content Alignment,,ru,new,
,Content - Primary sidebar,,ru,new,
,Primary sidebar - Content,,ru,new,
,Full width content,,ru,new,
,Also Show Content Image in Archive,,ru,new,
,If there is no Post Featured image set,,ru,new,
,Enable ,,ru,new,
,Image Lazy Loading,,ru,new,
,Set for better performance,,ru,new,
,Image Async Decoding,,ru,new,
,Set to enhance rendering speed,,ru,new,
,Scroll to Top Position,,ru,new,
,Right,,ru,new,
,Left,,ru,new,
,Categories Settings,,ru,new,
,Post Categories,,ru,new,
,Show,,ru,new,
,Hide,,ru,new,
,Categories to be displayed,,ru,new,
,Show All,,ru,new,
,Top One Category,,ru,new,
,Number of Categories,,ru,new,
,Author and Date Settings,,ru,new,
,Author Icon,,ru,new,
,Show Gravatar,,ru,new,
,Show Icon,,ru,new,
,None,,ru,new,
,Date Format,,ru,new,
,WordPress Default Date Format,,ru,new,
,Ago Date Format,,ru,new,
,Minutes Read Count,,ru,new,
,Excerpt Settings,,ru,new,
,Global Excerpt Read More,,ru,new,
,Primary Menu Section,,ru,new,
,Show Primary Menu Description,,ru,new,
,Enable Custom Menu Section,,ru,new,
,Title,,ru,new,
,Link,,ru,new,
,Single Post,,ru,new,
,Show Featured Image,,ru,new,
,Featured Image Width,,ru,new,
,Full - Default,,ru,new,
,Original,,ru,new,
,Single Content Mode,,ru,new,
,Spacious,,ru,new,
,Show Author Bio under Content,,ru,new,
,Show Tags under Content,,ru,new,
,Social Share Options,,ru,new,
,Defined Links,,ru,new,
,Theme,,ru,new,
,JetPack,,ru,new,
,Position,,ru,new,
,Before Content,,ru,new,
,After Content,,ru,new,
,Related Posts Settings,,ru,new,
,Enable Related Posts,,ru,new,
,Archive Settings,,ru,new,
,Disable Main Banner on Blog,,ru,new,
,Archive layout,,ru,new,
,Select layout for archive,,ru,new,
,grid,,ru,new,
,Full,,ru,new,
,Image Alignment,,ru,new,
,Select image alignment for archive,,ru,new,
,Content View,,ru,new,
,Select content view for archive,,ru,new,
,Post Excerpt,,ru,new,
,Full Content,,ru,new,
,Search Results,,ru,new,
,Select search results for archive,,ru,new,
,"All (Pages, Posts, etc)",,ru,new,
,Posts,,ru,new,
,Sidebar Settings,,ru,new,
