msgctxt,msgid,msgid_plural,target_lang,status,issues
,BroadNews,,ar,unchanged,
,https://afthemes.com/products/broadnews/,,ar,unchanged,unchanged_like
,"BroadNews is a versatile WordPress theme designed for news, blogs, and magazines. The theme has a number of free starter sites that may be easily integrated to create a superb news center. The theme is fully widgetized, with 7+ unique widgets and 8+ widget areas that allow users to tailor site content. It also has a light and dark color mode for browsing articles and blog posts in a trendy way. It also contains a number of essential customizer options for constructing a visually beautiful news site. You may configure it whatever you want and preview how it looks before making any changes with the live customizer. It supports Gutenberg blocks, RTL, and the WooCommerce plugin, which allows you to combine an online store. The theme is suitable for use on a news, journal, magazine, publication, or review website, as well as for blogging. It's well-designed to help the website rank higher in search engines, and users will receive fantastic support from the team if they have any problems utilizing it.",,ar,unchanged,
,AF themes,,ar,unchanged,
,https://www.afthemes.com/,,ar,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,ar,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ar,unchanged,
,Dashboard,,ar,unchanged,
,Customize,,ar,unchanged,
,Starter Sites,,ar,unchanged,
,Elementor Kits,,ar,unchanged,
,Block Patterns,,ar,unchanged,
,Upgrade to Pro,,ar,unchanged,
,Upgrade Now,,ar,unchanged,
,The Templatespare plugin should be updated to the latest version,,ar,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ar,unchanged,
,Blockspare plugin version should be more than %s.,,ar,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ar,unchanged,
,Elespare plugin version should be more than %s.,,ar,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ar,unchanged,
,Are you sure you want to install this plugin?,,ar,unchanged,
,Install Now,,ar,unchanged,
,Activate,,ar,unchanged,
,Activated,,ar,unchanged,
,Get Starter Sites,,ar,unchanged,
,Get Started,,ar,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ar,unchanged,
,By,,ar,unchanged,
,More Details,,ar,unchanged,
,"👋 Welcome, and Thank You!",,ar,unchanged,
,"%s  is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ar,unchanged,
,🚀 Start With One Click,,ar,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ar,unchanged,
,View Demos,,ar,unchanged,
,Theme dashboard,,ar,unchanged,
,🤝 We're Here for You,,ar,unchanged,
,Whether you're just starting or customizing your site,,ar,unchanged,
,Documentation,,ar,unchanged,
,Videos,,ar,unchanged,
,Support,,ar,unchanged,
,⭐ Rate This Theme,,ar,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,ar,unchanged,
,"Error - unable to verify nonce, please try again.",,ar,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,ar,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,ar,unchanged,
