msgctxt,msgid,msgid_plural,target_lang,status,issues
,BroadNews,,da,unchanged,unchanged_like
,https://afthemes.com/products/broadnews/,,da,unchanged,unchanged_like
,"BroadNews is a versatile WordPress theme designed for news, blogs, and magazines. The theme has a number of free starter sites that may be easily integrated to create a superb news center. The theme is fully widgetized, with 7+ unique widgets and 8+ widget areas that allow users to tailor site content. It also has a light and dark color mode for browsing articles and blog posts in a trendy way. It also contains a number of essential customizer options for constructing a visually beautiful news site. You may configure it whatever you want and preview how it looks before making any changes with the live customizer. It supports Gutenberg blocks, RTL, and the WooCommerce plugin, which allows you to combine an online store. The theme is suitable for use on a news, journal, magazine, publication, or review website, as well as for blogging. It's well-designed to help the website rank higher in search engines, and users will receive fantastic support from the team if they have any problems utilizing it.",,da,unchanged,
,AF themes,,da,unchanged,
,https://www.afthemes.com/,,da,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,da,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,da,unchanged,
,Dashboard,,da,unchanged,unchanged_like
,Customize,,da,unchanged,
,Starter Sites,,da,unchanged,
,Elementor Kits,,da,unchanged,
,Block Patterns,,da,unchanged,
,Upgrade to Pro,,da,unchanged,
,Upgrade Now,,da,unchanged,
,The Templatespare plugin should be updated to the latest version,,da,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,da,unchanged,
,Blockspare plugin version should be more than %s.,,da,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,da,unchanged,
,Elespare plugin version should be more than %s.,,da,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,da,unchanged,
,Are you sure you want to install this plugin?,,da,unchanged,
,Install Now,,da,unchanged,
,Activate,,da,unchanged,
,Activated,,da,unchanged,
,Get Starter Sites,,da,unchanged,
,Get Started,,da,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,da,unchanged,
,By,,da,unchanged,
,More Details,,da,unchanged,
,"👋 Welcome, and Thank You!",,da,unchanged,
,"%s  is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,da,unchanged,
,🚀 Start With One Click,,da,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,da,unchanged,
,View Demos,,da,unchanged,
,Theme dashboard,,da,unchanged,
,🤝 We're Here for You,,da,unchanged,
,Whether you're just starting or customizing your site,,da,unchanged,
,Documentation,,da,unchanged,
,Videos,,da,unchanged,
,Support,,da,unchanged,
,⭐ Rate This Theme,,da,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,da,unchanged,
,"Error - unable to verify nonce, please try again.",,da,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,da,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,da,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,da,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,da,unchanged,
,Comments are closed.,,da,unchanged,
,%1$s by %2$s.,,da,unchanged,
,Primary Menu,,da,unchanged,
,Social Menu,,da,unchanged,unchanged_like
,Footer Menu,,da,unchanged,
%s font: on or off,on,,da,unchanged,
,Skip to content,,da,unchanged,
,-- Select --,,da,unchanged,
,Subscribe,,da,unchanged,
,Trending,,da,unchanged,unchanged_like
,Exclusive News,,da,unchanged,
,Must Read,,da,unchanged,
,Main News,,da,unchanged,
,Trending Now,,da,unchanged,
,Editor's Picks,,da,unchanged,
,Trending Story,,da,unchanged,
,Featured News,,da,unchanged,
,Read More,,da,unchanged,
,Related News,,da,unchanged,
,You may have missed,,da,unchanged,
,Copyright &copy; All rights reserved.,,da,unchanged,unchanged_like
,Background Color,,da,unchanged,
,Site Title Size,,da,unchanged,
,Uppercase Site Title and Tagline,,da,unchanged,
,Site Title/Tagline Color,,da,unchanged,
,Header Image Mode,,da,unchanged,
,Image visibility may vary as per the mode,,da,unchanged,
,Set as Background,,da,unchanged,
,Show Full Image,,da,unchanged,
,Enable Image Tint/Overlay,,da,unchanged,
,BroadNews Pro,,da,unchanged,unchanged_like
,Site Title/Tagline Color (Dark Mode),,da,unchanged,
,Site Color Mode,,da,unchanged,
,Light,,da,unchanged,
,Dark,,da,unchanged,
,Primary Color Section ,,da,unchanged,
,Background Color (Dark Mode),,da,unchanged,
,Background Color (Dark Mode) will be applied for this mode.,,da,unchanged,
,Primary Color,,da,unchanged,
,Secondary Color Section ,,da,unchanged,
,Secondary Color,,da,unchanged,
,Primary Navigation Section ,,da,unchanged,
,Category Color Section ,,da,unchanged,
,Category Colors,,da,unchanged,
,Category %d Background,,da,unchanged,
,Fonts & Typography,,da,unchanged,
,Font Family Section,,da,unchanged,
,Site Title Font,,da,unchanged,
,Primary Font,,da,unchanged,
,Secondary Font,,da,unchanged,
