msgctxt,msgid,msgid_plural,target_lang,status,issues
,BroadNews,,en,unchanged,unchanged_like
,https://afthemes.com/products/broadnews/,,en,unchanged,unchanged_like
,"BroadNews is a versatile WordPress theme designed for news, blogs, and magazines. The theme has a number of free starter sites that may be easily integrated to create a superb news center. The theme is fully widgetized, with 7+ unique widgets and 8+ widget areas that allow users to tailor site content. It also has a light and dark color mode for browsing articles and blog posts in a trendy way. It also contains a number of essential customizer options for constructing a visually beautiful news site. You may configure it whatever you want and preview how it looks before making any changes with the live customizer. It supports Gutenberg blocks, RTL, and the WooCommerce plugin, which allows you to combine an online store. The theme is suitable for use on a news, journal, magazine, publication, or review website, as well as for blogging. It's well-designed to help the website rank higher in search engines, and users will receive fantastic support from the team if they have any problems utilizing it.",,en,unchanged,unchanged_like
,AF themes,,en,unchanged,unchanged_like
,https://www.afthemes.com/,,en,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,en,unchanged,unchanged_like
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,en,unchanged,unchanged_like
,Dashboard,,en,new,unchanged_like
,Customize,,en,unchanged,unchanged_like
,Starter Sites,,en,unchanged,unchanged_like
,Elementor Kits,,en,unchanged,unchanged_like
,Block Patterns,,en,unchanged,unchanged_like
,Upgrade to Pro,,en,unchanged,unchanged_like
,Upgrade Now,,en,unchanged,unchanged_like
,The Templatespare plugin should be updated to the latest version,,en,unchanged,unchanged_like
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,en,unchanged,unchanged_like
,Blockspare plugin version should be more than %s.,,en,unchanged,unchanged_like
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,en,unchanged,unchanged_like
,Elespare plugin version should be more than %s.,,en,unchanged,unchanged_like
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,en,unchanged,unchanged_like
,Are you sure you want to install this plugin?,,en,unchanged,unchanged_like
,Install Now,,en,unchanged,unchanged_like
,Activate,,en,unchanged,unchanged_like
,Activated,,en,unchanged,unchanged_like
,Get Starter Sites,,en,unchanged,unchanged_like
,Get Started,,en,unchanged,unchanged_like
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,en,unchanged,unchanged_like
,By,,en,unchanged,unchanged_like
,More Details,,en,unchanged,unchanged_like
,"👋 Welcome, and Thank You!",,en,new,unchanged_like
,"%s  is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,en,new,unchanged_like
,🚀 Start With One Click,,en,new,unchanged_like
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,en,new,
,View Demos,,en,new,unchanged_like
,Theme dashboard,,en,unchanged,unchanged_like
,🤝 We're Here for You,,en,new,unchanged_like
,Whether you're just starting or customizing your site,,en,new,unchanged_like
,Documentation,,en,unchanged,unchanged_like
,Videos,,en,unchanged,unchanged_like
,Support,,en,unchanged,unchanged_like
,⭐ Rate This Theme,,en,new,unchanged_like
,"Sorry, you are not allowed to install plugins on this site.",,en,unchanged,unchanged_like
,"Error - unable to verify nonce, please try again.",,en,unchanged,unchanged_like
,"Sorry, you are not allowed to activate plugins on this site.",,en,unchanged,unchanged_like
,One thought on &ldquo;%1$s&rdquo;,,en,unchanged,unchanged_like
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,en,unchanged,unchanged_like
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,en,unchanged,
,Comments are closed.,,en,unchanged,unchanged_like
,%1$s by %2$s.,,en,unchanged,unchanged_like
,Primary Menu,,en,unchanged,unchanged_like
,Social Menu,,en,unchanged,unchanged_like
,Footer Menu,,en,unchanged,unchanged_like
%s font: on or off,on,,en,unchanged,unchanged_like
,Skip to content,,en,unchanged,unchanged_like
,-- Select --,,en,unchanged,unchanged_like
,Subscribe,,en,unchanged,unchanged_like
,Trending,,en,unchanged,unchanged_like
,Exclusive News,,en,unchanged,unchanged_like
,Must Read,,en,unchanged,unchanged_like
,Main News,,en,unchanged,unchanged_like
,Trending Now,,en,unchanged,unchanged_like
,Editor's Picks,,en,unchanged,unchanged_like
,Trending Story,,en,unchanged,unchanged_like
,Featured News,,en,unchanged,unchanged_like
,Read More,,en,unchanged,unchanged_like
,Related News,,en,unchanged,unchanged_like
,You may have missed,,en,unchanged,unchanged_like
,Copyright &copy; All rights reserved.,,en,unchanged,unchanged_like
,Background Color,,en,unchanged,unchanged_like
,Site Title Size,,en,unchanged,unchanged_like
,Uppercase Site Title and Tagline,,en,unchanged,unchanged_like
,Site Title/Tagline Color,,en,unchanged,unchanged_like
,Header Image Mode,,en,unchanged,unchanged_like
,Image visibility may vary as per the mode,,en,unchanged,unchanged_like
,Set as Background,,en,unchanged,unchanged_like
,Show Full Image,,en,unchanged,unchanged_like
,Enable Image Tint/Overlay,,en,unchanged,unchanged_like
,BroadNews Pro,,en,unchanged,unchanged_like
,Site Title/Tagline Color (Dark Mode),,en,unchanged,unchanged_like
,Site Color Mode,,en,unchanged,unchanged_like
,Light,,en,unchanged,unchanged_like
,Dark,,en,unchanged,unchanged_like
,Primary Color Section ,,en,unchanged,unchanged_like
,Background Color (Dark Mode),,en,unchanged,unchanged_like
,Background Color (Dark Mode) will be applied for this mode.,,en,unchanged,unchanged_like
,Primary Color,,en,unchanged,unchanged_like
,Secondary Color Section ,,en,unchanged,unchanged_like
,Secondary Color,,en,unchanged,unchanged_like
,Primary Navigation Section ,,en,unchanged,unchanged_like
,Category Color Section ,,en,unchanged,unchanged_like
,Category Colors,,en,unchanged,unchanged_like
,Category %d Background,,en,unchanged,unchanged_like
,Fonts & Typography,,en,unchanged,unchanged_like
,Font Family Section,,en,unchanged,unchanged_like
,Site Title Font,,en,unchanged,unchanged_like
,Primary Font,,en,unchanged,unchanged_like
,Secondary Font,,en,unchanged,unchanged_like
,Main Banner Options,,en,unchanged,unchanged_like
,Main Banner,,en,unchanged,unchanged_like
,Enable Main Banner Section,,en,unchanged,unchanged_like
,Main Banner Background Image,,en,unchanged,unchanged_like
,Recommended Size %1$s px X %2$s px,,en,unchanged,unchanged_like
,Select Main Banner Order,,en,unchanged,unchanged_like
,Order 1,,en,unchanged,unchanged_like
,Order 2,,en,unchanged,unchanged_like
,Order 3,,en,unchanged,unchanged_like
,Order 4,,en,unchanged,unchanged_like
,Main News Section ,,en,unchanged,unchanged_like
,Filter Posts By,,en,unchanged,unchanged_like
,Category,,en,unchanged,unchanged_like
,Tag,,en,unchanged,unchanged_like
,Select Category,,en,unchanged,unchanged_like
,Select category to be shown on main slider section,,en,unchanged,unchanged_like
,Select Tag,,en,unchanged,unchanged_like
,Select tag to be shown on main slider section,,en,unchanged,unchanged_like
,Enable Autoplay,,en,unchanged,unchanged_like
,Editor's Picks Section,,en,unchanged,unchanged_like
,Section Title ,,en,unchanged,unchanged_like
,Trending Section,,en,unchanged,unchanged_like
,Popular Tags,,en,unchanged,unchanged_like
,Enable Trending Tags,,en,unchanged,unchanged_like
,Order Tags By,,en,unchanged,unchanged_like
,Popularity,,en,unchanged,unchanged_like
,Latest,,en,unchanged,unchanged_like
,Enable Exclusive News,,en,unchanged,unchanged_like
,Flash Posts Category,,en,unchanged,unchanged_like
,Select category to be shown on trending posts ,,en,unchanged,unchanged_like
,Frontpage Options,,en,unchanged,unchanged_like
,Posts Carousel,,en,unchanged,unchanged_like
,Enable Posts Carousel Section,,en,unchanged,unchanged_like
,Select ,,en,unchanged,unchanged_like
,Select category to be shown on featured section ,,en,unchanged,unchanged_like
,Frontpage Layout Settings,,en,unchanged,unchanged_like
,Frontpage Content Alignment,,en,unchanged,unchanged_like
,Select frontpage content alignment,,en,unchanged,unchanged_like
,Home Content - Home Sidebar,,en,unchanged,unchanged_like
,Home Sidebar - Home Content,,en,unchanged,unchanged_like
,Only Home Content,,en,unchanged,unchanged_like
,Header Options,,en,unchanged,unchanged_like
,Header Settings,,en,unchanged,unchanged_like
,Primary Menu Desc (Badge),,en,unchanged,unchanged_like
,Enable,,en,unchanged,unchanged_like
