msgctxt,msgid,msgid_plural,target_lang,status,issues
,BroadNews,,es,unchanged,
,https://afthemes.com/products/broadnews/,,es,unchanged,unchanged_like
,"BroadNews is a versatile WordPress theme designed for news, blogs, and magazines. The theme has a number of free starter sites that may be easily integrated to create a superb news center. The theme is fully widgetized, with 7+ unique widgets and 8+ widget areas that allow users to tailor site content. It also has a light and dark color mode for browsing articles and blog posts in a trendy way. It also contains a number of essential customizer options for constructing a visually beautiful news site. You may configure it whatever you want and preview how it looks before making any changes with the live customizer. It supports Gutenberg blocks, RTL, and the WooCommerce plugin, which allows you to combine an online store. The theme is suitable for use on a news, journal, magazine, publication, or review website, as well as for blogging. It's well-designed to help the website rank higher in search engines, and users will receive fantastic support from the team if they have any problems utilizing it.",,es,unchanged,
,AF themes,,es,unchanged,
,https://www.afthemes.com/,,es,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,es,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,es,unchanged,
,Dashboard,,es,new,
,Customize,,es,unchanged,
,Starter Sites,,es,unchanged,
,Elementor Kits,,es,unchanged,
,Block Patterns,,es,unchanged,
,Upgrade to Pro,,es,unchanged,
,Upgrade Now,,es,unchanged,
,The Templatespare plugin should be updated to the latest version,,es,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,es,unchanged,
,Blockspare plugin version should be more than %s.,,es,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,es,unchanged,
,Elespare plugin version should be more than %s.,,es,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,es,unchanged,
,Are you sure you want to install this plugin?,,es,unchanged,
,Install Now,,es,unchanged,
,Activate,,es,unchanged,
,Activated,,es,unchanged,
,Get Starter Sites,,es,unchanged,
,Get Started,,es,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,es,unchanged,
,By,,es,unchanged,
,More Details,,es,unchanged,
,"👋 Welcome, and Thank You!",,es,new,
,"%s  is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,es,new,
,🚀 Start With One Click,,es,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,es,new,
,View Demos,,es,new,
,Theme dashboard,,es,unchanged,
,🤝 We're Here for You,,es,new,
,Whether you're just starting or customizing your site,,es,new,
,Documentation,,es,unchanged,
,Videos,,es,unchanged,
,Support,,es,unchanged,
,⭐ Rate This Theme,,es,new,
,"Sorry, you are not allowed to install plugins on this site.",,es,unchanged,
,"Error - unable to verify nonce, please try again.",,es,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,es,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,es,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,es,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,es,unchanged,
,Comments are closed.,,es,unchanged,
,%1$s by %2$s.,,es,unchanged,
,Primary Menu,,es,unchanged,
,Social Menu,,es,unchanged,
,Footer Menu,,es,unchanged,
%s font: on or off,on,,es,unchanged,
,Skip to content,,es,unchanged,
,-- Select --,,es,unchanged,
,Subscribe,,es,unchanged,
,Trending,,es,unchanged,
