msgctxt,msgid,msgid_plural,target_lang,status,issues
,BroadNews,,id,unchanged,
,https://afthemes.com/products/broadnews/,,id,unchanged,unchanged_like
,"BroadNews is a versatile WordPress theme designed for news, blogs, and magazines. The theme has a number of free starter sites that may be easily integrated to create a superb news center. The theme is fully widgetized, with 7+ unique widgets and 8+ widget areas that allow users to tailor site content. It also has a light and dark color mode for browsing articles and blog posts in a trendy way. It also contains a number of essential customizer options for constructing a visually beautiful news site. You may configure it whatever you want and preview how it looks before making any changes with the live customizer. It supports Gutenberg blocks, RTL, and the WooCommerce plugin, which allows you to combine an online store. The theme is suitable for use on a news, journal, magazine, publication, or review website, as well as for blogging. It's well-designed to help the website rank higher in search engines, and users will receive fantastic support from the team if they have any problems utilizing it.",,id,unchanged,
,AF themes,,id,unchanged,
,https://www.afthemes.com/,,id,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,id,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,id,unchanged,
,Dashboard,,id,unchanged,
,Customize,,id,unchanged,
,Starter Sites,,id,unchanged,
,Elementor Kits,,id,unchanged,
,Block Patterns,,id,unchanged,
,Upgrade to Pro,,id,unchanged,
,Upgrade Now,,id,unchanged,
,The Templatespare plugin should be updated to the latest version,,id,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,id,unchanged,
,Blockspare plugin version should be more than %s.,,id,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,id,unchanged,
,Elespare plugin version should be more than %s.,,id,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,id,unchanged,
,Are you sure you want to install this plugin?,,id,unchanged,
,Install Now,,id,unchanged,
,Activate,,id,unchanged,
,Activated,,id,unchanged,
,Get Starter Sites,,id,unchanged,
,Get Started,,id,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,id,unchanged,
,By,,id,unchanged,
,More Details,,id,unchanged,
,"👋 Welcome, and Thank You!",,id,unchanged,
,"%s  is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,id,unchanged,
,🚀 Start With One Click,,id,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,id,unchanged,
,View Demos,,id,unchanged,
,Theme dashboard,,id,unchanged,
,🤝 We're Here for You,,id,unchanged,
,Whether you're just starting or customizing your site,,id,unchanged,
,Documentation,,id,unchanged,
,Videos,,id,unchanged,
,Support,,id,unchanged,
,⭐ Rate This Theme,,id,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,id,unchanged,
,"Error - unable to verify nonce, please try again.",,id,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,id,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,id,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,id,unchanged,
,Comments are closed.,,id,unchanged,
,%1$s by %2$s.,,id,unchanged,
,Primary Menu,,id,unchanged,
,Social Menu,,id,unchanged,
,Footer Menu,,id,unchanged,
