msgctxt,msgid,msgid_plural,target_lang,status,issues
,BroadNews,,ja,unchanged,
,https://afthemes.com/products/broadnews/,,ja,unchanged,unchanged_like
,"BroadNews is a versatile WordPress theme designed for news, blogs, and magazines. The theme has a number of free starter sites that may be easily integrated to create a superb news center. The theme is fully widgetized, with 7+ unique widgets and 8+ widget areas that allow users to tailor site content. It also has a light and dark color mode for browsing articles and blog posts in a trendy way. It also contains a number of essential customizer options for constructing a visually beautiful news site. You may configure it whatever you want and preview how it looks before making any changes with the live customizer. It supports Gutenberg blocks, RTL, and the WooCommerce plugin, which allows you to combine an online store. The theme is suitable for use on a news, journal, magazine, publication, or review website, as well as for blogging. It's well-designed to help the website rank higher in search engines, and users will receive fantastic support from the team if they have any problems utilizing it.",,ja,unchanged,
,AF themes,,ja,unchanged,
,https://www.afthemes.com/,,ja,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,ja,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ja,unchanged,
,Dashboard,,ja,unchanged,
,Customize,,ja,unchanged,
,Starter Sites,,ja,unchanged,
,Elementor Kits,,ja,unchanged,
,Block Patterns,,ja,unchanged,
,Upgrade to Pro,,ja,unchanged,
,Upgrade Now,,ja,unchanged,
,The Templatespare plugin should be updated to the latest version,,ja,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ja,unchanged,
,Blockspare plugin version should be more than %s.,,ja,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ja,unchanged,
,Elespare plugin version should be more than %s.,,ja,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ja,unchanged,
,Are you sure you want to install this plugin?,,ja,unchanged,
,Install Now,,ja,unchanged,
,Activate,,ja,unchanged,
,Activated,,ja,unchanged,
,Get Starter Sites,,ja,unchanged,
,Get Started,,ja,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ja,unchanged,
,By,,ja,unchanged,
,More Details,,ja,unchanged,
,"👋 Welcome, and Thank You!",,ja,unchanged,
,"%s  is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ja,unchanged,
,🚀 Start With One Click,,ja,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ja,unchanged,
,View Demos,,ja,unchanged,
