msgctxt,msgid,msgid_plural,target_lang,status,issues
,BroadNews,,ko,unchanged,
,https://afthemes.com/products/broadnews/,,ko,unchanged,unchanged_like
,"BroadNews is a versatile WordPress theme designed for news, blogs, and magazines. The theme has a number of free starter sites that may be easily integrated to create a superb news center. The theme is fully widgetized, with 7+ unique widgets and 8+ widget areas that allow users to tailor site content. It also has a light and dark color mode for browsing articles and blog posts in a trendy way. It also contains a number of essential customizer options for constructing a visually beautiful news site. You may configure it whatever you want and preview how it looks before making any changes with the live customizer. It supports Gutenberg blocks, RTL, and the WooCommerce plugin, which allows you to combine an online store. The theme is suitable for use on a news, journal, magazine, publication, or review website, as well as for blogging. It's well-designed to help the website rank higher in search engines, and users will receive fantastic support from the team if they have any problems utilizing it.",,ko,unchanged,
,AF themes,,ko,unchanged,
,https://www.afthemes.com/,,ko,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,ko,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ko,unchanged,
,Dashboard,,ko,unchanged,
,Customize,,ko,unchanged,
,Starter Sites,,ko,unchanged,
,Elementor Kits,,ko,unchanged,
,Block Patterns,,ko,unchanged,
,Upgrade to Pro,,ko,unchanged,
,Upgrade Now,,ko,unchanged,
,The Templatespare plugin should be updated to the latest version,,ko,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ko,unchanged,
,Blockspare plugin version should be more than %s.,,ko,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ko,unchanged,
,Elespare plugin version should be more than %s.,,ko,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ko,unchanged,
,Are you sure you want to install this plugin?,,ko,unchanged,
,Install Now,,ko,unchanged,
,Activate,,ko,unchanged,
,Activated,,ko,unchanged,
,Get Starter Sites,,ko,unchanged,
,Get Started,,ko,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ko,unchanged,
,By,,ko,unchanged,
,More Details,,ko,unchanged,
,"👋 Welcome, and Thank You!",,ko,unchanged,
,"%s  is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ko,unchanged,
,🚀 Start With One Click,,ko,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ko,unchanged,
,View Demos,,ko,unchanged,
,Theme dashboard,,ko,unchanged,
,🤝 We're Here for You,,ko,unchanged,
,Whether you're just starting or customizing your site,,ko,unchanged,
,Documentation,,ko,unchanged,
,Videos,,ko,unchanged,
,Support,,ko,unchanged,
,⭐ Rate This Theme,,ko,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,ko,unchanged,
,"Error - unable to verify nonce, please try again.",,ko,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,ko,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,ko,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ko,unchanged,
,Comments are closed.,,ko,unchanged,
,%1$s by %2$s.,,ko,unchanged,
,Primary Menu,,ko,unchanged,
,Social Menu,,ko,unchanged,
,Footer Menu,,ko,unchanged,
%s font: on or off,on,,ko,unchanged,
,Skip to content,,ko,unchanged,
,-- Select --,,ko,unchanged,
,Subscribe,,ko,unchanged,
,Trending,,ko,unchanged,
,Exclusive News,,ko,unchanged,
,Must Read,,ko,unchanged,
,Main News,,ko,unchanged,
,Trending Now,,ko,unchanged,
,Editor's Picks,,ko,unchanged,
,Trending Story,,ko,unchanged,
,Featured News,,ko,unchanged,
,Read More,,ko,unchanged,
,Related News,,ko,unchanged,
,You may have missed,,ko,unchanged,
,Copyright &copy; All rights reserved.,,ko,unchanged,unchanged_like
,Background Color,,ko,unchanged,
,Site Title Size,,ko,unchanged,
,Uppercase Site Title and Tagline,,ko,unchanged,
,Site Title/Tagline Color,,ko,unchanged,
,Header Image Mode,,ko,unchanged,
,Image visibility may vary as per the mode,,ko,unchanged,
,Set as Background,,ko,unchanged,
,Show Full Image,,ko,unchanged,
,Enable Image Tint/Overlay,,ko,unchanged,
,BroadNews Pro,,ko,unchanged,
,Site Title/Tagline Color (Dark Mode),,ko,unchanged,
,Site Color Mode,,ko,unchanged,
,Light,,ko,unchanged,
,Dark,,ko,unchanged,
,Primary Color Section ,,ko,unchanged,
,Background Color (Dark Mode),,ko,unchanged,
,Background Color (Dark Mode) will be applied for this mode.,,ko,unchanged,
,Primary Color,,ko,unchanged,
,Secondary Color Section ,,ko,unchanged,
,Secondary Color,,ko,unchanged,
,Primary Navigation Section ,,ko,unchanged,
,Category Color Section ,,ko,unchanged,
,Category Colors,,ko,unchanged,
,Category %d Background,,ko,unchanged,
