msgctxt,msgid,msgid_plural,target_lang,status,issues
,BroadNews,,no,unchanged,unchanged_like
,https://afthemes.com/products/broadnews/,,no,unchanged,unchanged_like
,"BroadNews is a versatile WordPress theme designed for news, blogs, and magazines. The theme has a number of free starter sites that may be easily integrated to create a superb news center. The theme is fully widgetized, with 7+ unique widgets and 8+ widget areas that allow users to tailor site content. It also has a light and dark color mode for browsing articles and blog posts in a trendy way. It also contains a number of essential customizer options for constructing a visually beautiful news site. You may configure it whatever you want and preview how it looks before making any changes with the live customizer. It supports Gutenberg blocks, RTL, and the WooCommerce plugin, which allows you to combine an online store. The theme is suitable for use on a news, journal, magazine, publication, or review website, as well as for blogging. It's well-designed to help the website rank higher in search engines, and users will receive fantastic support from the team if they have any problems utilizing it.",,no,unchanged,
,AF themes,,no,unchanged,
,https://www.afthemes.com/,,no,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,no,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,no,unchanged,
,Dashboard,,no,unchanged,
,Customize,,no,unchanged,
,Starter Sites,,no,unchanged,
,Elementor Kits,,no,unchanged,
,Block Patterns,,no,unchanged,
,Upgrade to Pro,,no,unchanged,
,Upgrade Now,,no,unchanged,
,The Templatespare plugin should be updated to the latest version,,no,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,no,unchanged,
,Blockspare plugin version should be more than %s.,,no,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,no,unchanged,
,Elespare plugin version should be more than %s.,,no,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,no,unchanged,
,Are you sure you want to install this plugin?,,no,unchanged,
,Install Now,,no,unchanged,
,Activate,,no,unchanged,
,Activated,,no,unchanged,
,Get Starter Sites,,no,unchanged,
,Get Started,,no,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,no,unchanged,
,By,,no,unchanged,
,More Details,,no,unchanged,
,"👋 Welcome, and Thank You!",,no,unchanged,
,"%s  is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,no,unchanged,
,🚀 Start With One Click,,no,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,no,unchanged,
,View Demos,,no,unchanged,
,Theme dashboard,,no,unchanged,
,🤝 We're Here for You,,no,unchanged,
,Whether you're just starting or customizing your site,,no,unchanged,
,Documentation,,no,unchanged,
,Videos,,no,unchanged,
,Support,,no,unchanged,
,⭐ Rate This Theme,,no,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,no,unchanged,
,"Error - unable to verify nonce, please try again.",,no,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,no,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,no,unchanged,
