msgctxt,msgid,msgid_plural,target_lang,status,issues
,BroadNews,,sw,unchanged,unchanged_like
,https://afthemes.com/products/broadnews/,,sw,unchanged,unchanged_like
,"BroadNews is a versatile WordPress theme designed for news, blogs, and magazines. The theme has a number of free starter sites that may be easily integrated to create a superb news center. The theme is fully widgetized, with 7+ unique widgets and 8+ widget areas that allow users to tailor site content. It also has a light and dark color mode for browsing articles and blog posts in a trendy way. It also contains a number of essential customizer options for constructing a visually beautiful news site. You may configure it whatever you want and preview how it looks before making any changes with the live customizer. It supports Gutenberg blocks, RTL, and the WooCommerce plugin, which allows you to combine an online store. The theme is suitable for use on a news, journal, magazine, publication, or review website, as well as for blogging. It's well-designed to help the website rank higher in search engines, and users will receive fantastic support from the team if they have any problems utilizing it.",,sw,unchanged,
,AF themes,,sw,unchanged,
,https://www.afthemes.com/,,sw,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,sw,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,sw,unchanged,
,Dashboard,,sw,unchanged,
,Customize,,sw,unchanged,unchanged_like
,Starter Sites,,sw,unchanged,
,Elementor Kits,,sw,unchanged,
,Block Patterns,,sw,unchanged,
,Upgrade to Pro,,sw,unchanged,
,Upgrade Now,,sw,unchanged,
,The Templatespare plugin should be updated to the latest version,,sw,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,sw,unchanged,
,Blockspare plugin version should be more than %s.,,sw,unchanged,placeholders
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,sw,unchanged,
,Elespare plugin version should be more than %s.,,sw,unchanged,placeholders
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,sw,unchanged,
,Are you sure you want to install this plugin?,,sw,unchanged,
,Install Now,,sw,unchanged,
,Activate,,sw,unchanged,
,Activated,,sw,unchanged,
,Get Starter Sites,,sw,unchanged,
,Get Started,,sw,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,sw,unchanged,
,By,,sw,unchanged,
,More Details,,sw,unchanged,
,"👋 Welcome, and Thank You!",,sw,unchanged,
,"%s  is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,sw,unchanged,placeholders
,🚀 Start With One Click,,sw,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,sw,unchanged,
,View Demos,,sw,unchanged,
,Theme dashboard,,sw,unchanged,
,🤝 We're Here for You,,sw,unchanged,
,Whether you're just starting or customizing your site,,sw,unchanged,
,Documentation,,sw,unchanged,
,Videos,,sw,unchanged,
,Support,,sw,unchanged,
,⭐ Rate This Theme,,sw,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,sw,unchanged,
,"Error - unable to verify nonce, please try again.",,sw,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,sw,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,sw,unchanged,placeholders
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,sw,unchanged,placeholders
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,sw,unchanged,placeholders
,Comments are closed.,,sw,unchanged,
,%1$s by %2$s.,,sw,unchanged,placeholders
,Primary Menu,,sw,unchanged,
,Social Menu,,sw,unchanged,
,Footer Menu,,sw,unchanged,
%s font: on or off,on,,sw,unchanged,unchanged_like
,Skip to content,,sw,unchanged,
,-- Select --,,sw,unchanged,
,Subscribe,,sw,unchanged,
,Trending,,sw,unchanged,
,Exclusive News,,sw,unchanged,
,Must Read,,sw,unchanged,
,Main News,,sw,unchanged,
,Trending Now,,sw,unchanged,
,Editor's Picks,,sw,unchanged,
,Trending Story,,sw,unchanged,
,Featured News,,sw,unchanged,
,Read More,,sw,unchanged,
,Related News,,sw,unchanged,
,You may have missed,,sw,unchanged,
,Copyright &copy; All rights reserved.,,sw,unchanged,unchanged_like
,Background Color,,sw,unchanged,
,Site Title Size,,sw,unchanged,
,Uppercase Site Title and Tagline,,sw,unchanged,
,Site Title/Tagline Color,,sw,unchanged,
,Header Image Mode,,sw,unchanged,
,Image visibility may vary as per the mode,,sw,unchanged,
,Set as Background,,sw,unchanged,
,Show Full Image,,sw,unchanged,
,Enable Image Tint/Overlay,,sw,unchanged,
,BroadNews Pro,,sw,unchanged,unchanged_like
,Site Title/Tagline Color (Dark Mode),,sw,unchanged,
,Site Color Mode,,sw,unchanged,
,Light,,sw,unchanged,
,Dark,,sw,unchanged,
,Primary Color Section ,,sw,unchanged,
,Background Color (Dark Mode),,sw,unchanged,
,Background Color (Dark Mode) will be applied for this mode.,,sw,unchanged,
,Primary Color,,sw,unchanged,
,Secondary Color Section ,,sw,unchanged,
,Secondary Color,,sw,unchanged,
,Primary Navigation Section ,,sw,unchanged,
,Category Color Section ,,sw,unchanged,
,Category Colors,,sw,unchanged,
,Category %d Background,,sw,unchanged,placeholders
,Fonts & Typography,,sw,unchanged,
,Font Family Section,,sw,unchanged,
,Site Title Font,,sw,unchanged,
,Primary Font,,sw,unchanged,
,Secondary Font,,sw,unchanged,
,Main Banner Options,,sw,unchanged,
,Main Banner,,sw,unchanged,
,Enable Main Banner Section,,sw,unchanged,
,Main Banner Background Image,,sw,unchanged,
,Recommended Size %1$s px X %2$s px,,sw,unchanged,placeholders
,Select Main Banner Order,,sw,unchanged,
,Order 1,,sw,unchanged,
,Order 2,,sw,unchanged,
,Order 3,,sw,unchanged,
,Order 4,,sw,unchanged,
,Main News Section ,,sw,unchanged,
,Filter Posts By,,sw,unchanged,
,Category,,sw,unchanged,
,Tag,,sw,unchanged,unchanged_like
,Select Category,,sw,unchanged,
,Select category to be shown on main slider section,,sw,unchanged,
,Select Tag,,sw,unchanged,
,Select tag to be shown on main slider section,,sw,unchanged,
,Enable Autoplay,,sw,unchanged,
,Editor's Picks Section,,sw,unchanged,
,Section Title ,,sw,unchanged,
,Trending Section,,sw,unchanged,
,Popular Tags,,sw,unchanged,
,Enable Trending Tags,,sw,unchanged,
,Order Tags By,,sw,unchanged,
,Popularity,,sw,unchanged,
,Latest,,sw,unchanged,
,Enable Exclusive News,,sw,unchanged,
,Flash Posts Category,,sw,unchanged,
,Select category to be shown on trending posts ,,sw,unchanged,
,Frontpage Options,,sw,unchanged,
,Posts Carousel,,sw,unchanged,
,Enable Posts Carousel Section,,sw,unchanged,
,Select ,,sw,unchanged,
,Select category to be shown on featured section ,,sw,unchanged,
,Frontpage Layout Settings,,sw,unchanged,
,Frontpage Content Alignment,,sw,unchanged,
