msgctxt,msgid,msgid_plural,target_lang,status,issues
,BroadNews,,th,unchanged,
,https://afthemes.com/products/broadnews/,,th,unchanged,unchanged_like
,"BroadNews is a versatile WordPress theme designed for news, blogs, and magazines. The theme has a number of free starter sites that may be easily integrated to create a superb news center. The theme is fully widgetized, with 7+ unique widgets and 8+ widget areas that allow users to tailor site content. It also has a light and dark color mode for browsing articles and blog posts in a trendy way. It also contains a number of essential customizer options for constructing a visually beautiful news site. You may configure it whatever you want and preview how it looks before making any changes with the live customizer. It supports Gutenberg blocks, RTL, and the WooCommerce plugin, which allows you to combine an online store. The theme is suitable for use on a news, journal, magazine, publication, or review website, as well as for blogging. It's well-designed to help the website rank higher in search engines, and users will receive fantastic support from the team if they have any problems utilizing it.",,th,unchanged,
,AF themes,,th,unchanged,
,https://www.afthemes.com/,,th,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,th,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,th,unchanged,
,Dashboard,,th,unchanged,
,Customize,,th,unchanged,
,Starter Sites,,th,unchanged,
,Elementor Kits,,th,unchanged,
,Block Patterns,,th,unchanged,
,Upgrade to Pro,,th,unchanged,
,Upgrade Now,,th,unchanged,
,The Templatespare plugin should be updated to the latest version,,th,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,th,unchanged,
,Blockspare plugin version should be more than %s.,,th,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,th,unchanged,
,Elespare plugin version should be more than %s.,,th,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,th,unchanged,
,Are you sure you want to install this plugin?,,th,unchanged,
,Install Now,,th,unchanged,
,Activate,,th,unchanged,
,Activated,,th,unchanged,
,Get Starter Sites,,th,unchanged,
,Get Started,,th,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,th,unchanged,
,By,,th,unchanged,
,More Details,,th,unchanged,
,"👋 Welcome, and Thank You!",,th,unchanged,
,"%s  is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,th,unchanged,
,🚀 Start With One Click,,th,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,th,unchanged,
,View Demos,,th,unchanged,
,Theme dashboard,,th,unchanged,
,🤝 We're Here for You,,th,unchanged,
,Whether you're just starting or customizing your site,,th,unchanged,
,Documentation,,th,unchanged,
,Videos,,th,unchanged,
,Support,,th,unchanged,
,⭐ Rate This Theme,,th,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,th,unchanged,
,"Error - unable to verify nonce, please try again.",,th,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,th,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,th,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,th,unchanged,
,Comments are closed.,,th,unchanged,
,%1$s by %2$s.,,th,unchanged,
,Primary Menu,,th,unchanged,
,Social Menu,,th,unchanged,
,Footer Menu,,th,unchanged,
%s font: on or off,on,,th,unchanged,
,Skip to content,,th,unchanged,
,-- Select --,,th,unchanged,
,Subscribe,,th,unchanged,
,Trending,,th,unchanged,
,Exclusive News,,th,unchanged,
,Must Read,,th,unchanged,
,Main News,,th,unchanged,
,Trending Now,,th,unchanged,
,Editor's Picks,,th,unchanged,
,Trending Story,,th,unchanged,
,Featured News,,th,unchanged,
,Read More,,th,unchanged,
,Related News,,th,unchanged,
,You may have missed,,th,unchanged,
,Copyright &copy; All rights reserved.,,th,unchanged,unchanged_like
,Background Color,,th,unchanged,
,Site Title Size,,th,unchanged,
,Uppercase Site Title and Tagline,,th,unchanged,
,Site Title/Tagline Color,,th,unchanged,
,Header Image Mode,,th,unchanged,
,Image visibility may vary as per the mode,,th,unchanged,
,Set as Background,,th,unchanged,
,Show Full Image,,th,unchanged,
,Enable Image Tint/Overlay,,th,unchanged,
,BroadNews Pro,,th,unchanged,
,Site Title/Tagline Color (Dark Mode),,th,unchanged,
,Site Color Mode,,th,unchanged,
,Light,,th,unchanged,
,Dark,,th,unchanged,
,Primary Color Section ,,th,unchanged,
,Background Color (Dark Mode),,th,unchanged,
,Background Color (Dark Mode) will be applied for this mode.,,th,unchanged,
,Primary Color,,th,unchanged,
,Secondary Color Section ,,th,unchanged,
,Secondary Color,,th,unchanged,
,Primary Navigation Section ,,th,unchanged,
,Category Color Section ,,th,unchanged,
,Category Colors,,th,unchanged,
,Category %d Background,,th,unchanged,
,Fonts & Typography,,th,unchanged,
,Font Family Section,,th,unchanged,
,Site Title Font,,th,unchanged,
,Primary Font,,th,unchanged,
,Secondary Font,,th,unchanged,
,Main Banner Options,,th,unchanged,
,Main Banner,,th,unchanged,
,Enable Main Banner Section,,th,unchanged,
,Main Banner Background Image,,th,unchanged,
,Recommended Size %1$s px X %2$s px,,th,unchanged,
,Select Main Banner Order,,th,unchanged,
,Order 1,,th,unchanged,
,Order 2,,th,unchanged,
,Order 3,,th,unchanged,
,Order 4,,th,unchanged,
,Main News Section ,,th,unchanged,
,Filter Posts By,,th,unchanged,
,Category,,th,unchanged,
,Tag,,th,unchanged,
,Select Category,,th,unchanged,
,Select category to be shown on main slider section,,th,unchanged,
,Select Tag,,th,unchanged,
,Select tag to be shown on main slider section,,th,unchanged,
,Enable Autoplay,,th,unchanged,
,Editor's Picks Section,,th,unchanged,
,Section Title ,,th,unchanged,
,Trending Section,,th,unchanged,
,Popular Tags,,th,unchanged,
,Enable Trending Tags,,th,unchanged,
,Order Tags By,,th,unchanged,
,Popularity,,th,unchanged,
,Latest,,th,unchanged,
,Enable Exclusive News,,th,unchanged,
,Flash Posts Category,,th,unchanged,
,Select category to be shown on trending posts ,,th,unchanged,
,Frontpage Options,,th,unchanged,
,Posts Carousel,,th,unchanged,
,Enable Posts Carousel Section,,th,unchanged,
,Select ,,th,unchanged,
,Select category to be shown on featured section ,,th,unchanged,
,Frontpage Layout Settings,,th,unchanged,
,Frontpage Content Alignment,,th,unchanged,
,Select frontpage content alignment,,th,unchanged,
,Home Content - Home Sidebar,,th,unchanged,
,Home Sidebar - Home Content,,th,unchanged,
,Only Home Content,,th,unchanged,
,Header Options,,th,unchanged,
,Header Settings,,th,unchanged,
,Primary Menu Desc (Badge),,th,unchanged,
,Enable,,th,unchanged,
,Disable,,th,unchanged,
,Site Mode Switch,,th,unchanged,
,Top Header Section,,th,unchanged,
,Show Top Header,,th,unchanged,
,Show Social Menu,,th,unchanged,
,Show Date,,th,unchanged,
,Show Time,,th,unchanged,
,Time Format,,th,unchanged,
