msgctxt,msgid,msgid_plural,target_lang,status,issues
,BroadNews,,zh-CH,unchanged,unchanged_like
,https://afthemes.com/products/broadnews/,,zh-CH,unchanged,unchanged_like
,"BroadNews is a versatile WordPress theme designed for news, blogs, and magazines. The theme has a number of free starter sites that may be easily integrated to create a superb news center. The theme is fully widgetized, with 7+ unique widgets and 8+ widget areas that allow users to tailor site content. It also has a light and dark color mode for browsing articles and blog posts in a trendy way. It also contains a number of essential customizer options for constructing a visually beautiful news site. You may configure it whatever you want and preview how it looks before making any changes with the live customizer. It supports Gutenberg blocks, RTL, and the WooCommerce plugin, which allows you to combine an online store. The theme is suitable for use on a news, journal, magazine, publication, or review website, as well as for blogging. It's well-designed to help the website rank higher in search engines, and users will receive fantastic support from the team if they have any problems utilizing it.",,zh-CH,unchanged,unchanged_like
,AF themes,,zh-CH,unchanged,unchanged_like
,https://www.afthemes.com/,,zh-CH,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,zh-CH,unchanged,unchanged_like
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,zh-CH,unchanged,unchanged_like
,Dashboard,,zh-CH,unchanged,unchanged_like
,Customize,,zh-CH,unchanged,unchanged_like
,Starter Sites,,zh-CH,unchanged,unchanged_like
,Elementor Kits,,zh-CH,unchanged,unchanged_like
,Block Patterns,,zh-CH,unchanged,unchanged_like
,Upgrade to Pro,,zh-CH,unchanged,unchanged_like
,Upgrade Now,,zh-CH,unchanged,unchanged_like
,The Templatespare plugin should be updated to the latest version,,zh-CH,unchanged,unchanged_like
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,zh-CH,unchanged,unchanged_like
,Blockspare plugin version should be more than %s.,,zh-CH,unchanged,unchanged_like
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,zh-CH,unchanged,unchanged_like
,Elespare plugin version should be more than %s.,,zh-CH,unchanged,unchanged_like
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,zh-CH,unchanged,unchanged_like
,Are you sure you want to install this plugin?,,zh-CH,unchanged,unchanged_like
,Install Now,,zh-CH,unchanged,unchanged_like
,Activate,,zh-CH,unchanged,unchanged_like
,Activated,,zh-CH,unchanged,unchanged_like
,Get Starter Sites,,zh-CH,unchanged,unchanged_like
,Get Started,,zh-CH,unchanged,unchanged_like
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,zh-CH,unchanged,unchanged_like
,By,,zh-CH,unchanged,unchanged_like
,More Details,,zh-CH,unchanged,unchanged_like
,"👋 Welcome, and Thank You!",,zh-CH,unchanged,unchanged_like
,"%s  is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,zh-CH,unchanged,unchanged_like
,🚀 Start With One Click,,zh-CH,unchanged,unchanged_like
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,zh-CH,unchanged,unchanged_like
,View Demos,,zh-CH,unchanged,unchanged_like
,Theme dashboard,,zh-CH,unchanged,unchanged_like
,🤝 We're Here for You,,zh-CH,unchanged,unchanged_like
,Whether you're just starting or customizing your site,,zh-CH,unchanged,unchanged_like
,Documentation,,zh-CH,unchanged,unchanged_like
,Videos,,zh-CH,unchanged,unchanged_like
,Support,,zh-CH,unchanged,unchanged_like
,⭐ Rate This Theme,,zh-CH,unchanged,unchanged_like
,"Sorry, you are not allowed to install plugins on this site.",,zh-CH,unchanged,unchanged_like
,"Error - unable to verify nonce, please try again.",,zh-CH,unchanged,unchanged_like
,"Sorry, you are not allowed to activate plugins on this site.",,zh-CH,unchanged,unchanged_like
,One thought on &ldquo;%1$s&rdquo;,,zh-CH,unchanged,unchanged_like
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,zh-CH,unchanged,unchanged_like
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,zh-CH,unchanged,
,Comments are closed.,,zh-CH,unchanged,unchanged_like
,%1$s by %2$s.,,zh-CH,unchanged,unchanged_like
,Primary Menu,,zh-CH,unchanged,unchanged_like
,Social Menu,,zh-CH,unchanged,unchanged_like
,Footer Menu,,zh-CH,unchanged,unchanged_like
%s font: on or off,on,,zh-CH,unchanged,unchanged_like
,Skip to content,,zh-CH,unchanged,unchanged_like
,-- Select --,,zh-CH,unchanged,unchanged_like
,Subscribe,,zh-CH,unchanged,unchanged_like
