msgctxt,msgid,msgid_plural,target_lang,status,issues
,BroadNews,,id,new,
,https://afthemes.com/products/broadnews/,,id,new,unchanged_like
,"BroadNews is a versatile WordPress theme designed for news, blogs, and magazines. The theme has a number of free starter sites that may be easily integrated to create a superb news center. The theme is fully widgetized, with 7+ unique widgets and 8+ widget areas that allow users to tailor site content. It also has a light and dark color mode for browsing articles and blog posts in a trendy way. It also contains a number of essential customizer options for constructing a visually beautiful news site. You may configure it whatever you want and preview how it looks before making any changes with the live customizer. It supports Gutenberg blocks, RTL, and the WooCommerce plugin, which allows you to combine an online store. The theme is suitable for use on a news, journal, magazine, publication, or review website, as well as for blogging. It's well-designed to help the website rank higher in search engines, and users will receive fantastic support from the team if they have any problems utilizing it.",,id,new,
,AF themes,,id,new,
,https://www.afthemes.com/,,id,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,id,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,id,new,
,%s,,id,new,unchanged_like
,Starter Sites,,id,new,
,Block Patterns,,id,new,
,Elementor Kits,,id,new,
,Customize,,id,new,
,Settings,,id,new,
,Upgrade,,id,new,
,The Templatespare plugin should be updated to the latest version,,id,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,id,new,
,Blockspare plugin version should be more than %s.,,id,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,id,new,
,Elespare plugin version should be more than %s.,,id,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,id,new,
,Are you sure you want to install this plugin?,,id,new,
,Install Now,,id,new,unchanged_like
,Activate,,id,new,
,Activated,,id,new,
,Get Starter Sites,,id,new,
,Get Started,,id,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,id,new,
,By,,id,new,
,More Details,,id,new,
,Howdy!,,id,new,
,%s is now installed and ready to use. We've assembled some links to get you started.,,id,new,
,Explore Our Pre-Built Starter Websites!,,id,new,
,"Let your imagination soar! Designed with User-Friendly features, incorporating the Latest Trends and SEO-Friendly Markups. We genuinely appreciate you choosing our theme!",,id,new,
,Demos/product,,id,new,
,Theme dashboard,,id,new,
,Documentation,,id,new,
,Please check our full documentation for detailed information on how to setup and customize the theme.,,id,new,unchanged_like
,Docs,,id,new,
,Videos,,id,new,
,Blog,,id,new,unchanged_like
,Rate This Theme,,id,new,
,"Sorry, you are not allowed to install plugins on this site.",,id,new,
,"Error - unable to verify nonce, please try again.",,id,new,
,"Sorry, you are not allowed to activate plugins on this site.",,id,new,
,One thought on &ldquo;%1$s&rdquo;,,id,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,id,new,
,Comments are closed.,,id,new,
,%1$s by %2$s.,,id,new,
,Primary Menu,,id,new,
,Social Menu,,id,new,
,Footer Menu,,id,new,
%s font: on or off,on,,id,new,
,Skip to content,,id,new,
,-- Select --,,id,new,
,Subscribe,,id,new,
,Trending,,id,new,
,Exclusive News,,id,new,
,Must Read,,id,new,
,Main News,,id,new,
,Trending Now,,id,new,
,Editor's Picks,,id,new,
,Trending Story,,id,new,
,Featured News,,id,new,
,Read More,,id,new,
,Related News,,id,new,
,You may have missed,,id,new,
,Copyright &copy; All rights reserved.,,id,new,
,Background Color,,id,new,
,Site Title Size,,id,new,
,Uppercase Site Title and Tagline,,id,new,unchanged_like
,Site Title/Tagline Color,,id,new,
,Header Image Mode,,id,new,
,Image visibility may vary as per the mode,,id,new,
,Set as Background,,id,new,
,Show Full Image,,id,new,
,Enable Image Tint/Overlay,,id,new,
,BroadNews Pro,,id,new,
,Upgrade Now,,id,new,
,Site Title/Tagline Color (Dark Mode),,id,new,
,Site Color Mode,,id,new,
,Light,,id,new,
,Dark,,id,new,
,Primary Color Section ,,id,new,
,Background Color (Dark Mode),,id,new,
,Background Color (Dark Mode) will be applied for this mode.,,id,new,
,Primary Color,,id,new,
,Secondary Color Section ,,id,new,
,Secondary Color,,id,new,
,Primary Navigation Section ,,id,new,
,Category Color Section ,,id,new,
,Category Colors,,id,new,
,Category %d Background,,id,new,
,Fonts & Typography,,id,new,
,Font Family Section,,id,new,
,Site Title Font,,id,new,
,Primary Font,,id,new,
,Secondary Font,,id,new,
,Main Banner Options,,id,new,
,Main Banner,,id,new,
,Enable Main Banner Section,,id,new,
,Main Banner Background Image,,id,new,
,Recommended Size %1$s px X %2$s px,,id,new,
,Select Main Banner Order,,id,new,
,Order 1,,id,new,
,Order 2,,id,new,
,Order 3,,id,new,
,Order 4,,id,new,
,Main News Section ,,id,new,
,Filter Posts By,,id,new,
,Category,,id,new,
,Tag,,id,new,
,Select Category,,id,new,
,Select category to be shown on main slider section,,id,new,
,Select Tag,,id,new,
,Select tag to be shown on main slider section,,id,new,
,Enable Autoplay,,id,new,
,Editor's Picks Section,,id,new,
,Section Title ,,id,new,
,Trending Section,,id,new,
,Popular Tags,,id,new,
,Enable Trending Tags,,id,new,
,Order Tags By,,id,new,
,Popularity,,id,new,
,Latest,,id,new,
,Enable Exclusive News,,id,new,
,Flash Posts Category,,id,new,
,Select category to be shown on trending posts ,,id,new,
,Frontpage Options,,id,new,
,Posts Carousel,,id,new,
,Enable Posts Carousel Section,,id,new,
,Select ,,id,new,
,Select category to be shown on featured section ,,id,new,
,Frontpage Layout Settings,,id,new,
,Frontpage Content Alignment,,id,new,
,Select frontpage content alignment,,id,new,
,Home Content - Home Sidebar,,id,new,
,Home Sidebar - Home Content,,id,new,
,Only Home Content,,id,new,
,Header Options,,id,new,
,Header Settings,,id,new,
,Primary Menu Desc (Badge),,id,new,
,Enable,,id,new,
,Disable,,id,new,
,Site Mode Switch,,id,new,
,Top Header Section,,id,new,
,Show Top Header,,id,new,
,Show Social Menu,,id,new,
,Show Date,,id,new,
,Show Time,,id,new,
,Time Format,,id,new,
,12 hours,,id,new,
,24 hours,,id,new,
,From WordPress Settings,,id,new,
,Header Advertisement,,id,new,
,Header Section Advertisement,,id,new,
,URL Link,,id,new,
,Theme Options,,id,new,
,Site Layout Mode,,id,new,
,Enable Gaps Around,,id,new,
,Breadcrumb Options,,id,new,
,Show breadcrumbs,,id,new,
,Select Breadcrumbs,,id,new,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,id,new,
,Default,,id,new,
,Yoast SEO,,id,new,
,Rank Math,,id,new,
,NavXT,,id,new,unchanged_like
,Global Settings,,id,new,
,Enable Preloader,,id,new,
,Global Content Alignment,,id,new,
,Content - Primary sidebar,,id,new,
,Primary sidebar - Content,,id,new,
,Full width content,,id,new,
,Categories Settings,,id,new,
,Post Categories,,id,new,
,Show,,id,new,
,Hide,,id,new,
,Categories in Archives,,id,new,
,Show All,,id,new,
,Show Top Category,,id,new,
,Number of Categories,,id,new,
,Comment Count,,id,new,
,Author and Date Settings,,id,new,
,For Spotlight Posts,,id,new,
,Show Date and Author,,id,new,
,Hide All,,id,new,
,Author Icon/Gravatar,,id,new,
,Show Gravatar,,id,new,
,Show Icon,,id,new,
,None,,id,new,
,Post Date Type,,id,new,
,Published Date,,id,new,
,Modified Date,,id,new,
,Date Format,,id,new,
,WordPress Default Date Format,,id,new,
,Ago Date Format,,id,new,
,Minutes Read Count,,id,new,
,Excerpt Settings,,id,new,
,Global Excerpt Read More,,id,new,
,Custom Menu Section,,id,new,
,Enable Custom Menu Section,,id,new,
,Icon,,id,new,
,Bell,,id,new,
,Play,,id,new,
,User,,id,new,
,FontAwesome Code,,id,new,
,Title,,id,new,
,Link,,id,new,unchanged_like
,Single Post,,id,new,
,Content Options,,id,new,
,Show Featured Image,,id,new,
,Single Content,,id,new,
,Spacious,,id,new,
,Compact,,id,new,
,Social Share,,id,new,
,Defined Links,,id,new,
,Theme,,id,new,
,JetPack,,id,new,
,Facebook,,id,new,unchanged_like
,Twitter,,id,new,unchanged_like
,Email,,id,new,
,Related Posts Settings,,id,new,
,Enable Related Posts,,id,new,
,Archive Settings,,id,new,
,Archive layout,,id,new,
,Select layout for archive,,id,new,
,Grid,,id,new,
,Full,,id,new,
,Make First Post Full,,id,new,
,Sidebar Settings,,id,new,
,Make Sidebar Sticky,,id,new,
,Sidebar Sticky Position,,id,new,
,Top,,id,new,
,Bottom,,id,new,
,You May Have Missed,,id,new,
,Show Above Footer,,id,new,
,Posts Section Title,,id,new,
,Footer,,id,new,
,Footer Background Image,,id,new,
,Copyright Text,,id,new,
,Hide footer Menu Section,,id,new,
,Pages:,,id,new,
,Light/Dark Button,,id,new,
,Layout Options,,id,new,
,Set as global layout,,id,new,
,Please go to Customize>Themes Options for Single Post/Page.,,id,new,
,Sidebar Options,,id,new,
,Content - Primary Sidebar,,id,new,
,Primary Sidebar - Content,,id,new,
,No Sidebar,,id,new,
,Please go to Customize>Frontpage Options for Homepage.,,id,new,
,Category Color 1,,id,new,
,Category Color 2,,id,new,
