msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews,,da,unchanged,unchanged_like
,https://afthemes.com/products/chromenews/,,da,unchanged,unchanged_like
,"ChromeNews is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starter sites that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 9+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and Elementor, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The RTL languages supported theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it. Find demos: https://afthemes.com/products/chromenews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/chromenews/",,da,unchanged,
,AF themes,,da,unchanged,
,https://www.afthemes.com/,,da,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,da,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,da,unchanged,
,Dashboard,,da,unchanged,unchanged_like
,Customize,,da,unchanged,
,Starter Sites,,da,unchanged,
,Elementor Kits,,da,unchanged,
,Block Patterns,,da,unchanged,
,Upgrade to Pro,,da,unchanged,
,Upgrade Now,,da,unchanged,
,The Templatespare plugin should be updated to the latest version,,da,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,da,unchanged,
,Blockspare plugin version should be more than %s.,,da,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,da,unchanged,
,Elespare plugin version should be more than %s.,,da,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,da,unchanged,
,Are you sure you want to install this plugin?,,da,unchanged,
,Install Now,,da,unchanged,
,Activate,,da,unchanged,
,Activated,,da,unchanged,
,Get Starter Sites,,da,unchanged,
,Get Started,,da,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,da,unchanged,
,By,,da,unchanged,
,More Details,,da,unchanged,
,"👋 Welcome, and Thank You!",,da,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,da,unchanged,
,🚀 Start With One Click,,da,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,da,unchanged,
,View Demos,,da,unchanged,
,Theme dashboard,,da,unchanged,
,🤝 We're Here for You,,da,unchanged,
,Whether you're just starting or customizing your site.,,da,unchanged,
,Documentation,,da,unchanged,
,Videos,,da,unchanged,
,Support,,da,unchanged,
,⭐ Rate This Theme,,da,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,da,unchanged,
,"Error - unable to verify nonce, please try again.",,da,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,da,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,da,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,da,unchanged,
