msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews,,de,new,unchanged_like
,https://afthemes.com/products/chromenews/,,de,new,unchanged_like
,"ChromeNews is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starter sites that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 9+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and Elementor, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The RTL languages supported theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it. Find demos: https://afthemes.com/products/chromenews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/chromenews/",,de,new,
,AF themes,,de,new,
,https://www.afthemes.com/,,de,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,de,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,de,new,
,%s,,de,new,unchanged_like
,Starter Sites,,de,new,
,Block Patterns,,de,new,
,Elementor Kits,,de,new,
,Customize,,de,new,
,Settings,,de,new,
,Upgrade,,de,new,unchanged_like
,The Templatespare plugin should be updated to the latest version,,de,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,de,new,
,Blockspare plugin version should be more than %s.,,de,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,de,new,
,Elespare plugin version should be more than %s.,,de,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,de,new,
,Are you sure you want to install this plugin?,,de,new,
,Install Now,,de,new,
,Activate,,de,new,
,Activated,,de,new,
,Get Starter Sites,,de,new,
,Get Started,,de,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,de,new,
,By,,de,new,
,More Details,,de,new,
,Howdy!,,de,new,
,%s is now installed and ready to use. We've assembled some links to get you started.,,de,new,
,Explore Our Pre-Built Starter Websites!,,de,new,
,"Let your imagination soar! Designed with User-Friendly features, incorporating the Latest Trends and SEO-Friendly Markups. We genuinely appreciate you choosing our theme!",,de,new,
,Demos/product,,de,new,
,Theme dashboard,,de,new,
,Documentation,,de,new,
,Please check our full documentation for detailed information on how to setup and customize the theme.,,de,new,
,Docs,,de,new,
,Videos,,de,new,unchanged_like
,Blog,,de,new,unchanged_like
,Rate This Theme,,de,new,
,"Sorry, you are not allowed to install plugins on this site.",,de,new,
,"Error - unable to verify nonce, please try again.",,de,new,
,"Sorry, you are not allowed to activate plugins on this site.",,de,new,
,One thought on &ldquo;%1$s&rdquo;,,de,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,de,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,de,new,
,Comments are closed.,,de,new,
,%1$s by %2$s.,,de,new,
,Primary Menu,,de,new,
,Social Menu,,de,new,
,Footer Menu,,de,new,
%s font: on or off,on,,de,new,
,Skip to content,,de,new,
,-- Select --,,de,new,
,Subscribe,,de,new,
,Trending,,de,new,
,Breaking News,,de,new,
,Main News,,de,new,
,Trending Now,,de,new,
,Popular,,de,new,
,Latest,,de,new,
,Editor's Picks,,de,new,
,Trending Story,,de,new,
,Featured Posts,,de,new,
,Read More,,de,new,
,Related News,,de,new,
,You may have missed,,de,new,
,Copyright &copy; All rights reserved.,,de,new,unchanged_like
,Background Color,,de,new,
,Site Title Size,,de,new,
,Uppercase Site Title and Tagline,,de,new,
,Site Title/Tagline Color,,de,new,
,Header Image Mode,,de,new,
,Image visibility may vary as per the mode,,de,new,
,Set as Background,,de,new,
,Show Full Image,,de,new,
,Enable Image Tint/Overlay,,de,new,
,ChromeNews Pro,,de,new,unchanged_like
,Upgrade Now,,de,new,
,Site Title/Tagline Color (Dark Mode),,de,new,
,Site Color Mode,,de,new,
,Light,,de,new,
,Dark,,de,new,
,Primary Color Section ,,de,new,
,Background Color (Dark Mode),,de,new,
,Background Color (Dark Mode) will be applied for this mode.,,de,new,
,Secondary Color Section ,,de,new,
,Secondary Color,,de,new,
,Texts over Secondary Color,,de,new,
,Primary Navigation Section ,,de,new,
,Fonts & Typography,,de,new,
,Font Family Section,,de,new,
,Site Title Font,,de,new,
,Primary Font,,de,new,
,Secondary Font,,de,new,
,Post Title Font,,de,new,
,"Widgets, Archives, Search, etc.",,de,new,
,Texts Formatting Section,,de,new,
,Title Font Weight,,de,new,
,Default Value: %d,,de,new,
,500,,de,new,unchanged_like
,700,,de,new,unchanged_like
,Font Size Section,,de,new,
,Global Section Title Size,,de,new,
,Main Banner Options,,de,new,
,Main Banner,,de,new,
,Enable Main Banner Section,,de,new,
,Main Banner Background Image,,de,new,
,Recommended Size %1$s px X %2$s px,,de,new,
,Select Main Banner Layout,,de,new,
,Default,,de,new,
,Tiled,,de,new,
,Vertical,,de,new,
,Select Main Banner Order,,de,new,
,Order 1,,de,new,
,Order 2,,de,new,
,Main News Section ,,de,new,
,Filter Posts By,,de,new,
,Category,,de,new,
,Tag,,de,new,
,Select Category,,de,new,
,Select category to be shown on main slider section,,de,new,
,Select Tag,,de,new,
,Select tag to be shown on main slider section,,de,new,
,Number of Posts,,de,new,
,Accepts any postive number.,,de,new,
,Enable Autoplay,,de,new,
,Editor's Picks Section,,de,new,
,Section Title ,,de,new,
,Trending Section,,de,new,
,Popular Tags,,de,new,
,Enable Trending Tags,,de,new,
,Order Tags By,,de,new,
,Popularity,,de,new,
,Exclusive News,,de,new,
,Enable Exclusive News,,de,new,
,Flash Posts Category,,de,new,
,Select category to be shown on trending posts ,,de,new,
,Frontpage Options,,de,new,
,Enable Featured Post Section,,de,new,
,Select ,,de,new,
,Select category to be shown on featured section ,,de,new,
,Frontpage Layout Settings,,de,new,
,Frontpage Content Alignment,,de,new,
,Select frontpage content alignment,,de,new,
,Home Content - Home Sidebar,,de,new,
,Home Sidebar - Home Content,,de,new,
,Only Home Content,,de,new,
,Header Options,,de,new,
,Header Settings,,de,new,
,Site Light/Dark Mode,,de,new,
,Enable,,de,new,
,Disable,,de,new,
,Top Header Section,,de,new,
,Show Top Header,,de,new,
,Show Social Menu,,de,new,
,Show Date,,de,new,
,Show Time,,de,new,unchanged_like
,Time Format,,de,new,
,12 hours,,de,new,
,24 hours,,de,new,
,From WordPress Settings,,de,new,
,Header Advertisement,,de,new,
,Header Section Advertisement,,de,new,
,URL Link,,de,new,
,Theme Options,,de,new,
,Breadcrumb Options,,de,new,
,Show breadcrumbs,,de,new,
,Select Breadcrumbs,,de,new,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,de,new,
,Yoast SEO,,de,new,unchanged_like
,Rank Math,,de,new,
,NavXT,,de,new,unchanged_like
,Global Settings,,de,new,
,Enable Preloader,,de,new,
,Global Content Alignment,,de,new,
,Content - Primary sidebar,,de,new,
,Primary sidebar - Content,,de,new,
,Full width content,,de,new,
,Also Show Content Image in Archive,,de,new,
,If there is no Post Featured image set,,de,new,
,Enable ,,de,new,
,Categories Settings,,de,new,
,Post Categories,,de,new,
,Show,,de,new,
,Hide,,de,new,
,Author and Date Settings,,de,new,
,For Spotlight Posts,,de,new,
,Show Date and Author,,de,new,
,Show Date Only,,de,new,
,Hide All,,de,new,
,For Small Grid,,de,new,
,For List,,de,new,
,Author Icon/Gravatar,,de,new,
,Show Gravatar,,de,new,
,Show Icon,,de,new,
,None,,de,new,
,Post Date Type,,de,new,
,Published Date,,de,new,
,Modified Date,,de,new,
,Date Format,,de,new,
,WordPress Default Date Format,,de,new,
,Ago Date Format,,de,new,
,Minutes Read Count,,de,new,
,Excerpt Settings,,de,new,
,Global Excerpt Read More,,de,new,
,Custom Menu Section,,de,new,
,Enable Custom Menu Section,,de,new,
,Icon,,de,new,
,Bell,,de,new,
,Play,,de,new,
,User,,de,new,
,Title,,de,new,
,Link,,de,new,unchanged_like
,Single Post,,de,new,
,Show Featured Image,,de,new,
,Featured Image Position,,de,new,
,Title below image,,de,new,
,Single Content,,de,new,
,Spacious,,de,new,
,Compact,,de,new,
,Show Tags under Content,,de,new,
,Social Share Option,,de,new,
,Social Share from Jetpack plugin,,de,new,
,After Title,,de,new,
,Before Title,,de,new,
,After Content,,de,new,
,Related Posts Settings,,de,new,
,Enable Related Posts,,de,new,
,Archive Settings,,de,new,
,Disable Main Banner on Blog,,de,new,
,Archive layout,,de,new,
,Select layout for archive,,de,new,
,Grid,,de,new,
,List,,de,new,
,Sidebar Settings,,de,new,
,Make Sidebar Sticky,,de,new,
,Sidebar Sticky Position,,de,new,
,Top,,de,new,
,Bottom,,de,new,
,You May Have Missed,,de,new,
,Show Above Footer,,de,new,
,Posts Section Title,,de,new,
,Footer,,de,new,
,Footer Background Image,,de,new,
,Copyright Text,,de,new,
,Hide footer Menu Section,,de,new,
,Pages:,,de,new,
,Light/Dark Button,,de,new,
,Layout Options,,de,new,
,Content Options,,de,new,
,Set as global layout,,de,new,
,Please go to Customize>Themes Options for Single Post/Page.,,de,new,
,Sidebar Options,,de,new,
,Content - Primary Sidebar,,de,new,
,Primary Sidebar - Content,,de,new,
,No Sidebar,,de,new,
,Please go to Customize>Frontpage Options for Homepage.,,de,new,
,Category Color 1,,de,new,
,Category Color 2,,de,new,
,Category Color 3,,de,new,
,Color Class,,de,new,
,"Select category color class. You can set appropriate categories color on ""Categories"" section of the theme customizer.",,de,new,
,AF Companion,,de,new,
,Templatespare,,de,new,
,Elespare,,de,new,unchanged_like
,Blockspare,,de,new,
,Latest Posts Block,,de,new,
,Free Live Chat using 3CX,,de,new,
,Magic Content Box,,de,new,
,WP Post Author,,de,new,
,Frontend Post Submission,,de,new,
,HybridNews Main Banner,,de,new,
,HybridNews Express Posts,,de,new,
,Express Grid,,de,new,
,About Author,,de,new,
,"We mainly focus on quality code and elegant design with incredible support. Our WordPress themes and plugins empower you to create an elegant, professional, and easy-to-maintain website in no time at all. Even on mobile and tablet screens, your website will look great",,de,new,
,HybridNews Primary Section,,de,new,
,Post Slider,,de,new,
,Post Grid,,de,new,
,Post List,,de,new,
,Connect to Us,,de,new,
,Advertisement,,de,new,
,HybridNews Secondary Section,,de,new,
,Express Tile,,de,new,
,Single Column,,de,new,
,Categories,,de,new,
,HybridNews Ticker News,,de,new,
,HybridNews Featured News,,de,new,
,Featured News,,de,new,
,HybridNews Three Columns Posts,,de,new,
,Three Columns,,de,new,
,HybridNews Post Carousel,,de,new,
,Post Carousel,,de,new,
,HybridNews,,de,new,unchanged_like
,"Howdy, %1$s! We've noticed that you've been using %2$s for some time now, we hope you are loving it! We would appreciate it if you can %3$sgive us a 5 star rating on WordPress.org%4$s! We'll continue to develop exciting new features for free in the future by sharing the love!",,de,new,
,Sure thing,,de,new,
,Remind me later,,de,new,
,I've already done.,,de,new,
,Got any support queries?,,de,new,
,Previous,,de,new,
,Next,,de,new,
,%s min read,,de,new,
,ago,,de,new,
,"Edit <span class=""screen-reader-text"">%s</span>",,de,new,
,Action failed. Please refresh the page and retry.,,de,new,
,Cheatin&#8217; huh?,,de,new,
,%1$s 🎁 Hope you're loving our free %2$s theme! Dive into the festive spirit with an exclusive gift: %4$s premium features! Use code %3$s at checkout. Wishing you a season filled with joyous holidays and even happier savings! 🎄✨,,de,new,
,Claim Your Discount,,de,new,
,Power Bundle,,de,new,
,All Themes Plan,,de,new,
,Maybe Later,,de,new,
,Have Queries?,,de,new,
,Displays author info.,,de,new,
,AFTA Author Info,,de,new,
,Profile image,,de,new,
,Name,,de,new,unchanged_like
,Descriptions,,de,new,
,Facebook,,de,new,unchanged_like
,Instagram,,de,new,unchanged_like
,Twitter,,de,new,unchanged_like
,Displays Express Posts from selected categories.,,de,new,
,AFTA Express Posts List,,de,new,
,Displays grid from selected categories.,,de,new,
,AFTA Post Double Columns,,de,new,
,Select Category 1,,de,new,
,Select Category 2,,de,new,
,AFTA Post Grid,,de,new,
,AFTA Post List,,de,new,
,Displays posts single column from selected categories.,,de,new,
,AFTA Post Single Column,,de,new,
,Displays posts slider from selected category.,,de,new,
,AFTA Posts Slider,,de,new,
,Select category,,de,new,
,Displays social contacts lists from selected settings.,,de,new,
,AFTA Social Contacts,,de,new,
,Connect with Us,,de,new,
,Social menu is not set. You need to create menu and assign it to Social Menu on Menu Settings.,,de,new,
,AFTA Trending News,,de,new,
,Upload,,de,new,
,Select Image,,de,new,
,Choose Image,,de,new,
Remove,X,,de,new,unchanged_like
,Select,,de,new,
,Recent,,de,new,
,Main Sidebar,,de,new,
,Add widgets for main sidebar.,,de,new,
,Front-page Content Section,,de,new,
,Add widgets to front-page contents section.,,de,new,
,Front-page Sidebar Section,,de,new,
,Add widgets to front-page sidebar section.,,de,new,
,Off Canvas,,de,new,
,Add widgets for off-canvas section.,,de,new,
,Footer First Section,,de,new,
,Displays items on footer first column.,,de,new,
,Footer Second Section,,de,new,
,Displays items on footer second column.,,de,new,
,Footer Third Section,,de,new,
,Displays items on footer third column.,,de,new,
,View your shopping cart,,de,new,
,%d item,%d items,de,new,
,%d item,%d items,de,new,
,Browse:,,de,new,
breadcrumbs aria label,Breadcrumbs,,de,new,
,Home,,de,new,
,404 Not Found,,de,new,
,Archives,,de,new,
,Search results for: %s,,de,new,
,Page %s,,de,new,
,Comment Page %s,,de,new,
,Minute %s,,de,new,unchanged_like
,Week %s,,de,new,
minute and hour archives time format,g:i a,,de,new,unchanged_like
minute archives time format,i,,de,new,
hour archives time format,g a,,de,new,unchanged_like
yearly archives date format,Y,,de,new,unchanged_like
monthly archives date format,F,,de,new,unchanged_like
daily archives date format,j,,de,new,unchanged_like
weekly archives date format,W,,de,new,unchanged_like
,Install Required Plugins,,de,new,
,Install Plugins,,de,new,
,Installing Plugin: %s,,de,new,
,Updating Plugin: %s,,de,new,
,Something went wrong with the plugin API.,,de,new,
,This theme requires the following plugin: %1$s.,This theme requires the following plugins: %1$s.,de,new,
,This theme requires the following plugin: %1$s.,This theme requires the following plugins: %1$s.,de,new,
,This theme recommends the following plugin: %1$s.,This theme recommends the following plugins: %1$s.,de,new,
,This theme recommends the following plugin: %1$s.,This theme recommends the following plugins: %1$s.,de,new,
,The following plugin needs to be updated to its latest version to ensure maximum compatibility with this theme: %1$s.,The following plugins need to be updated to their latest version to ensure maximum compatibility with this theme: %1$s.,de,new,
,The following plugin needs to be updated to its latest version to ensure maximum compatibility with this theme: %1$s.,The following plugins need to be updated to their latest version to ensure maximum compatibility with this theme: %1$s.,de,new,
,There is an update available for: %1$s.,There are updates available for the following plugins: %1$s.,de,new,
,There is an update available for: %1$s.,There are updates available for the following plugins: %1$s.,de,new,
,The following required plugin is currently inactive: %1$s.,The following required plugins are currently inactive: %1$s.,de,new,
,The following required plugin is currently inactive: %1$s.,The following required plugins are currently inactive: %1$s.,de,new,
,The following recommended plugin is currently inactive: %1$s.,The following recommended plugins are currently inactive: %1$s.,de,new,
,The following recommended plugin is currently inactive: %1$s.,The following recommended plugins are currently inactive: %1$s.,de,new,
,Begin installing plugin,Begin installing plugins,de,new,
,Begin installing plugin,Begin installing plugins,de,new,
,Begin updating plugin,Begin updating plugins,de,new,
,Begin updating plugin,Begin updating plugins,de,new,
,Begin activating plugin,Begin activating plugins,de,new,
,Begin activating plugin,Begin activating plugins,de,new,
,Return to Required Plugins Installer,,de,new,
,Return to the Dashboard,,de,new,
,Plugin activated successfully.,,de,new,
,The following plugin was activated successfully:,The following plugins were activated successfully:,de,new,
,The following plugin was activated successfully:,The following plugins were activated successfully:,de,new,
,No action taken. Plugin %1$s was already active.,,de,new,
,Plugin not activated. A higher version of %s is needed for this theme. Please update the plugin.,,de,new,
,All plugins installed and activated successfully. %1$s,,de,new,
,Dismiss this notice,,de,new,
,"There are one or more required or recommended plugins to install, update or activate.",,de,new,
,Please contact the administrator of this site for help.,,de,new,
,This plugin needs to be updated to be compatible with your theme.,,de,new,
,Update Required,,de,new,
,The remote plugin package does not contain a folder with the desired slug and renaming did not work.,,de,new,
,Please contact the plugin provider and ask them to package their plugin according to the WordPress guidelines.,,de,new,
,"The remote plugin package consists of more than one file, but the files are not packaged in a folder.",,de,new,
plugin A *and* plugin B,and,,de,new,
,TGMPA v%s,,de,new,unchanged_like
,Required,,de,new,
,Recommended,,de,new,
,WordPress Repository,,de,new,
,External Source,,de,new,
,Pre-Packaged,,de,new,
,Not Installed,,de,new,
,Installed But Not Activated,,de,new,
,Active,,de,new,
,Required Update not Available,,de,new,
,Requires Update,,de,new,
,Update recommended,,de,new,
Install/Update Status,"%1$s, %2$s",,de,new,unchanged_like
plugins,"All <span class=""count"">(%s)</span>","All <span class=""count"">(%s)</span>",de,new,
plugins,"All <span class=""count"">(%s)</span>","All <span class=""count"">(%s)</span>",de,new,
,"To Install <span class=""count"">(%s)</span>","To Install <span class=""count"">(%s)</span>",de,new,
,"To Install <span class=""count"">(%s)</span>","To Install <span class=""count"">(%s)</span>",de,new,
,"Update Available <span class=""count"">(%s)</span>","Update Available <span class=""count"">(%s)</span>",de,new,
,"Update Available <span class=""count"">(%s)</span>","Update Available <span class=""count"">(%s)</span>",de,new,
,"To Activate <span class=""count"">(%s)</span>","To Activate <span class=""count"">(%s)</span>",de,new,
,"To Activate <span class=""count"">(%s)</span>","To Activate <span class=""count"">(%s)</span>",de,new,
"as in: ""version nr unknown""",unknown,,de,new,
,Installed version:,,de,new,
,Minimum required version:,,de,new,
,Available version:,,de,new,
,"No plugins to install, update or activate.",,de,new,
,Plugin,,de,new,unchanged_like
,Source,,de,new,
,Type,,de,new,
,Version,,de,new,unchanged_like
,Status,,de,new,unchanged_like
,Install %2$s,,de,new,
,Update %2$s,,de,new,
,Activate %2$s,,de,new,
,Upgrade message from the plugin author:,,de,new,
,Install,,de,new,
,Update,,de,new,
,No plugins were selected to be installed. No action taken.,,de,new,
,No plugins were selected to be updated. No action taken.,,de,new,
,No plugins are available to be installed at this time.,,de,new,
,No plugins are available to be updated at this time.,,de,new,
,No plugins were selected to be activated. No action taken.,,de,new,
,No plugins are available to be activated at this time.,,de,new,
,Plugin activation failed.,,de,new,
,Updating Plugin %1$s (%2$d/%3$d),,de,new,
,An error occurred while installing %1$s: <strong>%2$s</strong>.,,de,new,
,The installation of %1$s failed.,,de,new,
,"The installation and activation process is starting. This process may take a while on some hosts, so please be patient.",,de,new,
,%1$s done.,,de,new,
,All installations and activations have been completed.,,de,new,
,Installing and Activating Plugin %1$s (%2$d/%3$d),,de,new,
,"The installation process is starting. This process may take a while on some hosts, so please be patient.",,de,new,
,All installations have been completed.,,de,new,
,Installing Plugin %1$s (%2$d/%3$d),,de,new,
,Blank Canvas,,de,new,
,Page Builder Full Width,,de,new,
,Search Results for: %s,,de,new,
,Nothing Found,,de,new,
,"Ready to publish your first post? <a href=""%1$s"">Get started here</a>.",,de,new,
,"Sorry, but nothing matched your search terms. Please try again with some different keywords.",,de,new,
,It seems we can&rsquo;t find what you&rsquo;re looking for. Perhaps searching can help.,,de,new,
,"Continue reading<span class=""screen-reader-text""> ""%s""</span>",,de,new,
,Next post:,,de,new,
,Previous post:,,de,new,
,Continue Reading,,de,new,
,Frontpage Widgets Template,,de,new,
,Update Blockspare Pro,,de,new,
,Update Blockspare,,de,new,
,Powerful Gutenberg Blocks & Patterns,,de,new,
,"Easily build and customize your pages with a vast library of Gutenberg blocks and patterns, perfect for blogs, magazines, and business sites. Add post grids, sliders, and carousels without touching a single line of code. Import demo data and effortlessly create multilingual, visually appealing pages with complete flexibility.",,de,new,
,Hello ,,de,new,
,Welcome to ,,de,new,
,Update Elespare Pro,,de,new,
,Update Elespare,,de,new,
,Professional Sites with Elementor,,de,new,
,"Transform your blog, news, or magazine website with 35+ advanced Elementor widgets and 350+ customizable templates. Easily create headers, footers, post grids, sliders, and carousels with a fast-loading and SEO-optimized structure. Import demo content with a single click and enjoy codeless customization to craft your perfect site, no matter the language.",,de,new,
,"We would like to thank you for installing and activating [theme] theme for your precious site. All of the features provided by the theme are now ready to use; Here, we have gathered all of the essential details and helpful links for you and your better experience with [theme]. Once again, Thanks for using our theme!",,de,new,
,Theme Details,,de,new,
,View Demo,,de,new,
