msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews,,en-gb,unchanged,unchanged_like
,https://afthemes.com/products/chromenews/,,en-gb,unchanged,unchanged_like
,"ChromeNews is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starter sites that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 9+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and Elementor, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The RTL languages supported theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it. Find demos: https://afthemes.com/products/chromenews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/chromenews/",,en-gb,unchanged,unchanged_like
,AF themes,,en-gb,unchanged,unchanged_like
,https://www.afthemes.com/,,en-gb,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,en-gb,unchanged,unchanged_like
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,en-gb,unchanged,unchanged_like
,Dashboard,,en-gb,unchanged,unchanged_like
,Customize,,en-gb,unchanged,unchanged_like
,Starter Sites,,en-gb,unchanged,unchanged_like
,Elementor Kits,,en-gb,unchanged,unchanged_like
,Block Patterns,,en-gb,unchanged,unchanged_like
,Upgrade to Pro,,en-gb,unchanged,unchanged_like
,Upgrade Now,,en-gb,unchanged,unchanged_like
,The Templatespare plugin should be updated to the latest version,,en-gb,unchanged,unchanged_like
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,en-gb,unchanged,unchanged_like
,Blockspare plugin version should be more than %s.,,en-gb,unchanged,unchanged_like
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,en-gb,unchanged,unchanged_like
,Elespare plugin version should be more than %s.,,en-gb,unchanged,unchanged_like
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,en-gb,unchanged,unchanged_like
,Are you sure you want to install this plugin?,,en-gb,unchanged,unchanged_like
,Install Now,,en-gb,unchanged,unchanged_like
,Activate,,en-gb,unchanged,unchanged_like
,Activated,,en-gb,unchanged,unchanged_like
,Get Starter Sites,,en-gb,unchanged,unchanged_like
,Get Started,,en-gb,unchanged,unchanged_like
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,en-gb,unchanged,unchanged_like
,By,,en-gb,unchanged,unchanged_like
,More Details,,en-gb,unchanged,unchanged_like
