msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews,,es,unchanged,
,https://afthemes.com/products/chromenews/,,es,unchanged,unchanged_like
,"ChromeNews is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starter sites that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 9+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and Elementor, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The RTL languages supported theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it. Find demos: https://afthemes.com/products/chromenews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/chromenews/",,es,unchanged,
,AF themes,,es,unchanged,
,https://www.afthemes.com/,,es,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,es,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,es,unchanged,
,Dashboard,,es,unchanged,
,Customize,,es,unchanged,
,Starter Sites,,es,unchanged,
,Elementor Kits,,es,unchanged,
,Block Patterns,,es,unchanged,
,Upgrade to Pro,,es,unchanged,
,Upgrade Now,,es,unchanged,
,The Templatespare plugin should be updated to the latest version,,es,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,es,unchanged,
,Blockspare plugin version should be more than %s.,,es,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,es,unchanged,
,Elespare plugin version should be more than %s.,,es,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,es,unchanged,
,Are you sure you want to install this plugin?,,es,unchanged,
,Install Now,,es,unchanged,
,Activate,,es,unchanged,
,Activated,,es,unchanged,
,Get Starter Sites,,es,unchanged,
,Get Started,,es,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,es,unchanged,
,By,,es,unchanged,
,More Details,,es,unchanged,
,"👋 Welcome, and Thank You!",,es,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,es,unchanged,
,🚀 Start With One Click,,es,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,es,unchanged,
,View Demos,,es,unchanged,
,Theme dashboard,,es,unchanged,
,🤝 We're Here for You,,es,unchanged,
,Whether you're just starting or customizing your site.,,es,unchanged,
,Documentation,,es,unchanged,
,Videos,,es,unchanged,
,Support,,es,unchanged,
,⭐ Rate This Theme,,es,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,es,unchanged,
,"Error - unable to verify nonce, please try again.",,es,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,es,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,es,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,es,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,es,unchanged,
,Comments are closed.,,es,unchanged,
,%1$s by %2$s.,,es,unchanged,
,Primary Menu,,es,unchanged,
,Social Menu,,es,unchanged,
,Footer Menu,,es,unchanged,
%s font: on or off,on,,es,unchanged,
,Skip to content,,es,unchanged,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,es,unchanged,
,Hide builder panel,,es,unchanged,
,Hide Builder,,es,unchanged,
,Device view controls,,es,unchanged,
,Choose an Element,,es,unchanged,
,Close choose element modal,,es,unchanged,
,Header Builder,,es,unchanged,
,Footer Builder,,es,unchanged,
,Footer Layout,,es,unchanged,
,Create dynamic header effortlessly with drag-and-drop builder.,,es,unchanged,
,Header,,es,unchanged,
,Create dynamic footer effortlessly with drag-and-drop builder.,,es,unchanged,
,Footer,,es,unchanged,
,Enable %s Builder,,es,unchanged,
,Add Element,,es,unchanged,
,Remove Element,,es,unchanged,
,Configure Element,,es,unchanged,
,Desktop,,es,unchanged,
,Element Settings,,es,unchanged,
,Site & Logo,,es,unchanged,
,Site Identity,,es,unchanged,
,You can change Site Identity from %s.,,es,unchanged,
,Promotion,,es,unchanged,
,Off Canvas,,es,unchanged,
,Off Canvas Widget Area,,es,unchanged,
,This widget area is used in the mobile off-canvas panel. %s,,es,unchanged,
,Manage widgets,,es,unchanged,
,Primary menu,,es,unchanged,
,Select Menu,,es,unchanged,
,You can change Menu from menu panel. %s,,es,unchanged,
,Manage menu,,es,unchanged,
,Date,,es,unchanged,
,Choose date format,,es,unchanged,
,You can change date from general settings (Settings > General > Date Format). %s,,es,unchanged,
,Manage Date,,es,unchanged,
,Top Navigation,,es,unchanged,
,pro,,es,unchanged,unchanged_like
,Site Mode,,es,unchanged,
,Custom HTML,,es,unchanged,
,HTML Content,,es,unchanged,
,Search,,es,unchanged,
,Searc Form,,es,unchanged,
,Custom Link,,es,unchanged,
,Custom link,,es,unchanged,
,live,,es,unchanged,
,Widget 1,,es,unchanged,
,Select Widget,,es,unchanged,
