msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews,,fr,unchanged,
,https://afthemes.com/products/chromenews/,,fr,unchanged,unchanged_like
,"ChromeNews is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starter sites that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 9+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and Elementor, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The RTL languages supported theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it. Find demos: https://afthemes.com/products/chromenews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/chromenews/",,fr,unchanged,
,AF themes,,fr,unchanged,
,https://www.afthemes.com/,,fr,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,fr,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,fr,unchanged,
,Dashboard,,fr,unchanged,
,Customize,,fr,unchanged,
,Starter Sites,,fr,unchanged,
,Elementor Kits,,fr,unchanged,
,Block Patterns,,fr,unchanged,
,Upgrade to Pro,,fr,unchanged,
,Upgrade Now,,fr,unchanged,
,The Templatespare plugin should be updated to the latest version,,fr,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,fr,unchanged,
,Blockspare plugin version should be more than %s.,,fr,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,fr,unchanged,
,Elespare plugin version should be more than %s.,,fr,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,fr,unchanged,
,Are you sure you want to install this plugin?,,fr,unchanged,
,Install Now,,fr,unchanged,
,Activate,,fr,unchanged,
,Activated,,fr,unchanged,
,Get Starter Sites,,fr,unchanged,
,Get Started,,fr,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,fr,unchanged,
,By,,fr,unchanged,
,More Details,,fr,unchanged,
,"👋 Welcome, and Thank You!",,fr,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,fr,unchanged,
,🚀 Start With One Click,,fr,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,fr,unchanged,
,View Demos,,fr,unchanged,
,Theme dashboard,,fr,unchanged,
,🤝 We're Here for You,,fr,unchanged,
,Whether you're just starting or customizing your site.,,fr,unchanged,
,Documentation,,fr,unchanged,unchanged_like
,Videos,,fr,unchanged,
,Support,,fr,unchanged,
,⭐ Rate This Theme,,fr,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,fr,unchanged,
