msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews,,hi,new,
,https://afthemes.com/products/chromenews/,,hi,new,unchanged_like
,"ChromeNews is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starter sites that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 9+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and Elementor, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The RTL languages supported theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it. Find demos: https://afthemes.com/products/chromenews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/chromenews/",,hi,new,
,AF themes,,hi,new,
,https://www.afthemes.com/,,hi,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,hi,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,hi,new,
,%s,,hi,new,unchanged_like
,Starter Sites,,hi,new,
,Block Patterns,,hi,new,
,Elementor Kits,,hi,new,
,Customize,,hi,new,
,Settings,,hi,new,
,Upgrade,,hi,new,
,The Templatespare plugin should be updated to the latest version,,hi,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,hi,new,
,Blockspare plugin version should be more than %s.,,hi,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,hi,new,
,Elespare plugin version should be more than %s.,,hi,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,hi,new,
,Are you sure you want to install this plugin?,,hi,new,
,Install Now,,hi,new,
,Activate,,hi,new,
,Activated,,hi,new,
,Get Starter Sites,,hi,new,
,Get Started,,hi,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,hi,new,
,By,,hi,new,
,More Details,,hi,new,
,Howdy!,,hi,new,
,%s is now installed and ready to use. We've assembled some links to get you started.,,hi,new,
,Explore Our Pre-Built Starter Websites!,,hi,new,
,"Let your imagination soar! Designed with User-Friendly features, incorporating the Latest Trends and SEO-Friendly Markups. We genuinely appreciate you choosing our theme!",,hi,new,
,Demos/product,,hi,new,
,Theme dashboard,,hi,new,
,Documentation,,hi,new,
,Please check our full documentation for detailed information on how to setup and customize the theme.,,hi,new,
,Docs,,hi,new,
,Videos,,hi,new,
,Blog,,hi,new,
,Rate This Theme,,hi,new,
,"Sorry, you are not allowed to install plugins on this site.",,hi,new,
,"Error - unable to verify nonce, please try again.",,hi,new,
,"Sorry, you are not allowed to activate plugins on this site.",,hi,new,
,One thought on &ldquo;%1$s&rdquo;,,hi,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,hi,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,hi,new,
,Comments are closed.,,hi,new,
,%1$s by %2$s.,,hi,new,
,Primary Menu,,hi,new,
,Social Menu,,hi,new,
,Footer Menu,,hi,new,
%s font: on or off,on,,hi,new,
,Skip to content,,hi,new,
,-- Select --,,hi,new,
,Subscribe,,hi,new,
,Trending,,hi,new,
,Breaking News,,hi,new,
,Main News,,hi,new,
,Trending Now,,hi,new,
,Popular,,hi,new,
,Latest,,hi,new,
,Editor's Picks,,hi,new,
,Trending Story,,hi,new,
,Featured Posts,,hi,new,
,Read More,,hi,new,
,Related News,,hi,new,
,You may have missed,,hi,new,
,Copyright &copy; All rights reserved.,,hi,new,unchanged_like
,Background Color,,hi,new,
,Site Title Size,,hi,new,
,Uppercase Site Title and Tagline,,hi,new,
,Site Title/Tagline Color,,hi,new,
,Header Image Mode,,hi,new,
,Image visibility may vary as per the mode,,hi,new,
,Set as Background,,hi,new,
,Show Full Image,,hi,new,
,Enable Image Tint/Overlay,,hi,new,
,ChromeNews Pro,,hi,new,
,Upgrade Now,,hi,new,
,Site Title/Tagline Color (Dark Mode),,hi,new,
,Site Color Mode,,hi,new,
,Light,,hi,new,
,Dark,,hi,new,
,Primary Color Section ,,hi,new,
,Background Color (Dark Mode),,hi,new,
,Background Color (Dark Mode) will be applied for this mode.,,hi,new,
,Secondary Color Section ,,hi,new,
,Secondary Color,,hi,new,
,Texts over Secondary Color,,hi,new,
,Primary Navigation Section ,,hi,new,
,Fonts & Typography,,hi,new,
,Font Family Section,,hi,new,
,Site Title Font,,hi,new,
,Primary Font,,hi,new,
,Secondary Font,,hi,new,
,Post Title Font,,hi,new,
,"Widgets, Archives, Search, etc.",,hi,new,
,Texts Formatting Section,,hi,new,
,Title Font Weight,,hi,new,
,Default Value: %d,,hi,new,
,500,,hi,new,unchanged_like
,700,,hi,new,unchanged_like
,Font Size Section,,hi,new,
,Global Section Title Size,,hi,new,
,Main Banner Options,,hi,new,
,Main Banner,,hi,new,
,Enable Main Banner Section,,hi,new,
,Main Banner Background Image,,hi,new,
,Recommended Size %1$s px X %2$s px,,hi,new,
,Select Main Banner Layout,,hi,new,
,Default,,hi,new,
,Tiled,,hi,new,
,Vertical,,hi,new,
,Select Main Banner Order,,hi,new,
,Order 1,,hi,new,
,Order 2,,hi,new,
,Main News Section ,,hi,new,
,Filter Posts By,,hi,new,
,Category,,hi,new,
,Tag,,hi,new,
,Select Category,,hi,new,
,Select category to be shown on main slider section,,hi,new,
,Select Tag,,hi,new,
,Select tag to be shown on main slider section,,hi,new,
,Number of Posts,,hi,new,
,Accepts any postive number.,,hi,new,
,Enable Autoplay,,hi,new,
,Editor's Picks Section,,hi,new,
,Section Title ,,hi,new,
,Trending Section,,hi,new,
,Popular Tags,,hi,new,
,Enable Trending Tags,,hi,new,
,Order Tags By,,hi,new,
,Popularity,,hi,new,
,Exclusive News,,hi,new,
,Enable Exclusive News,,hi,new,
,Flash Posts Category,,hi,new,
,Select category to be shown on trending posts ,,hi,new,
,Frontpage Options,,hi,new,
,Enable Featured Post Section,,hi,new,
,Select ,,hi,new,
,Select category to be shown on featured section ,,hi,new,
,Frontpage Layout Settings,,hi,new,
,Frontpage Content Alignment,,hi,new,
,Select frontpage content alignment,,hi,new,
,Home Content - Home Sidebar,,hi,new,
,Home Sidebar - Home Content,,hi,new,
,Only Home Content,,hi,new,
,Header Options,,hi,new,
,Header Settings,,hi,new,
,Site Light/Dark Mode,,hi,new,
,Enable,,hi,new,
,Disable,,hi,new,
,Top Header Section,,hi,new,
,Show Top Header,,hi,new,
,Show Social Menu,,hi,new,
,Show Date,,hi,new,
,Show Time,,hi,new,
,Time Format,,hi,new,
,12 hours,,hi,new,
,24 hours,,hi,new,
,From WordPress Settings,,hi,new,
,Header Advertisement,,hi,new,
,Header Section Advertisement,,hi,new,
,URL Link,,hi,new,
,Theme Options,,hi,new,
,Breadcrumb Options,,hi,new,
,Show breadcrumbs,,hi,new,
,Select Breadcrumbs,,hi,new,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,hi,new,
,Yoast SEO,,hi,new,
,Rank Math,,hi,new,
,NavXT,,hi,new,unchanged_like
,Global Settings,,hi,new,
,Enable Preloader,,hi,new,
,Global Content Alignment,,hi,new,
,Content - Primary sidebar,,hi,new,
,Primary sidebar - Content,,hi,new,
,Full width content,,hi,new,
,Also Show Content Image in Archive,,hi,new,
,If there is no Post Featured image set,,hi,new,
,Enable ,,hi,new,
,Categories Settings,,hi,new,
,Post Categories,,hi,new,
,Show,,hi,new,
,Hide,,hi,new,
,Author and Date Settings,,hi,new,
,For Spotlight Posts,,hi,new,
,Show Date and Author,,hi,new,
,Show Date Only,,hi,new,
,Hide All,,hi,new,
,For Small Grid,,hi,new,
,For List,,hi,new,
,Author Icon/Gravatar,,hi,new,
,Show Gravatar,,hi,new,
,Show Icon,,hi,new,
,None,,hi,new,
,Post Date Type,,hi,new,
,Published Date,,hi,new,
,Modified Date,,hi,new,
,Date Format,,hi,new,
,WordPress Default Date Format,,hi,new,
,Ago Date Format,,hi,new,
,Minutes Read Count,,hi,new,
,Excerpt Settings,,hi,new,
,Global Excerpt Read More,,hi,new,
,Custom Menu Section,,hi,new,
,Enable Custom Menu Section,,hi,new,
,Icon,,hi,new,
,Bell,,hi,new,
,Play,,hi,new,
,User,,hi,new,
,Title,,hi,new,
,Link,,hi,new,
