msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews,,is,unchanged,
,https://afthemes.com/products/chromenews/,,is,unchanged,unchanged_like
,"ChromeNews is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starter sites that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 9+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and Elementor, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The RTL languages supported theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it. Find demos: https://afthemes.com/products/chromenews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/chromenews/",,is,unchanged,
,AF themes,,is,unchanged,
,https://www.afthemes.com/,,is,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,is,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,is,unchanged,
,Dashboard,,is,unchanged,
,Customize,,is,unchanged,
,Starter Sites,,is,unchanged,
,Elementor Kits,,is,unchanged,
,Block Patterns,,is,unchanged,
,Upgrade to Pro,,is,unchanged,
,Upgrade Now,,is,unchanged,
,The Templatespare plugin should be updated to the latest version,,is,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,is,unchanged,
,Blockspare plugin version should be more than %s.,,is,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,is,unchanged,
,Elespare plugin version should be more than %s.,,is,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,is,unchanged,
,Are you sure you want to install this plugin?,,is,unchanged,
,Install Now,,is,unchanged,
,Activate,,is,unchanged,
,Activated,,is,unchanged,
,Get Starter Sites,,is,unchanged,
,Get Started,,is,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,is,unchanged,
,By,,is,unchanged,unchanged_like
,More Details,,is,unchanged,
,"👋 Welcome, and Thank You!",,is,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,is,unchanged,
,🚀 Start With One Click,,is,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,is,unchanged,
,View Demos,,is,unchanged,
,Theme dashboard,,is,unchanged,
,🤝 We're Here for You,,is,unchanged,
,Whether you're just starting or customizing your site.,,is,unchanged,
,Documentation,,is,unchanged,
,Videos,,is,unchanged,
,Support,,is,unchanged,
,⭐ Rate This Theme,,is,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,is,unchanged,
,"Error - unable to verify nonce, please try again.",,is,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,is,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,is,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,is,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,is,unchanged,
,Comments are closed.,,is,unchanged,
,%1$s by %2$s.,,is,unchanged,
,Primary Menu,,is,unchanged,
,Social Menu,,is,unchanged,
,Footer Menu,,is,unchanged,
%s font: on or off,on,,is,unchanged,
,Skip to content,,is,unchanged,
