msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews,,ja,unchanged,
,https://afthemes.com/products/chromenews/,,ja,unchanged,unchanged_like
,"ChromeNews is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starter sites that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 9+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and Elementor, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The RTL languages supported theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it. Find demos: https://afthemes.com/products/chromenews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/chromenews/",,ja,unchanged,
,AF themes,,ja,unchanged,
,https://www.afthemes.com/,,ja,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,ja,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ja,unchanged,
,Dashboard,,ja,unchanged,
,Customize,,ja,unchanged,
,Starter Sites,,ja,unchanged,
,Elementor Kits,,ja,unchanged,
,Block Patterns,,ja,unchanged,
,Upgrade to Pro,,ja,unchanged,
,Upgrade Now,,ja,unchanged,
,The Templatespare plugin should be updated to the latest version,,ja,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ja,unchanged,
,Blockspare plugin version should be more than %s.,,ja,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ja,unchanged,
,Elespare plugin version should be more than %s.,,ja,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ja,unchanged,
,Are you sure you want to install this plugin?,,ja,unchanged,
,Install Now,,ja,unchanged,
,Activate,,ja,unchanged,
,Activated,,ja,unchanged,
,Get Starter Sites,,ja,unchanged,
,Get Started,,ja,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ja,unchanged,
,By,,ja,unchanged,
,More Details,,ja,unchanged,
,"👋 Welcome, and Thank You!",,ja,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ja,unchanged,
,🚀 Start With One Click,,ja,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ja,unchanged,
,View Demos,,ja,unchanged,
,Theme dashboard,,ja,unchanged,
,🤝 We're Here for You,,ja,unchanged,
,Whether you're just starting or customizing your site.,,ja,unchanged,
,Documentation,,ja,unchanged,
,Videos,,ja,unchanged,
,Support,,ja,unchanged,
,⭐ Rate This Theme,,ja,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,ja,unchanged,
,"Error - unable to verify nonce, please try again.",,ja,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,ja,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,ja,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ja,unchanged,
,Comments are closed.,,ja,unchanged,
,%1$s by %2$s.,,ja,unchanged,
,Primary Menu,,ja,unchanged,
,Social Menu,,ja,unchanged,
,Footer Menu,,ja,unchanged,
%s font: on or off,on,,ja,unchanged,
,Skip to content,,ja,unchanged,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,ja,unchanged,
,Hide builder panel,,ja,unchanged,
,Hide Builder,,ja,unchanged,
,Device view controls,,ja,unchanged,
,Choose an Element,,ja,unchanged,
,Close choose element modal,,ja,unchanged,
,Header Builder,,ja,unchanged,
,Footer Builder,,ja,unchanged,
,Footer Layout,,ja,unchanged,
,Create dynamic header effortlessly with drag-and-drop builder.,,ja,unchanged,
,Header,,ja,unchanged,
,Create dynamic footer effortlessly with drag-and-drop builder.,,ja,unchanged,
,Footer,,ja,unchanged,
,Enable %s Builder,,ja,unchanged,
,Add Element,,ja,unchanged,
,Remove Element,,ja,unchanged,
,Configure Element,,ja,unchanged,
,Desktop,,ja,unchanged,
,Element Settings,,ja,unchanged,
,Site & Logo,,ja,unchanged,
,Site Identity,,ja,unchanged,
,You can change Site Identity from %s.,,ja,unchanged,
,Promotion,,ja,unchanged,
,Off Canvas,,ja,unchanged,
,Off Canvas Widget Area,,ja,unchanged,
,This widget area is used in the mobile off-canvas panel. %s,,ja,unchanged,
,Manage widgets,,ja,unchanged,
,Primary menu,,ja,unchanged,
,Select Menu,,ja,unchanged,
,You can change Menu from menu panel. %s,,ja,unchanged,
,Manage menu,,ja,unchanged,
,Date,,ja,unchanged,
,Choose date format,,ja,unchanged,
,You can change date from general settings (Settings > General > Date Format). %s,,ja,unchanged,
,Manage Date,,ja,unchanged,
,Top Navigation,,ja,unchanged,
,pro,,ja,unchanged,
,Site Mode,,ja,unchanged,
,Custom HTML,,ja,unchanged,
,HTML Content,,ja,unchanged,
,Search,,ja,unchanged,
,Searc Form,,ja,unchanged,
,Custom Link,,ja,unchanged,
,Custom link,,ja,unchanged,
,live,,ja,unchanged,
,Widget 1,,ja,unchanged,
,Select Widget,,ja,unchanged,
,Widget 2,,ja,unchanged,
,Widget 3,,ja,unchanged,
,Navigation,,ja,unchanged,
,Pro,,ja,unchanged,
,Copyright,,ja,unchanged,
,Add widget to display . %s,,ja,unchanged,
,Beta,,ja,unchanged,
,No menu assigned,,ja,unchanged,
,-- Select --,,ja,unchanged,
,Subscribe,,ja,unchanged,
,Trending,,ja,unchanged,
,Breaking News,,ja,unchanged,
,Main News,,ja,unchanged,
,Trending Now,,ja,unchanged,
,Popular,,ja,unchanged,
,Latest,,ja,unchanged,
,Editor's Picks,,ja,unchanged,
,Trending Story,,ja,unchanged,
,Featured Posts,,ja,unchanged,
,Read More,,ja,unchanged,
,Related News,,ja,unchanged,
,You may have missed,,ja,unchanged,
,Copyright &copy; All rights reserved.,,ja,unchanged,unchanged_like
,Background Color,,ja,unchanged,
,Site Title Size,,ja,unchanged,
,Uppercase Site Title and Tagline,,ja,unchanged,
,Site Title/Tagline Color,,ja,unchanged,
,Header Image Mode,,ja,unchanged,
,Image visibility may vary as per the mode,,ja,unchanged,
,Set as Background,,ja,unchanged,
,Show Full Image,,ja,unchanged,
,Enable Image Tint/Overlay,,ja,unchanged,
,ChromeNews Pro,,ja,unchanged,
,Site Title/Tagline Color (Dark Mode),,ja,unchanged,
,Site Color Mode,,ja,unchanged,
,Light,,ja,unchanged,
,Dark,,ja,unchanged,
,Primary Color Section ,,ja,unchanged,
,Background Color (Dark Mode),,ja,unchanged,
,Background Color (Dark Mode) will be applied for this mode.,,ja,unchanged,
,Secondary Color Section ,,ja,unchanged,
,Secondary Color,,ja,unchanged,
,Texts over Secondary Color,,ja,unchanged,
,Primary Navigation Section ,,ja,unchanged,
,Fonts & Typography,,ja,unchanged,
,Font Family Section,,ja,unchanged,
,Global Fonts Family,,ja,unchanged,
,Google Fonts,,ja,unchanged,
,System Fonts,,ja,unchanged,
,Site Title Font,,ja,unchanged,
,Primary Font,,ja,unchanged,
,Secondary Font,,ja,unchanged,
,Post Title Font,,ja,unchanged,
,"Widgets, Archives, Search, etc.",,ja,unchanged,
,Texts Formatting Section,,ja,unchanged,
,Title Font Weight,,ja,unchanged,
,Default Value: %d,,ja,unchanged,
,500,,ja,unchanged,unchanged_like
,700,,ja,unchanged,unchanged_like
,Font Size Section,,ja,unchanged,
,Global Section Title Size,,ja,unchanged,
,Main Banner Options,,ja,unchanged,
,Main Banner,,ja,unchanged,
,Enable Main Banner Section,,ja,unchanged,
,Main Banner Background Image,,ja,unchanged,
,Recommended Size %1$s px X %2$s px,,ja,unchanged,
,Select Main Banner Layout,,ja,unchanged,
,Default,,ja,unchanged,
,Tiled,,ja,unchanged,
,Vertical,,ja,unchanged,
,Select Main Banner Order,,ja,unchanged,
,Order 1,,ja,unchanged,
,Order 2,,ja,unchanged,
,Main News Section ,,ja,unchanged,
,Filter Posts By,,ja,unchanged,
,Category,,ja,unchanged,
,Tag,,ja,unchanged,
,Select Category,,ja,unchanged,
,Select category to be shown on main slider section,,ja,unchanged,
,Select Tag,,ja,unchanged,
,Select tag to be shown on main slider section,,ja,unchanged,
,Number of Posts,,ja,unchanged,
,Accepts any postive number.,,ja,unchanged,
,Enable Autoplay,,ja,unchanged,
,Editor's Picks Section,,ja,unchanged,
,Section Title ,,ja,unchanged,
,Trending Section,,ja,unchanged,
,Popular Tags,,ja,unchanged,
,Enable Trending Tags,,ja,unchanged,
,Order Tags By,,ja,unchanged,
,Popularity,,ja,unchanged,
,Exclusive News,,ja,unchanged,
,Enable Exclusive News,,ja,unchanged,
,Flash Posts Category,,ja,unchanged,
,Select category to be shown on trending posts ,,ja,unchanged,
,Front-page Options,,ja,unchanged,
,Enable Featured Post Section,,ja,unchanged,
,Select ,,ja,unchanged,
,Select category to be shown on featured section ,,ja,unchanged,
,Front-page Layout Settings,,ja,unchanged,
,Front-page Content Alignment,,ja,unchanged,
,Select frontpage content alignment,,ja,unchanged,
,Home Content - Home Sidebar,,ja,unchanged,
,Home Sidebar - Home Content,,ja,unchanged,
,Only Home Content,,ja,unchanged,
,Header Options,,ja,unchanged,
,Header Settings,,ja,unchanged,
,Site Light/Dark Mode,,ja,unchanged,
,Enable,,ja,unchanged,
,Disable,,ja,unchanged,
,Top Header Section,,ja,unchanged,
,Show Top Header,,ja,unchanged,
,Show Social Menu,,ja,unchanged,
,Show Date,,ja,unchanged,
,Show Time,,ja,unchanged,
,Time Format,,ja,unchanged,
,12 hours,,ja,unchanged,
,24 hours,,ja,unchanged,
,From WordPress Settings,,ja,unchanged,
,Header Advertisement,,ja,unchanged,
,Header Section Advertisement,,ja,unchanged,
,URL Link,,ja,unchanged,
,Theme Options,,ja,unchanged,
,Breadcrumb Options,,ja,unchanged,
,Show breadcrumbs,,ja,unchanged,
,Select Breadcrumbs,,ja,unchanged,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,ja,unchanged,
,Yoast SEO,,ja,unchanged,
,Rank Math,,ja,unchanged,
,NavXT,,ja,unchanged,unchanged_like
,Global Settings,,ja,unchanged,
,Enable Preloader,,ja,unchanged,
,Disable Emoji Script,,ja,unchanged,
,GDPR friendly & better performance,,ja,unchanged,
,Global Content Alignment,,ja,unchanged,
,Content - Primary sidebar,,ja,unchanged,
,Primary sidebar - Content,,ja,unchanged,
,Full width content,,ja,unchanged,
,Also Show Content Image in Archive,,ja,unchanged,
,If there is no Post Featured image set,,ja,unchanged,
,Enable ,,ja,unchanged,
,Categories Settings,,ja,unchanged,
,Post Categories,,ja,unchanged,
,Show,,ja,unchanged,
,Hide,,ja,unchanged,
,Author and Date Settings,,ja,unchanged,
,For Spotlight Posts,,ja,unchanged,
,Show Date and Author,,ja,unchanged,
,Show Date Only,,ja,unchanged,
,Hide All,,ja,unchanged,
,For Small Grid,,ja,unchanged,
,For List,,ja,unchanged,
,Author Icon/Gravatar,,ja,unchanged,
,Show Gravatar,,ja,unchanged,
,Show Icon,,ja,unchanged,
,None,,ja,unchanged,
,Post Date Type,,ja,unchanged,
,Published Date,,ja,unchanged,
,Modified Date,,ja,unchanged,
,Date Format,,ja,unchanged,
,WordPress Default Date Format,,ja,unchanged,
,Ago Date Format,,ja,unchanged,
,Minutes Read Count,,ja,unchanged,
,Excerpt Settings,,ja,unchanged,
,Global Excerpt Read More,,ja,unchanged,
,Custom Menu Section,,ja,unchanged,
,Enable Custom Menu Section,,ja,unchanged,
,Icon,,ja,unchanged,
,Bell,,ja,unchanged,
,Play,,ja,unchanged,
,User,,ja,unchanged,
,Title,,ja,unchanged,
,Link,,ja,unchanged,
,Single Post,,ja,unchanged,
,Show Featured Image,,ja,unchanged,
,Featured Image Position,,ja,unchanged,
,Title below image,,ja,unchanged,
,Single Content,,ja,unchanged,
,Spacious,,ja,unchanged,
,Compact,,ja,unchanged,
,Show Tags under Content,,ja,unchanged,
,Social Share Option,,ja,unchanged,
,Social Share from Jetpack plugin,,ja,unchanged,
,After Title,,ja,unchanged,
,Before Title,,ja,unchanged,
,After Content,,ja,unchanged,
,Related Posts Settings,,ja,unchanged,
,Enable Related Posts,,ja,unchanged,
,Archive Settings,,ja,unchanged,
,Disable Main Banner on Blog,,ja,unchanged,
,Archive layout,,ja,unchanged,
,Select layout for archive,,ja,unchanged,
,Grid,,ja,unchanged,
,List,,ja,unchanged,
,Sidebar Settings,,ja,unchanged,
,Make Sidebar Sticky,,ja,unchanged,
,Sidebar Sticky Position,,ja,unchanged,
,Top,,ja,unchanged,
,Bottom,,ja,unchanged,
,You May Have Missed,,ja,unchanged,
,Show Above Footer,,ja,unchanged,
,Posts Section Title,,ja,unchanged,
,Footer Background Image,,ja,unchanged,
,Copyright Text,,ja,unchanged,
,Hide footer Menu Section,,ja,unchanged,
,Pages:,,ja,unchanged,
,Light/Dark Button,,ja,unchanged,
,Layout Options,,ja,unchanged,
,Content Options,,ja,unchanged,
,Set as global layout,,ja,unchanged,
,Please go to Customize>Themes Options for Single Post/Page.,,ja,unchanged,
,Sidebar Options,,ja,unchanged,
,Content - Primary Sidebar,,ja,unchanged,
,Primary Sidebar - Content,,ja,unchanged,
,No Sidebar,,ja,unchanged,
,Please go to Customize>Front-page Options for Homepage.,,ja,unchanged,
,Category Color 1,,ja,unchanged,
,Category Color 2,,ja,unchanged,
,Category Color 3,,ja,unchanged,
,Color Class,,ja,unchanged,
,"Select category color class. You can set appropriate categories color on ""Categories"" section of the theme customizer.",,ja,unchanged,
,Templatespare,,ja,unchanged,
,Elespare,,ja,unchanged,
,Blockspare,,ja,unchanged,
,Free Live Chat using 3CX,,ja,unchanged,
,WP Post Author,,ja,unchanged,
,HybridNews Main Banner,,ja,unchanged,
,HybridNews Express Posts,,ja,unchanged,
,Express Grid,,ja,unchanged,
,About Author,,ja,unchanged,
,"We mainly focus on quality code and elegant design with incredible support. Our WordPress themes and plugins empower you to create an elegant, professional, and easy-to-maintain website in no time at all. Even on mobile and tablet screens, your website will look great",,ja,unchanged,
,HybridNews Primary Section,,ja,unchanged,
,Post Slider,,ja,unchanged,
,Post Grid,,ja,unchanged,
,Post List,,ja,unchanged,
,Connect to Us,,ja,unchanged,
,Advertisement,,ja,unchanged,
,HybridNews Secondary Section,,ja,unchanged,
,Express Tile,,ja,unchanged,
,Single Column,,ja,unchanged,
,Categories,,ja,unchanged,
,HybridNews Ticker News,,ja,unchanged,
,HybridNews Featured News,,ja,unchanged,
,Featured News,,ja,unchanged,
,HybridNews Three Columns Posts,,ja,unchanged,
,Three Columns,,ja,unchanged,
,HybridNews Post Carousel,,ja,unchanged,
,Post Carousel,,ja,unchanged,
,HybridNews,,ja,unchanged,
,"Howdy, %1$s! We've noticed that you've been using %2$s for some time now, we hope you are loving it! We would appreciate it if you can %3$sgive us a 5 star rating on WordPress.org%4$s! We'll continue to develop exciting new features for free in the future by sharing the love!",,ja,unchanged,
,Sure thing,,ja,unchanged,
,Remind me later,,ja,unchanged,
,I've already done.,,ja,unchanged,
,Got any support queries?,,ja,unchanged,
,Previous,,ja,unchanged,
,Next,,ja,unchanged,
,%s min read,,ja,unchanged,
,ago,,ja,unchanged,
,"Edit <span class=""screen-reader-text"">%s</span>",,ja,unchanged,
,Action failed. Please refresh the page and retry.,,ja,unchanged,
,Cheatin&#8217; huh?,,ja,unchanged,
,%1$s 🎁 Hope you're loving our free %2$s theme! Dive into the festive spirit with an exclusive gift: %4$s premium features! Use code %3$s at checkout. Wishing you a season filled with joyous holidays and even happier savings! 🎄✨,,ja,unchanged,
,Claim Your Discount,,ja,unchanged,
,Power Bundle,,ja,unchanged,
,All Themes Plan,,ja,unchanged,
,Maybe Later,,ja,unchanged,
,Have Queries?,,ja,unchanged,
,Displays author info.,,ja,unchanged,
,AFTA Author Info,,ja,unchanged,
,Profile image,,ja,unchanged,
,Name,,ja,unchanged,
,Descriptions,,ja,unchanged,
,Facebook,,ja,unchanged,
,Instagram,,ja,unchanged,
,Twitter,,ja,unchanged,
,Displays Express Posts from selected categories.,,ja,unchanged,
,AFTA Express Posts List,,ja,unchanged,
,Displays grid from selected categories.,,ja,unchanged,
,AFTA Post Double Columns,,ja,unchanged,
,Select Category 1,,ja,unchanged,
,Select Category 2,,ja,unchanged,
,AFTA Post Grid,,ja,unchanged,
,AFTA Post List,,ja,unchanged,
,Displays posts single column from selected categories.,,ja,unchanged,
,AFTA Post Single Column,,ja,unchanged,
,Displays posts slider from selected category.,,ja,unchanged,
,AFTA Posts Slider,,ja,unchanged,
,Select category,,ja,unchanged,
,Displays social contacts lists from selected settings.,,ja,unchanged,
,AFTA Social Contacts,,ja,unchanged,
,Connect with Us,,ja,unchanged,
,Social menu is not set. You need to create menu and assign it to Social Menu on Menu Settings.,,ja,unchanged,
,AFTA Trending News,,ja,unchanged,
,Upload,,ja,unchanged,
,Select Image,,ja,unchanged,
,Choose Image,,ja,unchanged,
Remove,X,,ja,unchanged,
,Select,,ja,unchanged,
,Recent,,ja,unchanged,
,Main Sidebar,,ja,unchanged,
,Add widgets for main sidebar.,,ja,unchanged,
,Header Widget 1,,ja,unchanged,
,Add widgets for header section.,,ja,unchanged,
,Header Widget 2,,ja,unchanged,
,Header Widget 3,,ja,unchanged,
,Front-page Content Section,,ja,unchanged,
,Add widgets to front-page contents section.,,ja,unchanged,
,Front-page Sidebar Section,,ja,unchanged,
,Add widgets to front-page sidebar section.,,ja,unchanged,
,Add widgets for off-canvas section.,,ja,unchanged,
,Footer First Section,,ja,unchanged,
,Displays items on footer first column.,,ja,unchanged,
,Footer Second Section,,ja,unchanged,
,Displays items on footer second column.,,ja,unchanged,
,Footer Third Section,,ja,unchanged,
,Displays items on footer third column.,,ja,unchanged,
,View your shopping cart,,ja,unchanged,
,%d item,%d items,ja,unchanged,
,Browse:,,ja,unchanged,
breadcrumbs aria label,Breadcrumbs,,ja,unchanged,
,Home,,ja,unchanged,
,404 Not Found,,ja,unchanged,
,Archives,,ja,unchanged,
,Search results for: %s,,ja,unchanged,
,Page %s,,ja,unchanged,
,Comment Page %s,,ja,unchanged,
,Minute %s,,ja,unchanged,
,Week %s,,ja,unchanged,
minute and hour archives time format,g:i a,,ja,unchanged,unchanged_like
minute archives time format,i,,ja,unchanged,
hour archives time format,g a,,ja,unchanged,
yearly archives date format,Y,,ja,unchanged,unchanged_like
monthly archives date format,F,,ja,unchanged,unchanged_like
daily archives date format,j,,ja,unchanged,unchanged_like
weekly archives date format,W,,ja,unchanged,unchanged_like
,Install Required Plugins,,ja,unchanged,
,Install Plugins,,ja,unchanged,
,Installing Plugin: %s,,ja,unchanged,
,Updating Plugin: %s,,ja,unchanged,
,Something went wrong with the plugin API.,,ja,unchanged,
,This theme requires the following plugin: %1$s.,This theme requires the following plugins: %1$s.,ja,unchanged,
,This theme recommends the following plugin: %1$s.,This theme recommends the following plugins: %1$s.,ja,unchanged,
