msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews,,nl,unchanged,
,https://afthemes.com/products/chromenews/,,nl,unchanged,unchanged_like
,"ChromeNews is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starter sites that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 9+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and Elementor, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The RTL languages supported theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it. Find demos: https://afthemes.com/products/chromenews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/chromenews/",,nl,unchanged,
,AF themes,,nl,unchanged,
,https://www.afthemes.com/,,nl,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,nl,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,nl,unchanged,
,Dashboard,,nl,unchanged,unchanged_like
,Customize,,nl,unchanged,
,Starter Sites,,nl,unchanged,
,Elementor Kits,,nl,unchanged,
,Block Patterns,,nl,unchanged,
,Upgrade to Pro,,nl,unchanged,
,Upgrade Now,,nl,unchanged,
,The Templatespare plugin should be updated to the latest version,,nl,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,nl,unchanged,
,Blockspare plugin version should be more than %s.,,nl,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,nl,unchanged,
,Elespare plugin version should be more than %s.,,nl,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,nl,unchanged,
,Are you sure you want to install this plugin?,,nl,unchanged,
,Install Now,,nl,unchanged,
,Activate,,nl,unchanged,
,Activated,,nl,unchanged,
,Get Starter Sites,,nl,unchanged,
,Get Started,,nl,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,nl,unchanged,
,By,,nl,unchanged,
,More Details,,nl,unchanged,
,"👋 Welcome, and Thank You!",,nl,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,nl,unchanged,
,🚀 Start With One Click,,nl,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,nl,unchanged,
,View Demos,,nl,unchanged,
,Theme dashboard,,nl,unchanged,
,🤝 We're Here for You,,nl,unchanged,
,Whether you're just starting or customizing your site.,,nl,unchanged,
,Documentation,,nl,unchanged,
,Videos,,nl,unchanged,
,Support,,nl,unchanged,
,⭐ Rate This Theme,,nl,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,nl,unchanged,
,"Error - unable to verify nonce, please try again.",,nl,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,nl,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,nl,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,nl,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,nl,unchanged,
,Comments are closed.,,nl,unchanged,
,%1$s by %2$s.,,nl,unchanged,
,Primary Menu,,nl,unchanged,
,Social Menu,,nl,unchanged,
,Footer Menu,,nl,unchanged,
%s font: on or off,on,,nl,unchanged,
,Skip to content,,nl,unchanged,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,nl,unchanged,
,Hide builder panel,,nl,unchanged,
,Hide Builder,,nl,unchanged,
,Device view controls,,nl,unchanged,
,Choose an Element,,nl,unchanged,
,Close choose element modal,,nl,unchanged,
,Header Builder,,nl,unchanged,
,Footer Builder,,nl,unchanged,
,Footer Layout,,nl,unchanged,
,Create dynamic header effortlessly with drag-and-drop builder.,,nl,unchanged,
,Header,,nl,unchanged,
,Create dynamic footer effortlessly with drag-and-drop builder.,,nl,unchanged,
,Footer,,nl,unchanged,
,Enable %s Builder,,nl,unchanged,
,Add Element,,nl,unchanged,
,Remove Element,,nl,unchanged,
