msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews,,no,unchanged,unchanged_like
,https://afthemes.com/products/chromenews/,,no,unchanged,unchanged_like
,"ChromeNews is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starter sites that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 9+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and Elementor, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The RTL languages supported theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it. Find demos: https://afthemes.com/products/chromenews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/chromenews/",,no,unchanged,
,AF themes,,no,unchanged,
,https://www.afthemes.com/,,no,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,no,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,no,unchanged,
,Dashboard,,no,unchanged,
,Customize,,no,unchanged,
,Starter Sites,,no,unchanged,
,Elementor Kits,,no,unchanged,
,Block Patterns,,no,unchanged,
,Upgrade to Pro,,no,unchanged,
,Upgrade Now,,no,unchanged,
,The Templatespare plugin should be updated to the latest version,,no,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,no,unchanged,
,Blockspare plugin version should be more than %s.,,no,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,no,unchanged,
,Elespare plugin version should be more than %s.,,no,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,no,unchanged,
,Are you sure you want to install this plugin?,,no,unchanged,
,Install Now,,no,unchanged,
,Activate,,no,unchanged,
,Activated,,no,unchanged,
,Get Starter Sites,,no,unchanged,
,Get Started,,no,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,no,unchanged,
,By,,no,unchanged,
,More Details,,no,unchanged,
,"👋 Welcome, and Thank You!",,no,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,no,unchanged,
,🚀 Start With One Click,,no,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,no,unchanged,
,View Demos,,no,unchanged,
,Theme dashboard,,no,unchanged,
,🤝 We're Here for You,,no,unchanged,
,Whether you're just starting or customizing your site.,,no,unchanged,
,Documentation,,no,unchanged,
,Videos,,no,unchanged,
,Support,,no,unchanged,
,⭐ Rate This Theme,,no,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,no,unchanged,
,"Error - unable to verify nonce, please try again.",,no,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,no,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,no,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,no,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,no,unchanged,
,Comments are closed.,,no,unchanged,
,%1$s by %2$s.,,no,unchanged,
,Primary Menu,,no,unchanged,
,Social Menu,,no,unchanged,
,Footer Menu,,no,unchanged,
%s font: on or off,on,,no,unchanged,
,Skip to content,,no,unchanged,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,no,unchanged,
,Hide builder panel,,no,unchanged,
,Hide Builder,,no,unchanged,
,Device view controls,,no,unchanged,
,Choose an Element,,no,unchanged,
,Close choose element modal,,no,unchanged,
,Header Builder,,no,unchanged,unchanged_like
,Footer Builder,,no,unchanged,
,Footer Layout,,no,unchanged,
,Create dynamic header effortlessly with drag-and-drop builder.,,no,unchanged,
,Header,,no,unchanged,
,Create dynamic footer effortlessly with drag-and-drop builder.,,no,unchanged,
,Footer,,no,unchanged,
,Enable %s Builder,,no,unchanged,
,Add Element,,no,unchanged,
,Remove Element,,no,unchanged,
,Configure Element,,no,unchanged,
,Desktop,,no,unchanged,
,Element Settings,,no,unchanged,
,Site & Logo,,no,unchanged,
,Site Identity,,no,unchanged,
,You can change Site Identity from %s.,,no,unchanged,
,Promotion,,no,unchanged,
,Off Canvas,,no,unchanged,unchanged_like
,Off Canvas Widget Area,,no,unchanged,
,This widget area is used in the mobile off-canvas panel. %s,,no,unchanged,
,Manage widgets,,no,unchanged,
,Primary menu,,no,unchanged,
,Select Menu,,no,unchanged,
,You can change Menu from menu panel. %s,,no,unchanged,
,Manage menu,,no,unchanged,
,Date,,no,unchanged,
,Choose date format,,no,unchanged,
