msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews,,tl,unchanged,unchanged_like
,https://afthemes.com/products/chromenews/,,tl,unchanged,unchanged_like
,"ChromeNews is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starter sites that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 9+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and Elementor, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The RTL languages supported theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it. Find demos: https://afthemes.com/products/chromenews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/chromenews/",,tl,unchanged,
,AF themes,,tl,unchanged,
,https://www.afthemes.com/,,tl,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,tl,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,tl,unchanged,
,Dashboard,,tl,unchanged,unchanged_like
,Customize,,tl,unchanged,
,Starter Sites,,tl,unchanged,
,Elementor Kits,,tl,unchanged,unchanged_like
,Block Patterns,,tl,unchanged,
,Upgrade to Pro,,tl,unchanged,
,Upgrade Now,,tl,unchanged,
,The Templatespare plugin should be updated to the latest version,,tl,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,tl,unchanged,
,Blockspare plugin version should be more than %s.,,tl,unchanged,placeholders
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,tl,unchanged,
,Elespare plugin version should be more than %s.,,tl,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,tl,unchanged,
,Are you sure you want to install this plugin?,,tl,unchanged,
,Install Now,,tl,unchanged,
,Activate,,tl,unchanged,
,Activated,,tl,unchanged,
,Get Starter Sites,,tl,unchanged,
,Get Started,,tl,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,tl,unchanged,
,By,,tl,unchanged,
,More Details,,tl,unchanged,
,"👋 Welcome, and Thank You!",,tl,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,tl,unchanged,
,🚀 Start With One Click,,tl,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,tl,unchanged,
,View Demos,,tl,unchanged,
,Theme dashboard,,tl,unchanged,
,🤝 We're Here for You,,tl,unchanged,
,Whether you're just starting or customizing your site.,,tl,unchanged,
,Documentation,,tl,unchanged,
,Videos,,tl,unchanged,
,Support,,tl,unchanged,
,⭐ Rate This Theme,,tl,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,tl,unchanged,
,"Error - unable to verify nonce, please try again.",,tl,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,tl,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,tl,unchanged,placeholders
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,tl,unchanged,placeholders
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,tl,unchanged,
,Comments are closed.,,tl,unchanged,
,%1$s by %2$s.,,tl,unchanged,placeholders
