msgctxt,msgid,msgid_plural,target_lang,status,issues
,CoverNews,,es,unchanged,
,https://afthemes.com/products/covernews/,,es,unchanged,unchanged_like
,"CoverNews is a clean and elegant free WordPress theme that is perfect for online blog and magazine. With the help of block patterns, live customizer options and custom widgets, you can design your website as you like and preview the changes live. This theme is fully responsive that looks beautiful on all the screen sizes from small to large devices. As it includes many useful features that require to build an awesome looking website, you can implement the layout as a personal blog, modern news journals, fashion magazine, travel blogging & magazine, vibrant news sites and more. It is also compatible with Elementor, Gutenberg along with WooCommerce plugin that helps you to integrate an online business with your blog easily. The RTL language supported theme is well optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are a number demos available for this theme so import the one you like and start to build a website. See our demos: https://afthemes.com/products/covernews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/covernews/",,es,unchanged,
,AF themes,,es,unchanged,
,https://www.afthemes.com/,,es,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,es,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,es,unchanged,
,Dashboard,,es,new,
,Customize,,es,unchanged,
,Header Builder,,es,new,
,Footer Builder,,es,new,
,Starter Sites,,es,unchanged,
,Elementor Kits,,es,unchanged,
,Block Patterns,,es,unchanged,
,Upgrade to Pro,,es,unchanged,
,Upgrade Now,,es,new,
,The Templatespare plugin should be updated to the latest version,,es,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,es,unchanged,
,Blockspare plugin version should be more than %s.,,es,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,es,unchanged,
,Elespare plugin version should be more than %s.,,es,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,es,unchanged,
,Are you sure you want to install this plugin?,,es,unchanged,
,Install Now,,es,unchanged,
,Activate,,es,unchanged,
,Activated,,es,unchanged,
,Get Starter Sites,,es,unchanged,
,Get Started,,es,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,es,unchanged,
,By,,es,unchanged,
,More Details,,es,unchanged,
,"👋 Welcome, and Thank You!",,es,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,es,new,
,🚀 Start With One Click,,es,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,es,new,
,View Demos,,es,new,
,Theme dashboard,,es,unchanged,
,🤝 We're Here for You,,es,new,
,Whether you're just starting or customizing your site,,es,new,
,Documentation,,es,unchanged,
,Videos,,es,unchanged,
,Support,,es,unchanged,
,Rate This Theme,,es,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,es,unchanged,
,"Error - unable to verify nonce, please try again.",,es,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,es,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,es,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,es,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,es,unchanged,
,Comments are closed.,,es,unchanged,
,%1$s by %2$s.,,es,unchanged,
,Primary Menu,,es,unchanged,
,Top Menu,,es,unchanged,
,Social Menu,,es,unchanged,
,Footer Menu,,es,unchanged,
Source Sans Pro font: on or off,on,,es,unchanged,
Lato font: on or off,on,,es,unchanged,
,Skip to content,,es,unchanged,
,Light/Dark Button,,es,new,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,es,new,
,Hide builder panel,,es,new,
,Hide Builder,,es,new,
,Device view controls,,es,new,
,Choose an Element,,es,new,
,Close choose element modal,,es,new,
,Footer Layout,,es,new,
,Create dynamic header effortlessly with drag-and-drop builder.,,es,new,
,Header,,es,new,
,Create dynamic footer effortlessly with drag-and-drop builder.,,es,new,
,Footer,,es,unchanged,
,Enable %s Builder,,es,new,
,Add Element,,es,new,
,Remove Element,,es,new,
,Configure Element,,es,new,
,Desktop,,es,new,
,Element Settings,,es,new,
,Site & Logo,,es,new,
,Site Identity,,es,new,
,You can change Site Identity from %s.,,es,new,
,Promotion,,es,new,
,Off Canvas,,es,new,
,Off Canvas Widget Area,,es,new,
,This widget area is used in the mobile off-canvas panel. %s,,es,new,
,Manage widgets,,es,new,
,Primary menu,,es,new,
,Select Menu,,es,new,
,You can change Menu from menu panel. %s,,es,new,
,Manage menu,,es,new,
,Date,,es,new,
,Choose date format,,es,new,
,You can change date from general settings (Settings > General > Date Format). %s,,es,new,
,Manage Date,,es,new,
,Top Navigation,,es,new,
,pro,,es,new,unchanged_like
,Site Mode,,es,unchanged,
,Custom HTML,,es,new,
,HTML Content,,es,new,
,Search,,es,new,
,Searc Form,,es,new,
,Custom Link,,es,new,
,Custom link,,es,new,
,live,,es,new,
,Widget 1,,es,new,
,Select Widget,,es,new,
,Widget 2,,es,new,
,Widget 3,,es,new,
,Navigation,,es,new,
,Pro,,es,unchanged,unchanged_like
