msgctxt,msgid,msgid_plural,target_lang,status,issues
,CoverNews,,pl,unchanged,
,https://afthemes.com/products/covernews/,,pl,unchanged,unchanged_like
,"CoverNews is a clean and elegant free WordPress theme that is perfect for online blog and magazine. With the help of block patterns, live customizer options and custom widgets, you can design your website as you like and preview the changes live. This theme is fully responsive that looks beautiful on all the screen sizes from small to large devices. As it includes many useful features that require to build an awesome looking website, you can implement the layout as a personal blog, modern news journals, fashion magazine, travel blogging & magazine, vibrant news sites and more. It is also compatible with Elementor, Gutenberg along with WooCommerce plugin that helps you to integrate an online business with your blog easily. The RTL language supported theme is well optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are a number demos available for this theme so import the one you like and start to build a website. See our demos: https://afthemes.com/products/covernews/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/covernews/",,pl,unchanged,
,AF themes,,pl,unchanged,
,https://www.afthemes.com/,,pl,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,pl,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,pl,unchanged,
,Dashboard,,pl,new,
,Customize,,pl,unchanged,
,Header Builder,,pl,new,
,Footer Builder,,pl,new,
,Starter Sites,,pl,unchanged,
,Elementor Kits,,pl,unchanged,
,Block Patterns,,pl,unchanged,
,Upgrade to Pro,,pl,unchanged,
,Upgrade Now,,pl,new,
,The Templatespare plugin should be updated to the latest version,,pl,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,pl,unchanged,
,Blockspare plugin version should be more than %s.,,pl,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,pl,unchanged,
,Elespare plugin version should be more than %s.,,pl,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,pl,unchanged,
,Are you sure you want to install this plugin?,,pl,unchanged,
,Install Now,,pl,unchanged,
,Activate,,pl,unchanged,
,Activated,,pl,unchanged,
,Get Starter Sites,,pl,unchanged,
,Get Started,,pl,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,pl,unchanged,
,By,,pl,unchanged,
,More Details,,pl,unchanged,
,"👋 Welcome, and Thank You!",,pl,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,pl,new,
,🚀 Start With One Click,,pl,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,pl,new,
,View Demos,,pl,new,
,Theme dashboard,,pl,unchanged,
,🤝 We're Here for You,,pl,new,
,Whether you're just starting or customizing your site,,pl,new,
,Documentation,,pl,unchanged,
,Videos,,pl,unchanged,
,Support,,pl,unchanged,
,Rate This Theme,,pl,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,pl,unchanged,
,"Error - unable to verify nonce, please try again.",,pl,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,pl,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,pl,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,unchanged,
,Comments are closed.,,pl,unchanged,
,%1$s by %2$s.,,pl,unchanged,
,Primary Menu,,pl,unchanged,
,Top Menu,,pl,unchanged,
,Social Menu,,pl,unchanged,
,Footer Menu,,pl,unchanged,
Source Sans Pro font: on or off,on,,pl,unchanged,
Lato font: on or off,on,,pl,unchanged,
,Skip to content,,pl,unchanged,
,Light/Dark Button,,pl,new,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,pl,new,
,Hide builder panel,,pl,new,
,Hide Builder,,pl,new,
,Device view controls,,pl,new,
,Choose an Element,,pl,new,
,Close choose element modal,,pl,new,
,Footer Layout,,pl,new,
,Create dynamic header effortlessly with drag-and-drop builder.,,pl,new,
,Header,,pl,new,
,Create dynamic footer effortlessly with drag-and-drop builder.,,pl,new,
,Footer,,pl,unchanged,
,Enable %s Builder,,pl,new,
,Add Element,,pl,new,
,Remove Element,,pl,new,
,Configure Element,,pl,new,
,Desktop,,pl,new,
,Element Settings,,pl,new,
,Site & Logo,,pl,new,
,Site Identity,,pl,new,
,You can change Site Identity from %s.,,pl,new,
,Promotion,,pl,new,
,Off Canvas,,pl,new,
,Off Canvas Widget Area,,pl,new,
,This widget area is used in the mobile off-canvas panel. %s,,pl,new,
,Manage widgets,,pl,new,
,Primary menu,,pl,new,
,Select Menu,,pl,new,
,You can change Menu from menu panel. %s,,pl,new,
,Manage menu,,pl,new,
,Date,,pl,new,
,Choose date format,,pl,new,
,You can change date from general settings (Settings > General > Date Format). %s,,pl,new,
,Manage Date,,pl,new,
,Top Navigation,,pl,new,
,pro,,pl,new,
,Site Mode,,pl,unchanged,
,Custom HTML,,pl,new,
,HTML Content,,pl,new,
,Search,,pl,new,
,Searc Form,,pl,new,
,Custom Link,,pl,new,
,Custom link,,pl,new,
,live,,pl,new,
,Widget 1,,pl,new,
,Select Widget,,pl,new,
,Widget 2,,pl,new,
,Widget 3,,pl,new,
,Navigation,,pl,new,
,Pro,,pl,unchanged,
,Copyright,,pl,new,
,Add widget to display . %s,,pl,new,
,Beta,,pl,new,unchanged_like
,No menu assigned,,pl,new,
,All,,pl,unchanged,
,Flash Story,,pl,unchanged,
,Main Story,,pl,unchanged,
,Editor's Picks,,pl,unchanged,
,Trending Story,,pl,unchanged,
,Featured Story,,pl,unchanged,
,Read More,,pl,unchanged,
,More Stories,,pl,unchanged,
,You may have missed,,pl,unchanged,
,Copyright &copy; All rights reserved.,,pl,unchanged,unchanged_like
,Site Title Size,,pl,unchanged,
,Site Title/Tagline Color,,pl,unchanged,
,Header Image Mode,,pl,unchanged,
,Image visibility may vary as per the mode,,pl,unchanged,
,Set as Background,,pl,unchanged,
,Show Full Image,,pl,unchanged,
,Disable Image Tint/Overlay,,pl,unchanged,
,Select global site mode,,pl,unchanged,
,Default,,pl,unchanged,
,Dark,,pl,unchanged,
,Background Color will not be applicable for this mode.,,pl,unchanged,
,CoverNews Pro,,pl,unchanged,unchanged_like
,Upgrade now,,pl,unchanged,
,Front-page Options,,pl,new,
,Banner Advertisement,,pl,unchanged,
,Banner Section Advertisement,,pl,unchanged,
,Recommended Size %1$s px X %2$s px,,pl,unchanged,
,URL Link,,pl,unchanged,
,Open in new tab,,pl,unchanged,
,Show banner advertisement on,,pl,unchanged,
,Select scope to display on banner advertisement section,,pl,unchanged,
,Show on Homepage only,,pl,unchanged,
,Show sitewide,,pl,unchanged,
,Flash Posts,,pl,unchanged,
,Enable Flash Posts Section,,pl,unchanged,
,Flash Story Title,,pl,unchanged,
,Flash Posts Category,,pl,unchanged,
,Select category to be shown on trending posts ,,pl,unchanged,
,Main Banner Section,,pl,unchanged,
,Enable Main Banner Slider,,pl,unchanged,
,Banner Section Order,,pl,unchanged,
,Select Banner Section Order,,pl,unchanged,
,Order 2,,pl,unchanged,
,Main Story Section,,pl,unchanged,
,Main Story Slider Title,,pl,unchanged,
,Slider Posts Category,,pl,unchanged,
,Select category to be shown on Main Story slider section,,pl,unchanged,
,Editor's Picks Section,,pl,unchanged,
,Editor's Picks Title,,pl,unchanged,
,Editor's Picks Category,,pl,unchanged,
,Select category to be shown on Editor's Picks section,,pl,unchanged,
,Trending Story Section,,pl,unchanged,
,Trending Vertical Slider Title,,pl,unchanged,
,Trending News Category,,pl,unchanged,
,Select category to be shown on Trending section,,pl,unchanged,
,Disable main banner section on blog archive,,pl,unchanged,
,"The option will disable trending news, main slider, featured news, featured products from blog archive page.",,pl,unchanged,
,Featured Posts Section,,pl,unchanged,
,Enable Featured New Section,,pl,unchanged,
,Featured Posts Section Title,,pl,unchanged,
,Featured Posts Category,,pl,unchanged,
,Select category to be shown on featured section ,,pl,unchanged,
,Front-page Layout Settings,,pl,new,
,Front-page Content alignment,,pl,new,
,Select frontpage content alignment,,pl,unchanged,
,Home Content - Home Sidebar,,pl,unchanged,
,Home Sidebar - Home Content,,pl,unchanged,
,Only Home Content,,pl,unchanged,
,Theme Options,,pl,unchanged,
,Preloader Options,,pl,unchanged,
,Enable preloader,,pl,unchanged,
,Header Options,,pl,unchanged,
,Show date on top header,,pl,unchanged,
,Show social menu on top header,,pl,unchanged,
,Disable Sticky Header,,pl,unchanged,
,Breadcrumb Options,,pl,unchanged,
,Show breadcrumbs,,pl,unchanged,
,Select Breadcrumbs,,pl,unchanged,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,pl,unchanged,
,Yoast SEO,,pl,unchanged,unchanged_like
,Rank Math,,pl,unchanged,
,NavXT,,pl,unchanged,unchanged_like
,Global Settings,,pl,unchanged,
,Global Fonts Family,,pl,new,
,Google Fonts,,pl,new,
,System Fonts,,pl,new,
,Disable Emoji Script,,pl,new,
,GDPR friendly & better performance,,pl,new,
,Conatiner Width,,pl,unchanged,
,Select Conatiner Width,,pl,unchanged,
,Wide,,pl,unchanged,
,Full Width,,pl,unchanged,
,Content Alignment,,pl,unchanged,
,Select global content alignment,,pl,unchanged,
,Content - Primary sidebar,,pl,unchanged,
,Primary sidebar - Content,,pl,unchanged,
,Full width content,,pl,unchanged,
,Image Lazy Loading,,pl,unchanged,
,Enable ,,pl,unchanged,
,Disable,,pl,unchanged,
,Date and Author Display,,pl,unchanged,
,Select date and author display settings below post title,,pl,unchanged,
,Show Date and Author,,pl,unchanged,
,Show Date Only,,pl,unchanged,
,Show Author Only,,pl,unchanged,
,Hide All,,pl,unchanged,
,Date Display Format,,pl,unchanged,
,Select date display display format,,pl,unchanged,
,Date Format by Theme,,pl,unchanged,
,WordPress Default Date Format,,pl,unchanged,
,Show Comment Count,,pl,unchanged,
,Enable,,pl,unchanged,
,Single Posts Settings,,pl,unchanged,
,Show Featured Image,,pl,unchanged,
,Global Content Mode,,pl,unchanged,
,Individual posts edit panel also have the option,,pl,unchanged,
,Spacious,,pl,unchanged,
,Show Tags Below Content,,pl,unchanged,
,Yes,,pl,unchanged,
,No,,pl,unchanged,
,Sidebar Settings,,pl,unchanged,
,Make Sidebar Sticky,,pl,unchanged,
,Sidebar Sticky Position,,pl,unchanged,
,Top,,pl,unchanged,
,Bottom,,pl,unchanged,
,Archive Settings,,pl,unchanged,
,Archive layout,,pl,unchanged,
,Select layout for archive,,pl,unchanged,
,Full,,pl,unchanged,
,Grid,,pl,unchanged,
,Image alignment,,pl,unchanged,
,Select image alignment for archive,,pl,unchanged,
,Left,,pl,unchanged,
,Right,,pl,unchanged,
,Content view,,pl,unchanged,
,Select content view for archive,,pl,unchanged,
,Post excerpt,,pl,unchanged,
,Full Content,,pl,unchanged,
,None,,pl,unchanged,
,Excerpt Mode,,pl,unchanged,
,Select Excerpt display mode,,pl,unchanged,
,Trimmed Content,,pl,unchanged,
,Default Excerpt,,pl,unchanged,
,Related Posts,,pl,unchanged,
,Show on single posts,,pl,unchanged,
,Title,,pl,unchanged,
,Latest Posts Options,,pl,unchanged,
