msgctxt,msgid,msgid_plural,target_lang,status,issues
,DarkNews,,fr,new,
,https://afthemes.com/products/darknews/,,fr,new,unchanged_like
,"DarkNews is an advanced dark WordPress theme that's appropriate for a news, blog and magazine website. The theme includes a range of free starting pages that can be imported with a single click to create a great news portal. With 9+ custom widgets and widget areas, the theme is fully widgetized, allowing users to control site content. It also has a light and dark color mode, so you can view articles and blog posts in a trendy way. It also contains a number of helpful customizer options for building a visually appealing news site. You can configure it as you like to see how it looks before making any improvements using the live customizer. It's compatible with Elementor, Gutenberg blocks and RTL, as well as the WooCommerce plugin, which enables you to blend an online shop with our newspaper theme. The theme is ideal for a news, journal, magazine, publishing, or review site, as well as blogging. It's well-designed to bring the website to the top of search engines, and people will get outstanding support from the team if they have any problems when using it.",,fr,new,
,AF themes,,fr,new,
,https://www.afthemes.com/,,fr,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,fr,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,fr,new,
,Dashboard,,fr,new,
,Customize,,fr,new,
,Starter Sites,,fr,new,
,Elementor Kits,,fr,new,
,Block Patterns,,fr,new,
,Upgrade to Pro,,fr,new,
,Upgrade Now,,fr,new,
,The Templatespare plugin should be updated to the latest version,,fr,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,fr,new,
,Blockspare plugin version should be more than %s.,,fr,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,fr,new,
,Elespare plugin version should be more than %s.,,fr,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,fr,new,
,Are you sure you want to install this plugin?,,fr,new,
,Install Now,,fr,new,
,Activate,,fr,new,
,Activated,,fr,new,
,Get Starter Sites,,fr,new,
,Get Started,,fr,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,fr,new,
,By,,fr,new,
,More Details,,fr,new,
,"👋 Welcome, and Thank You!",,fr,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,fr,new,
,🚀 Start With One Click,,fr,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,fr,new,
,View Demos,,fr,new,
,Theme dashboard,,fr,new,
,🤝 We're Here for You,,fr,new,
,Whether you're just starting or customizing your site.,,fr,new,
,Documentation,,fr,new,unchanged_like
,Videos,,fr,new,
,Support,,fr,new,
,⭐ Rate This Theme,,fr,new,
,"Sorry, you are not allowed to install plugins on this site.",,fr,new,
,"Error - unable to verify nonce, please try again.",,fr,new,
,"Sorry, you are not allowed to activate plugins on this site.",,fr,new,
,One thought on &ldquo;%1$s&rdquo;,,fr,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,fr,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,fr,new,
,Comments are closed.,,fr,new,
,%1$s by %2$s.,,fr,new,
,Primary Menu,,fr,new,
,Social Menu,,fr,new,
,Footer Menu,,fr,new,
%s font: on or off,on,,fr,new,
,Skip to content,,fr,new,
,-- Select --,,fr,new,
,Watch Online,,fr,new,
,Popular Tags,,fr,new,
,Breaking News,,fr,new,
,Youtube video Section,,fr,new,
,Express Posts Section,,fr,new,
,Express Posts 1,,fr,new,
,Express Posts 2,,fr,new,
,Posts List Section,,fr,new,
,Posts List %d,,fr,new,
,Posts Carousel,,fr,new,
,Latest,,fr,new,
,Popular,,fr,new,
,Trending,,fr,new,
,Editor's Picks,,fr,new,
,Trending Story,,fr,new,
,Featured Posts,,fr,new,
,Featured Categories,,fr,new,
,Featured Pages,,fr,new,
,Custom Options,,fr,new,
,Post list Section Title %d,,fr,new,
,View More,,fr,new,
,Read More,,fr,new,
,Trending Now,,fr,new,
,Connect with Us,,fr,new,
,Instagram,,fr,new,unchanged_like
,Popular News,,fr,new,
,Related Stories,,fr,new,
,You may have missed,,fr,new,
,Copyright &copy; All rights reserved.,,fr,new,unchanged_like
,Body Background Color (Dark Mode),,fr,new,
,Site Title Size,,fr,new,
,Site Title/Tagline Color,,fr,new,
,Header Image Mode,,fr,new,
,Image visibility may vary as per the mode,,fr,new,
,Set as Background,,fr,new,
,Show Full Image,,fr,new,
,Disable Image Tint/Overlay,,fr,new,
,DarkNews Pro,,fr,new,unchanged_like
,Fonts & Typography,,fr,new,
,Font Family Section,,fr,new,
,Site Title Font,,fr,new,
,Primary Font,,fr,new,
,Secondary Font,,fr,new,
,Site Color Mode,,fr,new,
,Dark,,fr,new,
,Light,,fr,new,
,Body Background Color (Light Mode) will be applied for this mode.,,fr,new,
,Body Background Color (Light Mode),,fr,new,
,Secondary Color,,fr,new,
,Main Banner Options,,fr,new,
,Main Banner,,fr,new,
,Enable Main Banner Section,,fr,new,
,Main Banner Background Image,,fr,new,
,Recommended Size %1$s px X %2$s px,,fr,new,
,Select Main Banner Order,,fr,new,
,Order 1,,fr,new,
,Order 2,,fr,new,
,Order 3,,fr,new,
,Main News Section ,,fr,new,
,Filter Posts By,,fr,new,
,Category,,fr,new,
,Tag,,fr,new,
,Select Category,,fr,new,
,Select category to be shown on main slider section,,fr,new,
,Select Tag,,fr,new,
,Select tag to be shown on main slider section,,fr,new,
,Editor's Picks Section,,fr,new,
,Latest Section,,fr,new,
,Section Title ,,fr,new,
,Select,,fr,new,
,Popular Section,,fr,new,
,Comment Count,,fr,new,
,Enable Popular Tags,,fr,new,
,Enable Breaking News,,fr,new,
,Breaking Posts Category,,fr,new,
,Select category to be shown on breaking news ,,fr,new,
,Frontpage Options,,fr,new,
,Enable Featured Post Section,,fr,new,
,Select Category ,,fr,new,
,Select category to be shown on featured section ,,fr,new,
,Posts List,,fr,new,
,Enable Post List Section,,fr,new,
,Section %d,,fr,new,unchanged_like
,Section Title,,fr,new,
,Frontpage Layout Settings,,fr,new,
,Frontpage Content Display,,fr,new,
,Select frontpage content display,,fr,new,
,Frontpage Widgets,,fr,new,
,Page Contents & Frontpage Widgets,,fr,new,
,Frontpage Content Alignment,,fr,new,
,Select frontpage content alignment,,fr,new,
,Home Content - Home Sidebar,,fr,new,
,Home Sidebar - Home Content,,fr,new,
,Only Home Content,,fr,new,
,Header Options,,fr,new,
,Top Header Section,,fr,new,
,Show Top Header,,fr,new,
,Show Date,,fr,new,
,Show Social Menu,,fr,new,
,Header Advertisement,,fr,new,
,Header Section Advertisement,,fr,new,
,URL Link,,fr,new,
,Theme Options,,fr,new,
,Enable Box's Top/Bottom Gaps,,fr,new,
,Breadcrumb Options,,fr,new,
,Show breadcrumbs,,fr,new,
,Select Breadcrumbs,,fr,new,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,fr,new,
,Default,,fr,new,
,Yoast SEO,,fr,new,unchanged_like
,Rank Math,,fr,new,
,NavXT,,fr,new,unchanged_like
,Global Settings,,fr,new,
,Enable Preloader,,fr,new,
,Site Layout Option,,fr,new,
,Boxed,,fr,new,
,Wide,,fr,new,
,Global Content Alignment,,fr,new,
,Content - Primary sidebar,,fr,new,
,Primary sidebar - Content,,fr,new,
,Full width content,,fr,new,
,Single Content Mode,,fr,new,
,Spacious,,fr,new,
,Scroll to Top Position,,fr,new,
,Right,,fr,new,
,Left,,fr,new,
,None,,fr,new,
,Categories Settings,,fr,new,
,Post Categories,,fr,new,
,Show,,fr,new,
,Hide,,fr,new,
,Categories to be displayed,,fr,new,
,Show All,,fr,new,
,Top One Category,,fr,new,
,Number of Categories,,fr,new,
,Author and Date Settings,,fr,new,
,For Spotlight Posts,,fr,new,
,Show Date and Author,,fr,new,
,Hide All,,fr,new,
,For Small Grid,,fr,new,
,For List,,fr,new,
,Author Icon/Gravatar,,fr,new,
,Show Gravatar,,fr,new,
,Show Icon,,fr,new,
,Date Format,,fr,new,
,WordPress Default Date Format,,fr,new,
,Ago Date Format,,fr,new,
,Minutes Read Count,,fr,new,
,Excerpt Settings,,fr,new,
,Global Excerpt Length,,fr,new,
,Global Excerpt Read More,,fr,new,
,Custom Menu Section,,fr,new,
,Enable Custom Menu Section,,fr,new,
,Title,,fr,new,
,Link,,fr,new,
,Single Post,,fr,new,
,Show Featured Image,,fr,new,
,Related Posts Settings,,fr,new,
,Enable Related Posts,,fr,new,
,Archive Settings,,fr,new,
,Disable Main Banner on Blog,,fr,new,
,Archive layout,,fr,new,
,Select layout for archive,,fr,new,
,Grid,,fr,new,
