msgctxt,msgid,msgid_plural,target_lang,status,issues
,DarkNews,,ne,unchanged,
,https://afthemes.com/products/darknews/,,ne,unchanged,unchanged_like
,"DarkNews is an advanced dark WordPress theme that's appropriate for a news, blog and magazine website. The theme includes a range of free starting pages that can be imported with a single click to create a great news portal. With 9+ custom widgets and widget areas, the theme is fully widgetized, allowing users to control site content. It also has a light and dark color mode, so you can view articles and blog posts in a trendy way. It also contains a number of helpful customizer options for building a visually appealing news site. You can configure it as you like to see how it looks before making any improvements using the live customizer. It's compatible with Elementor, Gutenberg blocks and RTL, as well as the WooCommerce plugin, which enables you to blend an online shop with our newspaper theme. The theme is ideal for a news, journal, magazine, publishing, or review site, as well as blogging. It's well-designed to bring the website to the top of search engines, and people will get outstanding support from the team if they have any problems when using it.",,ne,unchanged,
,AF themes,,ne,unchanged,
,https://www.afthemes.com/,,ne,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,ne,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ne,unchanged,
,Dashboard,,ne,unchanged,
,Customize,,ne,unchanged,
,Starter Sites,,ne,unchanged,
,Elementor Kits,,ne,unchanged,
,Block Patterns,,ne,unchanged,
,Upgrade to Pro,,ne,unchanged,
,Upgrade Now,,ne,unchanged,
,The Templatespare plugin should be updated to the latest version,,ne,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ne,unchanged,
,Blockspare plugin version should be more than %s.,,ne,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ne,unchanged,
,Elespare plugin version should be more than %s.,,ne,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ne,unchanged,
,Are you sure you want to install this plugin?,,ne,unchanged,
,Install Now,,ne,unchanged,
,Activate,,ne,unchanged,
,Activated,,ne,unchanged,
,Get Starter Sites,,ne,unchanged,
,Get Started,,ne,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ne,unchanged,
,By,,ne,unchanged,
,More Details,,ne,unchanged,
,"👋 Welcome, and Thank You!",,ne,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ne,unchanged,
,🚀 Start With One Click,,ne,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ne,unchanged,
,View Demos,,ne,unchanged,
,Theme dashboard,,ne,unchanged,
,🤝 We're Here for You,,ne,unchanged,
,Whether you're just starting or customizing your site.,,ne,unchanged,
,Documentation,,ne,unchanged,
,Videos,,ne,unchanged,
,Support,,ne,unchanged,
,⭐ Rate This Theme,,ne,unchanged,
