msgctxt,msgid,msgid_plural,target_lang,status,issues
,DarkNews,,nl,new,
,https://afthemes.com/products/darknews/,,nl,new,unchanged_like
,"DarkNews is an advanced dark WordPress theme that's appropriate for a news, blog and magazine website. The theme includes a range of free starting pages that can be imported with a single click to create a great news portal. With 9+ custom widgets and widget areas, the theme is fully widgetized, allowing users to control site content. It also has a light and dark color mode, so you can view articles and blog posts in a trendy way. It also contains a number of helpful customizer options for building a visually appealing news site. You can configure it as you like to see how it looks before making any improvements using the live customizer. It's compatible with Elementor, Gutenberg blocks and RTL, as well as the WooCommerce plugin, which enables you to blend an online shop with our newspaper theme. The theme is ideal for a news, journal, magazine, publishing, or review site, as well as blogging. It's well-designed to bring the website to the top of search engines, and people will get outstanding support from the team if they have any problems when using it.",,nl,new,
,AF themes,,nl,new,
,https://www.afthemes.com/,,nl,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,nl,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,nl,new,
,Dashboard,,nl,new,unchanged_like
,Customize,,nl,new,
,Starter Sites,,nl,new,
,Elementor Kits,,nl,new,
,Block Patterns,,nl,new,
,Upgrade to Pro,,nl,new,
,Upgrade Now,,nl,new,
,The Templatespare plugin should be updated to the latest version,,nl,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,nl,new,
,Blockspare plugin version should be more than %s.,,nl,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,nl,new,
,Elespare plugin version should be more than %s.,,nl,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,nl,new,
,Are you sure you want to install this plugin?,,nl,new,
,Install Now,,nl,new,
,Activate,,nl,new,
,Activated,,nl,new,
,Get Starter Sites,,nl,new,
,Get Started,,nl,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,nl,new,
,By,,nl,new,
,More Details,,nl,new,
,"👋 Welcome, and Thank You!",,nl,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,nl,new,
,🚀 Start With One Click,,nl,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,nl,new,
,View Demos,,nl,new,
,Theme dashboard,,nl,new,
,🤝 We're Here for You,,nl,new,
,Whether you're just starting or customizing your site.,,nl,new,
,Documentation,,nl,new,
,Videos,,nl,new,
,Support,,nl,new,
,⭐ Rate This Theme,,nl,new,
,"Sorry, you are not allowed to install plugins on this site.",,nl,new,
,"Error - unable to verify nonce, please try again.",,nl,new,
,"Sorry, you are not allowed to activate plugins on this site.",,nl,new,
,One thought on &ldquo;%1$s&rdquo;,,nl,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,nl,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,nl,new,
,Comments are closed.,,nl,new,
,%1$s by %2$s.,,nl,new,
,Primary Menu,,nl,new,
,Social Menu,,nl,new,
,Footer Menu,,nl,new,
%s font: on or off,on,,nl,new,
,Skip to content,,nl,new,
,-- Select --,,nl,new,
,Watch Online,,nl,new,
,Popular Tags,,nl,new,
,Breaking News,,nl,new,
,Youtube video Section,,nl,new,
,Express Posts Section,,nl,new,
,Express Posts 1,,nl,new,
,Express Posts 2,,nl,new,
,Posts List Section,,nl,new,
,Posts List %d,,nl,new,
,Posts Carousel,,nl,new,
,Latest,,nl,new,
,Popular,,nl,new,
,Trending,,nl,new,
,Editor's Picks,,nl,new,
,Trending Story,,nl,new,
,Featured Posts,,nl,new,
,Featured Categories,,nl,new,
,Featured Pages,,nl,new,
,Custom Options,,nl,new,
,Post list Section Title %d,,nl,new,
,View More,,nl,new,
,Read More,,nl,new,
,Trending Now,,nl,new,
,Connect with Us,,nl,new,
,Instagram,,nl,new,unchanged_like
,Popular News,,nl,new,
,Related Stories,,nl,new,
,You may have missed,,nl,new,
,Copyright &copy; All rights reserved.,,nl,new,unchanged_like
,Body Background Color (Dark Mode),,nl,new,
,Site Title Size,,nl,new,
,Site Title/Tagline Color,,nl,new,
,Header Image Mode,,nl,new,
,Image visibility may vary as per the mode,,nl,new,
,Set as Background,,nl,new,
,Show Full Image,,nl,new,
,Disable Image Tint/Overlay,,nl,new,
,DarkNews Pro,,nl,new,unchanged_like
,Fonts & Typography,,nl,new,
,Font Family Section,,nl,new,
,Site Title Font,,nl,new,
,Primary Font,,nl,new,
,Secondary Font,,nl,new,
,Site Color Mode,,nl,new,
,Dark,,nl,new,
,Light,,nl,new,
,Body Background Color (Light Mode) will be applied for this mode.,,nl,new,
,Body Background Color (Light Mode),,nl,new,
,Secondary Color,,nl,new,
,Main Banner Options,,nl,new,
,Main Banner,,nl,new,
,Enable Main Banner Section,,nl,new,
,Main Banner Background Image,,nl,new,
,Recommended Size %1$s px X %2$s px,,nl,new,
,Select Main Banner Order,,nl,new,
,Order 1,,nl,new,
,Order 2,,nl,new,
,Order 3,,nl,new,
,Main News Section ,,nl,new,
,Filter Posts By,,nl,new,
,Category,,nl,new,
,Tag,,nl,new,
,Select Category,,nl,new,
,Select category to be shown on main slider section,,nl,new,
,Select Tag,,nl,new,
,Select tag to be shown on main slider section,,nl,new,
,Editor's Picks Section,,nl,new,
,Latest Section,,nl,new,
,Section Title ,,nl,new,
,Select,,nl,new,
,Popular Section,,nl,new,
,Comment Count,,nl,new,
,Enable Popular Tags,,nl,new,
,Enable Breaking News,,nl,new,
,Breaking Posts Category,,nl,new,
,Select category to be shown on breaking news ,,nl,new,
,Frontpage Options,,nl,new,
,Enable Featured Post Section,,nl,new,
,Select Category ,,nl,new,
,Select category to be shown on featured section ,,nl,new,
,Posts List,,nl,new,
,Enable Post List Section,,nl,new,
,Section %d,,nl,new,
,Section Title,,nl,new,
,Frontpage Layout Settings,,nl,new,
,Frontpage Content Display,,nl,new,
,Select frontpage content display,,nl,new,
,Frontpage Widgets,,nl,new,
,Page Contents & Frontpage Widgets,,nl,new,
,Frontpage Content Alignment,,nl,new,
,Select frontpage content alignment,,nl,new,
,Home Content - Home Sidebar,,nl,new,
,Home Sidebar - Home Content,,nl,new,
,Only Home Content,,nl,new,
,Header Options,,nl,new,
,Top Header Section,,nl,new,
,Show Top Header,,nl,new,
,Show Date,,nl,new,
,Show Social Menu,,nl,new,
,Header Advertisement,,nl,new,
,Header Section Advertisement,,nl,new,
,URL Link,,nl,new,
,Theme Options,,nl,new,
,Enable Box's Top/Bottom Gaps,,nl,new,
,Breadcrumb Options,,nl,new,
,Show breadcrumbs,,nl,new,
,Select Breadcrumbs,,nl,new,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,nl,new,
,Default,,nl,new,
,Yoast SEO,,nl,new,unchanged_like
,Rank Math,,nl,new,
,NavXT,,nl,new,unchanged_like
,Global Settings,,nl,new,
,Enable Preloader,,nl,new,
,Site Layout Option,,nl,new,
,Boxed,,nl,new,
,Wide,,nl,new,
,Global Content Alignment,,nl,new,
,Content - Primary sidebar,,nl,new,
,Primary sidebar - Content,,nl,new,
,Full width content,,nl,new,
,Single Content Mode,,nl,new,
,Spacious,,nl,new,
,Scroll to Top Position,,nl,new,
,Right,,nl,new,
,Left,,nl,new,
,None,,nl,new,
,Categories Settings,,nl,new,
,Post Categories,,nl,new,
,Show,,nl,new,unchanged_like
,Hide,,nl,new,
,Categories to be displayed,,nl,new,
,Show All,,nl,new,
,Top One Category,,nl,new,
,Number of Categories,,nl,new,
,Author and Date Settings,,nl,new,
,For Spotlight Posts,,nl,new,
,Show Date and Author,,nl,new,
,Hide All,,nl,new,
,For Small Grid,,nl,new,
,For List,,nl,new,
,Author Icon/Gravatar,,nl,new,
,Show Gravatar,,nl,new,
,Show Icon,,nl,new,
,Date Format,,nl,new,
,WordPress Default Date Format,,nl,new,
,Ago Date Format,,nl,new,
,Minutes Read Count,,nl,new,
,Excerpt Settings,,nl,new,
,Global Excerpt Length,,nl,new,
,Global Excerpt Read More,,nl,new,
,Custom Menu Section,,nl,new,
,Enable Custom Menu Section,,nl,new,
,Title,,nl,new,
,Link,,nl,new,unchanged_like
,Single Post,,nl,new,
,Show Featured Image,,nl,new,
,Related Posts Settings,,nl,new,
,Enable Related Posts,,nl,new,
,Archive Settings,,nl,new,
,Disable Main Banner on Blog,,nl,new,
,Archive layout,,nl,new,
,Select layout for archive,,nl,new,
,Grid,,nl,new,
,Full,,nl,new,
,Make First Post Full,,nl,new,
,Grid Column Layout,,nl,new,
,Select column for archive grid,,nl,new,
,Two Column,,nl,new,
,Three Column,,nl,new,
,Select Full Layout,,nl,new,
,Select full layout for archive,,nl,new,
,Posts Title After Image,,nl,new,
,Posts Title Before Image,,nl,new,
,Content View,,nl,new,
,Select content view for archive,,nl,new,
,Post Excerpt,,nl,new,
,Full Content,,nl,new,
,Sidebar Settings,,nl,new,
,Make Sidebar Sticky,,nl,new,
,Sidebar Sticky Position,,nl,new,
,Top,,nl,new,
,Bottom,,nl,new,
,You May Have Missed,,nl,new,
,Show Above Footer,,nl,new,
,Posts Section Title,,nl,new,
,Footer,,nl,new,
,Footer Background Image,,nl,new,
,Copyright Text,,nl,new,
,Hide footer Menu Section,,nl,new,
,Pages:,,nl,new,
,Layout Options,,nl,new,
,Content Options,,nl,new,
,Set as global layout,,nl,new,
,Please go to Customize>Themes Options for Single Post/Page.,,nl,new,
,Sidebar Options,,nl,new,
,Content - Primary Sidebar,,nl,new,
,Primary Sidebar - Content,,nl,new,
,No Sidebar,,nl,new,
,Please go to Customize>Frontpage Options for Homepage.,,nl,new,
,Category Color 1,,nl,new,
,Category Color 2,,nl,new,
,Category Color 3,,nl,new,
,Color Class,,nl,new,
,"Select category color class. You can set appropriate categories color on ""Categories"" section of the theme customizer.",,nl,new,
,Templatespare,,nl,new,
,Elespare,,nl,new,
,Blockspare,,nl,new,
,WP Post Author,,nl,new,
,Free Live Chat using 3CX,,nl,new,
,"Howdy, %1$s! We've noticed that you've been using %2$s for some time now, we hope you are loving it! We would appreciate it if you can %3$sgive us a 5 star rating on WordPress.org%4$s! We'll continue to develop exciting new features for free in the future by sharing the love!",,nl,new,
,Sure thing,,nl,new,
,Remind me later,,nl,new,
,I've already done.,,nl,new,
,Got any support queries?,,nl,new,
,Previous,,nl,new,
,Next,,nl,new,
,%s min read,,nl,new,
,ago,,nl,new,
,"Edit <span class=""screen-reader-text"">%s</span>",,nl,new,
,Action failed. Please refresh the page and retry.,,nl,new,
,Cheatin&#8217; huh?,,nl,new,
,%1$s 🎁 Hope you're loving our free %2$s theme! Dive into the festive spirit with an exclusive gift: %4$s premium features! Use code %3$s at checkout. Wishing you a season filled with joyous holidays and even happier savings! 🎄✨,,nl,new,
,Claim Your Discount,,nl,new,
,Power Bundle,,nl,new,
,All Themes Plan,,nl,new,
,Maybe Later,,nl,new,
,Have Queries?,,nl,new,
,Displays author info.,,nl,new,
,AFTDN Author Info,,nl,new,
,About Author,,nl,new,
,Profile image,,nl,new,
,Name,,nl,new,
,Descriptions,,nl,new,
,Facebook,,nl,new,unchanged_like
,Twitter,,nl,new,
,Displays Express Posts from selected categories.,,nl,new,
,AFTDN Express Posts List,,nl,new,
,Displays posts carousel from selected category.,,nl,new,
,AFTDN Posts Carousel,,nl,new,
,Select category,,nl,new,
,Displays grid from selected categories.,,nl,new,
,AFTDN Post Double Columns,,nl,new,
,Select Category 1,,nl,new,
,Select Category 2,,nl,new,
,AFTDN Post List,,nl,new,
,Displays posts single column from selected categories.,,nl,new,
,AFTDN Post Single Column,,nl,new,
,Displays posts slider from selected category.,,nl,new,
,AFTDN Posts Slider,,nl,new,
,Displays social contacts lists from selected settings.,,nl,new,
,AFTDN Social Contacts,,nl,new,
,Social menu is not set. You need to create menu and assign it to Social Menu on Menu Settings.,,nl,new,
,AFTDN Trending News,,nl,new,
,Upload,,nl,new,
,Select Image,,nl,new,
,Choose Image,,nl,new,
Remove,X,,nl,new,unchanged_like
,Recent,,nl,new,unchanged_like
,Main Sidebar,,nl,new,
,Add widgets for main sidebar.,,nl,new,
,Front-page Content Section,,nl,new,
,Add widgets to front-page contents section.,,nl,new,
,Front-page Sidebar Section,,nl,new,
,Add widgets to front-page sidebar section.,,nl,new,
,Banner Ad Section,,nl,new,
,Add widgets for frontpage banner section advertisement.,,nl,new,
,Off Canvas,,nl,new,
,Add widgets for off-canvas section.,,nl,new,
,Below Featured Section,,nl,new,
,Add widgets for below featured section.,,nl,new,
,Footer First Section,,nl,new,
,Displays items on footer first column.,,nl,new,
,Footer Second Section,,nl,new,
,Displays items on footer second column.,,nl,new,
,Footer Third Section,,nl,new,
,Displays items on footer third column.,,nl,new,
,View your shopping cart,,nl,new,
,%d item,%d items,nl,new,
,%d item,%d items,nl,new,
,Browse:,,nl,new,
breadcrumbs aria label,Breadcrumbs,,nl,new,
