msgctxt,msgid,msgid_plural,target_lang,status,issues
,DarkNews,,pl,unchanged,
,https://afthemes.com/products/darknews/,,pl,unchanged,unchanged_like
,"DarkNews is an advanced dark WordPress theme that's appropriate for a news, blog and magazine website. The theme includes a range of free starting pages that can be imported with a single click to create a great news portal. With 9+ custom widgets and widget areas, the theme is fully widgetized, allowing users to control site content. It also has a light and dark color mode, so you can view articles and blog posts in a trendy way. It also contains a number of helpful customizer options for building a visually appealing news site. You can configure it as you like to see how it looks before making any improvements using the live customizer. It's compatible with Elementor, Gutenberg blocks and RTL, as well as the WooCommerce plugin, which enables you to blend an online shop with our newspaper theme. The theme is ideal for a news, journal, magazine, publishing, or review site, as well as blogging. It's well-designed to bring the website to the top of search engines, and people will get outstanding support from the team if they have any problems when using it.",,pl,unchanged,
,AF themes,,pl,unchanged,
,https://www.afthemes.com/,,pl,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,pl,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,pl,unchanged,
,Dashboard,,pl,unchanged,
,Customize,,pl,unchanged,
,Starter Sites,,pl,unchanged,
,Elementor Kits,,pl,unchanged,
,Block Patterns,,pl,unchanged,
,Upgrade to Pro,,pl,unchanged,
,Upgrade Now,,pl,unchanged,
,The Templatespare plugin should be updated to the latest version,,pl,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,pl,unchanged,
,Blockspare plugin version should be more than %s.,,pl,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,pl,unchanged,
,Elespare plugin version should be more than %s.,,pl,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,pl,unchanged,
,Are you sure you want to install this plugin?,,pl,unchanged,
,Install Now,,pl,unchanged,
,Activate,,pl,unchanged,
,Activated,,pl,unchanged,
,Get Starter Sites,,pl,unchanged,
,Get Started,,pl,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,pl,unchanged,
,By,,pl,unchanged,
,More Details,,pl,unchanged,
,"👋 Welcome, and Thank You!",,pl,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,pl,unchanged,
,🚀 Start With One Click,,pl,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,pl,unchanged,
,View Demos,,pl,unchanged,
,Theme dashboard,,pl,unchanged,
,🤝 We're Here for You,,pl,unchanged,
,Whether you're just starting or customizing your site.,,pl,unchanged,
,Documentation,,pl,unchanged,
,Videos,,pl,unchanged,
,Support,,pl,unchanged,
,⭐ Rate This Theme,,pl,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,pl,unchanged,
,"Error - unable to verify nonce, please try again.",,pl,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,pl,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,pl,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,unchanged,
,Comments are closed.,,pl,unchanged,
,%1$s by %2$s.,,pl,unchanged,
,Primary Menu,,pl,unchanged,
,Social Menu,,pl,unchanged,
,Footer Menu,,pl,unchanged,
%s font: on or off,on,,pl,unchanged,
,Skip to content,,pl,unchanged,
,-- Select --,,pl,unchanged,
,Watch Online,,pl,unchanged,
,Popular Tags,,pl,unchanged,
,Breaking News,,pl,unchanged,
,Youtube video Section,,pl,unchanged,
,Express Posts Section,,pl,unchanged,
,Express Posts 1,,pl,unchanged,
,Express Posts 2,,pl,unchanged,
,Posts List Section,,pl,unchanged,
,Posts List %d,,pl,unchanged,
,Posts Carousel,,pl,unchanged,
,Latest,,pl,unchanged,
,Popular,,pl,unchanged,
,Trending,,pl,unchanged,
,Editor's Picks,,pl,unchanged,
,Trending Story,,pl,unchanged,
,Featured Posts,,pl,unchanged,
,Featured Categories,,pl,unchanged,
