msgctxt,msgid,msgid_plural,target_lang,status,issues
,DarkNews,,pt,unchanged,unchanged_like
,https://afthemes.com/products/darknews/,,pt,unchanged,unchanged_like
,"DarkNews is an advanced dark WordPress theme that's appropriate for a news, blog and magazine website. The theme includes a range of free starting pages that can be imported with a single click to create a great news portal. With 9+ custom widgets and widget areas, the theme is fully widgetized, allowing users to control site content. It also has a light and dark color mode, so you can view articles and blog posts in a trendy way. It also contains a number of helpful customizer options for building a visually appealing news site. You can configure it as you like to see how it looks before making any improvements using the live customizer. It's compatible with Elementor, Gutenberg blocks and RTL, as well as the WooCommerce plugin, which enables you to blend an online shop with our newspaper theme. The theme is ideal for a news, journal, magazine, publishing, or review site, as well as blogging. It's well-designed to bring the website to the top of search engines, and people will get outstanding support from the team if they have any problems when using it.",,pt,unchanged,
,AF themes,,pt,unchanged,
,https://www.afthemes.com/,,pt,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,pt,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,pt,unchanged,
,Dashboard,,pt,unchanged,
,Customize,,pt,unchanged,
,Starter Sites,,pt,unchanged,
,Elementor Kits,,pt,unchanged,
,Block Patterns,,pt,unchanged,
,Upgrade to Pro,,pt,unchanged,
,Upgrade Now,,pt,unchanged,
,The Templatespare plugin should be updated to the latest version,,pt,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,pt,unchanged,
,Blockspare plugin version should be more than %s.,,pt,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,pt,unchanged,
,Elespare plugin version should be more than %s.,,pt,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,pt,unchanged,
,Are you sure you want to install this plugin?,,pt,unchanged,
,Install Now,,pt,unchanged,
,Activate,,pt,unchanged,
,Activated,,pt,unchanged,
,Get Starter Sites,,pt,unchanged,
,Get Started,,pt,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,pt,unchanged,
,By,,pt,unchanged,
,More Details,,pt,unchanged,
,"👋 Welcome, and Thank You!",,pt,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,pt,unchanged,
,🚀 Start With One Click,,pt,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,pt,unchanged,
,View Demos,,pt,unchanged,
,Theme dashboard,,pt,unchanged,
,🤝 We're Here for You,,pt,unchanged,
,Whether you're just starting or customizing your site.,,pt,unchanged,
,Documentation,,pt,unchanged,
,Videos,,pt,unchanged,
,Support,,pt,unchanged,
,⭐ Rate This Theme,,pt,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,pt,unchanged,
,"Error - unable to verify nonce, please try again.",,pt,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,pt,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,pt,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pt,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pt,unchanged,
,Comments are closed.,,pt,unchanged,
,%1$s by %2$s.,,pt,unchanged,
,Primary Menu,,pt,unchanged,
,Social Menu,,pt,unchanged,
,Footer Menu,,pt,unchanged,
%s font: on or off,on,,pt,unchanged,
,Skip to content,,pt,unchanged,
,-- Select --,,pt,unchanged,
,Watch Online,,pt,unchanged,
,Popular Tags,,pt,unchanged,
,Breaking News,,pt,unchanged,
,Youtube video Section,,pt,unchanged,
,Express Posts Section,,pt,unchanged,
,Express Posts 1,,pt,unchanged,
,Express Posts 2,,pt,unchanged,
,Posts List Section,,pt,unchanged,
,Posts List %d,,pt,unchanged,
,Posts Carousel,,pt,unchanged,
,Latest,,pt,unchanged,
,Popular,,pt,unchanged,unchanged_like
,Trending,,pt,unchanged,
,Editor's Picks,,pt,unchanged,
,Trending Story,,pt,unchanged,
,Featured Posts,,pt,unchanged,
,Featured Categories,,pt,unchanged,
,Featured Pages,,pt,unchanged,
,Custom Options,,pt,unchanged,
,Post list Section Title %d,,pt,unchanged,
,View More,,pt,unchanged,
,Read More,,pt,unchanged,
,Trending Now,,pt,unchanged,
,Connect with Us,,pt,unchanged,
,Instagram,,pt,unchanged,unchanged_like
,Popular News,,pt,unchanged,
