msgctxt,msgid,msgid_plural,target_lang,status,issues
,Elegant Magazine,,ar,unchanged,
,https://www.afthemes.com/products/elegant-magazine/,,ar,unchanged,unchanged_like
,"An elegant and minimalist theme, which is predominantly designed for a web news portal and magazine with an immense research on contemporary online newspapers. With the help of available customizer options and widgets, you can implement layout as a trending news journals, modern fashion magazine, travel blogging & magazine, clean and minimal news sites, blogging site and even more. The theme is SEO friendly with optimized code and awesome support. See our demos: https://afthemes.com/elegant-magazine-demos/ and support at : https://afthemes.com/supports/",,ar,unchanged,
,AF themes,,ar,unchanged,
,https://www.afthemes.com/,,ar,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,ar,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ar,unchanged,
,Dashboard,,ar,new,
,Customize,,ar,unchanged,
,Starter Sites,,ar,unchanged,
,Elementor Kits,,ar,unchanged,
,Block Patterns,,ar,unchanged,
,Upgrade to Pro,,ar,unchanged,
,Upgrade Now,,ar,new,
,The Templatespare plugin should be updated to the latest version,,ar,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ar,unchanged,
,Blockspare plugin version should be more than %s.,,ar,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ar,unchanged,
,Elespare plugin version should be more than %s.,,ar,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ar,unchanged,
,Are you sure you want to install this plugin?,,ar,unchanged,
,Install Now,,ar,unchanged,
,Activate,,ar,unchanged,
,Activated,,ar,unchanged,
,Get Starter Sites,,ar,unchanged,
,Get Started,,ar,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ar,unchanged,
,By,,ar,unchanged,
,More Details,,ar,unchanged,
,"👋 Welcome, and Thank You!",,ar,new,
,"%s is now active. We’re here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ar,new,
,🚀 Start With One Click,,ar,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ar,new,
,View Demos,,ar,new,
,Theme dashboard,,ar,unchanged,
,🤝 We're Here for You,,ar,new,
,Whether you're just starting or customizing your site.,,ar,new,
,Documentation,,ar,unchanged,
,Videos,,ar,unchanged,
,Support,,ar,unchanged,
,Rate This Theme,,ar,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,ar,unchanged,
,"Error - unable to verify nonce, please try again.",,ar,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,ar,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,ar,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,unchanged,
,Comments are closed.,,ar,unchanged,
,Theme: %1$s by %2$s.,,ar,unchanged,
,Primary Menu,,ar,unchanged,
,Top Menu,,ar,unchanged,
,Social Menu,,ar,unchanged,
,Footer Menu,,ar,unchanged,
Oswald font: on or off,on,,ar,unchanged,
Lato font: on or off,on,,ar,unchanged,
,Skip to content,,ar,unchanged,
,All,,ar,unchanged,
,Exclusive,,ar,unchanged,
,You may also like,,ar,unchanged,
,Copyright &copy; All rights reserved.,,ar,unchanged,unchanged_like
,Disable Image Tint/Overlay,,ar,unchanged,
,Elegant Magazine Pro,,ar,unchanged,
,Upgrade now,,ar,unchanged,
,Top header background color,,ar,unchanged,
,Top header texts color,,ar,unchanged,
,Frontpage Options,,ar,unchanged,
,Advertisement,,ar,unchanged,
,Banner Section Advertisement,,ar,unchanged,
,Recommended Size %1$s px X %2$s px,,ar,unchanged,
,URL Link,,ar,unchanged,
,Ticker news,,ar,unchanged,
,Enable Ticker News,,ar,unchanged,
,Ticker Title,,ar,unchanged,
,Ticker News Category,,ar,unchanged,
,Select category to be shown on ticker ,,ar,unchanged,
,Main banner news,,ar,unchanged,
,Enable main news section,,ar,unchanged,
,Slider news category,,ar,unchanged,
,Select category to be shown on slider ,,ar,unchanged,
,Featured news category,,ar,unchanged,
,Select category to be shown on featured section ,,ar,unchanged,
,Enable static page content,,ar,unchanged,
,Layout,,ar,unchanged,
,Frontpage Content alignment,,ar,unchanged,
,Select frontpage content alignment,,ar,unchanged,
,Home Content - Home Sidebar,,ar,unchanged,
,Home Sidebar - Home Content,,ar,unchanged,
,Only Home Content,,ar,unchanged,
,Theme Options,,ar,unchanged,
,Preloader,,ar,unchanged,
,Enable preloader,,ar,unchanged,
,Header,,ar,unchanged,
,Transparent top header,,ar,unchanged,
,Show date on top header,,ar,unchanged,
,Show social menu on top header,,ar,unchanged,
,Breadcrumb,,ar,unchanged,
,Show breadcrumbs,,ar,unchanged,
,Content alignment,,ar,unchanged,
,Select global content alignment,,ar,unchanged,
,Content - Primary sidebar,,ar,unchanged,
,Primary sidebar - Content,,ar,unchanged,
,Full width content,,ar,unchanged,
,Image Lazy Loading,,ar,unchanged,
,Enable ,,ar,unchanged,
,Disable,,ar,unchanged,
,Archive,,ar,unchanged,
,Archive layout,,ar,unchanged,
,Select layout for archive,,ar,unchanged,
,Full,,ar,unchanged,
,List,,ar,unchanged,
,Image alignment,,ar,unchanged,
,Select image alignment for archive,,ar,unchanged,
,Left,,ar,unchanged,
,Right,,ar,unchanged,
,Content view,,ar,unchanged,
,Select content view for archive,,ar,unchanged,
,Post excerpt,,ar,unchanged,
,Full Content,,ar,unchanged,
,Related Posts,,ar,unchanged,
,Show on single posts,,ar,unchanged,
,Title,,ar,unchanged,
,Latest blog carousel,,ar,unchanged,
,Show above footer,,ar,unchanged,
,Footer,,ar,unchanged,
,Copyright Text,,ar,unchanged,
,Pages:,,ar,unchanged,
,Layout Options,,ar,unchanged,
,Content - Primary Sidebar,,ar,unchanged,
,Primary Sidebar - Content,,ar,unchanged,
,Templatespare,,ar,unchanged,
,Elespare,,ar,unchanged,
,Blockspare,,ar,unchanged,
,WP Post Author,,ar,unchanged,
,Free Live Chat using 3CX,,ar,unchanged,
,"Howdy, %1$s! We've noticed that you've been using %2$s for some time now, we hope you are loving it! We would appreciate it if you can %3$sgive us a 5 star rating on WordPress.org%4$s! We'll continue to develop exciting new features for free in the future by sharing the love!",,ar,unchanged,
,Sure thing,,ar,unchanged,
,Remind me later,,ar,unchanged,
,I've already done.,,ar,unchanged,
,Got any support queries?,,ar,unchanged,
,/,,ar,unchanged,
,", ",,ar,unchanged,
,Posted in %1$s,,ar,unchanged,
list item separator,", ",,ar,unchanged,
,Tagged %1$s,,ar,unchanged,
,"Leave a Comment<span class=""screen-reader-text""> on %s</span>",,ar,unchanged,
,"Edit <span class=""screen-reader-text"">%s</span>",,ar,unchanged,
,Tags:,,ar,unchanged,
,Action failed. Please refresh the page and retry.,,ar,unchanged,
,Cheatin&#8217; huh?,,ar,unchanged,
,%1$s 🎁 Hope you're loving our free %2$s theme! Dive into the festive spirit with an exclusive gift: %4$s premium features! Use code %3$s at checkout. Wishing you a season filled with joyous holidays and even happier savings! 🎄✨,,ar,unchanged,
,Claim Your Discount,,ar,unchanged,
,Power Bundle,,ar,unchanged,
,All Themes Plan,,ar,unchanged,
,Maybe Later,,ar,unchanged,
,Have Queries?,,ar,unchanged,
,Displays author info.,,ar,unchanged,
,EM Author Info,,ar,unchanged,
,Subtitle,,ar,unchanged,
,Profile image,,ar,unchanged,
,Name,,ar,unchanged,
,Descriptions,,ar,unchanged,
,Facebook,,ar,unchanged,
,Twitter,,ar,unchanged,
,LinkedIn,,ar,unchanged,
,Displays posts carousel from selected category.,,ar,unchanged,
,EM Posts Carousel,,ar,unchanged,
,Select category,,ar,unchanged,
,Displays posts from selected double categories in double column.,,ar,unchanged,
,EM Double Categories Posts ,,ar,unchanged,
,Select first category,,ar,unchanged,
,Select second category,,ar,unchanged,
,Displays posts from selected category in double column.,,ar,unchanged,
,EM Posts - Double Column ,,ar,unchanged,
,Double Column Posts,,ar,unchanged,
,Double Column Posts Subtitle,,ar,unchanged,
,Displays posts from selected category in express column.,,ar,unchanged,
,EM Posts - Express Column ,,ar,unchanged,
,Displays posts from selected category in single column.,,ar,unchanged,
,EM Posts - Single Column ,,ar,unchanged,
,Yes,,ar,unchanged,
,No,,ar,unchanged,
,Show excerpt,,ar,unchanged,
,Displays posts slider from selected category.,,ar,unchanged,
,EM Posts Slider,,ar,unchanged,
,Displays tabbed posts lists from selected settings.,,ar,unchanged,
,EM Tabbed Posts,,ar,unchanged,
,EM Popular,,ar,unchanged,
,EM Latest,,ar,unchanged,
,EM Categorised,,ar,unchanged,
,Popular,,ar,unchanged,
,Recent,,ar,unchanged,
,Categorised,,ar,unchanged,
,Popular Posts,,ar,unchanged,
,Latest Posts,,ar,unchanged,
,Latest,,ar,unchanged,
,Categorised Posts,,ar,unchanged,
,Settings for all tabs,,ar,unchanged,
,Displays social contacts lists from selected settings.,,ar,unchanged,
,EM Social Contacts,,ar,unchanged,
,EM Social,,ar,unchanged,
,Social menu is not set. You need to create menu and assign it to Social Menu on Menu Settings.,,ar,unchanged,
,Upload,,ar,unchanged,
,Select Image,,ar,unchanged,
,Choose Image,,ar,unchanged,
Remove,X,,ar,unchanged,unchanged_like
,All Categories,,ar,unchanged,
,Main Sidebar,,ar,unchanged,
,Add widgets for main sidebar.,,ar,unchanged,
,Off-canvas Panel,,ar,unchanged,
,Add widgets for off-canvas panel.,,ar,unchanged,
,Front-page Content Section,,ar,unchanged,
,Add widgets to front-page contents section.,,ar,unchanged,
,Front-page Sidebar Section,,ar,unchanged,
,Add widgets to front-page sidebar section.,,ar,unchanged,
,Footer First Section,,ar,unchanged,
,Displays items on footer first column.,,ar,unchanged,
,Footer Second Section,,ar,unchanged,
,Displays items on footer second column.,,ar,unchanged,
,Footer Third Section,,ar,unchanged,
,Displays items on footer third column.,,ar,unchanged,
,View your shopping cart,,ar,unchanged,
,%d item,%d items,ar,unchanged,
,%d item,%d items,ar,unchanged,
,%d item,%d items,ar,unchanged,
,%d item,%d items,ar,unchanged,
,%d item,%d items,ar,unchanged,
,%d item,%d items,ar,unchanged,
,Browse:,,ar,unchanged,
breadcrumbs aria label,Breadcrumbs,,ar,unchanged,
,Home,,ar,unchanged,
,404 Not Found,,ar,unchanged,
,Archives,,ar,unchanged,
,Search results for: %s,,ar,unchanged,
,Page %s,,ar,unchanged,
,Comment Page %s,,ar,unchanged,
,Minute %s,,ar,unchanged,
,Week %s,,ar,unchanged,
minute and hour archives time format,g:i a,,ar,unchanged,
minute archives time format,i,,ar,unchanged,
hour archives time format,g a,,ar,unchanged,
yearly archives date format,Y,,ar,unchanged,
monthly archives date format,F,,ar,unchanged,
daily archives date format,j,,ar,unchanged,
weekly archives date format,W,,ar,unchanged,
,Install Required Plugins,,ar,unchanged,
,Install Plugins,,ar,unchanged,
,Installing Plugin: %s,,ar,unchanged,
,Updating Plugin: %s,,ar,unchanged,
,Something went wrong with the plugin API.,,ar,unchanged,
,This theme requires the following plugin: %1$s.,This theme requires the following plugins: %1$s.,ar,unchanged,
,This theme requires the following plugin: %1$s.,This theme requires the following plugins: %1$s.,ar,unchanged,
,This theme requires the following plugin: %1$s.,This theme requires the following plugins: %1$s.,ar,unchanged,
,This theme requires the following plugin: %1$s.,This theme requires the following plugins: %1$s.,ar,unchanged,
,This theme requires the following plugin: %1$s.,This theme requires the following plugins: %1$s.,ar,unchanged,
,This theme requires the following plugin: %1$s.,This theme requires the following plugins: %1$s.,ar,unchanged,
,This theme recommends the following plugin: %1$s.,This theme recommends the following plugins: %1$s.,ar,unchanged,
,This theme recommends the following plugin: %1$s.,This theme recommends the following plugins: %1$s.,ar,unchanged,
,This theme recommends the following plugin: %1$s.,This theme recommends the following plugins: %1$s.,ar,unchanged,
,This theme recommends the following plugin: %1$s.,This theme recommends the following plugins: %1$s.,ar,unchanged,
,This theme recommends the following plugin: %1$s.,This theme recommends the following plugins: %1$s.,ar,unchanged,
,This theme recommends the following plugin: %1$s.,This theme recommends the following plugins: %1$s.,ar,unchanged,
,The following plugin needs to be updated to its latest version to ensure maximum compatibility with this theme: %1$s.,The following plugins need to be updated to their latest version to ensure maximum compatibility with this theme: %1$s.,ar,unchanged,
,The following plugin needs to be updated to its latest version to ensure maximum compatibility with this theme: %1$s.,The following plugins need to be updated to their latest version to ensure maximum compatibility with this theme: %1$s.,ar,unchanged,
,The following plugin needs to be updated to its latest version to ensure maximum compatibility with this theme: %1$s.,The following plugins need to be updated to their latest version to ensure maximum compatibility with this theme: %1$s.,ar,unchanged,
,The following plugin needs to be updated to its latest version to ensure maximum compatibility with this theme: %1$s.,The following plugins need to be updated to their latest version to ensure maximum compatibility with this theme: %1$s.,ar,unchanged,
