msgctxt,msgid,msgid_plural,target_lang,status,issues
,Elegant Magazine,,de,unchanged,
,https://www.afthemes.com/products/elegant-magazine/,,de,unchanged,unchanged_like
,"An elegant and minimalist theme, which is predominantly designed for a web news portal and magazine with an immense research on contemporary online newspapers. With the help of available customizer options and widgets, you can implement layout as a trending news journals, modern fashion magazine, travel blogging & magazine, clean and minimal news sites, blogging site and even more. The theme is SEO friendly with optimized code and awesome support. See our demos: https://afthemes.com/elegant-magazine-demos/ and support at : https://afthemes.com/supports/",,de,unchanged,
,AF themes,,de,unchanged,
,https://www.afthemes.com/,,de,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,de,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,de,unchanged,
,Dashboard,,de,new,
,Customize,,de,unchanged,
,Starter Sites,,de,unchanged,
,Elementor Kits,,de,unchanged,
,Block Patterns,,de,unchanged,
,Upgrade to Pro,,de,unchanged,
,Upgrade Now,,de,new,
,The Templatespare plugin should be updated to the latest version,,de,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,de,unchanged,
,Blockspare plugin version should be more than %s.,,de,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,de,unchanged,
,Elespare plugin version should be more than %s.,,de,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,de,unchanged,
,Are you sure you want to install this plugin?,,de,unchanged,
,Install Now,,de,unchanged,
,Activate,,de,unchanged,
,Activated,,de,unchanged,
,Get Starter Sites,,de,unchanged,
,Get Started,,de,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,de,unchanged,
,By,,de,unchanged,
,More Details,,de,unchanged,
,"👋 Welcome, and Thank You!",,de,new,
,"%s is now active. We’re here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,de,new,
,🚀 Start With One Click,,de,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,de,new,
,View Demos,,de,new,
,Theme dashboard,,de,unchanged,
,🤝 We're Here for You,,de,new,
,Whether you're just starting or customizing your site.,,de,new,
,Documentation,,de,unchanged,
,Videos,,de,unchanged,unchanged_like
,Support,,de,unchanged,
,Rate This Theme,,de,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,de,unchanged,
