msgctxt,msgid,msgid_plural,target_lang,status,issues
,Elegant Magazine,,en,unchanged,unchanged_like
,https://www.afthemes.com/products/elegant-magazine/,,en,unchanged,unchanged_like
,"An elegant and minimalist theme, which is predominantly designed for a web news portal and magazine with an immense research on contemporary online newspapers. With the help of available customizer options and widgets, you can implement layout as a trending news journals, modern fashion magazine, travel blogging & magazine, clean and minimal news sites, blogging site and even more. The theme is SEO friendly with optimized code and awesome support. See our demos: https://afthemes.com/elegant-magazine-demos/ and support at : https://afthemes.com/supports/",,en,unchanged,
,AF themes,,en,unchanged,unchanged_like
,https://www.afthemes.com/,,en,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,en,unchanged,unchanged_like
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,en,unchanged,unchanged_like
,Dashboard,,en,new,unchanged_like
,Customize,,en,unchanged,unchanged_like
,Starter Sites,,en,unchanged,unchanged_like
,Elementor Kits,,en,unchanged,unchanged_like
,Block Patterns,,en,unchanged,unchanged_like
,Upgrade to Pro,,en,unchanged,unchanged_like
,Upgrade Now,,en,new,unchanged_like
,The Templatespare plugin should be updated to the latest version,,en,unchanged,unchanged_like
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,en,unchanged,unchanged_like
,Blockspare plugin version should be more than %s.,,en,unchanged,unchanged_like
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,en,unchanged,unchanged_like
,Elespare plugin version should be more than %s.,,en,unchanged,unchanged_like
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,en,unchanged,unchanged_like
,Are you sure you want to install this plugin?,,en,unchanged,unchanged_like
,Install Now,,en,unchanged,unchanged_like
,Activate,,en,unchanged,unchanged_like
,Activated,,en,unchanged,unchanged_like
,Get Starter Sites,,en,unchanged,unchanged_like
,Get Started,,en,unchanged,unchanged_like
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,en,unchanged,unchanged_like
,By,,en,unchanged,unchanged_like
,More Details,,en,unchanged,unchanged_like
,"👋 Welcome, and Thank You!",,en,new,unchanged_like
,"%s is now active. We’re here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,en,new,unchanged_like
,🚀 Start With One Click,,en,new,unchanged_like
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,en,new,
,View Demos,,en,new,unchanged_like
,Theme dashboard,,en,unchanged,unchanged_like
,🤝 We're Here for You,,en,new,unchanged_like
,Whether you're just starting or customizing your site.,,en,new,unchanged_like
,Documentation,,en,unchanged,unchanged_like
,Videos,,en,unchanged,unchanged_like
,Support,,en,unchanged,unchanged_like
,Rate This Theme,,en,unchanged,unchanged_like
,"Sorry, you are not allowed to install plugins on this site.",,en,unchanged,unchanged_like
,"Error - unable to verify nonce, please try again.",,en,unchanged,unchanged_like
,"Sorry, you are not allowed to activate plugins on this site.",,en,unchanged,unchanged_like
,One thought on &ldquo;%1$s&rdquo;,,en,unchanged,unchanged_like
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,en,unchanged,unchanged_like
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,en,unchanged,
,Comments are closed.,,en,unchanged,unchanged_like
,Theme: %1$s by %2$s.,,en,unchanged,unchanged_like
,Primary Menu,,en,unchanged,unchanged_like
,Top Menu,,en,unchanged,unchanged_like
,Social Menu,,en,unchanged,unchanged_like
,Footer Menu,,en,unchanged,unchanged_like
Oswald font: on or off,on,,en,unchanged,unchanged_like
Lato font: on or off,on,,en,unchanged,unchanged_like
,Skip to content,,en,unchanged,unchanged_like
,All,,en,unchanged,unchanged_like
,Exclusive,,en,unchanged,unchanged_like
,You may also like,,en,unchanged,unchanged_like
,Copyright &copy; All rights reserved.,,en,unchanged,unchanged_like
,Disable Image Tint/Overlay,,en,unchanged,unchanged_like
,Elegant Magazine Pro,,en,unchanged,unchanged_like
,Upgrade now,,en,unchanged,unchanged_like
,Top header background color,,en,unchanged,unchanged_like
,Top header texts color,,en,unchanged,unchanged_like
,Frontpage Options,,en,unchanged,unchanged_like
,Advertisement,,en,unchanged,unchanged_like
,Banner Section Advertisement,,en,unchanged,unchanged_like
,Recommended Size %1$s px X %2$s px,,en,unchanged,unchanged_like
,URL Link,,en,unchanged,unchanged_like
,Ticker news,,en,unchanged,unchanged_like
,Enable Ticker News,,en,unchanged,unchanged_like
,Ticker Title,,en,unchanged,unchanged_like
,Ticker News Category,,en,unchanged,unchanged_like
,Select category to be shown on ticker ,,en,unchanged,unchanged_like
,Main banner news,,en,unchanged,unchanged_like
,Enable main news section,,en,unchanged,unchanged_like
,Slider news category,,en,unchanged,unchanged_like
,Select category to be shown on slider ,,en,unchanged,unchanged_like
,Featured news category,,en,unchanged,unchanged_like
,Select category to be shown on featured section ,,en,unchanged,unchanged_like
,Enable static page content,,en,unchanged,unchanged_like
,Layout,,en,unchanged,unchanged_like
,Frontpage Content alignment,,en,unchanged,unchanged_like
