msgctxt,msgid,msgid_plural,target_lang,status,issues
,Elegant Magazine,,fr,unchanged,
,https://www.afthemes.com/products/elegant-magazine/,,fr,unchanged,unchanged_like
,"An elegant and minimalist theme, which is predominantly designed for a web news portal and magazine with an immense research on contemporary online newspapers. With the help of available customizer options and widgets, you can implement layout as a trending news journals, modern fashion magazine, travel blogging & magazine, clean and minimal news sites, blogging site and even more. The theme is SEO friendly with optimized code and awesome support. See our demos: https://afthemes.com/elegant-magazine-demos/ and support at : https://afthemes.com/supports/",,fr,unchanged,
,AF themes,,fr,unchanged,
,https://www.afthemes.com/,,fr,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,fr,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,fr,unchanged,
,Dashboard,,fr,new,
,Customize,,fr,unchanged,
,Starter Sites,,fr,unchanged,
,Elementor Kits,,fr,unchanged,
,Block Patterns,,fr,unchanged,
,Upgrade to Pro,,fr,unchanged,
,Upgrade Now,,fr,new,
,The Templatespare plugin should be updated to the latest version,,fr,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,fr,unchanged,
,Blockspare plugin version should be more than %s.,,fr,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,fr,unchanged,
,Elespare plugin version should be more than %s.,,fr,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,fr,unchanged,
,Are you sure you want to install this plugin?,,fr,unchanged,
,Install Now,,fr,unchanged,
,Activate,,fr,unchanged,
,Activated,,fr,unchanged,
,Get Starter Sites,,fr,unchanged,
,Get Started,,fr,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,fr,unchanged,
,By,,fr,unchanged,
,More Details,,fr,unchanged,
,"👋 Welcome, and Thank You!",,fr,new,
,"%s is now active. We’re here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,fr,new,
,🚀 Start With One Click,,fr,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,fr,new,
,View Demos,,fr,new,
,Theme dashboard,,fr,unchanged,
,🤝 We're Here for You,,fr,new,
,Whether you're just starting or customizing your site.,,fr,new,
,Documentation,,fr,unchanged,unchanged_like
,Videos,,fr,unchanged,
,Support,,fr,unchanged,
,Rate This Theme,,fr,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,fr,unchanged,
,"Error - unable to verify nonce, please try again.",,fr,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,fr,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,fr,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,fr,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,fr,unchanged,
,Comments are closed.,,fr,unchanged,
,Theme: %1$s by %2$s.,,fr,unchanged,
,Primary Menu,,fr,unchanged,
,Top Menu,,fr,unchanged,
,Social Menu,,fr,unchanged,
,Footer Menu,,fr,unchanged,
Oswald font: on or off,on,,fr,unchanged,
Lato font: on or off,on,,fr,unchanged,
,Skip to content,,fr,unchanged,
,All,,fr,unchanged,
,Exclusive,,fr,unchanged,
,You may also like,,fr,unchanged,
,Copyright &copy; All rights reserved.,,fr,unchanged,unchanged_like
,Disable Image Tint/Overlay,,fr,unchanged,
,Elegant Magazine Pro,,fr,unchanged,
,Upgrade now,,fr,unchanged,
,Top header background color,,fr,unchanged,
,Top header texts color,,fr,unchanged,
,Frontpage Options,,fr,unchanged,
,Advertisement,,fr,unchanged,
,Banner Section Advertisement,,fr,unchanged,
,Recommended Size %1$s px X %2$s px,,fr,unchanged,
,URL Link,,fr,unchanged,
,Ticker news,,fr,unchanged,
,Enable Ticker News,,fr,unchanged,
,Ticker Title,,fr,unchanged,
,Ticker News Category,,fr,unchanged,
,Select category to be shown on ticker ,,fr,unchanged,
,Main banner news,,fr,unchanged,
,Enable main news section,,fr,unchanged,
,Slider news category,,fr,unchanged,
,Select category to be shown on slider ,,fr,unchanged,
,Featured news category,,fr,unchanged,
,Select category to be shown on featured section ,,fr,unchanged,
,Enable static page content,,fr,unchanged,
,Layout,,fr,unchanged,
,Frontpage Content alignment,,fr,unchanged,
,Select frontpage content alignment,,fr,unchanged,
,Home Content - Home Sidebar,,fr,unchanged,
,Home Sidebar - Home Content,,fr,unchanged,
,Only Home Content,,fr,unchanged,
,Theme Options,,fr,unchanged,
,Preloader,,fr,unchanged,
,Enable preloader,,fr,unchanged,
,Header,,fr,unchanged,
,Transparent top header,,fr,unchanged,
,Show date on top header,,fr,unchanged,
,Show social menu on top header,,fr,unchanged,
,Breadcrumb,,fr,unchanged,
,Show breadcrumbs,,fr,unchanged,
,Content alignment,,fr,unchanged,
,Select global content alignment,,fr,unchanged,
,Content - Primary sidebar,,fr,unchanged,
,Primary sidebar - Content,,fr,unchanged,
,Full width content,,fr,unchanged,
,Image Lazy Loading,,fr,unchanged,
,Enable ,,fr,unchanged,
,Disable,,fr,unchanged,
,Archive,,fr,unchanged,unchanged_like
,Archive layout,,fr,unchanged,
,Select layout for archive,,fr,unchanged,
,Full,,fr,unchanged,
,List,,fr,unchanged,
,Image alignment,,fr,unchanged,
,Select image alignment for archive,,fr,unchanged,
,Left,,fr,unchanged,
,Right,,fr,unchanged,
,Content view,,fr,unchanged,
,Select content view for archive,,fr,unchanged,
,Post excerpt,,fr,unchanged,
,Full Content,,fr,unchanged,
,Related Posts,,fr,unchanged,
,Show on single posts,,fr,unchanged,
,Title,,fr,unchanged,
,Latest blog carousel,,fr,unchanged,
,Show above footer,,fr,unchanged,
,Footer,,fr,unchanged,
,Copyright Text,,fr,unchanged,
,Pages:,,fr,unchanged,unchanged_like
,Layout Options,,fr,unchanged,
,Content - Primary Sidebar,,fr,unchanged,
,Primary Sidebar - Content,,fr,unchanged,
,Templatespare,,fr,unchanged,
,Elespare,,fr,unchanged,unchanged_like
,Blockspare,,fr,unchanged,
,WP Post Author,,fr,unchanged,
,Free Live Chat using 3CX,,fr,unchanged,
,"Howdy, %1$s! We've noticed that you've been using %2$s for some time now, we hope you are loving it! We would appreciate it if you can %3$sgive us a 5 star rating on WordPress.org%4$s! We'll continue to develop exciting new features for free in the future by sharing the love!",,fr,unchanged,
,Sure thing,,fr,unchanged,
,Remind me later,,fr,unchanged,
,I've already done.,,fr,unchanged,
,Got any support queries?,,fr,unchanged,
,/,,fr,unchanged,
,", ",,fr,unchanged,
,Posted in %1$s,,fr,unchanged,
list item separator,", ",,fr,unchanged,
,Tagged %1$s,,fr,unchanged,
,"Leave a Comment<span class=""screen-reader-text""> on %s</span>",,fr,unchanged,
,"Edit <span class=""screen-reader-text"">%s</span>",,fr,unchanged,
,Tags:,,fr,unchanged,
,Action failed. Please refresh the page and retry.,,fr,unchanged,
,Cheatin&#8217; huh?,,fr,unchanged,
