msgctxt,msgid,msgid_plural,target_lang,status,issues
,Elegant Magazine,,hi,unchanged,
,https://www.afthemes.com/products/elegant-magazine/,,hi,unchanged,unchanged_like
,"An elegant and minimalist theme, which is predominantly designed for a web news portal and magazine with an immense research on contemporary online newspapers. With the help of available customizer options and widgets, you can implement layout as a trending news journals, modern fashion magazine, travel blogging & magazine, clean and minimal news sites, blogging site and even more. The theme is SEO friendly with optimized code and awesome support. See our demos: https://afthemes.com/elegant-magazine-demos/ and support at : https://afthemes.com/supports/",,hi,unchanged,
,AF themes,,hi,unchanged,
,https://www.afthemes.com/,,hi,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,hi,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,hi,unchanged,
,Dashboard,,hi,new,
,Customize,,hi,unchanged,
,Starter Sites,,hi,unchanged,
,Elementor Kits,,hi,unchanged,
,Block Patterns,,hi,unchanged,
,Upgrade to Pro,,hi,unchanged,
,Upgrade Now,,hi,new,
,The Templatespare plugin should be updated to the latest version,,hi,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,hi,unchanged,
,Blockspare plugin version should be more than %s.,,hi,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,hi,unchanged,
,Elespare plugin version should be more than %s.,,hi,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,hi,unchanged,
,Are you sure you want to install this plugin?,,hi,unchanged,
,Install Now,,hi,unchanged,
,Activate,,hi,unchanged,
,Activated,,hi,unchanged,
,Get Starter Sites,,hi,unchanged,
,Get Started,,hi,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,hi,unchanged,
,By,,hi,unchanged,
,More Details,,hi,unchanged,
,"👋 Welcome, and Thank You!",,hi,new,
,"%s is now active. We’re here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,hi,new,
,🚀 Start With One Click,,hi,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,hi,new,
,View Demos,,hi,new,
,Theme dashboard,,hi,unchanged,
,🤝 We're Here for You,,hi,new,
,Whether you're just starting or customizing your site.,,hi,new,
,Documentation,,hi,unchanged,
,Videos,,hi,unchanged,
,Support,,hi,unchanged,
,Rate This Theme,,hi,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,hi,unchanged,
,"Error - unable to verify nonce, please try again.",,hi,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,hi,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,hi,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,hi,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,hi,unchanged,
,Comments are closed.,,hi,unchanged,
,Theme: %1$s by %2$s.,,hi,unchanged,
,Primary Menu,,hi,unchanged,
,Top Menu,,hi,unchanged,
,Social Menu,,hi,unchanged,
,Footer Menu,,hi,unchanged,
Oswald font: on or off,on,,hi,unchanged,
Lato font: on or off,on,,hi,unchanged,
,Skip to content,,hi,unchanged,
,All,,hi,unchanged,
,Exclusive,,hi,unchanged,
,You may also like,,hi,unchanged,
,Copyright &copy; All rights reserved.,,hi,unchanged,unchanged_like
,Disable Image Tint/Overlay,,hi,unchanged,
,Elegant Magazine Pro,,hi,unchanged,
,Upgrade now,,hi,unchanged,
,Top header background color,,hi,unchanged,
,Top header texts color,,hi,unchanged,
,Frontpage Options,,hi,unchanged,
,Advertisement,,hi,unchanged,
,Banner Section Advertisement,,hi,unchanged,
,Recommended Size %1$s px X %2$s px,,hi,unchanged,
,URL Link,,hi,unchanged,
,Ticker news,,hi,unchanged,
,Enable Ticker News,,hi,unchanged,
,Ticker Title,,hi,unchanged,
,Ticker News Category,,hi,unchanged,
,Select category to be shown on ticker ,,hi,unchanged,
,Main banner news,,hi,unchanged,
,Enable main news section,,hi,unchanged,
,Slider news category,,hi,unchanged,
,Select category to be shown on slider ,,hi,unchanged,
,Featured news category,,hi,unchanged,
,Select category to be shown on featured section ,,hi,unchanged,
,Enable static page content,,hi,unchanged,
,Layout,,hi,unchanged,
,Frontpage Content alignment,,hi,unchanged,
,Select frontpage content alignment,,hi,unchanged,
,Home Content - Home Sidebar,,hi,unchanged,
,Home Sidebar - Home Content,,hi,unchanged,
,Only Home Content,,hi,unchanged,
,Theme Options,,hi,unchanged,
,Preloader,,hi,unchanged,unchanged_like
,Enable preloader,,hi,unchanged,
,Header,,hi,unchanged,
,Transparent top header,,hi,unchanged,
,Show date on top header,,hi,unchanged,
,Show social menu on top header,,hi,unchanged,
,Breadcrumb,,hi,unchanged,
,Show breadcrumbs,,hi,unchanged,
,Content alignment,,hi,unchanged,
,Select global content alignment,,hi,unchanged,
,Content - Primary sidebar,,hi,unchanged,
,Primary sidebar - Content,,hi,unchanged,
,Full width content,,hi,unchanged,
,Image Lazy Loading,,hi,unchanged,
,Enable ,,hi,unchanged,
,Disable,,hi,unchanged,
,Archive,,hi,unchanged,
,Archive layout,,hi,unchanged,
,Select layout for archive,,hi,unchanged,
,Full,,hi,unchanged,
,List,,hi,unchanged,
,Image alignment,,hi,unchanged,
,Select image alignment for archive,,hi,unchanged,
,Left,,hi,unchanged,
,Right,,hi,unchanged,
,Content view,,hi,unchanged,
,Select content view for archive,,hi,unchanged,
,Post excerpt,,hi,unchanged,
,Full Content,,hi,unchanged,
,Related Posts,,hi,unchanged,
,Show on single posts,,hi,unchanged,
,Title,,hi,unchanged,
,Latest blog carousel,,hi,unchanged,
,Show above footer,,hi,unchanged,
,Footer,,hi,unchanged,
,Copyright Text,,hi,unchanged,
,Pages:,,hi,unchanged,
,Layout Options,,hi,unchanged,
