msgctxt,msgid,msgid_plural,target_lang,status,issues
,Elegant Magazine,,pl,unchanged,
,https://www.afthemes.com/products/elegant-magazine/,,pl,unchanged,unchanged_like
,"An elegant and minimalist theme, which is predominantly designed for a web news portal and magazine with an immense research on contemporary online newspapers. With the help of available customizer options and widgets, you can implement layout as a trending news journals, modern fashion magazine, travel blogging & magazine, clean and minimal news sites, blogging site and even more. The theme is SEO friendly with optimized code and awesome support. See our demos: https://afthemes.com/elegant-magazine-demos/ and support at : https://afthemes.com/supports/",,pl,unchanged,
,AF themes,,pl,unchanged,
,https://www.afthemes.com/,,pl,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,pl,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,pl,unchanged,
,Dashboard,,pl,new,
,Customize,,pl,unchanged,
,Starter Sites,,pl,unchanged,
,Elementor Kits,,pl,unchanged,
,Block Patterns,,pl,unchanged,
,Upgrade to Pro,,pl,unchanged,
,Upgrade Now,,pl,new,
,The Templatespare plugin should be updated to the latest version,,pl,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,pl,unchanged,
,Blockspare plugin version should be more than %s.,,pl,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,pl,unchanged,
,Elespare plugin version should be more than %s.,,pl,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,pl,unchanged,
,Are you sure you want to install this plugin?,,pl,unchanged,
,Install Now,,pl,unchanged,
,Activate,,pl,unchanged,
,Activated,,pl,unchanged,
,Get Starter Sites,,pl,unchanged,
,Get Started,,pl,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,pl,unchanged,
,By,,pl,unchanged,
,More Details,,pl,unchanged,
,"👋 Welcome, and Thank You!",,pl,new,
,"%s is now active. We’re here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,pl,new,
,🚀 Start With One Click,,pl,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,pl,new,
,View Demos,,pl,new,
,Theme dashboard,,pl,unchanged,
,🤝 We're Here for You,,pl,new,
,Whether you're just starting or customizing your site.,,pl,new,
,Documentation,,pl,unchanged,
,Videos,,pl,unchanged,
,Support,,pl,unchanged,
,Rate This Theme,,pl,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,pl,unchanged,
,"Error - unable to verify nonce, please try again.",,pl,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,pl,unchanged,
