msgctxt,msgid,msgid_plural,target_lang,status,issues
,Elegant Magazine,,ru,unchanged,
,https://www.afthemes.com/products/elegant-magazine/,,ru,unchanged,unchanged_like
,"An elegant and minimalist theme, which is predominantly designed for a web news portal and magazine with an immense research on contemporary online newspapers. With the help of available customizer options and widgets, you can implement layout as a trending news journals, modern fashion magazine, travel blogging & magazine, clean and minimal news sites, blogging site and even more. The theme is SEO friendly with optimized code and awesome support. See our demos: https://afthemes.com/elegant-magazine-demos/ and support at : https://afthemes.com/supports/",,ru,unchanged,
,AF themes,,ru,unchanged,
,https://www.afthemes.com/,,ru,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,ru,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ru,unchanged,
,Dashboard,,ru,new,
,Customize,,ru,unchanged,
,Starter Sites,,ru,unchanged,
,Elementor Kits,,ru,unchanged,
,Block Patterns,,ru,unchanged,
,Upgrade to Pro,,ru,unchanged,
,Upgrade Now,,ru,new,
,The Templatespare plugin should be updated to the latest version,,ru,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ru,unchanged,
,Blockspare plugin version should be more than %s.,,ru,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ru,unchanged,
,Elespare plugin version should be more than %s.,,ru,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ru,unchanged,
,Are you sure you want to install this plugin?,,ru,unchanged,
,Install Now,,ru,unchanged,
,Activate,,ru,unchanged,
,Activated,,ru,unchanged,
,Get Starter Sites,,ru,unchanged,
,Get Started,,ru,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ru,unchanged,
,By,,ru,unchanged,
,More Details,,ru,unchanged,
,"👋 Welcome, and Thank You!",,ru,new,
,"%s is now active. We’re here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ru,new,
,🚀 Start With One Click,,ru,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ru,new,
,View Demos,,ru,new,
,Theme dashboard,,ru,unchanged,
,🤝 We're Here for You,,ru,new,
,Whether you're just starting or customizing your site.,,ru,new,
,Documentation,,ru,unchanged,
,Videos,,ru,unchanged,
,Support,,ru,unchanged,
,Rate This Theme,,ru,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,ru,unchanged,
,"Error - unable to verify nonce, please try again.",,ru,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,ru,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,ru,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ru,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ru,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ru,unchanged,
,Comments are closed.,,ru,unchanged,
,Theme: %1$s by %2$s.,,ru,unchanged,
,Primary Menu,,ru,unchanged,
,Top Menu,,ru,unchanged,
,Social Menu,,ru,unchanged,
,Footer Menu,,ru,unchanged,
Oswald font: on or off,on,,ru,unchanged,
Lato font: on or off,on,,ru,unchanged,
,Skip to content,,ru,unchanged,
,All,,ru,unchanged,
,Exclusive,,ru,unchanged,
,You may also like,,ru,unchanged,
,Copyright &copy; All rights reserved.,,ru,unchanged,unchanged_like
,Disable Image Tint/Overlay,,ru,unchanged,
,Elegant Magazine Pro,,ru,unchanged,
,Upgrade now,,ru,unchanged,
,Top header background color,,ru,unchanged,
,Top header texts color,,ru,unchanged,
,Frontpage Options,,ru,unchanged,
,Advertisement,,ru,unchanged,
,Banner Section Advertisement,,ru,unchanged,
,Recommended Size %1$s px X %2$s px,,ru,unchanged,
,URL Link,,ru,unchanged,
,Ticker news,,ru,unchanged,
,Enable Ticker News,,ru,unchanged,
,Ticker Title,,ru,unchanged,
,Ticker News Category,,ru,unchanged,
,Select category to be shown on ticker ,,ru,unchanged,
,Main banner news,,ru,unchanged,
,Enable main news section,,ru,unchanged,
,Slider news category,,ru,unchanged,
,Select category to be shown on slider ,,ru,unchanged,
,Featured news category,,ru,unchanged,
,Select category to be shown on featured section ,,ru,unchanged,
,Enable static page content,,ru,unchanged,
,Layout,,ru,unchanged,
,Frontpage Content alignment,,ru,unchanged,
,Select frontpage content alignment,,ru,unchanged,
,Home Content - Home Sidebar,,ru,unchanged,
,Home Sidebar - Home Content,,ru,unchanged,
,Only Home Content,,ru,unchanged,
,Theme Options,,ru,unchanged,
,Preloader,,ru,unchanged,
,Enable preloader,,ru,unchanged,
,Header,,ru,unchanged,
,Transparent top header,,ru,unchanged,
,Show date on top header,,ru,unchanged,
,Show social menu on top header,,ru,unchanged,
,Breadcrumb,,ru,unchanged,
,Show breadcrumbs,,ru,unchanged,
,Content alignment,,ru,unchanged,
,Select global content alignment,,ru,unchanged,
,Content - Primary sidebar,,ru,unchanged,
,Primary sidebar - Content,,ru,unchanged,
,Full width content,,ru,unchanged,
,Image Lazy Loading,,ru,unchanged,
,Enable ,,ru,unchanged,
,Disable,,ru,unchanged,
,Archive,,ru,unchanged,
,Archive layout,,ru,unchanged,
,Select layout for archive,,ru,unchanged,
,Full,,ru,unchanged,
,List,,ru,unchanged,
,Image alignment,,ru,unchanged,
,Select image alignment for archive,,ru,unchanged,
,Left,,ru,unchanged,
,Right,,ru,unchanged,
,Content view,,ru,unchanged,
,Select content view for archive,,ru,unchanged,
,Post excerpt,,ru,unchanged,
,Full Content,,ru,unchanged,
,Related Posts,,ru,unchanged,
,Show on single posts,,ru,unchanged,
,Title,,ru,unchanged,
,Latest blog carousel,,ru,unchanged,
,Show above footer,,ru,unchanged,
,Footer,,ru,unchanged,
,Copyright Text,,ru,unchanged,
,Pages:,,ru,unchanged,
,Layout Options,,ru,unchanged,
,Content - Primary Sidebar,,ru,unchanged,
,Primary Sidebar - Content,,ru,unchanged,
,Templatespare,,ru,unchanged,
,Elespare,,ru,unchanged,
,Blockspare,,ru,unchanged,
,WP Post Author,,ru,unchanged,
,Free Live Chat using 3CX,,ru,unchanged,
,"Howdy, %1$s! We've noticed that you've been using %2$s for some time now, we hope you are loving it! We would appreciate it if you can %3$sgive us a 5 star rating on WordPress.org%4$s! We'll continue to develop exciting new features for free in the future by sharing the love!",,ru,unchanged,
,Sure thing,,ru,unchanged,
,Remind me later,,ru,unchanged,
,I've already done.,,ru,unchanged,
,Got any support queries?,,ru,unchanged,
,/,,ru,unchanged,
,", ",,ru,unchanged,
,Posted in %1$s,,ru,unchanged,
list item separator,", ",,ru,unchanged,
,Tagged %1$s,,ru,unchanged,
,"Leave a Comment<span class=""screen-reader-text""> on %s</span>",,ru,unchanged,
,"Edit <span class=""screen-reader-text"">%s</span>",,ru,unchanged,
,Tags:,,ru,unchanged,
,Action failed. Please refresh the page and retry.,,ru,unchanged,
,Cheatin&#8217; huh?,,ru,unchanged,
,%1$s 🎁 Hope you're loving our free %2$s theme! Dive into the festive spirit with an exclusive gift: %4$s premium features! Use code %3$s at checkout. Wishing you a season filled with joyous holidays and even happier savings! 🎄✨,,ru,unchanged,
,Claim Your Discount,,ru,unchanged,
,Power Bundle,,ru,unchanged,
,All Themes Plan,,ru,unchanged,
,Maybe Later,,ru,unchanged,
,Have Queries?,,ru,unchanged,
,Displays author info.,,ru,unchanged,
,EM Author Info,,ru,unchanged,
,Subtitle,,ru,unchanged,
,Profile image,,ru,unchanged,
,Name,,ru,unchanged,
,Descriptions,,ru,unchanged,
,Facebook,,ru,unchanged,
,Twitter,,ru,unchanged,
,LinkedIn,,ru,unchanged,unchanged_like
,Displays posts carousel from selected category.,,ru,unchanged,
,EM Posts Carousel,,ru,unchanged,
,Select category,,ru,unchanged,
,Displays posts from selected double categories in double column.,,ru,unchanged,
,EM Double Categories Posts ,,ru,unchanged,
,Select first category,,ru,unchanged,
,Select second category,,ru,unchanged,
,Displays posts from selected category in double column.,,ru,unchanged,
,EM Posts - Double Column ,,ru,unchanged,
,Double Column Posts,,ru,unchanged,
,Double Column Posts Subtitle,,ru,unchanged,
,Displays posts from selected category in express column.,,ru,unchanged,
,EM Posts - Express Column ,,ru,unchanged,
,Displays posts from selected category in single column.,,ru,unchanged,
,EM Posts - Single Column ,,ru,unchanged,
,Yes,,ru,unchanged,
,No,,ru,unchanged,
,Show excerpt,,ru,unchanged,
,Displays posts slider from selected category.,,ru,unchanged,
,EM Posts Slider,,ru,unchanged,
,Displays tabbed posts lists from selected settings.,,ru,unchanged,
,EM Tabbed Posts,,ru,unchanged,
,EM Popular,,ru,unchanged,
,EM Latest,,ru,unchanged,
,EM Categorised,,ru,unchanged,
,Popular,,ru,unchanged,
,Recent,,ru,unchanged,
,Categorised,,ru,unchanged,
,Popular Posts,,ru,unchanged,
,Latest Posts,,ru,unchanged,
,Latest,,ru,unchanged,
,Categorised Posts,,ru,unchanged,
,Settings for all tabs,,ru,unchanged,
,Displays social contacts lists from selected settings.,,ru,unchanged,
,EM Social Contacts,,ru,unchanged,
,EM Social,,ru,unchanged,
,Social menu is not set. You need to create menu and assign it to Social Menu on Menu Settings.,,ru,unchanged,
,Upload,,ru,unchanged,
,Select Image,,ru,unchanged,
,Choose Image,,ru,unchanged,
