msgctxt,msgid,msgid_plural,target_lang,status,issues
,EnterNews,,fr,unchanged,
,https://afthemes.com/products/enternews/,,fr,unchanged,unchanged_like
,"EnterNews is the best responsive News and Magazine WordPress Theme. To make a fantastic news website, the theme has a number of free starter sites with a single click import. The theme is completely widgetized, empowering users to control site content with 8+ custom widgets and widget areas. Also it includes default and dark color mode, allowing you to present articles and blog posts in a trendy manner. In addition, it comes with a variety of useful customizer options for creating a stunning newsportal. You can design it however you like and preview the changes using live customizer. It works with Gutenberg WordPress blocks and RTL, as well as the WooCommerce plugin, which helps you to combine an online store with our newspaper style. The theme is perfect for a news, newspaper, magazine, publishing, or review platform, and it's also useful for blogging. It's well-designed to get the website to the top of search engines, and users can get excellent assistance from the team if they run into any issues when using the theme. See more demos and documentaion at: https://afthemes.com/products/enternews/",,fr,unchanged,
,AF themes,,fr,unchanged,
,https://www.afthemes.com/,,fr,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,fr,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,fr,unchanged,
,Dashboard,,fr,new,
,Customize,,fr,unchanged,
,Starter Sites,,fr,unchanged,
,Elementor Kits,,fr,unchanged,
,Block Patterns,,fr,unchanged,
,Upgrade to Pro,,fr,unchanged,
,Upgrade Now,,fr,unchanged,
,The Templatespare plugin should be updated to the latest version,,fr,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,fr,unchanged,
,Blockspare plugin version should be more than %s.,,fr,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,fr,unchanged,
,Elespare plugin version should be more than %s.,,fr,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,fr,unchanged,
,Are you sure you want to install this plugin?,,fr,unchanged,
,Install Now,,fr,unchanged,
,Activate,,fr,unchanged,
,Activated,,fr,unchanged,
,Get Starter Sites,,fr,unchanged,
,Get Started,,fr,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,fr,unchanged,
,By,,fr,unchanged,
,More Details,,fr,unchanged,
,"👋 Welcome, and Thank You!",,fr,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,fr,new,
,🚀 Start With One Click,,fr,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,fr,new,
,View Demos,,fr,new,
,Theme dashboard,,fr,unchanged,
,🤝 We're Here for You,,fr,new,
,Whether you're just starting or customizing your site.,,fr,new,
,Documentation,,fr,unchanged,unchanged_like
,Videos,,fr,unchanged,
,Support,,fr,unchanged,
,⭐ Rate This Theme,,fr,new,
,"Sorry, you are not allowed to install plugins on this site.",,fr,unchanged,
,"Error - unable to verify nonce, please try again.",,fr,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,fr,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,fr,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,fr,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,fr,unchanged,
,Comments are closed.,,fr,unchanged,
,%1$s by %2$s.,,fr,unchanged,
,Primary Menu,,fr,unchanged,
,Social Menu,,fr,unchanged,
,Footer Menu,,fr,unchanged,
