msgctxt,msgid,msgid_plural,target_lang,status,issues
,EnterNews,,ne,unchanged,unchanged_like
,https://afthemes.com/products/enternews/,,ne,unchanged,unchanged_like
,"EnterNews is the best responsive News and Magazine WordPress Theme. To make a fantastic news website, the theme has a number of free starter sites with a single click import. The theme is completely widgetized, empowering users to control site content with 8+ custom widgets and widget areas. Also it includes default and dark color mode, allowing you to present articles and blog posts in a trendy manner. In addition, it comes with a variety of useful customizer options for creating a stunning newsportal. You can design it however you like and preview the changes using live customizer. It works with Gutenberg WordPress blocks and RTL, as well as the WooCommerce plugin, which helps you to combine an online store with our newspaper style. The theme is perfect for a news, newspaper, magazine, publishing, or review platform, and it's also useful for blogging. It's well-designed to get the website to the top of search engines, and users can get excellent assistance from the team if they run into any issues when using the theme. See more demos and documentaion at: https://afthemes.com/products/enternews/",,ne,unchanged,
,AF themes,,ne,unchanged,
,https://www.afthemes.com/,,ne,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,ne,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ne,unchanged,
,Dashboard,,ne,new,
,Customize,,ne,unchanged,
,Starter Sites,,ne,unchanged,
,Elementor Kits,,ne,unchanged,
,Block Patterns,,ne,unchanged,
,Upgrade to Pro,,ne,unchanged,
,Upgrade Now,,ne,unchanged,
,The Templatespare plugin should be updated to the latest version,,ne,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ne,unchanged,
,Blockspare plugin version should be more than %s.,,ne,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ne,unchanged,
,Elespare plugin version should be more than %s.,,ne,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ne,unchanged,
,Are you sure you want to install this plugin?,,ne,unchanged,
,Install Now,,ne,unchanged,
,Activate,,ne,unchanged,
,Activated,,ne,unchanged,
,Get Starter Sites,,ne,unchanged,
,Get Started,,ne,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ne,unchanged,
,By,,ne,unchanged,
,More Details,,ne,unchanged,
,"👋 Welcome, and Thank You!",,ne,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ne,new,
,🚀 Start With One Click,,ne,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ne,new,
,View Demos,,ne,new,
,Theme dashboard,,ne,unchanged,
,🤝 We're Here for You,,ne,new,
,Whether you're just starting or customizing your site.,,ne,new,
,Documentation,,ne,unchanged,
,Videos,,ne,unchanged,
,Support,,ne,unchanged,
,⭐ Rate This Theme,,ne,new,
,"Sorry, you are not allowed to install plugins on this site.",,ne,unchanged,
,"Error - unable to verify nonce, please try again.",,ne,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,ne,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,ne,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ne,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ne,unchanged,
,Comments are closed.,,ne,unchanged,
,%1$s by %2$s.,,ne,unchanged,
,Primary Menu,,ne,unchanged,
,Social Menu,,ne,unchanged,
,Footer Menu,,ne,unchanged,
,Secondary Menu,,ne,unchanged,
%s font: on or off,on,,ne,unchanged,
,Skip to content,,ne,unchanged,
,All,,ne,unchanged,
,Popular Tags,,ne,unchanged,
,Headlines,,ne,unchanged,
,Main News,,ne,unchanged,
,Trending,,ne,unchanged,
,Editor's Pick,,ne,unchanged,
,Featured News,,ne,unchanged,
,Read more,,ne,unchanged,
,More Stories,,ne,unchanged,
,Subscribe To  Our Newsletter,,ne,unchanged,
,You may have missed,,ne,unchanged,
,Copyright &copy; All rights reserved.,,ne,unchanged,unchanged_like
,Watch Online,,ne,unchanged,
,Site Title Size,,ne,unchanged,
,Site Title/Tagline Color,,ne,unchanged,
,Header Image Mode,,ne,unchanged,
,Image visibility may vary as per the mode,,ne,unchanged,
,Set as Background,,ne,unchanged,
,Show Full Image,,ne,unchanged,
,Disable Image Tint/Overlay,,ne,unchanged,
,Background Color will not be applicable for this mode.,,ne,unchanged,
,Site Mode Section ,,ne,unchanged,
,Site Mode,,ne,unchanged,
,Default,,ne,unchanged,
,Dark,,ne,unchanged,
,Main Banner Color Section ,,ne,unchanged,
,Editor's Picks,,ne,unchanged,
,Alternative,,ne,unchanged,
,Enable Container Padding,,ne,unchanged,
,Main Slider,,ne,unchanged,
,Dim,,ne,unchanged,
,Secondary Color,,ne,unchanged,
,EnterNews Pro,,ne,unchanged,
,Frontpage Options,,ne,unchanged,
,Ticker News,,ne,unchanged,
