msgctxt,msgid,msgid_plural,target_lang,status,issues
,Magazine 7,,pl,unchanged,
,https://afthemes.com/products/magazine-7/,,pl,unchanged,unchanged_like
,"Magazine 7 is a clean, elegant and beautiful WordPress theme, which is typically designed for a web blog and magazine with an immense research on modern online news portals. With the help of available customizer options and widgets, you can implement layout as a fashion magazine, restaurant blogging & magazine, e-commerce magazine, personal blog, modern news journals, vibrant news sites and more. The theme is SEO friendly with optimized code and outstanding support. See our demos: https://demos.afthemes.com/magazine-7/, https://demos.afthemes.com/magazine-7/restro/, https://demos.afthemes.com/magazine-7/clean-blog/",,pl,unchanged,
,AF themes,,pl,unchanged,
,https://www.afthemes.com/,,pl,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,pl,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,pl,unchanged,
,Dashboard,,pl,unchanged,
,Customize,,pl,unchanged,
,Starter Sites,,pl,unchanged,
,Elementor Kits,,pl,unchanged,
,Block Patterns,,pl,unchanged,
,Upgrade to Pro,,pl,unchanged,
,Upgrade Now,,pl,unchanged,
,The Templatespare plugin should be updated to the latest version,,pl,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,pl,unchanged,
,Blockspare plugin version should be more than %s.,,pl,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,pl,unchanged,
,Elespare plugin version should be more than %s.,,pl,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,pl,unchanged,
,Are you sure you want to install this plugin?,,pl,unchanged,
,Install Now,,pl,unchanged,
,Activate,,pl,unchanged,
,Activated,,pl,unchanged,
,Get Starter Sites,,pl,unchanged,
,Get Started,,pl,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,pl,unchanged,
,By,,pl,unchanged,
,More Details,,pl,unchanged,
,"👋 Welcome, and Thank You!",,pl,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,pl,unchanged,
,🚀 Start With One Click,,pl,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,pl,unchanged,
,View Demos,,pl,unchanged,
,Theme dashboard,,pl,unchanged,
,🤝 We're Here for You,,pl,unchanged,
,Whether you're just starting or customizing your site.,,pl,unchanged,
,Documentation,,pl,unchanged,
,Videos,,pl,unchanged,
,Support,,pl,unchanged,
,⭐ Rate This Theme,,pl,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,pl,unchanged,
,"Error - unable to verify nonce, please try again.",,pl,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,pl,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,pl,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,unchanged,
,Comments are closed.,,pl,unchanged,
,%1$s by %2$s.,,pl,unchanged,
,Primary Menu,,pl,unchanged,
,Top Menu,,pl,unchanged,
,Social Menu,,pl,unchanged,
,Footer Menu,,pl,unchanged,
Oswald font: on or off,on,,pl,unchanged,
Montserrat font: on or off,on,,pl,unchanged,
,Skip to content,,pl,unchanged,
,All,,pl,unchanged,
,Featured Posts,,pl,unchanged,
,Our Featured Posts,,pl,unchanged,
,Read more,,pl,unchanged,
,Latest Posts,,pl,unchanged,
,Our Latest Posts,,pl,unchanged,
,Copyright &copy; All rights reserved.,,pl,unchanged,unchanged_like
,Site Title Size,,pl,unchanged,
,Site Title/Tagline Color,,pl,unchanged,
,Disable Image Tint/Overlay,,pl,unchanged,
,Magazine 7 Plus,,pl,unchanged,
,Upgrade now,,pl,unchanged,
,Frontpage Options,,pl,unchanged,
,Trending Posts,,pl,unchanged,
,Enable Trending Posts Section,,pl,unchanged,
,Trending Posts Category,,pl,unchanged,
,Select category to be shown on trending posts ,,pl,unchanged,
,Advertisement,,pl,unchanged,
,Banner Section Advertisement,,pl,unchanged,
