msgctxt,msgid,msgid_plural,target_lang,status,issues
,Magnitude,,ja,new,
,https://afthemes.com/products/magnitude/,,ja,new,unchanged_like
,"Magnitude is a clean, elegant WordPress theme, ideal for blogging and magazine online. You can design your website as you like and preview the modifications live using live customizer options and custom widgets. It is compatible with the Gutenberg and RTL along with WooCommerce plugin which helps you to integrate an online business with our newspaper template. It also contains many helpful elements that require an amazing news portal to be built, the theme is ideal for blogging and great for news, newspaper, magazine, publication or review site. The theme is well-optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are number of demos available in this theme so choose the one you like and start to build a website. See our demos: https://demos.afthemes.com/magnitude/, https://demos.afthemes.com/magnitude/newsportal/, https://demos.afthemes.com/magnitude/sport/",,ja,new,
,AF themes,,ja,new,
,https://www.afthemes.com/,,ja,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,ja,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ja,new,
,%s,,ja,new,unchanged_like
,Starter Sites,,ja,new,
,Block Patterns,,ja,new,
,Elementor Kits,,ja,new,
,Customize,,ja,new,
,Settings,,ja,new,
,Upgrade,,ja,new,
,The Templatespare plugin should be updated to the latest version,,ja,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ja,new,
,Blockspare plugin version should be more than %s.,,ja,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ja,new,
,Elespare plugin version should be more than %s.,,ja,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ja,new,
,Are you sure you want to install this plugin?,,ja,new,
,Install Now,,ja,new,
,Activate,,ja,new,
,Activated,,ja,new,
,Get Starter Sites,,ja,new,
,Get Started,,ja,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ja,new,
,By,,ja,new,
,More Details,,ja,new,
,Howdy!,,ja,new,
,%s is now installed and ready to use. We've assembled some links to get you started.,,ja,new,
,Explore Our Pre-Built Starter Websites!,,ja,new,
,"Let your imagination soar! Designed with User-Friendly features, incorporating the Latest Trends and SEO-Friendly Markups. We genuinely appreciate you choosing our theme!",,ja,new,
,Demos/product,,ja,new,
,Theme dashboard,,ja,new,
,Documentation,,ja,new,
,Please check our full documentation for detailed information on how to setup and customize the theme.,,ja,new,
,Docs,,ja,new,
,Videos,,ja,new,
,Blog,,ja,new,
,Rate This Theme,,ja,new,
,"Sorry, you are not allowed to install plugins on this site.",,ja,new,
,"Error - unable to verify nonce, please try again.",,ja,new,
,"Sorry, you are not allowed to activate plugins on this site.",,ja,new,
,One thought on &ldquo;%1$s&rdquo;,,ja,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ja,new,
,Comments are closed.,,ja,new,
,%1$s by %2$s.,,ja,new,
,Primary Menu,,ja,new,
,Social Menu,,ja,new,
,Footer Menu,,ja,new,
Source Sans Pro font: on or off,on,,ja,new,
Lato font: on or off,on,,ja,new,
,Skip to content,,ja,new,
,-- Select --,,ja,new,
,Popular Tags,,ja,new,
,Exclusive,,ja,new,
,Featured Posts,,ja,new,
,Featured Categories,,ja,new,
,Featured Pages,,ja,new,
,Custom Options,,ja,new,
,View More,,ja,new,
,Read More,,ja,new,
,Related Stories,,ja,new,
,Subscribe To  Our Newsletter,,ja,new,
,You may have missed,,ja,new,
,Copyright &copy; All rights reserved.,,ja,new,unchanged_like
,Site Title Size,,ja,new,
,Site Title/Tagline Color,,ja,new,
,Disable Image Tint/Overlay,,ja,new,
,Magnitude Pro,,ja,new,
,Upgrade now,,ja,new,
,Frontpage Options,,ja,new,
,Banner Advertisement,,ja,new,
,Banner Section Advertisement,,ja,new,
,Recommended Size %1$s px X %2$s px,,ja,new,
,URL Link,,ja,new,
,Main Banner Section,,ja,new,
,Enable Main Banner Section,,ja,new,
,Select Banner Mode,,ja,new,
,Wide,,ja,new,
,Boxed,,ja,new,
,Slider Category,,ja,new,
,Select category to be shown on main slider section,,ja,new,
,Top News Category,,ja,new,
,Flash Posts,,ja,new,
,Enable Flash Posts Section,,ja,new,
,Exclusive News Title,,ja,new,
,Flash Posts Category,,ja,new,
,Select category to be shown on trending posts ,,ja,new,
,Disable Banner and Featured Section on Blog,,ja,new,
,The option will the section from blog archive page.,,ja,new,
,Featured Category Section,,ja,new,
,Enable Featured Category Section,,ja,new,
,Section Title,,ja,new,
,Select Category %d,,ja,new,
,Select category to be shown on featured section ,,ja,new,
,Upload Image %d,,ja,new,
,Featured Posts Section,,ja,new,
,Enable Featured Posts Section,,ja,new,
,Featured Title ,,ja,new,
,Select Category ,,ja,new,
,Frontpage Layout Settings,,ja,new,
,Frontpage Content Alignment,,ja,new,
,Select frontpage content alignment,,ja,new,
,Home Content - Home Sidebar,,ja,new,
,Home Sidebar - Home Content,,ja,new,
,Only Home Content,,ja,new,
,Make Frontpage Sidebar Sticky,,ja,new,
,Theme Options,,ja,new,
,Preloader Options,,ja,new,
,Enable Preloader,,ja,new,
,Header Options,,ja,new,
,Show Date on Header,,ja,new,
,Show Social Menu on Header,,ja,new,
,Show breadcrumbs,,ja,new,
,Global Settings,,ja,new,
,Global Content Alignment,,ja,new,
,Content - Primary sidebar,,ja,new,
,Primary sidebar - Content,,ja,new,
,Full width content,,ja,new,
,Post Categories,,ja,new,
,Show,,ja,new,
,Hide,,ja,new,
,Comment Count,,ja,new,
,Minutes Read Count,,ja,new,
,Date and Author,,ja,new,
,Show Date and Author,,ja,new,
,Show Date Only,,ja,new,
,Show Author Only,,ja,new,
,Hide All,,ja,new,
,Date Format,,ja,new,
,Date Format by Theme,,ja,new,
,WordPress Default Date Format,,ja,new,
,Global Excerpt Length,,ja,new,
,Global Excerpt Read More,,ja,new,
,Single Post,,ja,new,
,Show on featured image,,ja,new,
,Posts Featured Image View,,ja,new,
,Select content view for featured image,,ja,new,
,Default,,ja,new,
,Full,,ja,new,
,Social Share Option,,ja,new,
,Social Share from Jetpack plugin,,ja,new,
,Default - Top,,ja,new,
,Bottom,,ja,new,
,Related Posts,,ja,new,
,Show On Single Posts,,ja,new,
,Title,,ja,new,
,Archive Settings,,ja,new,
,Image Alignment,,ja,new,
,Select image alignment for archive,,ja,new,
,Left,,ja,new,
,Right,,ja,new,
,Alternate,,ja,new,
,Content View,,ja,new,
,Select content view for archive,,ja,new,
,Post Excerpt,,ja,new,
,None,,ja,new,
,You May Have Missed,,ja,new,
,Show Latest Posts Section Above Footer,,ja,new,
,Posts Section Title,,ja,new,
,Footer,,ja,new,
,Copyright Text,,ja,new,
,Hide footer Menu Section,,ja,new,
,Pages:,,ja,new,
,Layout Options,,ja,new,
,Set as global layout,,ja,new,
,Content - Primary Sidebar,,ja,new,
,Primary Sidebar - Content,,ja,new,
,No Sidebar,,ja,new,
,Please go to Customize>Frontpage Options for Homepage.,,ja,new,
,Category Color 1,,ja,new,
,Category Color 2,,ja,new,
,Category Color 3,,ja,new,
,Color Class,,ja,new,
,"Select category color class. You can set appropriate categories color on ""Categories"" section of the theme customizer.",,ja,new,
,AF Companion,,ja,new,
,Elespare,,ja,new,
,Blockspare,,ja,new,
,Latest Posts Block,,ja,new,
,Magic Content Box,,ja,new,
,WP Post Author,,ja,new,
,Free Live Chat using 3CX,,ja,new,
,"Howdy, %1$s! We've noticed that you've been using %2$s for some time now, we hope you are loving it! We would appreciate it if you can %3$sgive us a 5 star rating on WordPress.org%4$s! We'll continue to develop exciting new features for free in the future by sharing the love!",,ja,new,
,Sure thing,,ja,new,
,Remind me later,,ja,new,
,I've already done.,,ja,new,
,Got any support queries?,,ja,new,
,Previous,,ja,new,
,Next,,ja,new,
,%s min read,%s min read,ja,new,
,ago,,ja,new,
list item separator, ,,ja,new,"empty,unchanged_like"
,"Edit <span class=""screen-reader-text"">%s</span>",,ja,new,
,Action failed. Please refresh the page and retry.,,ja,new,
,Cheatin&#8217; huh?,,ja,new,
,%1$s 🎁 Hope you're loving our free %2$s theme! Dive into the festive spirit with an exclusive gift: %4$s premium features! Use code %3$s at checkout. Wishing you a season filled with joyous holidays and even happier savings! 🎄✨,,ja,new,
,Claim Your Discount,,ja,new,
,Power Bundle,,ja,new,
,All Themes Plan,,ja,new,
,Maybe Later,,ja,new,
,Have Queries?,,ja,new,
,Displays author info.,,ja,new,
,AFTM Author Info,,ja,new,
,About Store,,ja,new,
,Profile image,,ja,new,
,Name,,ja,new,
,Descriptions,,ja,new,
,Facebook,,ja,new,
,Youtube,,ja,new,
,Twitter,,ja,new,
,Displays posts from 2 selected categories in double column.,,ja,new,
,AFTM Double Categories Posts,,ja,new,
,Big thumb in first and other in list,,ja,new,
,All in list,,ja,new,
,Title 1,,ja,new,
,Select category 1,,ja,new,
,Title 2,,ja,new,
,Select category 2,,ja,new,
,Displays posts from selected category in a grid.,,ja,new,
,AFTM Posts Grid,,ja,new,
,Posts Grid,,ja,new,
,Select category,,ja,new,
,Displays posts from selected category in a list.,,ja,new,
,AFTM Posts List,,ja,new,
,Posts List,,ja,new,
,Displays posts from selected category in single column.,,ja,new,
,AFTM Single Column ,,ja,new,
,Yes,,ja,new,
,No,,ja,new,
,Show excerpt,,ja,new,
,Displays posts slider from selected category.,,ja,new,
,AFTM Posts Slider,,ja,new,
,Displays tabbed posts lists from selected settings.,,ja,new,
,AFTM Tabbed Posts,,ja,new,
,AFTM Popular,,ja,new,
,AFTM Latest,,ja,new,
,Trending,,ja,new,
,Recent,,ja,new,
,Popular,,ja,new,
,Categorised,,ja,new,
,Latest Posts,,ja,new,
,Latest,,ja,new,
,Popular Posts,,ja,new,
,Categorised Posts,,ja,new,
,Enable Categorised Tab,,ja,new,
,Settings for all tabs,,ja,new,
,Show categories,,ja,new,
,Displays social contacts lists from selected settings.,,ja,new,
,AFTM Social Contacts,,ja,new,
,AFTM Social,,ja,new,
,Social menu is not set. You need to create menu and assign it to Social Menu on Menu Settings.,,ja,new,
,Upload,,ja,new,
,Select Image,,ja,new,
,Choose Image,,ja,new,
Remove,X,,ja,new,
,Select Category,,ja,new,
,Main Sidebar,,ja,new,
,Add widgets for Main Sidebar.,,ja,new,
,Off Canvas Section,,ja,new,
,Add widgets for Off Canvas Section,,ja,new,
,Front-page Content Section,,ja,new,
,Add widgets to front-page contents section.,,ja,new,
,Front-page Sidebar Section,,ja,new,
,Add widgets to front-page sidebar section.,,ja,new,
,Footer First Section,,ja,new,
,Displays items on Footer First Column.,,ja,new,
,Footer Second Section,,ja,new,
,Displays items on Footer Second Column.,,ja,new,
,Footer Third Section,,ja,new,
,Displays items on Footer Third Column.,,ja,new,
,View your shopping cart,,ja,new,
,%d item,%d items,ja,new,
,Browse:,,ja,new,
breadcrumbs aria label,Breadcrumbs,,ja,new,
,Home,,ja,new,
,404 Not Found,,ja,new,
,Archives,,ja,new,
,Search results for: %s,,ja,new,
,Page %s,,ja,new,
,Comment Page %s,,ja,new,
,Minute %s,,ja,new,
,Week %s,,ja,new,
minute and hour archives time format,g:i a,,ja,new,unchanged_like
minute archives time format,i,,ja,new,
hour archives time format,g a,,ja,new,
yearly archives date format,Y,,ja,new,unchanged_like
monthly archives date format,F,,ja,new,unchanged_like
daily archives date format,j,,ja,new,unchanged_like
weekly archives date format,W,,ja,new,unchanged_like
,Install Required Plugins,,ja,new,
,Install Plugins,,ja,new,
,Installing Plugin: %s,,ja,new,
,Updating Plugin: %s,,ja,new,
,Something went wrong with the plugin API.,,ja,new,
,This theme requires the following plugin: %1$s.,This theme requires the following plugins: %1$s.,ja,new,
,This theme recommends the following plugin: %1$s.,This theme recommends the following plugins: %1$s.,ja,new,
,The following plugin needs to be updated to its latest version to ensure maximum compatibility with this theme: %1$s.,The following plugins need to be updated to their latest version to ensure maximum compatibility with this theme: %1$s.,ja,new,
,There is an update available for: %1$s.,There are updates available for the following plugins: %1$s.,ja,new,
,The following required plugin is currently inactive: %1$s.,The following required plugins are currently inactive: %1$s.,ja,new,
,The following recommended plugin is currently inactive: %1$s.,The following recommended plugins are currently inactive: %1$s.,ja,new,
,Begin installing plugin,Begin installing plugins,ja,new,
,Begin updating plugin,Begin updating plugins,ja,new,
,Begin activating plugin,Begin activating plugins,ja,new,
