msgctxt,msgid,msgid_plural,target_lang,status,issues
,Magnitude,,pl,new,
,https://afthemes.com/products/magnitude/,,pl,new,unchanged_like
,"Magnitude is a clean, elegant WordPress theme, ideal for blogging and magazine online. You can design your website as you like and preview the modifications live using live customizer options and custom widgets. It is compatible with the Gutenberg and RTL along with WooCommerce plugin which helps you to integrate an online business with our newspaper template. It also contains many helpful elements that require an amazing news portal to be built, the theme is ideal for blogging and great for news, newspaper, magazine, publication or review site. The theme is well-optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are number of demos available in this theme so choose the one you like and start to build a website. See our demos: https://demos.afthemes.com/magnitude/, https://demos.afthemes.com/magnitude/newsportal/, https://demos.afthemes.com/magnitude/sport/",,pl,new,
,AF themes,,pl,new,
,https://www.afthemes.com/,,pl,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,pl,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,pl,new,
,Dashboard,,pl,new,
,Customize,,pl,new,
,Starter Sites,,pl,new,
,Elementor Kits,,pl,new,
,Block Patterns,,pl,new,
,Upgrade to Pro,,pl,new,
,Upgrade Now,,pl,new,
,The Templatespare plugin should be updated to the latest version,,pl,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,pl,new,
,Blockspare plugin version should be more than %s.,,pl,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,pl,new,
,Elespare plugin version should be more than %s.,,pl,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,pl,new,
,Are you sure you want to install this plugin?,,pl,new,
,Install Now,,pl,new,
,Activate,,pl,new,
,Activated,,pl,new,
,Get Starter Sites,,pl,new,
,Get Started,,pl,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,pl,new,
,By,,pl,new,
,More Details,,pl,new,
,"👋 Welcome, and Thank You!",,pl,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,pl,new,
,🚀 Start With One Click,,pl,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,pl,new,
,Demos/product,,pl,new,
,Theme dashboard,,pl,new,
,🤝 We're Here for You,,pl,new,
,Whether you're just starting or customizing your site.,,pl,new,
,Documentation,,pl,new,
,Videos,,pl,new,
,Support,,pl,new,
,⭐ Rate This Theme,,pl,new,
,"Sorry, you are not allowed to install plugins on this site.",,pl,new,
,"Error - unable to verify nonce, please try again.",,pl,new,
,"Sorry, you are not allowed to activate plugins on this site.",,pl,new,
,One thought on &ldquo;%1$s&rdquo;,,pl,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,new,
,Comments are closed.,,pl,new,
,%1$s by %2$s.,,pl,new,
,Primary Menu,,pl,new,
,Social Menu,,pl,new,
,Footer Menu,,pl,new,
Source Sans Pro font: on or off,on,,pl,new,
Lato font: on or off,on,,pl,new,
,Skip to content,,pl,new,
,-- Select --,,pl,new,
,Popular Tags,,pl,new,
,Exclusive,,pl,new,
,Featured Posts,,pl,new,
,Featured Categories,,pl,new,
,Featured Pages,,pl,new,
,Custom Options,,pl,new,
,View More,,pl,new,
,Read More,,pl,new,
,Related Stories,,pl,new,
,Subscribe To  Our Newsletter,,pl,new,
,You may have missed,,pl,new,
,Copyright &copy; All rights reserved.,,pl,new,unchanged_like
,Site Title Size,,pl,new,
,Site Title/Tagline Color,,pl,new,
,Disable Image Tint/Overlay,,pl,new,
,Magnitude Pro,,pl,new,
,Upgrade now,,pl,new,
,Frontpage Options,,pl,new,
,Banner Advertisement,,pl,new,
,Banner Section Advertisement,,pl,new,
,Recommended Size %1$s px X %2$s px,,pl,new,
,URL Link,,pl,new,
,Main Banner Section,,pl,new,
,Enable Main Banner Section,,pl,new,
,Select Banner Mode,,pl,new,
,Wide,,pl,new,
,Boxed,,pl,new,
