msgctxt,msgid,msgid_plural,target_lang,status,issues
,MoreNews,,ja,new,
,https://afthemes.com/products/morenews/,,ja,new,unchanged_like
,"MoreNews is a dynamic, ultra-fast, and highly versatile WordPress theme built not only for News, Magazines, and Blogs but also for Business, eCommerce, and any kind of Website thanks to its new HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, Brizy, Divi, and other popular Page Builders, giving you complete drag-and-drop freedom to design unique layouts without touching code. With 100+ ready-to-import Starter Sites, 30+ Custom Widgets, Advanced Block Patterns, Flexible Banner and Layout Options, AMP support, and full WOOCOMMERCE integration, MoreNews makes it easy to launch anything from a simple Blog to a professional Online Store or a complex Content Hub in minutes. It is fully optimized for SEO, CORE WEB VITALS, Speed, and Responsive Design, ensuring excellent performance on all devices, and is built with WCAG Accessibility, GDPR Compliance, and clean, Lightweight Code for long-term reliability. Multilingual and RTL Ready, with Demo Content available in multiple languages including English, Spanish, German, French, Japanese, Chinese, and Arabic, MoreNews is a future-proof theme designed for creators who value Style, Scalability, and a smooth User Experience across the globe. Explore all features at https://afthemes.com/products/morenews.",,ja,new,
,AF themes,,ja,unchanged,
,https://www.afthemes.com/,,ja,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,ja,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ja,unchanged,
,Dashboard,,ja,unchanged,
,Customize,,ja,unchanged,
,Header Builder,,ja,unchanged,
,Footer Builder,,ja,unchanged,
,Starter Sites,,ja,unchanged,
,Elementor Kits,,ja,unchanged,
,Block Patterns,,ja,unchanged,
,Upgrade to Pro,,ja,new,
,Upgrade Now,,ja,unchanged,
,The Templatespare plugin should be updated to the latest version,,ja,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ja,unchanged,
,Blockspare plugin version should be more than %s.,,ja,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ja,new,
,Elespare plugin version should be more than %s.,,ja,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ja,new,
,Are you sure you want to install this plugin?,,ja,unchanged,
,Install Now,,ja,unchanged,
,Activate,,ja,unchanged,
,Activated,,ja,unchanged,
,Get Starter Sites,,ja,unchanged,
,Get Started,,ja,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ja,unchanged,
,By,,ja,unchanged,
,More Details,,ja,unchanged,
,"👋 Welcome, and Thank You!",,ja,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ja,new,
,🚀 Start With One Click,,ja,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ja,new,
,View Demos,,ja,unchanged,
,Theme dashboard,,ja,unchanged,
,🤝 We're Here for You,,ja,new,
,Whether you're just starting or customizing your site.,,ja,new,
,Documentation,,ja,unchanged,
,Video Tutorials,,ja,new,
,Support,,ja,unchanged,
,⭐ Rate This Theme,,ja,new,
,"Sorry, you are not allowed to install plugins on this site.",,ja,unchanged,
,"Error - unable to verify nonce, please try again.",,ja,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,ja,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,ja,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ja,unchanged,
,Comments are closed.,,ja,unchanged,
,%1$s by %2$s.,,ja,unchanged,
,Primary Menu,,ja,unchanged,
,Social Menu,,ja,unchanged,
,Footer Menu,,ja,unchanged,
,Skip to content,,ja,unchanged,
,Open search form,,ja,unchanged,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,ja,unchanged,
,Hide builder panel,,ja,new,
,Hide Builder,,ja,new,
,Device view controls,,ja,new,
,Choose an Element,,ja,unchanged,
,Close choose element modal,,ja,new,
,Footer Layout,,ja,unchanged,
,Create dynamic header effortlessly with drag-and-drop builder.,,ja,unchanged,
,Header,,ja,new,
,Create dynamic footer effortlessly with drag-and-drop builder.,,ja,unchanged,
,Footer,,ja,unchanged,
,Enable %s Builder,,ja,new,
,Add Element,,ja,unchanged,
,Remove Element,,ja,unchanged,
,Configure Element,,ja,unchanged,
,Desktop,,ja,unchanged,
,Element Settings,,ja,unchanged,
,close Off-Canvas Navigation,,ja,unchanged,
,Site & Logo,,ja,unchanged,
,Site Identity,,ja,unchanged,
,You can change Site Identity from %s.,,ja,new,
,Promotion,,ja,unchanged,
,Off Canvas,,ja,unchanged,
,Off Canvas Widget Area,,ja,unchanged,
,This widget area is used in the mobile off-canvas panel. %s,,ja,new,
,Manage widgets,,ja,new,
,Primary menu,,ja,unchanged,
,Select Menu,,ja,unchanged,
,You can change Menu from menu panel. %s,,ja,new,
,Manage menu,,ja,new,
,Date,,ja,unchanged,
,Choose date format,,ja,unchanged,
,You can change date from general settings (Settings > General > Date Format). %s,,ja,new,
,Manage Date,,ja,new,
,Top Navigation,,ja,unchanged,
,pro,,ja,new,
,Site Mode,,ja,unchanged,
,Custom HTML,,ja,unchanged,
,HTML Content,,ja,unchanged,
,Search,,ja,unchanged,
,Searc Form,,ja,unchanged,
,Custom Link,,ja,unchanged,
,Custom link,,ja,unchanged,
,live,,ja,unchanged,
,Widget 1,,ja,unchanged,
,Select Widget,,ja,unchanged,
,Widget 2,,ja,unchanged,
,Widget 3,,ja,unchanged,
,Navigation,,ja,unchanged,
,Pro,,ja,new,
,Copyright,,ja,unchanged,
,Add widget to display . %s,,ja,new,
,Beta,,ja,new,
,No menu assigned,,ja,unchanged,
,-- Select --,,ja,unchanged,
,Live,,ja,unchanged,
,Popular Tags,,ja,unchanged,
,Exclusive,,ja,unchanged,
,Prime News,,ja,unchanged,
,Related Stories,,ja,unchanged,
,Youtube video Section,,ja,unchanged,
,Featured Videos,,ja,unchanged,
,Express Posts Section,,ja,unchanged,
,Express Posts 1,,ja,unchanged,
,Express Posts 2,,ja,unchanged,
,Posts List Section,,ja,unchanged,
,Posts List %d,,ja,new,
,Posts Carousel,,ja,unchanged,
,Main News,,ja,unchanged,
,Latest,,ja,unchanged,
,Popular,,ja,unchanged,
,Trending,,ja,unchanged,
,Trending Now,,ja,unchanged,
,Update,,ja,unchanged,
,Editor's Picks,,ja,unchanged,
,Trending Story,,ja,unchanged,
,Featured Posts,,ja,unchanged,
,Featured Categories,,ja,unchanged,
,Featured Pages,,ja,unchanged,
,Custom Options,,ja,unchanged,
,Post list Section Title %d,,ja,unchanged,
,View More,,ja,unchanged,
,Read More,,ja,unchanged,
,Subscribe To  Our Newsletter,,ja,unchanged,
,You may have missed,,ja,unchanged,
,Copyright &copy; All rights reserved.,,ja,new,unchanged_like
,Body Background Color,,ja,unchanged,
,Site Title Size,,ja,unchanged,
,Uppercase Site Title and Tagline,,ja,unchanged,
,Site Title/Tagline Color,,ja,unchanged,
,Header Image Mode,,ja,unchanged,
,Image visibility may vary as per the mode,,ja,unchanged,
,Above Site Title,,ja,unchanged,
,Set as Background,,ja,unchanged,
,Show Full Image (Background),,ja,unchanged,
,Disable Image Tint/Overlay,,ja,unchanged,
,MoreNews Pro,,ja,unchanged,
,Site Color Mode,,ja,unchanged,
,Light,,ja,unchanged,
,Dark,,ja,unchanged,
,Primary Color Section ,,ja,unchanged,
,Body Background Color (Dark Mode) will be applied for this mode.,,ja,unchanged,
,Body Background Color (Dark Mode),,ja,unchanged,
,Secondary Color Section ,,ja,unchanged,
,Secondary Color,,ja,unchanged,
,Fonts & Typography,,ja,unchanged,
,Font Family Section,,ja,unchanged,
,Global Fonts Family,,ja,unchanged,
,Google Fonts,,ja,unchanged,
,System Fonts,,ja,unchanged,
,Site Title Font,,ja,unchanged,
,Primary Font,,ja,unchanged,
,Secondary Font,,ja,unchanged,
,Main Banner Options,,ja,unchanged,
,Main Banner,,ja,unchanged,
,Enable Main Banner Section,,ja,unchanged,
,Main Banner Background Image,,ja,unchanged,
