msgctxt,msgid,msgid_plural,target_lang,status,issues
,MoreNews,,nl,new,
,https://afthemes.com/products/morenews/,,nl,new,unchanged_like
,"MoreNews is a dynamic, ultra-fast, and highly versatile WordPress theme built not only for News, Magazines, and Blogs but also for Business, eCommerce, and any kind of Website thanks to its new HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, Brizy, Divi, and other popular Page Builders, giving you complete drag-and-drop freedom to design unique layouts without touching code. With 100+ ready-to-import Starter Sites, 30+ Custom Widgets, Advanced Block Patterns, Flexible Banner and Layout Options, AMP support, and full WOOCOMMERCE integration, MoreNews makes it easy to launch anything from a simple Blog to a professional Online Store or a complex Content Hub in minutes. It is fully optimized for SEO, CORE WEB VITALS, Speed, and Responsive Design, ensuring excellent performance on all devices, and is built with WCAG Accessibility, GDPR Compliance, and clean, Lightweight Code for long-term reliability. Multilingual and RTL Ready, with Demo Content available in multiple languages including English, Spanish, German, French, Japanese, Chinese, and Arabic, MoreNews is a future-proof theme designed for creators who value Style, Scalability, and a smooth User Experience across the globe. Explore all features at https://afthemes.com/products/morenews.",,nl,new,
,AF themes,,nl,unchanged,
,https://www.afthemes.com/,,nl,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,nl,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,nl,unchanged,
,Dashboard,,nl,unchanged,unchanged_like
,Customize,,nl,unchanged,
,Header Builder,,nl,unchanged,
,Footer Builder,,nl,unchanged,
,Starter Sites,,nl,unchanged,
,Elementor Kits,,nl,unchanged,
,Block Patterns,,nl,unchanged,
,Upgrade to Pro,,nl,new,
,Upgrade Now,,nl,unchanged,
,The Templatespare plugin should be updated to the latest version,,nl,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,nl,unchanged,
,Blockspare plugin version should be more than %s.,,nl,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,nl,new,
,Elespare plugin version should be more than %s.,,nl,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,nl,new,
,Are you sure you want to install this plugin?,,nl,unchanged,
,Install Now,,nl,unchanged,
,Activate,,nl,unchanged,
