msgctxt,msgid,msgid_plural,target_lang,status,issues
,MoreNews,,ru,new,
,https://afthemes.com/products/morenews/,,ru,new,unchanged_like
,"MoreNews is a dynamic, ultra-fast, and highly versatile WordPress theme built not only for News, Magazines, and Blogs but also for Business, eCommerce, and any kind of Website thanks to its new HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, Brizy, Divi, and other popular Page Builders, giving you complete drag-and-drop freedom to design unique layouts without touching code. With 100+ ready-to-import Starter Sites, 30+ Custom Widgets, Advanced Block Patterns, Flexible Banner and Layout Options, AMP support, and full WOOCOMMERCE integration, MoreNews makes it easy to launch anything from a simple Blog to a professional Online Store or a complex Content Hub in minutes. It is fully optimized for SEO, CORE WEB VITALS, Speed, and Responsive Design, ensuring excellent performance on all devices, and is built with WCAG Accessibility, GDPR Compliance, and clean, Lightweight Code for long-term reliability. Multilingual and RTL Ready, with Demo Content available in multiple languages including English, Spanish, German, French, Japanese, Chinese, and Arabic, MoreNews is a future-proof theme designed for creators who value Style, Scalability, and a smooth User Experience across the globe. Explore all features at https://afthemes.com/products/morenews.",,ru,new,
,AF themes,,ru,unchanged,
,https://www.afthemes.com/,,ru,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,ru,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ru,unchanged,
,Dashboard,,ru,unchanged,
,Customize,,ru,unchanged,
,Header Builder,,ru,unchanged,
,Footer Builder,,ru,unchanged,
,Starter Sites,,ru,unchanged,
,Elementor Kits,,ru,unchanged,
,Block Patterns,,ru,unchanged,
,Upgrade to Pro,,ru,new,
,Upgrade Now,,ru,unchanged,
,The Templatespare plugin should be updated to the latest version,,ru,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ru,unchanged,
,Blockspare plugin version should be more than %s.,,ru,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ru,new,
,Elespare plugin version should be more than %s.,,ru,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ru,new,
,Are you sure you want to install this plugin?,,ru,unchanged,
,Install Now,,ru,unchanged,
,Activate,,ru,unchanged,
,Activated,,ru,unchanged,
,Get Starter Sites,,ru,unchanged,
,Get Started,,ru,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ru,unchanged,
,By,,ru,unchanged,
,More Details,,ru,unchanged,
,"👋 Welcome, and Thank You!",,ru,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ru,new,
,🚀 Start With One Click,,ru,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ru,new,
,View Demos,,ru,unchanged,
,Theme dashboard,,ru,unchanged,
,🤝 We're Here for You,,ru,new,
,Whether you're just starting or customizing your site.,,ru,new,
,Documentation,,ru,unchanged,
,Video Tutorials,,ru,new,
,Support,,ru,unchanged,
,⭐ Rate This Theme,,ru,new,
,"Sorry, you are not allowed to install plugins on this site.",,ru,unchanged,
,"Error - unable to verify nonce, please try again.",,ru,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,ru,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,ru,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ru,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ru,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ru,unchanged,
,Comments are closed.,,ru,unchanged,
,%1$s by %2$s.,,ru,unchanged,
,Primary Menu,,ru,unchanged,
,Social Menu,,ru,unchanged,
,Footer Menu,,ru,unchanged,
,Skip to content,,ru,unchanged,
,Open search form,,ru,unchanged,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,ru,unchanged,
,Hide builder panel,,ru,new,
,Hide Builder,,ru,new,
,Device view controls,,ru,new,
,Choose an Element,,ru,unchanged,
,Close choose element modal,,ru,new,
,Footer Layout,,ru,unchanged,
,Create dynamic header effortlessly with drag-and-drop builder.,,ru,unchanged,
,Header,,ru,new,
,Create dynamic footer effortlessly with drag-and-drop builder.,,ru,unchanged,
,Footer,,ru,unchanged,
,Enable %s Builder,,ru,new,
,Add Element,,ru,unchanged,
,Remove Element,,ru,unchanged,
,Configure Element,,ru,unchanged,
,Desktop,,ru,unchanged,
,Element Settings,,ru,unchanged,
,close Off-Canvas Navigation,,ru,unchanged,
,Site & Logo,,ru,unchanged,
,Site Identity,,ru,unchanged,
,You can change Site Identity from %s.,,ru,new,
,Promotion,,ru,unchanged,
,Off Canvas,,ru,unchanged,
,Off Canvas Widget Area,,ru,unchanged,
,This widget area is used in the mobile off-canvas panel. %s,,ru,new,
,Manage widgets,,ru,new,
,Primary menu,,ru,unchanged,
,Select Menu,,ru,unchanged,
,You can change Menu from menu panel. %s,,ru,new,
,Manage menu,,ru,new,
,Date,,ru,unchanged,
,Choose date format,,ru,unchanged,
,You can change date from general settings (Settings > General > Date Format). %s,,ru,new,
,Manage Date,,ru,new,
,Top Navigation,,ru,unchanged,
,pro,,ru,new,
,Site Mode,,ru,unchanged,
,Custom HTML,,ru,unchanged,
,HTML Content,,ru,unchanged,
,Search,,ru,unchanged,
,Searc Form,,ru,unchanged,
,Custom Link,,ru,unchanged,
,Custom link,,ru,unchanged,
,live,,ru,unchanged,
,Widget 1,,ru,unchanged,
,Select Widget,,ru,unchanged,
,Widget 2,,ru,unchanged,
,Widget 3,,ru,unchanged,
,Navigation,,ru,unchanged,
,Pro,,ru,new,
,Copyright,,ru,unchanged,
,Add widget to display . %s,,ru,new,
,Beta,,ru,new,
,No menu assigned,,ru,unchanged,
,-- Select --,,ru,unchanged,
,Live,,ru,unchanged,
,Popular Tags,,ru,unchanged,
,Exclusive,,ru,unchanged,
,Prime News,,ru,unchanged,
,Related Stories,,ru,unchanged,
,Youtube video Section,,ru,unchanged,
,Featured Videos,,ru,unchanged,
,Express Posts Section,,ru,unchanged,
,Express Posts 1,,ru,unchanged,
,Express Posts 2,,ru,unchanged,
,Posts List Section,,ru,unchanged,
,Posts List %d,,ru,new,
,Posts Carousel,,ru,unchanged,
,Main News,,ru,unchanged,
,Latest,,ru,unchanged,
,Popular,,ru,unchanged,
,Trending,,ru,unchanged,
,Trending Now,,ru,unchanged,
,Update,,ru,unchanged,
,Editor's Picks,,ru,unchanged,
,Trending Story,,ru,unchanged,
,Featured Posts,,ru,unchanged,
,Featured Categories,,ru,unchanged,
,Featured Pages,,ru,unchanged,
,Custom Options,,ru,unchanged,
,Post list Section Title %d,,ru,unchanged,
,View More,,ru,unchanged,
,Read More,,ru,unchanged,
,Subscribe To  Our Newsletter,,ru,unchanged,
,You may have missed,,ru,unchanged,
,Copyright &copy; All rights reserved.,,ru,new,unchanged_like
,Body Background Color,,ru,unchanged,
,Site Title Size,,ru,unchanged,
,Uppercase Site Title and Tagline,,ru,unchanged,
,Site Title/Tagline Color,,ru,unchanged,
,Header Image Mode,,ru,unchanged,
,Image visibility may vary as per the mode,,ru,unchanged,
,Above Site Title,,ru,unchanged,
,Set as Background,,ru,unchanged,
,Show Full Image (Background),,ru,unchanged,
,Disable Image Tint/Overlay,,ru,unchanged,
,MoreNews Pro,,ru,unchanged,
,Site Color Mode,,ru,unchanged,
,Light,,ru,unchanged,
,Dark,,ru,unchanged,
,Primary Color Section ,,ru,unchanged,
,Body Background Color (Dark Mode) will be applied for this mode.,,ru,unchanged,
