msgctxt,msgid,msgid_plural,target_lang,status,issues
,Newsever,,ar,unchanged,
,https://afthemes.com/products/newsever/,,ar,unchanged,unchanged_like
,"Newsever is an ideal WordPress theme for Best Responsive News and Magazine Site. The theme comes with Default, Dark and Light color mode, which enables you to present articles and blog posts with the trending appearance. You can build your website as you want and preview the changes using live customizer options and custom widgets to create a great news website. It is compatible with the Gutenberg WordPress blocks and RTL along with the plugin WooCommerce that lets you incorporate an online shop with our newspaper design. The theme is great for blogging and ideal for a news site, newspaper, magazine, publishing or review site, as it has many useful features that involve creating an amazing looking newsportal. The theme is well designed to rank your website in the top of the search engines and users can receive outstanding support from the team if any problems occur when using the theme. There are number of demos available in this theme so choose the one you like and start to build a website. See our demos: https://afthemes.com/newsever-an-ideal-wordpress-theme-for-best-responsive-news-and-magazine-sites/",,ar,unchanged,
,AF themes,,ar,unchanged,
,https://www.afthemes.com/,,ar,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,ar,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ar,unchanged,
,Dashboard,,ar,new,
,Customize,,ar,unchanged,
,Starter Sites,,ar,unchanged,
,Elementor Kits,,ar,unchanged,
,Block Patterns,,ar,unchanged,
,Upgrade to Pro,,ar,unchanged,
,Upgrade Now,,ar,new,
,The Templatespare plugin should be updated to the latest version,,ar,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ar,unchanged,
,Blockspare plugin version should be more than %s.,,ar,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ar,unchanged,
,Elespare plugin version should be more than %s.,,ar,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ar,unchanged,
,Are you sure you want to install this plugin?,,ar,unchanged,
,Install Now,,ar,unchanged,
,Activate,,ar,unchanged,
,Activated,,ar,unchanged,
,Get Starter Sites,,ar,unchanged,
,Get Started,,ar,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ar,unchanged,
,By,,ar,unchanged,
,More Details,,ar,unchanged,
,"👋 Welcome, and Thank You!",,ar,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ar,new,
,🚀 Start With One Click,,ar,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ar,new,
,View Demos,,ar,new,
,Theme dashboard,,ar,unchanged,
,🤝 We're Here for You,,ar,new,
,Whether you're just starting or customizing your site.,,ar,new,
,Documentation,,ar,unchanged,
,Videos,,ar,unchanged,
,Support,,ar,unchanged,
,Rate This Theme,,ar,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,ar,unchanged,
,"Error - unable to verify nonce, please try again.",,ar,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,ar,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,ar,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,ar,unchanged,
,Comments are closed.,,ar,unchanged,
,%1$s by %2$s.,,ar,unchanged,
,Primary Menu,,ar,unchanged,
,Social Menu,,ar,unchanged,
,Footer Menu,,ar,unchanged,
,Secondary Menu,,ar,unchanged,
Roboto font: on or off,on,,ar,unchanged,
Barlow font: on or off,on,,ar,unchanged,
Barlow Semi Condensed font: on or off,on,,ar,unchanged,
,Skip to content,,ar,unchanged,
,All,,ar,unchanged,
,Popular Tags,,ar,unchanged,
,Exclusive,,ar,unchanged,
,Breaking News,,ar,unchanged,
,Main News,,ar,unchanged,
,Trending,,ar,unchanged,
,Featured Story,,ar,unchanged,
,Editorials,,ar,unchanged,
,Read more,,ar,unchanged,
,More Stories,,ar,unchanged,
,You may have missed,,ar,unchanged,
,Copyright &copy; All rights reserved.,,ar,unchanged,unchanged_like
,Watch Online,,ar,unchanged,
,Site Title Size,,ar,unchanged,
,Site Title/Tagline Color,,ar,unchanged,
,Disable Image Tint/Overlay,,ar,unchanged,
,Background Color will not be applicable for this mode.,,ar,unchanged,
,Site Color Mode,,ar,unchanged,
,Default,,ar,unchanged,
,Dark,,ar,unchanged,
,Light,,ar,unchanged,
,Newsever Pro,,ar,unchanged,
,Upgrade now,,ar,unchanged,
,Frontpage Options,,ar,unchanged,
,Banner Advertisement,,ar,unchanged,
,Banner Section Advertisement,,ar,unchanged,
,Recommended Size %1$s px X %2$s px,,ar,unchanged,
,URL Link,,ar,unchanged,
,Exclusive Posts,,ar,unchanged,
,Enable Exclusive Posts Section,,ar,unchanged,
,Exclusive News Title,,ar,unchanged,
,Exclusive News Subtitle,,ar,unchanged,
,Exclusive Posts Category,,ar,unchanged,
,Posts to be shown on trending posts ,,ar,unchanged,
,Main Banner Section,,ar,unchanged,
,Enable Main Banner Section,,ar,unchanged,
,Main Slider Section ,,ar,unchanged,
,Section Title,,ar,unchanged,
,Category,,ar,unchanged,
,Posts to be shown on Main News Slider,,ar,unchanged,
,Editorials Section ,,ar,unchanged,
,Posts to be shown on Editorials slider section,,ar,unchanged,
,Trending Section ,,ar,unchanged,
,Select Trending Carousel Position,,ar,unchanged,
,Left,,ar,unchanged,
,Right,,ar,unchanged,
,Posts to be shown on Trending slider section,,ar,unchanged,
,Disable Main Banner section on Static Posts page,,ar,unchanged,
,Frontpage Layout Settings,,ar,unchanged,
,Frontpage Content alignment,,ar,unchanged,
,Select frontpage content alignment,,ar,unchanged,
,Default - Frontpage Layout 1 ,,ar,unchanged,
,Frontpage Layout 2,,ar,unchanged,
,Frontpage Layout 3,,ar,unchanged,
,Make Frontpage Sidebar Sticky,,ar,unchanged,
,Theme Options,,ar,unchanged,
,Preloader Options,,ar,unchanged,
,Enable preloader,,ar,unchanged,
,Global Settings,,ar,unchanged,
,Global Content Alignment,,ar,unchanged,
,Content - Primary sidebar,,ar,unchanged,
,Primary sidebar - Content,,ar,unchanged,
,Full width content,,ar,unchanged,
,Post Categories,,ar,unchanged,
,Show,,ar,unchanged,
,Hide,,ar,unchanged,
,Excerpt Mode,,ar,unchanged,
,Trimmed Content,,ar,unchanged,
,Default Excerpt,,ar,unchanged,
,Breadcrumb Options,,ar,unchanged,
,Show breadcrumbs,,ar,unchanged,
,Select Breadcrumbs,,ar,unchanged,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,ar,unchanged,
,Yoast SEO,,ar,unchanged,
,Rank Math,,ar,unchanged,
,NavXT,,ar,unchanged,
,Header Options,,ar,unchanged,
,Enable Sticky Header,,ar,unchanged,
,Home Menu Icon,,ar,unchanged,
,Custom Link Section ,,ar,unchanged,
,Enable Watch Online Section,,ar,unchanged,
,Title,,ar,unchanged,
,Button Link,,ar,unchanged,
,Comment Count,,ar,unchanged,
,Minutes Read Count,,ar,unchanged,
,Date and Author,,ar,unchanged,
,Show Date and Author,,ar,unchanged,
,Hide All,,ar,unchanged,
,Single Post,,ar,unchanged,
,Show Featured Image,,ar,unchanged,
,Related Posts,,ar,unchanged,
,Archive Settings,,ar,unchanged,
,Image alignment,,ar,unchanged,
,Select image alignment for archive,,ar,unchanged,
,Alternate,,ar,unchanged,
,You May Have Missed,,ar,unchanged,
,Posts Section Title,,ar,unchanged,
,Footer,,ar,unchanged,
,Copyright Text,,ar,unchanged,
,Pages:,,ar,unchanged,
,Advertisemennt,,ar,unchanged,
,Home,,ar,unchanged,
,Menu,,ar,unchanged,
,Layout Options,,ar,unchanged,
,Set as global layout,,ar,unchanged,
,Content - Primary Sidebar,,ar,unchanged,
,Primary Sidebar - Content,,ar,unchanged,
,Category Color 1,,ar,unchanged,
,Category Color 2,,ar,unchanged,
,Category Color 3,,ar,unchanged,
,Color Class,,ar,unchanged,
,"Select category color class. You can set appropriate categories color on ""Categories"" section of the theme customizer.",,ar,unchanged,
,Templatespare,,ar,unchanged,unchanged_like
,Elespare,,ar,unchanged,
,Blockspare,,ar,unchanged,
,WP Post Author,,ar,unchanged,
,Free Live Chat using 3CX,,ar,unchanged,
,"Howdy, %1$s! We've noticed that you've been using %2$s for some time now, we hope you are loving it! We would appreciate it if you can %3$sgive us a 5 star rating on WordPress.org%4$s! We'll continue to develop exciting new features for free in the future by sharing the love!",,ar,unchanged,
,Sure thing,,ar,unchanged,
,Remind me later,,ar,unchanged,
,I've already done.,,ar,unchanged,
,Got any support queries?,,ar,unchanged,
,Previous,,ar,unchanged,
,Next,,ar,unchanged,
,%s min read,%s min read,ar,unchanged,
,%s min read,%s min read,ar,unchanged,
,%s min read,%s min read,ar,unchanged,
,%s min read,%s min read,ar,unchanged,
,%s min read,%s min read,ar,unchanged,
,%s min read,%s min read,ar,unchanged,
,View all posts in %s,,ar,unchanged,
,ago,,ar,unchanged,
,"Edit <span class=""screen-reader-text"">%s</span>",,ar,unchanged,
,Action failed. Please refresh the page and retry.,,ar,unchanged,
,Cheatin&#8217; huh?,,ar,unchanged,
,%1$s 🎁 Hope you're loving our free %2$s theme! Dive into the festive spirit with an exclusive gift: %4$s premium features! Use code %3$s at checkout. Wishing you a season filled with joyous holidays and even happier savings! 🎄✨,,ar,unchanged,
,Claim Your Discount,,ar,unchanged,
,Power Bundle,,ar,unchanged,
,All Themes Plan,,ar,unchanged,
,Maybe Later,,ar,unchanged,
