msgctxt,msgid,msgid_plural,target_lang,status,issues
,Newsever,,it,unchanged,
,https://afthemes.com/products/newsever/,,it,unchanged,unchanged_like
,"Newsever is an ideal WordPress theme for Best Responsive News and Magazine Site. The theme comes with Default, Dark and Light color mode, which enables you to present articles and blog posts with the trending appearance. You can build your website as you want and preview the changes using live customizer options and custom widgets to create a great news website. It is compatible with the Gutenberg WordPress blocks and RTL along with the plugin WooCommerce that lets you incorporate an online shop with our newspaper design. The theme is great for blogging and ideal for a news site, newspaper, magazine, publishing or review site, as it has many useful features that involve creating an amazing looking newsportal. The theme is well designed to rank your website in the top of the search engines and users can receive outstanding support from the team if any problems occur when using the theme. There are number of demos available in this theme so choose the one you like and start to build a website. See our demos: https://afthemes.com/newsever-an-ideal-wordpress-theme-for-best-responsive-news-and-magazine-sites/",,it,unchanged,
,AF themes,,it,unchanged,
,https://www.afthemes.com/,,it,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,it,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,it,unchanged,
,Dashboard,,it,new,
,Customize,,it,unchanged,
,Starter Sites,,it,unchanged,
,Elementor Kits,,it,unchanged,
,Block Patterns,,it,unchanged,
,Upgrade to Pro,,it,unchanged,
,Upgrade Now,,it,new,
,The Templatespare plugin should be updated to the latest version,,it,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,it,unchanged,
,Blockspare plugin version should be more than %s.,,it,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,it,unchanged,
,Elespare plugin version should be more than %s.,,it,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,it,unchanged,
,Are you sure you want to install this plugin?,,it,unchanged,
,Install Now,,it,unchanged,
,Activate,,it,unchanged,
,Activated,,it,unchanged,
,Get Starter Sites,,it,unchanged,
,Get Started,,it,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,it,unchanged,
,By,,it,unchanged,
,More Details,,it,unchanged,
,"👋 Welcome, and Thank You!",,it,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,it,new,
,🚀 Start With One Click,,it,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,it,new,
,View Demos,,it,new,
,Theme dashboard,,it,unchanged,
,🤝 We're Here for You,,it,new,
,Whether you're just starting or customizing your site.,,it,new,
,Documentation,,it,unchanged,
,Videos,,it,unchanged,
,Support,,it,unchanged,
,Rate This Theme,,it,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,it,unchanged,
,"Error - unable to verify nonce, please try again.",,it,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,it,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,it,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,it,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,it,unchanged,
,Comments are closed.,,it,unchanged,
,%1$s by %2$s.,,it,unchanged,
,Primary Menu,,it,unchanged,
,Social Menu,,it,unchanged,
,Footer Menu,,it,unchanged,
,Secondary Menu,,it,unchanged,
Roboto font: on or off,on,,it,unchanged,
Barlow font: on or off,on,,it,unchanged,
Barlow Semi Condensed font: on or off,on,,it,unchanged,
,Skip to content,,it,unchanged,
,All,,it,unchanged,
,Popular Tags,,it,unchanged,
,Exclusive,,it,unchanged,
,Breaking News,,it,unchanged,
,Main News,,it,unchanged,
,Trending,,it,unchanged,
,Featured Story,,it,unchanged,
,Editorials,,it,unchanged,
,Read more,,it,unchanged,
,More Stories,,it,unchanged,
,You may have missed,,it,unchanged,
,Copyright &copy; All rights reserved.,,it,unchanged,unchanged_like
,Watch Online,,it,unchanged,
,Site Title Size,,it,unchanged,
,Site Title/Tagline Color,,it,unchanged,
,Disable Image Tint/Overlay,,it,unchanged,
,Background Color will not be applicable for this mode.,,it,unchanged,
,Site Color Mode,,it,unchanged,
,Default,,it,unchanged,
,Dark,,it,unchanged,
,Light,,it,unchanged,
,Newsever Pro,,it,unchanged,unchanged_like
,Upgrade now,,it,unchanged,
,Frontpage Options,,it,unchanged,
,Banner Advertisement,,it,unchanged,
,Banner Section Advertisement,,it,unchanged,
,Recommended Size %1$s px X %2$s px,,it,unchanged,
,URL Link,,it,unchanged,
,Exclusive Posts,,it,unchanged,
,Enable Exclusive Posts Section,,it,unchanged,
,Exclusive News Title,,it,unchanged,
,Exclusive News Subtitle,,it,unchanged,
,Exclusive Posts Category,,it,unchanged,
,Posts to be shown on trending posts ,,it,unchanged,
,Main Banner Section,,it,unchanged,
,Enable Main Banner Section,,it,unchanged,
,Main Slider Section ,,it,unchanged,
,Section Title,,it,unchanged,
,Category,,it,unchanged,
,Posts to be shown on Main News Slider,,it,unchanged,
,Editorials Section ,,it,unchanged,
,Posts to be shown on Editorials slider section,,it,unchanged,
,Trending Section ,,it,unchanged,
,Select Trending Carousel Position,,it,unchanged,
,Left,,it,unchanged,
,Right,,it,unchanged,
,Posts to be shown on Trending slider section,,it,unchanged,
,Disable Main Banner section on Static Posts page,,it,unchanged,
,Frontpage Layout Settings,,it,unchanged,
,Frontpage Content alignment,,it,unchanged,
,Select frontpage content alignment,,it,unchanged,
,Default - Frontpage Layout 1 ,,it,unchanged,
,Frontpage Layout 2,,it,unchanged,
,Frontpage Layout 3,,it,unchanged,
,Make Frontpage Sidebar Sticky,,it,unchanged,
,Theme Options,,it,unchanged,
,Preloader Options,,it,unchanged,
,Enable preloader,,it,unchanged,
,Global Settings,,it,unchanged,
,Global Content Alignment,,it,unchanged,
,Content - Primary sidebar,,it,unchanged,
,Primary sidebar - Content,,it,unchanged,
,Full width content,,it,unchanged,
,Post Categories,,it,unchanged,
,Show,,it,unchanged,
,Hide,,it,unchanged,
,Excerpt Mode,,it,unchanged,
,Trimmed Content,,it,unchanged,
,Default Excerpt,,it,unchanged,
,Breadcrumb Options,,it,unchanged,
,Show breadcrumbs,,it,unchanged,
,Select Breadcrumbs,,it,unchanged,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,it,unchanged,
,Yoast SEO,,it,unchanged,
,Rank Math,,it,unchanged,
,NavXT,,it,unchanged,unchanged_like
,Header Options,,it,unchanged,
,Enable Sticky Header,,it,unchanged,
,Home Menu Icon,,it,unchanged,
,Custom Link Section ,,it,unchanged,
,Enable Watch Online Section,,it,unchanged,
,Title,,it,unchanged,
,Button Link,,it,unchanged,
,Comment Count,,it,unchanged,
,Minutes Read Count,,it,unchanged,
,Date and Author,,it,unchanged,
,Show Date and Author,,it,unchanged,
,Hide All,,it,unchanged,
,Single Post,,it,unchanged,
,Show Featured Image,,it,unchanged,
,Related Posts,,it,unchanged,
,Archive Settings,,it,unchanged,
,Image alignment,,it,unchanged,
,Select image alignment for archive,,it,unchanged,
,Alternate,,it,unchanged,
,You May Have Missed,,it,unchanged,
,Posts Section Title,,it,unchanged,
,Footer,,it,unchanged,
,Copyright Text,,it,unchanged,
,Pages:,,it,unchanged,
,Advertisemennt,,it,unchanged,
,Home,,it,unchanged,
,Menu,,it,unchanged,unchanged_like
,Layout Options,,it,unchanged,
,Set as global layout,,it,unchanged,
,Content - Primary Sidebar,,it,unchanged,
,Primary Sidebar - Content,,it,unchanged,
,Category Color 1,,it,unchanged,
,Category Color 2,,it,unchanged,
,Category Color 3,,it,unchanged,
,Color Class,,it,unchanged,
,"Select category color class. You can set appropriate categories color on ""Categories"" section of the theme customizer.",,it,unchanged,
,Templatespare,,it,unchanged,unchanged_like
,Elespare,,it,unchanged,unchanged_like
,Blockspare,,it,unchanged,unchanged_like
,WP Post Author,,it,unchanged,
,Free Live Chat using 3CX,,it,unchanged,
,"Howdy, %1$s! We've noticed that you've been using %2$s for some time now, we hope you are loving it! We would appreciate it if you can %3$sgive us a 5 star rating on WordPress.org%4$s! We'll continue to develop exciting new features for free in the future by sharing the love!",,it,unchanged,
,Sure thing,,it,unchanged,
,Remind me later,,it,unchanged,
,I've already done.,,it,unchanged,
,Got any support queries?,,it,unchanged,
,Previous,,it,unchanged,
,Next,,it,unchanged,
,%s min read,%s min read,it,unchanged,
,%s min read,%s min read,it,unchanged,
,View all posts in %s,,it,unchanged,
,ago,,it,unchanged,
,"Edit <span class=""screen-reader-text"">%s</span>",,it,unchanged,
,Action failed. Please refresh the page and retry.,,it,unchanged,
,Cheatin&#8217; huh?,,it,unchanged,
,%1$s 🎁 Hope you're loving our free %2$s theme! Dive into the festive spirit with an exclusive gift: %4$s premium features! Use code %3$s at checkout. Wishing you a season filled with joyous holidays and even happier savings! 🎄✨,,it,unchanged,
,Claim Your Discount,,it,unchanged,
,Power Bundle,,it,unchanged,
,All Themes Plan,,it,unchanged,
,Maybe Later,,it,unchanged,
,Have Queries?,,it,unchanged,
,Displays author info.,,it,unchanged,
,AFTN Author Info,,it,unchanged,
,Dim,,it,unchanged,
,Alternative,,it,unchanged,
,About Author,,it,unchanged,
,Profile image,,it,unchanged,
,Name,,it,unchanged,
,Descriptions,,it,unchanged,
,Facebook,,it,unchanged,unchanged_like
,Instagram,,it,unchanged,unchanged_like
,Youtube,,it,unchanged,unchanged_like
,Select Background,,it,unchanged,
,Displays posts from 2 selected categories in double column.,,it,unchanged,
,AFTN Double Categories Posts,,it,unchanged,
,Big thumb in first and other in list,,it,unchanged,
,All in list,,it,unchanged,
,Title 1,,it,unchanged,
,Select category 1,,it,unchanged,
,Title 2,,it,unchanged,
,Select category 2,,it,unchanged,
,Displays posts from selected category in an express list.,,it,unchanged,
,AFTN Posts Express List,,it,unchanged,
,Secondary Color,,it,unchanged,
,Posts Express List,,it,unchanged,
,Select category,,it,unchanged,
,Displays posts from selected category in a grid.,,it,unchanged,
,AFTN Posts Grid,,it,unchanged,
,Yes,,it,unchanged,
,No,,it,unchanged,unchanged_like
,Posts Grid,,it,unchanged,
,Displays posts from selected category in a list.,,it,unchanged,
,AFTN Posts List,,it,unchanged,
,Posts List,,it,unchanged,
,Displays posts from selected category in single column.,,it,unchanged,
,AFTN Single Column ,,it,unchanged,
,Displays posts slider from selected category.,,it,unchanged,
,AFTN Posts Slider,,it,unchanged,
,Displays tabbed posts lists from selected settings.,,it,unchanged,
,AFTN Tabbed Posts,,it,unchanged,
,AFTN Popular,,it,unchanged,
,AFTN Latest,,it,unchanged,
,Recent,,it,unchanged,
,Popular,,it,unchanged,
,Categorised,,it,unchanged,
,Latest Posts,,it,unchanged,
,Latest,,it,unchanged,
,Popular Posts,,it,unchanged,
,Categorised Posts,,it,unchanged,
,Enable Categorised Tab,,it,unchanged,
,Settings for all tabs,,it,unchanged,
,Displays social contacts lists from selected settings.,,it,unchanged,
,AFTN Social Contacts,,it,unchanged,
,AFTN Social,,it,unchanged,
,Social menu is not set. You need to create menu and assign it to Social Menu on Menu Settings.,,it,unchanged,
,Upload,,it,unchanged,
,Select Image,,it,unchanged,
,Choose Image,,it,unchanged,
Remove,X,,it,unchanged,unchanged_like
,Select Category,,it,unchanged,
,Main Sidebar,,it,unchanged,
,Add widgets for main sidebar.,,it,unchanged,
,Off Canvas,,it,unchanged,
,Add widgets for off-canvas section.,,it,unchanged,
,Front-page Content Section,,it,unchanged,
,Add widgets to front-page contents section.,,it,unchanged,
,Front-page Primary Sidebar,,it,unchanged,
,Add widgets to front-page first sidebar section.,,it,unchanged,
,Front-page Secondary Sidebar,,it,unchanged,
,Add widgets to front-page second sidebar section.,,it,unchanged,
,Footer First Section,,it,unchanged,
,Displays items on footer first column.,,it,unchanged,
,Footer Second Section,,it,unchanged,
,Displays items on footer second column.,,it,unchanged,
,Footer Third Section,,it,unchanged,
,Displays items on footer third column.,,it,unchanged,
,View your shopping cart,,it,unchanged,
,%d item,%d items,it,unchanged,
,%d item,%d items,it,unchanged,
,Browse:,,it,unchanged,
breadcrumbs aria label,Breadcrumbs,,it,unchanged,
,404 Not Found,,it,unchanged,
,Archives,,it,unchanged,
,Search results for: %s,,it,unchanged,
,Page %s,,it,unchanged,
,Comment Page %s,,it,unchanged,
,Minute %s,,it,unchanged,
,Week %s,,it,unchanged,
minute and hour archives time format,g:i a,,it,unchanged,
minute archives time format,i,,it,unchanged,
hour archives time format,g a,,it,unchanged,unchanged_like
yearly archives date format,Y,,it,unchanged,unchanged_like
monthly archives date format,F,,it,unchanged,unchanged_like
daily archives date format,j,,it,unchanged,unchanged_like
weekly archives date format,W,,it,unchanged,unchanged_like
,Install Required Plugins,,it,unchanged,
,Install Plugins,,it,unchanged,
,Installing Plugin: %s,,it,unchanged,
,Updating Plugin: %s,,it,unchanged,
,Something went wrong with the plugin API.,,it,unchanged,
,This theme requires the following plugin: %1$s.,This theme requires the following plugins: %1$s.,it,unchanged,
,This theme requires the following plugin: %1$s.,This theme requires the following plugins: %1$s.,it,unchanged,
,This theme recommends the following plugin: %1$s.,This theme recommends the following plugins: %1$s.,it,unchanged,
,This theme recommends the following plugin: %1$s.,This theme recommends the following plugins: %1$s.,it,unchanged,
,The following plugin needs to be updated to its latest version to ensure maximum compatibility with this theme: %1$s.,The following plugins need to be updated to their latest version to ensure maximum compatibility with this theme: %1$s.,it,unchanged,
,The following plugin needs to be updated to its latest version to ensure maximum compatibility with this theme: %1$s.,The following plugins need to be updated to their latest version to ensure maximum compatibility with this theme: %1$s.,it,unchanged,
,There is an update available for: %1$s.,There are updates available for the following plugins: %1$s.,it,unchanged,
,There is an update available for: %1$s.,There are updates available for the following plugins: %1$s.,it,unchanged,
,The following required plugin is currently inactive: %1$s.,The following required plugins are currently inactive: %1$s.,it,unchanged,
,The following required plugin is currently inactive: %1$s.,The following required plugins are currently inactive: %1$s.,it,unchanged,
,The following recommended plugin is currently inactive: %1$s.,The following recommended plugins are currently inactive: %1$s.,it,unchanged,
,The following recommended plugin is currently inactive: %1$s.,The following recommended plugins are currently inactive: %1$s.,it,unchanged,
,Begin installing plugin,Begin installing plugins,it,unchanged,
,Begin installing plugin,Begin installing plugins,it,unchanged,
,Begin updating plugin,Begin updating plugins,it,unchanged,
,Begin updating plugin,Begin updating plugins,it,unchanged,
,Begin activating plugin,Begin activating plugins,it,unchanged,
,Begin activating plugin,Begin activating plugins,it,unchanged,
,Return to Required Plugins Installer,,it,unchanged,
,Return to the Dashboard,,it,unchanged,
,Plugin activated successfully.,,it,unchanged,
,The following plugin was activated successfully:,The following plugins were activated successfully:,it,unchanged,
,The following plugin was activated successfully:,The following plugins were activated successfully:,it,unchanged,
,No action taken. Plugin %1$s was already active.,,it,unchanged,
,Plugin not activated. A higher version of %s is needed for this theme. Please update the plugin.,,it,unchanged,
,All plugins installed and activated successfully. %1$s,,it,unchanged,
,Dismiss this notice,,it,unchanged,
,"There are one or more required or recommended plugins to install, update or activate.",,it,unchanged,
,Please contact the administrator of this site for help.,,it,unchanged,
,This plugin needs to be updated to be compatible with your theme.,,it,unchanged,
,Update Required,,it,unchanged,
,The remote plugin package does not contain a folder with the desired slug and renaming did not work.,,it,unchanged,
,Please contact the plugin provider and ask them to package their plugin according to the WordPress guidelines.,,it,unchanged,
,"The remote plugin package consists of more than one file, but the files are not packaged in a folder.",,it,unchanged,
plugin A *and* plugin B,and,,it,unchanged,
,TGMPA v%s,,it,unchanged,unchanged_like
,Required,,it,unchanged,
,Recommended,,it,unchanged,
,WordPress Repository,,it,unchanged,
,External Source,,it,unchanged,
,Pre-Packaged,,it,unchanged,
,Not Installed,,it,unchanged,
,Installed But Not Activated,,it,unchanged,
,Active,,it,unchanged,
,Required Update not Available,,it,unchanged,
,Requires Update,,it,unchanged,
,Update recommended,,it,unchanged,
Install/Update Status,"%1$s, %2$s",,it,unchanged,unchanged_like
plugins,"All <span class=""count"">(%s)</span>","All <span class=""count"">(%s)</span>",it,unchanged,
plugins,"All <span class=""count"">(%s)</span>","All <span class=""count"">(%s)</span>",it,unchanged,
,"To Install <span class=""count"">(%s)</span>","To Install <span class=""count"">(%s)</span>",it,unchanged,
,"To Install <span class=""count"">(%s)</span>","To Install <span class=""count"">(%s)</span>",it,unchanged,
,"Update Available <span class=""count"">(%s)</span>","Update Available <span class=""count"">(%s)</span>",it,unchanged,
,"Update Available <span class=""count"">(%s)</span>","Update Available <span class=""count"">(%s)</span>",it,unchanged,
,"To Activate <span class=""count"">(%s)</span>","To Activate <span class=""count"">(%s)</span>",it,unchanged,
,"To Activate <span class=""count"">(%s)</span>","To Activate <span class=""count"">(%s)</span>",it,unchanged,
"as in: ""version nr unknown""",unknown,,it,unchanged,
,Installed version:,,it,unchanged,
,Minimum required version:,,it,unchanged,
,Available version:,,it,unchanged,
,"No plugins to install, update or activate.",,it,unchanged,
,Plugin,,it,unchanged,
,Source,,it,unchanged,
,Type,,it,unchanged,
,Version,,it,unchanged,
,Status,,it,unchanged,
,Install %2$s,,it,unchanged,
,Update %2$s,,it,unchanged,
,Activate %2$s,,it,unchanged,
,Upgrade message from the plugin author:,,it,unchanged,
,Install,,it,unchanged,
,Update,,it,unchanged,
,No plugins were selected to be installed. No action taken.,,it,unchanged,
,No plugins were selected to be updated. No action taken.,,it,unchanged,
,No plugins are available to be installed at this time.,,it,unchanged,
,No plugins are available to be updated at this time.,,it,unchanged,
,No plugins were selected to be activated. No action taken.,,it,unchanged,
,No plugins are available to be activated at this time.,,it,unchanged,
,Plugin activation failed.,,it,unchanged,
,Updating Plugin %1$s (%2$d/%3$d),,it,unchanged,
