msgctxt,msgid,msgid_plural,target_lang,status,issues
,Newsium,,pl,unchanged,unchanged_like
,https://afthemes.com/products/newsium/,,pl,unchanged,unchanged_like
,"Newsium is a WordPress theme for the Best Responsive News Magazine that allows you to easily write articles and blog posts. Using live customizer options and custom widgets to create a great news website, you can design your website as you like and preview the changes. It is compatible with the Gutenberg and RTL along with WooCommerce plugin which helps you to integrate an online business with our newspaper template. As it includes many useful features that require to build an awesome looking newsportal, the theme is perfect for blogging and excellent for a news, newspaper, magazine, publishing or review site. The theme is well optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are number of demos available in this theme so choose the one you like and start to build a website.  See our demos: https://afthemes.com/products/newsium/",,pl,unchanged,
,AF themes,,pl,unchanged,
,https://www.afthemes.com/,,pl,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,pl,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,pl,unchanged,
,Dashboard,,pl,new,
,Customize,,pl,unchanged,
,Starter Sites,,pl,unchanged,
,Elementor Kits,,pl,unchanged,
,Block Patterns,,pl,unchanged,
,Upgrade to Pro,,pl,unchanged,
,Upgrade Now,,pl,unchanged,
,The Templatespare plugin should be updated to the latest version,,pl,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,pl,unchanged,
,Blockspare plugin version should be more than %s.,,pl,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,pl,unchanged,
,Elespare plugin version should be more than %s.,,pl,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,pl,unchanged,
,Are you sure you want to install this plugin?,,pl,unchanged,
,Install Now,,pl,unchanged,
,Activate,,pl,unchanged,
,Activated,,pl,unchanged,
,Get Starter Sites,,pl,unchanged,
,Get Started,,pl,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,pl,unchanged,
,By,,pl,unchanged,
,More Details,,pl,unchanged,
,"👋 Welcome, and Thank You!",,pl,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,pl,new,
,🚀 Start With One Click,,pl,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,pl,new,
,View Demos,,pl,new,
,Theme dashboard,,pl,unchanged,
,🤝 We're Here for You,,pl,new,
,Whether you're just starting or customizing your site.,,pl,new,
,Documentation,,pl,unchanged,
,Videos,,pl,unchanged,
,Support,,pl,unchanged,
,⭐ Rate This Theme,,pl,new,
,"Sorry, you are not allowed to install plugins on this site.",,pl,unchanged,
,"Error - unable to verify nonce, please try again.",,pl,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,pl,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,pl,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,unchanged,
,Comments are closed.,,pl,unchanged,
,%1$s by %2$s.,,pl,unchanged,
,Primary Menu,,pl,unchanged,
,Social Menu,,pl,unchanged,
,Footer Menu,,pl,unchanged,
,Secondary Menu,,pl,unchanged,
Roboto font: on or off,on,,pl,unchanged,
Lato font: on or off,on,,pl,unchanged,
,Skip to content,,pl,unchanged,
,All,,pl,unchanged,
,Popular Tags,,pl,unchanged,
,Exclusive,,pl,unchanged,
,Breaking News,,pl,unchanged,
,Editor's Picks,,pl,unchanged,
,Trending Story,,pl,unchanged,
,Featured Story,,pl,unchanged,
,Editor's Pick,,pl,unchanged,
,Read more,,pl,unchanged,
,More Stories,,pl,unchanged,
,Subscribe To  Our Newsletter,,pl,unchanged,
,You may have missed,,pl,unchanged,
,Copyright &copy; All rights reserved.,,pl,unchanged,unchanged_like
,Watch Online,,pl,unchanged,
,Site Title Size,,pl,unchanged,
,Site Title/Tagline Color,,pl,unchanged,
,Disable Image Tint/Overlay,,pl,unchanged,
,Newsium Pro,,pl,unchanged,unchanged_like
,Upgrade now,,pl,unchanged,
,Frontpage Options,,pl,unchanged,
,Banner Advertisement,,pl,unchanged,
,Banner Section Advertisement,,pl,unchanged,
,Recommended Size %1$s px X %2$s px,,pl,unchanged,
,URL Link,,pl,unchanged,
