msgctxt,msgid,msgid_plural,target_lang,status,issues
,Newsphere,,es,new,
,https://afthemes.com/products/newsphere/,,es,new,unchanged_like
,"Newsphere is a perfect news and magazine responsive WordPress theme that lets you write articles and blog posts with ease. Create a great news website the help of live customizer options and custom widgets, you can design your website as you like and preview the changes live. It is compatible with the Gutenberg and RTL along with WooCommerce plugin which helps you to integrate an online business with our newspaper template. As it includes many useful features that require to build an awesome looking newsportal, the theme is perfect for blogging and excellent for a news, newspaper, magazine, publishing or review site. The theme is well optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are number of demos available in this theme so choose the one you like and start to build a website. See our demos: https://afthemes.com/products/newsphere/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ and Docs: https://docs.afthemes.com/newsphere/",,es,new,
,AF themes,,es,new,
,https://www.afthemes.com/,,es,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,es,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,es,new,
,Dashboard,,es,new,
,Customize,,es,new,
,Starter Sites,,es,new,
,Elementor Kits,,es,new,
,Block Patterns,,es,new,
,Upgrade to Pro,,es,new,
,Upgrade Now,,es,new,
,The Templatespare plugin should be updated to the latest version,,es,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,es,new,
,Blockspare plugin version should be more than %s.,,es,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,es,new,
,Elespare plugin version should be more than %s.,,es,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,es,new,
,Are you sure you want to install this plugin?,,es,new,
,Install Now,,es,new,
,Activate,,es,new,
,Activated,,es,new,
,Get Starter Sites,,es,new,
,Get Started,,es,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,es,new,
,By,,es,new,
,More Details,,es,new,
,"👋 Welcome, and Thank You!",,es,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.

        ",,es,new,
,🚀 Start With One Click,,es,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,es,new,
,View Demos,,es,new,
,Theme dashboard,,es,new,
,🤝 We're Here for You,,es,new,
,Whether you're just starting or customizing your site.,,es,new,
,Documentation,,es,new,
,Videos,,es,new,
,Support,,es,new,
,⭐ Rate This Theme,,es,new,
,"Sorry, you are not allowed to install plugins on this site.",,es,new,
,"Error - unable to verify nonce, please try again.",,es,new,
,"Sorry, you are not allowed to activate plugins on this site.",,es,new,
,One thought on &ldquo;%1$s&rdquo;,,es,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,es,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,es,new,
,Comments are closed.,,es,new,
,%1$s by %2$s.,,es,new,
,Primary Menu,,es,new,
,Social Menu,,es,new,
,Footer Menu,,es,new,
Roboto Sans Pro font: on or off,on,,es,new,
Rubik font: on or off,on,,es,new,
,Skip to content,,es,new,
,All,,es,new,
,Popular Tags,,es,new,
,Exclusive,,es,new,
,Latest,,es,new,
,Popular,,es,new,unchanged_like
,Trending,,es,new,
,Editor's Picks,,es,new,
,Trending Story,,es,new,
,Featured Story,,es,new,
,Editor's Pick,,es,new,
,Read more,,es,new,
,More Stories,,es,new,
,You may have missed,,es,new,
,Copyright &copy; All rights reserved.,,es,new,unchanged_like
,Site Title Size,,es,new,
,Site Title/Tagline Color,,es,new,
,Disable Image Tint/Overlay,,es,new,
,Newsphere Pro,,es,new,
,Upgrade now,,es,new,
,Global Color Section ,,es,new,
,Background Color will not be applicable for this mode.,,es,new,
,Site Color Mode,,es,new,
,Default,,es,new,
,Light,,es,new,
,Dark,,es,new,
,Primary Color,,es,new,
,Secondary Color,,es,new,
,Single Title Color,,es,new,
,General Link Color,,es,new,
,Box color,,es,new,
,Post Format Icon,,es,new,
,Top Header Section ,,es,new,
,Background color,,es,new,
,Texts color,,es,new,
,Main Navigation Section ,,es,new,
,Background Color,,es,new,
,Menu Item Color,,es,new,
,Badge Background,,es,new,
,Badge Color,,es,new,
,Main Banner Section ,,es,new,
,Foreground color,,es,new,
,Archive/Widget Section ,,es,new,
,Post Title,,es,new,
,Post Title Over Image,,es,new,
,Mailchimp Section ,,es,new,
,Title color,,es,new,
,Category Colors,,es,new,
,Category %d Background Color,,es,new,
,Fonts & Typography,,es,new,
,Primary Font,,es,new,
,Secondary Font,,es,new,
,Global Letter Spacing,,es,new,
,Global Line height,,es,new,
,Main Banner Slider Caption Size,,es,new,
,Global Section Title Size,,es,new,
,Page/Posts Title Size,,es,new,
,Frontpage Options,,es,new,
,Banner Advertisement,,es,new,
,Banner Section Advertisement,,es,new,
,Recommended Size %1$s px X %2$s px,,es,new,
,URL Link,,es,new,
,Enable Popular Tags Section,,es,new,
,Section Title,,es,new,
,Exclusive Posts,,es,new,
,Enable Exclusive Posts Section,,es,new,
,Exclusive Story Title,,es,new,
,Exclusive Posts Category,,es,new,
,Posts to be shown on trending posts ,,es,new,
,Main Banner Section,,es,new,
,Enable Main Banner Section,,es,new,
,Background image,,es,new,
,Transparent Main Banner Boxes,,es,new,
,Vertical Slider Section ,,es,new,
,Category,,es,new,
,Posts to be shown on vertical slider section,,es,new,
,Main Slider Section ,,es,new,
,Posts to be shown on main slider section,,es,new,
,Tabbed Section ,,es,new,
,Latest Tab Title,,es,new,
,Popular Tab Title,,es,new,
,Trending Tab Title,,es,new,
,Posts to be shown on trending tab,,es,new,
,Disable Main Banner section on Static Posts page,,es,new,
,Featured Section,,es,new,
,Enable Featured Posts Section,,es,new,
,Featured Posts Section Title,,es,new,
,Featured Posts Category,,es,new,
,Posts to be shown on featured section ,,es,new,
,Frontpage Layout Settings,,es,new,
,Frontpage Content alignment,,es,new,
,Select frontpage content alignment,,es,new,
,Home Content - Home Sidebar,,es,new,
,Home Sidebar - Home Content,,es,new,
,Only Home Content,,es,new,
,Theme Options,,es,new,
,Preloader Options,,es,new,
,Enable preloader,,es,new,
,Header Options,,es,new,
,Show date on top header,,es,new,
,Show social menu on top header,,es,new,
,Show breadcrumbs,,es,new,
,Select Breadcrumbs,,es,new,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,es,new,
,Yoast SEO,,es,new,unchanged_like
,Rank Math,,es,new,
,NavXT,,es,new,unchanged_like
,Sidebar Settings,,es,new,
,Enable Sticky Sidebar,,es,new,
,Sidebar Sticky Position,,es,new,
,Top,,es,new,
,Bottom,,es,new,
,Global Settings,,es,new,
,Language Switcher Shortcode,,es,new,
,Global Content Alignment,,es,new,
,Content - Primary sidebar,,es,new,
,Primary sidebar - Content,,es,new,
,Full width content,,es,new,
,Post Categories,,es,new,
,Show,,es,new,
,Hide,,es,new,
,Comment Count,,es,new,
,Hide Comment Count in List,,es,new,
,Minutes Read Count,,es,new,
,Number of Words per Minute Read,,es,new,
,Hide Minutes Read Count in List,,es,new,
,Date and Author,,es,new,
,Show Date and Author,,es,new,
,Show Date Only,,es,new,
,Show Author Only,,es,new,
,Hide All,,es,new,
,Hide Date and Author in List,,es,new,
,Date Format,,es,new,
,Date Format by Theme,,es,new,
,WordPress Default Date Format,,es,new,
,Widget Excerpt Mode,,es,new,
,Trimmed Content,,es,new,
,Default Excerpt,,es,new,
,Single Post,,es,new,
,Show on featured image,,es,new,
,Single Content mode,,es,new,
,Select global single content mode,,es,new,
,Wide - Default,,es,new,
,Boxed,,es,new,
,Related Posts,,es,new,
,Show on single posts,,es,new,
,Title,,es,new,
,Archive Settings,,es,new,
,Image alignment,,es,new,
,Select image alignment for archive,,es,new,
,Left,,es,new,
,Right,,es,new,
,Alternate,,es,new,
,You May Have Missed,,es,new,
,Show Latest Posts Section above Footer,,es,new,
,Posts Section Title,,es,new,
,Footer,,es,new,
,Copyright Text,,es,new,
,Pages:,,es,new,
,%s,,es,new,unchanged_like
,Recent,,es,new,
,Categorised,,es,new,
,Layout Options,,es,new,
,Set as global layout,,es,new,
,Content - Primary Sidebar,,es,new,
,Primary Sidebar - Content,,es,new,
,Category Color 1,,es,new,
,Category Color 2,,es,new,
,Category Color 3,,es,new,
,Color Class,,es,new,
,"Select category color class. You can set appropriate categories color on ""Categories"" section of the theme customizer.",,es,new,
,Templatespare,,es,new,
,Elespare,,es,new,unchanged_like
,Blockspare,,es,new,
,WP Post Author,,es,new,
,Free Live Chat using 3CX,,es,new,
,"Howdy, %1$s! We've noticed that you've been using %2$s for some time now, we hope you are loving it! We would appreciate it if you can %3$sgive us a 5 star rating on WordPress.org%4$s! We'll continue to develop exciting new features for free in the future by sharing the love!",,es,new,
,Sure thing,,es,new,
,Remind me later,,es,new,
,I've already done.,,es,new,
,Got any support queries?,,es,new,
,Action failed. Please refresh the page and retry.,,es,new,
,Cheatin&#8217; huh?,,es,new,
,%1$s 🎁 Hope you're loving our free %2$s theme! Dive into the festive spirit with an exclusive gift: %4$s premium features! Use code %3$s at checkout. Wishing you a season filled with joyous holidays and even happier savings! 🎄✨,,es,new,
,Claim Your Discount,,es,new,
,Power Bundle,,es,new,
,All Themes Plan,,es,new,
,Maybe Later,,es,new,
,Have Queries?,,es,new,
,Previous,,es,new,
,Next,,es,new,
,%s min read,%s min read,es,new,
,%s min read,%s min read,es,new,
,View all posts in %s,,es,new,
,ago,,es,new,
list item separator, ,,es,new,"empty,unchanged_like"
,"Edit <span class=""screen-reader-text"">%s</span>",,es,new,
,Displays author info.,,es,new,
,AFTSC Author Info,,es,new,
,About Store,,es,new,
,Profile image,,es,new,
,Name,,es,new,
,Descriptions,,es,new,
,Facebook,,es,new,unchanged_like
,Twitter,,es,new,
,Youtube,,es,new,unchanged_like
,Displays posts carousel from selected category.,,es,new,
,AFTN Posts Carousel,,es,new,
,Select category,,es,new,
,Displays posts from 2 selected categories in double column.,,es,new,
,AFTN Double Categories Posts,,es,new,
,Title 1,,es,new,
,Select category 1,,es,new,
,Title 2,,es,new,
,Select category 2,,es,new,
,Displays posts from selected category in a list.,,es,new,
,AFTN Posts List,,es,new,
