msgctxt,msgid,msgid_plural,target_lang,status,issues
,Newsphere,,hi,new,
,https://afthemes.com/products/newsphere/,,hi,new,unchanged_like
,"Newsphere is a perfect news and magazine responsive WordPress theme that lets you write articles and blog posts with ease. Create a great news website the help of live customizer options and custom widgets, you can design your website as you like and preview the changes live. It is compatible with the Gutenberg and RTL along with WooCommerce plugin which helps you to integrate an online business with our newspaper template. As it includes many useful features that require to build an awesome looking newsportal, the theme is perfect for blogging and excellent for a news, newspaper, magazine, publishing or review site. The theme is well optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are number of demos available in this theme so choose the one you like and start to build a website. See our demos: https://afthemes.com/products/newsphere/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ and Docs: https://docs.afthemes.com/newsphere/",,hi,new,
,AF themes,,hi,new,
,https://www.afthemes.com/,,hi,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,hi,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,hi,new,
,Dashboard,,hi,new,
,Customize,,hi,new,
,Starter Sites,,hi,new,
,Elementor Kits,,hi,new,
,Block Patterns,,hi,new,
,Upgrade to Pro,,hi,new,
,Upgrade Now,,hi,new,
,The Templatespare plugin should be updated to the latest version,,hi,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,hi,new,
,Blockspare plugin version should be more than %s.,,hi,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,hi,new,
,Elespare plugin version should be more than %s.,,hi,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,hi,new,
,Are you sure you want to install this plugin?,,hi,new,
,Install Now,,hi,new,
,Activate,,hi,new,
,Activated,,hi,new,
,Get Starter Sites,,hi,new,
,Get Started,,hi,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,hi,new,
,By,,hi,new,
,More Details,,hi,new,
,"👋 Welcome, and Thank You!",,hi,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.

        ",,hi,new,
,🚀 Start With One Click,,hi,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,hi,new,
,View Demos,,hi,new,
,Theme dashboard,,hi,new,
,🤝 We're Here for You,,hi,new,
,Whether you're just starting or customizing your site.,,hi,new,
,Documentation,,hi,new,
,Videos,,hi,new,
,Support,,hi,new,
,⭐ Rate This Theme,,hi,new,
,"Sorry, you are not allowed to install plugins on this site.",,hi,new,
,"Error - unable to verify nonce, please try again.",,hi,new,
,"Sorry, you are not allowed to activate plugins on this site.",,hi,new,
,One thought on &ldquo;%1$s&rdquo;,,hi,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,hi,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,hi,new,
,Comments are closed.,,hi,new,
,%1$s by %2$s.,,hi,new,
,Primary Menu,,hi,new,
,Social Menu,,hi,new,
,Footer Menu,,hi,new,
Roboto Sans Pro font: on or off,on,,hi,new,
Rubik font: on or off,on,,hi,new,
,Skip to content,,hi,new,
,All,,hi,new,
,Popular Tags,,hi,new,
,Exclusive,,hi,new,
,Latest,,hi,new,
,Popular,,hi,new,
,Trending,,hi,new,
,Editor's Picks,,hi,new,
,Trending Story,,hi,new,
,Featured Story,,hi,new,
,Editor's Pick,,hi,new,
,Read more,,hi,new,
,More Stories,,hi,new,
,You may have missed,,hi,new,
