msgctxt,msgid,msgid_plural,target_lang,status,issues
,ReviewNews,,ar,unchanged,
,https://afthemes.com/products/reviewnews/,,ar,unchanged,unchanged_like
,"ReviewNews is a dynamic, ultra-fast, and highly versatile WordPress theme made for News, Magazine, Blog, Business, and eCommerce websites across the world. With its powerful HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, BRIZY, DIVI, and other popular page builders, you can design PROFESSIONAL LAYOUTS easily using drag and drop—no coding required. Packed with 50+ STARTER SITES, 30+ CUSTOM WIDGETS, ADVANCED BLOCK PATTERNS, FLEXIBLE LAYOUT OPTIONS, AMP SUPPORT, and FULL WOOCOMMERCE INTEGRATION, it’s perfect for everything from online newspapers, corporate or NGO sites, and educational or cultural portals to personal blogs, portfolios, and lifestyle magazines. ReviewNews is fully optimized for SEO, CORE WEB VITALS, SPEED, and RESPONSIVE DESIGN, ensuring FAST LOADING and excellent performance on all devices. Built with WCAG ACCESSIBILITY, GDPR COMPLIANCE, and LIGHTWEIGHT, CLEAN CODE, it offers long-term stability and high GOOGLE PAGESPEED SCORES. MULTILINGUAL and RTL READY, with demo content in English, Spanish, German, French, Japanese, Chinese, and Arabic, ReviewNews is a truly GLOBAL, FUTURE-PROOF THEME designed for creators, publishers, and businesses who value STYLE, SCALABILITY, and PERFORMANCE across every market. Explore all features at https://afthemes.com/products/reviewnews",,ar,unchanged,
,AF themes,,ar,unchanged,
,https://www.afthemes.com/,,ar,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,ar,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ar,unchanged,
,Dashboard,,ar,unchanged,
,Customize,,ar,unchanged,
,Header Builder,,ar,unchanged,
,Footer Builder,,ar,unchanged,
,Starter Sites,,ar,unchanged,
,Elementor Kits,,ar,unchanged,
,Block Patterns,,ar,unchanged,
,Upgrade to Pro,,ar,unchanged,
,Upgrade Now,,ar,unchanged,
,The Templatespare plugin should be updated to the latest version,,ar,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ar,unchanged,
,Blockspare plugin version should be more than %s.,,ar,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ar,unchanged,
,Elespare plugin version should be more than %s.,,ar,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ar,unchanged,
,Are you sure you want to install this plugin?,,ar,unchanged,
,Install Now,,ar,unchanged,
,Activate,,ar,unchanged,
,Activated,,ar,unchanged,
,Get Starter Sites,,ar,unchanged,
,Get Started,,ar,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ar,unchanged,
,By,,ar,unchanged,
,More Details,,ar,unchanged,
,"👋 Welcome, and Thank You!",,ar,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ar,unchanged,
,🚀 Start With One Click,,ar,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ar,unchanged,
,View Demos,,ar,unchanged,
,Theme dashboard,,ar,unchanged,
,🤝 We're Here for You,,ar,unchanged,
,Whether you're just starting or customizing your site.,,ar,unchanged,
,Documentation,,ar,unchanged,
,Video Tutorials,,ar,unchanged,
,Support,,ar,unchanged,
,⭐ Rate This Theme,,ar,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,ar,unchanged,
