msgctxt,msgid,msgid_plural,target_lang,status,issues
,ReviewNews,,id,new,
,https://afthemes.com/products/reviewnews/,,id,new,unchanged_like
,"ReviewNews is a dynamic, ultra-fast, and highly versatile WordPress theme made for News, Magazine, Blog, Business, and eCommerce websites across the world. With its powerful HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, BRIZY, DIVI, and other popular page builders, you can design PROFESSIONAL LAYOUTS easily using drag and drop—no coding required. Packed with 100+ STARTER SITES, 30+ CUSTOM WIDGETS, ADVANCED BLOCK PATTERNS, FLEXIBLE LAYOUT OPTIONS, AMP SUPPORT, and FULL WOOCOMMERCE INTEGRATION, it’s perfect for everything from online newspapers, corporate or NGO sites, and educational or cultural portals to personal blogs, portfolios, and lifestyle magazines. ReviewNews is fully optimized for SEO, CORE WEB VITALS, SPEED, and RESPONSIVE DESIGN, ensuring FAST LOADING and excellent performance on all devices. Built with WCAG ACCESSIBILITY, GDPR COMPLIANCE, and LIGHTWEIGHT, CLEAN CODE, it offers long-term stability and high GOOGLE PAGESPEED SCORES. MULTILINGUAL and RTL READY, with demo content in English, Spanish, German, French, Japanese, Chinese, and Arabic, ReviewNews is a truly GLOBAL, FUTURE-PROOF THEME designed for creators, publishers, and businesses who value STYLE, SCALABILITY, and PERFORMANCE across every market. Explore all features at https://afthemes.com/products/reviewnews",,id,new,
,AF themes,,id,new,
,https://www.afthemes.com/,,id,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,id,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,id,new,
,Dashboard,,id,new,
,Customize,,id,new,
,Header Builder,,id,new,
,Footer Builder,,id,new,
,Starter Sites,,id,new,
,Elementor Kits,,id,new,
,Block Patterns,,id,new,
,Upgrade to Pro,,id,new,
,Upgrade Now,,id,new,
,The Templatespare plugin should be updated to the latest version,,id,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,id,new,
,Blockspare plugin version should be more than %s.,,id,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,id,new,
,Elespare plugin version should be more than %s.,,id,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,id,new,
,Are you sure you want to install this plugin?,,id,new,
,Install Now,,id,new,
,Activate,,id,new,
,Activated,,id,new,
,Get Starter Sites,,id,new,
,Get Started,,id,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,id,new,
,By,,id,new,
,More Details,,id,new,
,"👋 Welcome, and Thank You!",,id,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,id,new,
,🚀 Start With One Click,,id,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,id,new,
,View Demos,,id,new,
,Theme dashboard,,id,new,
,🤝 We're Here for You,,id,new,
,Whether you're just starting or customizing your site.,,id,new,
,Documentation,,id,new,
,Video Tutorials,,id,new,
,Support,,id,new,
,⭐ Rate This Theme,,id,new,
,"Sorry, you are not allowed to install plugins on this site.",,id,new,
,"Error - unable to verify nonce, please try again.",,id,new,
,"Sorry, you are not allowed to activate plugins on this site.",,id,new,
,One thought on &ldquo;%1$s&rdquo;,,id,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,id,new,
,Comments are closed.,,id,new,
,%1$s by %2$s.,,id,new,
,Primary Menu,,id,new,
,Social Menu,,id,new,
,Footer Menu,,id,new,
,Skip to content,,id,new,
,Open search form,,id,new,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,id,new,
,Hide builder panel,,id,new,
,Hide Builder,,id,new,
,Device view controls,,id,new,
,Choose an Element,,id,new,
,Close choose element modal,,id,new,
,Footer Layout,,id,new,
,Create dynamic header effortlessly with drag-and-drop builder.,,id,new,
,Header,,id,new,
,Create dynamic footer effortlessly with drag-and-drop builder.,,id,new,
,Footer,,id,new,
,Enable %s Builder,,id,new,
,Add Element,,id,new,
,Remove Element,,id,new,
,Configure Element,,id,new,
,Desktop,,id,new,unchanged_like
,Element Settings,,id,new,
,close Off-Canvas Navigation,,id,new,
,Site & Logo,,id,new,
,Site Identity,,id,new,
,You can change Site Identity from %s.,,id,new,
,Promotion,,id,new,
,Off Canvas,,id,new,
,Off Canvas Widget Area,,id,new,
,This widget area is used in the mobile off-canvas panel. %s,,id,new,
,Manage widgets,,id,new,
,Primary menu,,id,new,
,Select Menu,,id,new,
,You can change Menu from menu panel. %s,,id,new,
,Manage menu,,id,new,
,Date,,id,new,
,Choose date format,,id,new,
,You can change date from general settings (Settings > General > Date Format). %s,,id,new,
,Manage Date,,id,new,
,Top Navigation,,id,new,
,pro,,id,new,unchanged_like
,Site Mode,,id,new,
,Custom HTML,,id,new,
,HTML Content,,id,new,
,Search,,id,new,
,Searc Form,,id,new,
,Custom Link,,id,new,
,Custom link,,id,new,
,live,,id,new,
,Widget 1,,id,new,unchanged_like
,Select Widget,,id,new,
,Widget 2,,id,new,unchanged_like
,Widget 3,,id,new,unchanged_like
,Navigation,,id,new,
,Pro,,id,new,unchanged_like
,Copyright,,id,new,
,Add widget to display . %s,,id,new,
,Beta,,id,new,unchanged_like
,No menu assigned,,id,new,
,-- Select --,,id,new,
