msgctxt,msgid,msgid_plural,target_lang,status,issues
,ReviewNews,,ko,new,
,https://afthemes.com/products/reviewnews/,,ko,new,unchanged_like
,"ReviewNews is a dynamic, ultra-fast, and highly versatile WordPress theme made for News, Magazine, Blog, Business, and eCommerce websites across the world. With its powerful HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, BRIZY, DIVI, and other popular page builders, you can design PROFESSIONAL LAYOUTS easily using drag and drop—no coding required. Packed with 100+ STARTER SITES, 30+ CUSTOM WIDGETS, ADVANCED BLOCK PATTERNS, FLEXIBLE LAYOUT OPTIONS, AMP SUPPORT, and FULL WOOCOMMERCE INTEGRATION, it’s perfect for everything from online newspapers, corporate or NGO sites, and educational or cultural portals to personal blogs, portfolios, and lifestyle magazines. ReviewNews is fully optimized for SEO, CORE WEB VITALS, SPEED, and RESPONSIVE DESIGN, ensuring FAST LOADING and excellent performance on all devices. Built with WCAG ACCESSIBILITY, GDPR COMPLIANCE, and LIGHTWEIGHT, CLEAN CODE, it offers long-term stability and high GOOGLE PAGESPEED SCORES. MULTILINGUAL and RTL READY, with demo content in English, Spanish, German, French, Japanese, Chinese, and Arabic, ReviewNews is a truly GLOBAL, FUTURE-PROOF THEME designed for creators, publishers, and businesses who value STYLE, SCALABILITY, and PERFORMANCE across every market. Explore all features at https://afthemes.com/products/reviewnews",,ko,new,
,AF themes,,ko,new,
,https://www.afthemes.com/,,ko,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,ko,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ko,new,
,Dashboard,,ko,new,
,Customize,,ko,new,
,Header Builder,,ko,new,
,Footer Builder,,ko,new,
,Starter Sites,,ko,new,
,Elementor Kits,,ko,new,
,Block Patterns,,ko,new,
,Upgrade to Pro,,ko,new,
,Upgrade Now,,ko,new,
,The Templatespare plugin should be updated to the latest version,,ko,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ko,new,
,Blockspare plugin version should be more than %s.,,ko,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,ko,new,
,Elespare plugin version should be more than %s.,,ko,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,ko,new,
,Are you sure you want to install this plugin?,,ko,new,
,Install Now,,ko,new,
,Activate,,ko,new,
,Activated,,ko,new,
,Get Starter Sites,,ko,new,
,Get Started,,ko,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ko,new,
,By,,ko,new,
,More Details,,ko,new,
,"👋 Welcome, and Thank You!",,ko,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,ko,new,
,🚀 Start With One Click,,ko,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,ko,new,
,View Demos,,ko,new,
,Theme dashboard,,ko,new,
,🤝 We're Here for You,,ko,new,
,Whether you're just starting or customizing your site.,,ko,new,
