msgctxt,msgid,msgid_plural,target_lang,status,issues
,ReviewNews,,pt,unchanged,
,https://afthemes.com/products/reviewnews/,,pt,unchanged,unchanged_like
,"ReviewNews is a dynamic, ultra-fast, and highly versatile WordPress theme made for News, Magazine, Blog, Business, and eCommerce websites across the world. With its powerful HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, BRIZY, DIVI, and other popular page builders, you can design PROFESSIONAL LAYOUTS easily using drag and drop—no coding required. Packed with 50+ STARTER SITES, 30+ CUSTOM WIDGETS, ADVANCED BLOCK PATTERNS, FLEXIBLE LAYOUT OPTIONS, AMP SUPPORT, and FULL WOOCOMMERCE INTEGRATION, it’s perfect for everything from online newspapers, corporate or NGO sites, and educational or cultural portals to personal blogs, portfolios, and lifestyle magazines. ReviewNews is fully optimized for SEO, CORE WEB VITALS, SPEED, and RESPONSIVE DESIGN, ensuring FAST LOADING and excellent performance on all devices. Built with WCAG ACCESSIBILITY, GDPR COMPLIANCE, and LIGHTWEIGHT, CLEAN CODE, it offers long-term stability and high GOOGLE PAGESPEED SCORES. MULTILINGUAL and RTL READY, with demo content in English, Spanish, German, French, Japanese, Chinese, and Arabic, ReviewNews is a truly GLOBAL, FUTURE-PROOF THEME designed for creators, publishers, and businesses who value STYLE, SCALABILITY, and PERFORMANCE across every market. Explore all features at https://afthemes.com/products/reviewnews",,pt,unchanged,
,AF themes,,pt,unchanged,
,https://www.afthemes.com/,,pt,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,pt,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,pt,unchanged,
,Dashboard,,pt,unchanged,
,Customize,,pt,unchanged,
,Header Builder,,pt,unchanged,
,Footer Builder,,pt,unchanged,
,Starter Sites,,pt,unchanged,
,Elementor Kits,,pt,unchanged,
,Block Patterns,,pt,unchanged,
,Upgrade to Pro,,pt,unchanged,
,Upgrade Now,,pt,unchanged,
,The Templatespare plugin should be updated to the latest version,,pt,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,pt,unchanged,
,Blockspare plugin version should be more than %s.,,pt,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,pt,unchanged,
,Elespare plugin version should be more than %s.,,pt,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,pt,unchanged,
,Are you sure you want to install this plugin?,,pt,unchanged,
,Install Now,,pt,unchanged,
,Activate,,pt,unchanged,
,Activated,,pt,unchanged,
,Get Starter Sites,,pt,unchanged,
,Get Started,,pt,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,pt,unchanged,
,By,,pt,unchanged,
,More Details,,pt,unchanged,
,"👋 Welcome, and Thank You!",,pt,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,pt,unchanged,
,🚀 Start With One Click,,pt,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,pt,unchanged,
,View Demos,,pt,unchanged,
,Theme dashboard,,pt,unchanged,
,🤝 We're Here for You,,pt,unchanged,
,Whether you're just starting or customizing your site.,,pt,unchanged,
,Documentation,,pt,unchanged,
,Video Tutorials,,pt,unchanged,
,Support,,pt,unchanged,
,⭐ Rate This Theme,,pt,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,pt,unchanged,
,"Error - unable to verify nonce, please try again.",,pt,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,pt,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,pt,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pt,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pt,unchanged,
,Comments are closed.,,pt,unchanged,
,%1$s by %2$s.,,pt,unchanged,
,Primary Menu,,pt,unchanged,
,Social Menu,,pt,unchanged,
,Footer Menu,,pt,unchanged,
,Skip to content,,pt,unchanged,
,Open search form,,pt,unchanged,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,pt,unchanged,
,Hide builder panel,,pt,unchanged,
,Hide Builder,,pt,unchanged,
,Device view controls,,pt,unchanged,
,Choose an Element,,pt,unchanged,
,Close choose element modal,,pt,unchanged,
,Footer Layout,,pt,unchanged,
,Create dynamic header effortlessly with drag-and-drop builder.,,pt,unchanged,
,Header,,pt,unchanged,
,Create dynamic footer effortlessly with drag-and-drop builder.,,pt,unchanged,
,Footer,,pt,unchanged,
,Enable %s Builder,,pt,unchanged,
,Add Element,,pt,unchanged,
,Remove Element,,pt,unchanged,
,Configure Element,,pt,unchanged,
,Desktop,,pt,unchanged,
,Element Settings,,pt,unchanged,
,close Off-Canvas Navigation,,pt,unchanged,
,Site & Logo,,pt,unchanged,
,Site Identity,,pt,unchanged,
,You can change Site Identity from %s.,,pt,unchanged,
,Promotion,,pt,unchanged,
,Off Canvas,,pt,unchanged,
,Off Canvas Widget Area,,pt,unchanged,
,This widget area is used in the mobile off-canvas panel. %s,,pt,unchanged,
,Manage widgets,,pt,unchanged,
,Primary menu,,pt,unchanged,
,Select Menu,,pt,unchanged,
,You can change Menu from menu panel. %s,,pt,unchanged,
,Manage menu,,pt,unchanged,
,Date,,pt,unchanged,
,Choose date format,,pt,unchanged,
,You can change date from general settings (Settings > General > Date Format). %s,,pt,unchanged,
,Manage Date,,pt,unchanged,
,Top Navigation,,pt,unchanged,
,pro,,pt,unchanged,
,Site Mode,,pt,unchanged,
,Custom HTML,,pt,unchanged,
,HTML Content,,pt,unchanged,
,Search,,pt,unchanged,
,Searc Form,,pt,unchanged,
,Custom Link,,pt,unchanged,
,Custom link,,pt,unchanged,
,live,,pt,unchanged,
,Widget 1,,pt,unchanged,unchanged_like
,Select Widget,,pt,unchanged,
,Widget 2,,pt,unchanged,unchanged_like
,Widget 3,,pt,unchanged,unchanged_like
,Navigation,,pt,unchanged,
,Pro,,pt,unchanged,
,Copyright,,pt,unchanged,
,Add widget to display . %s,,pt,unchanged,
,Beta,,pt,unchanged,unchanged_like
,No menu assigned,,pt,unchanged,
,-- Select --,,pt,unchanged,
,Subscribe,,pt,unchanged,
,Popular Tags,,pt,unchanged,
,Breaking News,,pt,unchanged,
,Posts List Section,,pt,unchanged,
,General,,pt,unchanged,
,Update,,pt,unchanged,
,More,,pt,unchanged,
,Main News,,pt,unchanged,
,Trending Now,,pt,unchanged,
,Editor's Picks,,pt,unchanged,
,Featured Posts,,pt,unchanged,
,Featured Categories,,pt,unchanged,
,Featured Pages,,pt,unchanged,
,Custom Options,,pt,unchanged,
,Post list Section Title %d,,pt,unchanged,
,View More,,pt,unchanged,
,Read More,,pt,unchanged,
,Related Stories,,pt,unchanged,
,You May Have Missed,,pt,unchanged,
,Copyright &copy; {year} All rights reserved.,,pt,unchanged,unchanged_like
,Body Background Color,,pt,unchanged,
,Site Title Size,,pt,unchanged,
,Uppercase Site Title and Tagline,,pt,unchanged,
,Site Title/Tagline Color,,pt,unchanged,
,Header Image Mode,,pt,unchanged,
,Image visibility may vary as per the mode,,pt,unchanged,
,Above Site Title,,pt,unchanged,
,Set as Background,,pt,unchanged,
,Show Full Image (Background),,pt,unchanged,
,Disable Image Tint/Overlay,,pt,unchanged,
,ReviewNews Pro,,pt,unchanged,unchanged_like
,Site Color Mode,,pt,unchanged,
,Light,,pt,unchanged,
,Dark,,pt,unchanged,
,Primary Color Section ,,pt,unchanged,
,Body Background Color (Dark Mode) will be applied for this mode.,,pt,unchanged,
,Body Background Color (Dark Mode),,pt,unchanged,
,Secondary Color Section ,,pt,unchanged,
,Secondary Color,,pt,unchanged,
,Fonts & Typography,,pt,unchanged,
,Font Family Section,,pt,unchanged,
,Fonts Source,,pt,unchanged,
,Theme Fonts,,pt,unchanged,
,System Fonts,,pt,unchanged,
,Font Family,,pt,unchanged,
,Main Banner Options,,pt,unchanged,
,Enable Flash News,,pt,unchanged,
,Section Title ,,pt,unchanged,
,Flash Posts Category,,pt,unchanged,
,Select category to be shown on trending posts ,,pt,unchanged,
,Main Banner,,pt,unchanged,
,Enable Main Banner Section,,pt,unchanged,
,Main Banner Background Image,,pt,unchanged,
,Recommended Size %1$s px X %2$s px,,pt,unchanged,
,Select Main Banner Order,,pt,unchanged,
,Order 1,,pt,unchanged,
,Order 2,,pt,unchanged,
,Order 3,,pt,unchanged,
,Main News Section ,,pt,unchanged,
,Filter Posts By,,pt,unchanged,
,Category,,pt,unchanged,
,Tag,,pt,unchanged,
,Select Category,,pt,unchanged,
,Select category to be shown on main slider section,,pt,unchanged,
,Select Tag,,pt,unchanged,
,Select tag to be shown on main slider section,,pt,unchanged,
,Editor's Picks Section,,pt,unchanged,
,Select,,pt,unchanged,
,Trending Section,,pt,unchanged,
,Comment Count,,pt,unchanged,
,View Count,,pt,unchanged,
,Front-page Options,,pt,unchanged,
,Enable Featured Post Section,,pt,unchanged,
,Select ,,pt,unchanged,
,Select category to be shown on featured section ,,pt,unchanged,
,Posts List,,pt,unchanged,
,Enable Post List Section,,pt,unchanged,
,Section %d,,pt,unchanged,
,Section Title,,pt,unchanged,
,Front-page Layout Settings,,pt,unchanged,
,Front-page Content Display,,pt,unchanged,
,Select frontpage content display,,pt,unchanged,
,Front-page Widgets,,pt,unchanged,
,Page Contents & Front-page Widgets,,pt,unchanged,
,Front-page Content Alignment,,pt,unchanged,
,Select frontpage content alignment,,pt,unchanged,
,Home Content - Home Sidebar,,pt,unchanged,
,Home Sidebar - Home Content,,pt,unchanged,
,Only Home Content,,pt,unchanged,
,Header Options,,pt,unchanged,
,Header Settings,,pt,unchanged,
,Site Mode Switch,,pt,unchanged,
,Enable,,pt,unchanged,
,Disable,,pt,unchanged,
,Disable Sticky Header,,pt,unchanged,
,Sticky header works only with builder at bottom.,,pt,unchanged,
,Top Header Section,,pt,unchanged,
,Show Top Header,,pt,unchanged,
,Header Advertisement,,pt,unchanged,
,Header Section Advertisement,,pt,unchanged,
,URL Link,,pt,unchanged,
,Theme Options,,pt,unchanged,
,Breadcrumb Options,,pt,unchanged,
,Show breadcrumbs,,pt,unchanged,
,Select Breadcrumbs,,pt,unchanged,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,pt,unchanged,
,Default,,pt,unchanged,
,Yoast SEO,,pt,unchanged,unchanged_like
,Rank Math,,pt,unchanged,
,NavXT,,pt,unchanged,unchanged_like
,Global Settings,,pt,unchanged,
,Enable Preloader,,pt,unchanged,
,Disable Emoji Script,,pt,unchanged,
,GDPR friendly & better performance,,pt,unchanged,
,Global Content Alignment,,pt,unchanged,
,Content - Primary sidebar,,pt,unchanged,
,Primary sidebar - Content,,pt,unchanged,
,Full width content,,pt,unchanged,
,Also Show Content Image in Archive,,pt,unchanged,
,If there is no Post Featured image set,,pt,unchanged,
,Enable ,,pt,unchanged,
,Image Lazy Loading,,pt,unchanged,
,Set for better performance,,pt,unchanged,
,Image Async Decoding,,pt,unchanged,
,Set to enhance rendering speed,,pt,unchanged,
,Scroll to Top Position,,pt,unchanged,
,Right,,pt,unchanged,
,Left,,pt,unchanged,
,Categories Settings,,pt,unchanged,
,Post Categories,,pt,unchanged,
,Show,,pt,unchanged,
,Hide,,pt,unchanged,
,Categories to be displayed,,pt,unchanged,
,Show All,,pt,unchanged,
,Top One Category,,pt,unchanged,
,Number of Categories,,pt,unchanged,
,Author and Date Settings,,pt,unchanged,
,Author Icon,,pt,unchanged,
