msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews Pro,,es,new,
,https://afthemes.com/products/chromenews-pro/,,es,new,unchanged_like
,"ChromeNews Pro is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starting pages that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 16+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and RTL, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it.",,es,new,
,AF themes,,es,new,
,https://www.afthemes.com/,,es,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,es,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,es,new,
,Dashboard,,es,new,
,Customize,,es,new,
,Ads Settings,,es,new,
,Starter Sites,,es,new,
,Block Patterns,,es,new,
,Elementor Kits,,es,new,
,Support,,es,new,
,Master Bundle Plan,,es,new,
,Security check failed,,es,new,
,Ads settings saved.,,es,new,
,Global Ads Placement,,es,new,
,"💡 Tip: You can rotate multiple ads by separating them with <!--next-->. One ad will be shown randomly per page load. Works with HTML, JavaScript, and shortcodes.",,es,new,
,Header Ad,,es,new,
,"Add your HTML, JavaScript, or shortcode to display an ad at the very top of your site (header area).",,es,new,
,Before Content,,es,new,
,Ad before post content. Supports rotating multiple ads using <!--next-->.,,es,new,
,After Content,,es,new,
,Ad after post content. You can rotate multiple ads with <!--next--> separator.,,es,new,
,Before First Paragraph,,es,new,
,This ad appears after the first paragraph of single post content. Rotation supported via <!--next-->.,,es,new,
,After Third Paragraph,,es,new,
,Shown after the third paragraph in single post content. Supports rotating ads with <!--next-->.,,es,new,
,After Post Content,,es,new,
,"Displayed below post content, before comments or related posts. Rotation via <!--next--> supported.",,es,new,
,Sidebar Ad,,es,new,
,Shown in sidebar globally. You may use widgets for better control. Supports <!--next--> for rotating ads.,,es,new,
,Footer Ad,,es,new,
,Displayed at the bottom of the site above footer widgets. Rotating ads supported using <!--next-->.,,es,new,
,Archive / Blog Ads,,es,new,
,Before Post List,,es,new,
,Shown before posts in blog or archive pages. Use <!--next--> to rotate multiple ads.,,es,new,
,After Post List,,es,new,
,Shown after posts in archive or blog listings. Supports ad rotation using <!--next--> tag.,,es,new,
,Between Posts,,es,new,
,Manually inserted between posts in archive loop using hooks/snippets. Rotate with <!--next--> if needed.,,es,new,
,Save Ads Settings,,es,new,
,Helpful YouTube Videos,,es,new,
,Launch Your News Website Quickly,,es,new,
,Use our free accessible theme to build a news site without coding.,,es,new,
,Multi-Author Collaboration,,es,new,
,Learn how to manage multiple authors smoothly with our plugin.,,es,new,
,Import Gutenberg Patterns,,es,new,
,Easily import templates and patterns for consistent layouts.,,es,new,
,Elementor Tutorial for Beginners,,es,new,
,Build a professional news site fast with no coding needed.,,es,new,
,Multilingual Translation Guide,,es,new,
,Step-by-step guide to translate your site into multiple languages.,,es,new,
,The Templatespare plugin should be updated to the latest version,,es,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,es,new,
,Blockspare plugin version should be more than %s.,,es,new,
,"One-click Import, No Coding Hassle!",,es,new,
,Elespare plugin version should be more than %s.,,es,new,
,Are you sure you want to install this plugin?,,es,new,
,Install Now,,es,new,
,Activate,,es,new,
,Activated,,es,new,
,Get Starter Sites,,es,new,
,Get Started,,es,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,es,new,
,By,,es,new,
,More Details,,es,new,
,"The ""Get Started"" action will install/activate the Templatespare and  plugin for Starter Sites and Templates.",,es,new,
,Howdy!,,es,new,
,%s is now installed and ready to use. We've assembled some links to get you started.,,es,new,
,Explore Our Pre-Built Starter Websites!,,es,new,
,"Let your imagination soar! Designed with User-Friendly features, incorporating the Latest Trends and SEO-Friendly Markups. We genuinely appreciate you choosing our theme!",,es,new,
,Demos/product,,es,new,
,Theme dashboard,,es,new,
,Documentation,,es,new,
,Please check our full documentation for detailed information on how to setup and customize the theme.,,es,new,
,Docs,,es,new,
,Videos,,es,new,
,Blog,,es,new,
,Rate This Theme,,es,new,
,"Sorry, you are not allowed to install plugins on this site.",,es,new,
,"Error - unable to verify nonce, please try again.",,es,new,
,"Sorry, you are not allowed to activate plugins on this site.",,es,new,
,One thought on &ldquo;%1$s&rdquo;,,es,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,es,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,es,new,
,Comments are closed.,,es,new,
,%1$s by %2$s.,,es,new,
,Primary Menu,,es,new,
,Social Menu,,es,new,
,Footer Menu,,es,new,
%s font: on or off,on,,es,new,
,Skip to content,,es,new,
,Load More,,es,new,
,-- Select --,,es,new,
,Subscribe,,es,new,
,Trending,,es,new,
,Breaking News,,es,new,
,Prime News,,es,new,
,Related Stories,,es,new,
,Youtube video Section,,es,new,
,Featured Videos,,es,new,
,Express Posts Section,,es,new,
,Express Posts 1,,es,new,
,Express Posts 2,,es,new,
,Posts List Section,,es,new,
,Posts List %d,,es,new,
,Posts Carousel,,es,new,
,Main News,,es,new,
,Latest,,es,new,
,Popular,,es,new,unchanged_like
,Trending Now,,es,new,
,Editor's Picks,,es,new,
,Trending Story,,es,new,
,Featured Posts,,es,new,
,Featured Categories,,es,new,
,Featured Pages,,es,new,
,Custom Options,,es,new,
,Post list Section Title %d,,es,new,
,View More,,es,new,
,Read More,,es,new,
,Connect with Us,,es,new,
,Instagram,,es,new,unchanged_like
,Popular News,,es,new,
,Related News,,es,new,
,Subscribe To  Our Newsletter,,es,new,
,You may have missed,,es,new,
,Copyright &copy; {year} All rights reserved.,,es,new,
,Background Color,,es,new,
,Site Title Size,,es,new,
