msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews Pro,,fr,new,
,https://afthemes.com/products/chromenews-pro/,,fr,new,unchanged_like
,"ChromeNews Pro is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starting pages that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 16+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and RTL, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it.",,fr,new,
,AF themes,,fr,new,
,https://www.afthemes.com/,,fr,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,fr,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,fr,new,
,Dashboard,,fr,new,
,Customize,,fr,new,
,Ads Settings,,fr,new,
,Starter Sites,,fr,new,
,Block Patterns,,fr,new,
,Elementor Kits,,fr,new,
,Support,,fr,new,
,Master Bundle Plan,,fr,new,
,Security check failed,,fr,new,
,Ads settings saved.,,fr,new,
,Global Ads Placement,,fr,new,
,"💡 Tip: You can rotate multiple ads by separating them with <!--next-->. One ad will be shown randomly per page load. Works with HTML, JavaScript, and shortcodes.",,fr,new,
,Header Ad,,fr,new,
,"Add your HTML, JavaScript, or shortcode to display an ad at the very top of your site (header area).",,fr,new,
,Before Content,,fr,new,
,Ad before post content. Supports rotating multiple ads using <!--next-->.,,fr,new,
,After Content,,fr,new,
,Ad after post content. You can rotate multiple ads with <!--next--> separator.,,fr,new,
,Before First Paragraph,,fr,new,
,This ad appears after the first paragraph of single post content. Rotation supported via <!--next-->.,,fr,new,
,After Third Paragraph,,fr,new,
,Shown after the third paragraph in single post content. Supports rotating ads with <!--next-->.,,fr,new,
,After Post Content,,fr,new,
,"Displayed below post content, before comments or related posts. Rotation via <!--next--> supported.",,fr,new,
,Sidebar Ad,,fr,new,
,Shown in sidebar globally. You may use widgets for better control. Supports <!--next--> for rotating ads.,,fr,new,
,Footer Ad,,fr,new,
,Displayed at the bottom of the site above footer widgets. Rotating ads supported using <!--next-->.,,fr,new,
,Archive / Blog Ads,,fr,new,
,Before Post List,,fr,new,
,Shown before posts in blog or archive pages. Use <!--next--> to rotate multiple ads.,,fr,new,
,After Post List,,fr,new,
,Shown after posts in archive or blog listings. Supports ad rotation using <!--next--> tag.,,fr,new,
,Between Posts,,fr,new,
,Manually inserted between posts in archive loop using hooks/snippets. Rotate with <!--next--> if needed.,,fr,new,
,Save Ads Settings,,fr,new,
,Helpful YouTube Videos,,fr,new,
,Launch Your News Website Quickly,,fr,new,
,Use our free accessible theme to build a news site without coding.,,fr,new,
,Multi-Author Collaboration,,fr,new,
,Learn how to manage multiple authors smoothly with our plugin.,,fr,new,
,Import Gutenberg Patterns,,fr,new,
,Easily import templates and patterns for consistent layouts.,,fr,new,
,Elementor Tutorial for Beginners,,fr,new,
,Build a professional news site fast with no coding needed.,,fr,new,
,Multilingual Translation Guide,,fr,new,
,Step-by-step guide to translate your site into multiple languages.,,fr,new,
,The Templatespare plugin should be updated to the latest version,,fr,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,fr,new,
,Blockspare plugin version should be more than %s.,,fr,new,
,"One-click Import, No Coding Hassle!",,fr,new,
,Elespare plugin version should be more than %s.,,fr,new,
,Are you sure you want to install this plugin?,,fr,new,
,Install Now,,fr,new,
,Activate,,fr,new,
,Activated,,fr,new,
,Get Starter Sites,,fr,new,
,Get Started,,fr,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,fr,new,
,By,,fr,new,
,More Details,,fr,new,
,"The ""Get Started"" action will install/activate the Templatespare and  plugin for Starter Sites and Templates.",,fr,new,
,Howdy!,,fr,new,
,%s is now installed and ready to use. We've assembled some links to get you started.,,fr,new,
,Explore Our Pre-Built Starter Websites!,,fr,new,
,"Let your imagination soar! Designed with User-Friendly features, incorporating the Latest Trends and SEO-Friendly Markups. We genuinely appreciate you choosing our theme!",,fr,new,
,Demos/product,,fr,new,
,Theme dashboard,,fr,new,
,Documentation,,fr,new,unchanged_like
,Please check our full documentation for detailed information on how to setup and customize the theme.,,fr,new,
,Docs,,fr,new,
,Videos,,fr,new,
,Blog,,fr,new,
,Rate This Theme,,fr,new,
,"Sorry, you are not allowed to install plugins on this site.",,fr,new,
,"Error - unable to verify nonce, please try again.",,fr,new,
,"Sorry, you are not allowed to activate plugins on this site.",,fr,new,
,One thought on &ldquo;%1$s&rdquo;,,fr,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,fr,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,fr,new,
,Comments are closed.,,fr,new,
,%1$s by %2$s.,,fr,new,
,Primary Menu,,fr,new,
,Social Menu,,fr,new,
,Footer Menu,,fr,new,
%s font: on or off,on,,fr,new,
,Skip to content,,fr,new,
,Load More,,fr,new,
,-- Select --,,fr,new,
,Subscribe,,fr,new,
,Trending,,fr,new,
,Breaking News,,fr,new,
,Prime News,,fr,new,
,Related Stories,,fr,new,
,Youtube video Section,,fr,new,
,Featured Videos,,fr,new,
,Express Posts Section,,fr,new,
,Express Posts 1,,fr,new,
,Express Posts 2,,fr,new,
,Posts List Section,,fr,new,
,Posts List %d,,fr,new,
,Posts Carousel,,fr,new,
,Main News,,fr,new,
,Latest,,fr,new,
,Popular,,fr,new,
,Trending Now,,fr,new,
,Editor's Picks,,fr,new,
,Trending Story,,fr,new,
,Featured Posts,,fr,new,
,Featured Categories,,fr,new,
,Featured Pages,,fr,new,
,Custom Options,,fr,new,
,Post list Section Title %d,,fr,new,
,View More,,fr,new,
,Read More,,fr,new,
,Connect with Us,,fr,new,
,Instagram,,fr,new,unchanged_like
,Popular News,,fr,new,
,Related News,,fr,new,
,Subscribe To  Our Newsletter,,fr,new,
,You may have missed,,fr,new,
,Copyright &copy; {year} All rights reserved.,,fr,new,
,Background Color,,fr,new,
,Site Title Size,,fr,new,
,Uppercase Site Title and Tagline,,fr,new,
,Site Title/Tagline Color,,fr,new,
,Header Image Mode,,fr,new,
,Image visibility may vary as per the mode,,fr,new,
,Set as Background,,fr,new,
,Show Full Image,,fr,new,
,Enable Image Tint/Overlay,,fr,new,
,Overlay Transparancy(%),,fr,new,
,Site Title/Tagline Color (Dark Mode),,fr,new,
,Site Color Mode,,fr,new,
,Check with Mode Swicth toggle in navigation,,fr,new,
,Light,,fr,new,
,Dark,,fr,new,
,Main Banner Background,,fr,new,
,Default,,fr,new,
,Alternate,,fr,new,
,Custom,,fr,new,
,Banner Background Color,,fr,new,
,Banner Texts Color,,fr,new,
,General Link Color,,fr,new,
,Primary Color Section ,,fr,new,
,Background Color (Dark Mode),,fr,new,
,Background Color (Dark Mode) will be applied for this mode.,,fr,new,
,Box Background Color,,fr,new,
,Primary Color,,fr,new,
,Secondary Color Section ,,fr,new,
,Secondary Color,,fr,new,
,Texts over Secondary Color,,fr,new,
,Top Header Section ,,fr,new,
,Texts Color,,fr,new,
,Primary Navigation Section ,,fr,new,
,Menu Item Color,,fr,new,
,Badge Background,,fr,new,
,Badge Text Color,,fr,new,
,Watch Online,,fr,new,
,Archive/Widgets Section ,,fr,new,
,Post Title,,fr,new,
,Post Title Over Image,,fr,new,
,Category Color Section ,,fr,new,
,Category Colors,,fr,new,
,Category %d Background,,fr,new,
,Category %d Texts Color,,fr,new,
,Fonts & Typography,,fr,new,
,Font Family Section,,fr,new,
,Global Fonts Family,,fr,new,
,Google Fonts,,fr,new,
,System Fonts,,fr,new,
,Site Title Font,,fr,new,
,Primary Font,,fr,new,
,Secondary Font,,fr,new,
,Post Title Font,,fr,new,
,"Widgets, Archives, Search, etc.",,fr,new,
,Texts Formatting Section,,fr,new,
,Title Font Weight,,fr,new,
