msgctxt,msgid,msgid_plural,target_lang,status,issues
,Magazine 7,,es,new,
,https://afthemes.com/products/magazine-7/,,es,new,unchanged_like
,"Magazine 7 is a clean, elegant and beautiful WordPress theme, which is typically designed for a web blog and magazine with an immense research on modern online news portals. With the help of available customizer options and widgets, you can implement layout as a fashion magazine, restaurant blogging & magazine, e-commerce magazine, personal blog, modern news journals, vibrant news sites and more. The theme is SEO friendly with optimized code and outstanding support. See our demos: https://demos.afthemes.com/magazine-7/, https://demos.afthemes.com/magazine-7/restro/, https://demos.afthemes.com/magazine-7/clean-blog/",,es,new,
,AF themes,,es,new,
,https://www.afthemes.com/,,es,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,es,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,es,new,
,%s,,es,new,unchanged_like
,Starter Sites,,es,new,
,Block Patterns,,es,new,
,Elementor Kits,,es,new,
,Customize,,es,new,
,Settings,,es,new,
,Upgrade,,es,new,
,The Templatespare plugin should be updated to the latest version,,es,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,es,new,
,Blockspare plugin version should be more than %s.,,es,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,es,new,
,Elespare plugin version should be more than %s.,,es,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,es,new,
,Are you sure you want to install this plugin?,,es,new,
,Install Now,,es,new,
,Activate,,es,new,
,Activated,,es,new,
,Get Starter Sites,,es,new,
,Get Started,,es,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,es,new,
,By,,es,new,
,More Details,,es,new,
,Howdy!,,es,new,
,%s is now installed and ready to use. We've assembled some links to get you started.,,es,new,
,Explore Our Pre-Built Starter Websites!,,es,new,
,"Let your imagination soar! Designed with User-Friendly features, incorporating the Latest Trends and SEO-Friendly Markups. We genuinely appreciate you choosing our theme!",,es,new,
,Demos/product,,es,new,
,Theme dashboard,,es,new,
,Documentation,,es,new,
,Please check our full documentation for detailed information on how to setup and customize the theme.,,es,new,
,Docs,,es,new,
,Videos,,es,new,
,Blog,,es,new,unchanged_like
,Rate This Theme,,es,new,
,"Sorry, you are not allowed to install plugins on this site.",,es,new,
,"Error - unable to verify nonce, please try again.",,es,new,
,"Sorry, you are not allowed to activate plugins on this site.",,es,new,
,One thought on &ldquo;%1$s&rdquo;,,es,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,es,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,es,new,
,Comments are closed.,,es,new,
,%1$s by %2$s.,,es,new,
,Primary Menu,,es,new,
,Top Menu,,es,new,
,Social Menu,,es,new,
,Footer Menu,,es,new,
Oswald font: on or off,on,,es,new,
Montserrat font: on or off,on,,es,new,
,Skip to content,,es,new,
,All,,es,new,
,Featured Posts,,es,new,
,Our Featured Posts,,es,new,
,Read more,,es,new,
,Latest Posts,,es,new,
,Our Latest Posts,,es,new,
,Copyright &copy; All rights reserved.,,es,new,
,Site Title Size,,es,new,
,Site Title/Tagline Color,,es,new,
,Disable Image Tint/Overlay,,es,new,
,Magazine 7 Plus,,es,new,
,Upgrade now,,es,new,
,Frontpage Options,,es,new,
,Trending Posts,,es,new,
,Enable Trending Posts Section,,es,new,
,Trending Posts Category,,es,new,
,Select category to be shown on trending posts ,,es,new,
,Advertisement,,es,new,
,Banner Section Advertisement,,es,new,
,Recommended Size %1$s px X %2$s px,,es,new,
,URL Link,,es,new,
,Main Banner Slider Section,,es,new,
,Enable Main Banner Slider,,es,new,
,Slider Posts Category,,es,new,
,Select category to be shown on slider ,,es,new,
,Featured Posts Section,,es,new,
,Enable Featured New Section,,es,new,
,Featured Posts Section Title,,es,new,
,Featured Posts Section Subtitle,,es,new,
,Featured Posts Category,,es,new,
,Select category to be shown on featured section ,,es,new,
,Frontpage Layout Settings,,es,new,
,Frontpage Content alignment,,es,new,
,Select frontpage content alignment,,es,new,
,Home Content - Home Sidebar,,es,new,
,Home Sidebar - Home Content,,es,new,
,Only Home Content,,es,new,
,Latest Posts Options,,es,new,
,Show Latest Posts Section on Frontpage,,es,new,
,Latest Posts Section Title,,es,new,
,Theme Options,,es,new,
,Preloader Options,,es,new,
,Enable preloader,,es,new,
,Header Options,,es,new,
,Show date on top header,,es,new,
,Show social menu on top header,,es,new,
,Breadcrumb Options,,es,new,
,Show breadcrumbs,,es,new,
,Global Layout Settings,,es,new,
,Global Content alignment,,es,new,
,Select global content alignment,,es,new,
,Content - Primary sidebar,,es,new,
,Primary sidebar - Content,,es,new,
,Full width content,,es,new,
,Image Lazy Loading,,es,new,
,Enable ,,es,new,
,Disable,,es,new,
,Show Featured Image in single post,,es,new,
,Archive Settings,,es,new,
,Archive layout,,es,new,
,Select layout for archive,,es,new,
,Grid,,es,new,
,Full,,es,new,
,Image alignment,,es,new,
,Select image alignment for archive,,es,new,
,Left,,es,new,
,Right,,es,new,
,Content view,,es,new,
,Select content view for archive,,es,new,
,Post excerpt,,es,new,
,Full Content,,es,new,
,None,,es,new,
,Footer,,es,new,
,Copyright Text,,es,new,
,Hide footer menu section,,es,new,
,Pages:,,es,new,
,Layout Options,,es,new,
,Content - Primary Sidebar,,es,new,
,Primary Sidebar - Content,,es,new,
,Category Color 1,,es,new,
,Category Color 2,,es,new,
,Category Color 3,,es,new,
,Color Class,,es,new,
,"Select category color class. You can set appropriate categories color on ""Categories"" section of the theme customizer.",,es,new,
,AF Companion,,es,new,
,Elespare,,es,new,unchanged_like
,Blockspare,,es,new,
,Latest Posts Block,,es,new,
,Magic Content Box,,es,new,
,WP Post Author,,es,new,
,Free Live Chat using 3CX,,es,new,
,Woo Product Showcase,,es,new,
,"Howdy, %1$s! We've noticed that you've been using %2$s for some time now, we hope you are loving it! We would appreciate it if you can %3$sgive us a 5 star rating on WordPress.org%4$s! We'll continue to develop exciting new features for free in the future by sharing the love!",,es,new,
,Sure thing,,es,new,
,Remind me later,,es,new,
,I've already done.,,es,new,
,Got any support queries?,,es,new,
,Previous,,es,new,
,Next,,es,new,
,View all posts in %s,,es,new,
,ago,,es,new,
list item separator,", ",,es,new,
,Tags: %1$s,,es,new,
,"Edit <span class=""screen-reader-text"">%s</span>",,es,new,
,Action failed. Please refresh the page and retry.,,es,new,
,Cheatin&#8217; huh?,,es,new,
,%1$s 🎁 Hope you're loving our free %2$s theme! Dive into the festive spirit with an exclusive gift: %4$s premium features! Use code %3$s at checkout. Wishing you a season filled with joyous holidays and even happier savings! 🎄✨,,es,new,
,Claim Your Discount,,es,new,
,Power Bundle,,es,new,
,All Themes Plan,,es,new,
,Maybe Later,,es,new,
,Have Queries?,,es,new,
,Displays author info.,,es,new,
,M7 Author Info,,es,new,
,Title,,es,new,
,Subtitle,,es,new,
,Profile image,,es,new,
,Name,,es,new,
,Descriptions,,es,new,
,Facebook,,es,new,unchanged_like
,Twitter,,es,new,
,LinkedIn,,es,new,unchanged_like
,Displays posts carousel from selected category.,,es,new,
,M7 Posts Carousel,,es,new,
,Select category,,es,new,
,Displays posts from selected category in double column.,,es,new,
,M7 Posts - Double Column ,,es,new,
,Double Column Posts,,es,new,
,Double Column Posts Subtitle,,es,new,
,Displays posts from selected category in single column.,,es,new,
,M7 Posts - Single Column ,,es,new,
,Yes,,es,new,
,No,,es,new,unchanged_like
,Show excerpt,,es,new,
,Displays tabbed posts lists from selected settings.,,es,new,
,M7 Tabbed Posts,,es,new,
,M7 Popular,,es,new,
,M7 Latest,,es,new,
,Trending,,es,new,
,Popular,,es,new,unchanged_like
,Recent,,es,new,
,Categorised,,es,new,
,Popular Posts,,es,new,
,Latest,,es,new,
,Categorised Posts,,es,new,
,Settings for all tabs,,es,new,
,Displays products from selected category.,,es,new,
,M7 Products,,es,new,
,Select Product Category,,es,new,
,Displays social contacts lists from selected settings.,,es,new,
,M7 Social Contacts,,es,new,
,M7 Social,,es,new,
,Social menu is not set. You need to create menu and assign it to Social Menu on Menu Settings.,,es,new,
,Upload,,es,new,
,Select Image,,es,new,
,Choose Image,,es,new,
Remove,X,,es,new,
,Select Category,,es,new,
,Main Sidebar,,es,new,
,Add widgets for main sidebar.,,es,new,
,Off-canvas Panel,,es,new,
,Add widgets for off-canvas panel.,,es,new,
,Front-page Content Section,,es,new,
,Add widgets to front-page contents section.,,es,new,
,Front-page Sidebar Section,,es,new,
,Add widgets to front-page sidebar section.,,es,new,
,Footer First Section,,es,new,
